plateifu,y,baseline,break,balmer,star_formation,all_population,crossing_proxy
11944-9102,2.462928411672052,2.3072967368849517,2.3231095725515227,2.359181054218413,2.3577751312095065,2.369662473972749,2.306881422594419
11978-3702,1.7246616467025233,1.7841813868033483,1.7746688817303113,1.7747307254015994,1.768200722498954,1.7878078515826163,1.7763803561571403
11984-6104,2.258338872109107,2.2322616623950062,2.184344362310592,2.190885333795249,2.154289877153655,2.1826629225883383,2.2286761394683596
12066-1901,1.6680171690553296,1.8060425083862404,1.814973834866844,1.8136033782217165,1.8137884913070512,1.8200567718663205,1.821848297147066
12066-3703,2.032151582666284,2.0081877543859568,1.9879958573881222,1.9808803905938808,1.989384880555459,1.9724316545988052,2.009261438643619
7979-1901,2.4077201974888593,2.449866057718033,2.450421879293561,2.4293932841529617,2.4524798280658695,2.434479485143619,2.450090198657578
7990-12705,2.109465487394109,2.0484030269608002,2.033299315621252,2.0135394820974812,2.104757880192548,2.0145253123162576,2.0459412535034693
8082-12701,1.8245938643781088,1.9048180389246674,1.8916590177070158,1.9091212089058993,1.9020055114368744,1.9119127158001603,1.9052322796313028
8082-3702,1.6632388767492325,1.6891333838331726,1.6873055309288545,1.6879169034308892,1.6939858053003427,1.6808494625994328,1.6916847759202747
8082-3703,1.940097377853944,1.933655063222449,1.986933433978213,1.9509543043618303,1.95261452762788,1.9642728089882842,1.9423077272135545
8084-12703,1.9326883728531727,1.9243679219008327,1.927575555668966,1.9204922223297076,1.9344000146339777,1.9109519394941947,1.909860549407808
8084-6104,2.1037558433347274,2.0997140553492466,2.1522187753185134,2.1538332800982882,2.14274095653194,2.1669313637026426,2.0984893672718385
8091-6103,1.7809638070521678,1.7470339461271738,1.7570869188238258,1.754111403397149,1.7574825516372556,1.763998881227887,1.749122631764655
8097-3703,1.6909628631118472,1.678856312813335,1.6946578586066763,1.6860576616225154,1.691081758603432,1.6955251129220592,1.6877593355643332
8135-12702,1.7911587863218918,1.831047554553684,1.8364791128792857,1.8274287143570316,1.8345445204197395,1.8436709775678133,1.8280931643490739
8135-6102,2.2980474663325614,2.3801306167607064,2.338239362146387,2.305074478245438,2.3866527253589185,2.298821855486059,2.3730444367936356
8140-3704,2.272654392856773,2.2980782327923497,2.3141260934626766,2.3178058423463823,2.327108894522115,2.311555725299915,2.3019668363971153
8148-9101,1.823858207841529,1.7797683439587995,1.785090294584897,1.7937337375492433,1.7936418788467205,1.802573726436388,1.7833187996828848
8149-3702,2.195850411135135,2.063847733199705,2.0919176087441653,2.096068622785247,2.040353154276972,2.1333643258258843,2.05740779186761
8150-6101,1.9616609102797533,1.9579591174347415,1.9187397820674654,1.9213963814627129,1.9472110907892464,1.9134892568842115,1.9486768173404196
8150-6102,2.192959200887528,2.1146821993589917,2.147083068703778,2.142641679401436,2.165946259834309,2.1383860928828926,2.112906204525279
8150-9101,2.161832897685653,2.0443793711750735,2.0734381317046147,2.070532259913343,2.0425347688357847,2.0788904330826203,2.0414006666750195
8154-1901,2.297643443660965,2.377509213270685,2.3700599673896874,2.3563243873607886,2.3829781389636695,2.3648110978667813,2.377232856485954
8158-6104,2.1786590194262283,2.078938548796261,2.059866436478391,2.0365010966480015,2.0422503449913245,2.033062198084441,2.081042638243093
8239-3703,2.2851838352324494,2.1788501894970627,2.2719657562251956,2.262061605112382,2.26880772499141,2.277816921548819,2.1899639955280366
8241-9101,2.1221332725233215,2.1326240651363593,2.1026117161808386,2.0865113451262163,2.0965419545112582,2.079767388330936,2.1319120485512473
8243-9102,2.260756888802261,2.3727285365682316,2.276318706038681,2.256193591864076,2.251414002013671,2.2308122866493356,2.373797722929766
8247-12704,1.7422055520667574,1.8014132379844148,1.807139371778317,1.804204684605746,1.801944705226161,1.8064899711682818,1.8063652119735343
8253-3704,2.209007773459247,2.0452108878716593,2.026350437536233,2.0334527918016807,2.055674001708907,2.0292437175491504,2.056669422053104
8254-12704,1.7759234058426805,1.8159771704336956,1.8280600206573017,1.825084031072573,1.8223406597354253,1.8204916680397625,1.8233112232428603
8256-6103,2.440589065391809,2.3955199032692605,2.3682130169620836,2.336974668038927,2.3990524629825245,2.331392085012848,2.387548055710182
8257-1902,2.178597708828488,2.17647566840099,2.140520332360577,2.123222743446781,2.143236335674258,2.12197910076789,2.180481106613585
8260-3704,2.021880311299188,1.9880690886082255,2.0331322793530653,2.014187007962994,2.0001652406727333,2.038601822994959,2.000111554167303
8262-1902,1.7300045315990555,1.8595360461030621,1.8370432442302413,1.8165691836969904,1.8499823603851195,1.8169127361288095,1.8807973197362713
8262-3702,2.0006795731916225,1.9707739379174043,1.9683208286129033,1.9488356993994838,1.968874731529378,1.9436600564513917,1.9756995793414007
8309-3704,2.3693153254382993,2.2971945266251357,2.322856003137999,2.362690064152146,2.3461919094472563,2.3552216981445664,2.308235612418609
8310-6104,2.2615442956013223,2.2120451464207918,2.192179815118759,2.1615788037007575,2.2598409453249126,2.17829899881338,2.198926062645571
8314-3704,1.977112145563652,2.149314290114231,2.08608523423697,2.0533407862345716,2.132740572852905,2.0667544060320346,2.1372573136875723
8314-6102,1.6835503298742296,1.776818367017405,1.773811844152095,1.7837168069470524,1.793746046887714,1.7846146394748315,1.7825243121874383
8315-1902,2.2240184412817223,2.1268719926644764,2.161617692270871,2.141307298920889,2.13323382818945,2.137401071647589,2.130897699288865
8317-12702,2.29131822421775,2.2663260170602273,2.2953950410923523,2.3049362722799844,2.322388704252004,2.294346905711629,2.2674878688093556
8317-9101,1.9500049029831426,1.9251262069619095,1.923296782358842,1.9223198606604766,1.926662673465511,1.9308768224580193,1.9227470556773927
8318-6104,1.7284881895685784,1.7221643367520048,1.726106435394958,1.7243555975616833,1.737176898752896,1.7338136678744982,1.7219784043781912
8320-3702,1.935965300607934,1.837731606335597,1.8335523510944078,1.8468127138001313,1.8440324160727708,1.83651512101141,1.8331985445187966
8322-3701,2.040826944379654,1.968005953469606,1.9825821156664793,1.981051610334744,1.9862453219871679,1.9861935478408619,1.9906175353335722
8323-6103,1.992982960966765,1.9096484371881721,1.9205382042615282,1.900247832641275,1.9073140273916702,1.904174983775112,1.9111862402605964
8324-6103,1.9012149502243954,1.8199730494396273,1.807972018058177,1.819240718945661,1.8198271401925592,1.8290567212728421,1.811134504566017
8324-6104,2.1414005401163196,2.1046748970139677,2.1021880212171404,2.088370890292084,2.088181881907123,2.085148748719085,2.1151312406020786
8324-9101,1.8332797396068494,1.8513509358171685,1.8511346993964815,1.8466311139047633,1.848895017961779,1.8478723596776154,1.8490248540367147
8328-9101,2.0208586958472856,2.0496208284394695,2.036161524667949,2.0223605655499455,2.0378300433381944,2.0165504271043995,2.053940437535882
8330-12703,1.8080333013625673,1.8229950325498032,1.8260059721412363,1.826565880405475,1.8239613117140112,1.8314058820004566,1.8262129054944083
8330-6102,1.787181246068547,1.866132775922003,1.8537536936514776,1.8559490075685317,1.8610320895176187,1.8651775385057032,1.889716963478132
8331-6104,1.7020686459795307,1.8585930581237242,1.8563000517386719,1.8599872061638236,1.8557205364210845,1.8641251651953168,1.843990966660599
8332-9102,2.0691732224578434,1.940525044120748,1.940633204640354,1.9257329326971966,1.9341706235622729,1.9347026443271247,1.927609054071709
8336-12702,2.0978026992530365,2.0607847383541205,2.0269102110954247,2.0411999423664495,2.048569690570617,2.026610096689677,2.04669862399245
8336-12704,1.8932598981224806,1.9437472528109043,1.9560111511580542,1.9595618282216896,1.9552948998308641,1.9589379220133314,1.9500483116333838
8338-1901,1.7114901204906035,1.7324613577094645,1.7438552610628835,1.7309313911588111,1.7477421572864378,1.7462437448206645,1.7396844254178427
8338-3701,2.1312965126504717,2.157054413974839,2.2193979440383744,2.1767270245718633,2.1757037431871966,2.215299704185588,2.1391464252138417
8341-12702,2.333057342873407,2.261827322045285,2.273720472332367,2.264636124596799,2.2750066221389025,2.255378973062145,2.269259066852568
8341-9101,1.9582643604298178,1.9658927081601145,1.9477345554998469,1.9463859332208282,1.9529930507556934,1.9410891363499039,1.9596974117283115
8439-6101,1.7826952326089596,1.7673639884984949,1.777147097763624,1.7880069983375497,1.774628299019123,1.7737405475851176,1.7732932717133671
8440-3704,1.7619844132379887,1.7651427446017232,1.7547262580759204,1.7601175379023968,1.7613531246915013,1.7544255421295296,1.7651239561163103
8441-12704,2.187726820799251,2.1572957222275,2.165825611018351,2.1421227721966516,2.173081564080183,2.150533980533658,2.1557774098530595
8441-9101,1.7790737970489463,1.7270089085730964,1.7444280313600602,1.7490683523024069,1.7448110579659482,1.753887851829319,1.722452684597288
8442-1901,2.0793798903366785,1.9207611535351676,1.882140427488684,1.8700984018935354,1.900100639573664,1.8404987598169273,1.922040665703783
8443-3704,1.832234709703605,1.8166267370233753,1.8208176341849267,1.8379045592383476,1.8344575212223626,1.834131575124757,1.8225893173399919
8444-1901,1.6653179897077341,1.73832617306287,1.7402497092992297,1.7427021921984076,1.7310106094532247,1.7361424394763565,1.7439819477870424
8444-3702,1.7827633464761556,1.6846865704531397,1.6923455207479055,1.7038791414953367,1.6949702071914121,1.6954475938606224,1.6865087849624625
8447-12702,1.8948059739937888,1.862782963796778,1.8665927285491224,1.8682989003007353,1.8587343813176664,1.8744918438301046,1.8694677542193263
8449-3703,1.8225854947116824,1.8041467161790812,1.8027833026324704,1.805324387981442,1.8099194425916183,1.8217073582913932,1.792123937235335
8449-6101,1.8426627119465628,1.7236408190202224,1.7364189822605358,1.7401381184353228,1.7258773249402886,1.7486139380839059,1.7303087493815044
8450-6102,1.688894527561912,1.8054212220535975,1.809290462474773,1.804115149307718,1.8083830593264383,1.8289382289134046,1.8177449944597395
8454-6104,1.9045555353475863,1.9812401521391858,1.988133872242855,1.9887505480589067,1.9822458321968774,1.9857210342697373,1.9894254827292475
8455-3701,1.940531176985904,1.8809400432862757,1.8659353514469004,1.8634066792303738,1.8834391392815595,1.8666635184995977,1.872523284104202
8461-3702,2.407678582382823,2.4229555848728603,2.4109499021538228,2.396867883197852,2.429301245344964,2.3983400384766163,2.4239813188109443
8464-3701,1.7870530526920874,1.9306766062972924,1.9012240563401732,1.9053733366498937,1.926155898526338,1.9053971305839172,1.936563040752878
8466-12702,1.7702962008486065,1.8146161948155608,1.8241089273648283,1.8214865441612016,1.8087605113523266,1.8095832596689327,1.8209827354783046
8482-9101,2.1867453492575377,2.142737750846109,2.1430607254074605,2.143263082422856,2.1495146830113003,2.1425491359200795,2.1250371985394567
8483-3702,2.1799875903102257,2.134017822025126,2.160843967466395,2.209556951926129,2.1928369891010453,2.185798689374995,2.122667868707391
8486-12705,2.182113509497849,2.0348545670343205,2.024577402722538,2.0245982159591307,2.030659358134416,2.0160008992096197,2.0399485728708893
8488-12705,2.0764649430510835,2.079720441204845,2.0502029102955786,2.0442843667134643,2.054469185177896,2.0484972659684773,2.0739252907660113
8547-3703,2.0621109611934774,2.2523933237169205,2.17458445092222,2.1589841356718855,2.1839502500687495,2.1576932549491095,2.2670971167883875
8554-3701,1.80576869243079,1.8255627069024196,1.825161886086629,1.8265087376666571,1.8318683162569263,1.815144588453129,1.829694636357425
8562-6104,1.8344046160477083,1.8486645876394359,1.876002165029989,1.8738737115708997,1.8593571720847575,1.8810743228922115,1.86192198195042
8563-3701,1.6207115043051916,1.7416617763794529,1.7467987833117407,1.7535896791797907,1.7598503700161237,1.7707566454976722,1.7341367632859348
8595-3703,2.1978749278500223,2.1520798785814503,2.0995560869734042,2.0985359932897905,2.1004425508158966,2.102956280958801,2.136548229448422
8595-3704,1.630697826670403,1.78844857214356,1.7987856293685902,1.7947614745236968,1.7947536394010648,1.8022380458651546,1.7894629402615547
8596-3703,2.3175464676358706,2.249836265599588,2.3279309291732306,2.3324013799549377,2.3147410957204695,2.348796873984117,2.251821157760163
8597-3703,2.3178143794752253,2.317703392255992,2.3188149354486733,2.352400475613582,2.253227075682909,2.318543109686311,2.321543922295583
8602-9102,2.0716633328366183,2.023212856962238,2.103019703729527,2.137961598846991,2.080375740666623,2.1697573645344748,2.0346754813941184
8603-6102,2.049280448015241,2.014214022097989,2.0331040982319193,2.0350325951295605,2.026622559274773,2.0499013978818006,2.016929308122918
8609-3702,2.341596143063178,2.292304265731867,2.3412661772615153,2.3023959984612574,2.3470130620283802,2.3502737592778047,2.2947382774978666
8609-6103,1.8929033073735526,1.9921256286800806,1.9599887338377162,1.9662077937001587,1.9649535470052437,1.9748421112073742,1.9953238357228387
8610-3703,1.9071868456032375,1.817290991713836,1.8270519211412515,1.8240749243589416,1.8150242357134627,1.8200071926540395,1.8155519739141481
8611-9101,1.934330912560167,1.9703277863214115,1.967622902391487,1.975179710257881,1.9803451250111483,1.977022804506442,1.9644988382829829
8612-6104,1.9883771304636535,2.0510219974892503,2.0200923788697054,2.014274105233638,2.02302305443054,2.020018103874158,2.043732492157854
8614-3703,2.3395931353359245,2.1695711757812344,2.186000590354035,2.257057430932593,2.1582695815152757,2.216930467177222,2.1539974725105484
8616-3704,1.9125466726368925,1.926794844306918,1.9252804588757102,1.9220526005539817,1.9210299068079637,1.924956595282178,1.9259564182885824
