group	richness_stratum	members	metadata_redshift	lr195	d10	log10_richness	log10_mass	log10_r_rms	log10_r50	log10_r90	log10_compactness_c2	log10_acceleration_compactness	log10_pair_virial_velocity	log10_q_pair	log10_q_center	potential_inner_outer_contrast	potential_dispersion	pair_center_interaction	pair_kernel_msun2_per_kpc	r_rms_kpc	epsilon_kpc	total_mass_msun	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	leave_one_out_gapper_fractional_range	log10_sigma_gap	log10_sigma_mad	log10_eta_pair
20482	15_plus	29	1.763571600000e-02	1.835619400000e+01	2.209216570000e+00	1.462397997899e+00	1.131120802313e+01	2.337878067247e+00	2.132105631257e+00	2.594057915746e+00	-7.346751095285e+00	-2.299519547947e+00	1.629244231699e+00	-3.484018471728e-01	2.897764725541e-01	2.880475481663e-01	3.935425509860e-01	-1.009586583051e-01	8.632490952331e+19	2.177098443207e+02	2.000000000000e+01	2.047425100000e+11	4.139773074694e+02	4.757206632742e+02	29	5.782697584371e-02	2.616976535539e+00	2.677352015727e+00	1.975464607680e+00
21300	10_14	10	3.301547900000e-02	8.151004000000e+00	2.732262960000e+00	1.000000000000e+00	1.095110233373e+01	2.548977267252e+00	2.446929418016e+00	2.715592044653e+00	-7.917955984690e+00	-3.081823637355e+00	1.291203328464e+00	-4.532787642383e-01	7.848670466510e-02	-4.430890467908e-02	3.360142491080e-01	-3.557635649973e-02	7.942342950389e+18	3.539788119006e+02	2.000000000000e+01	8.935160000000e+10	2.804101135498e+02	2.567378525764e+02	10	2.562280584825e-01	2.447793673273e+00	2.409489904328e+00	2.313180689619e+00
21689	10_14	11	2.716614900000e-02	1.336856300000e+01	1.853480650000e+00	1.041392685158e+00	1.115851597601e+01	2.220945619471e+00	2.092837534095e+00	2.422616379167e+00	-7.382510694632e+00	-2.218346699517e+00	1.578104338731e+00	-4.149220337621e-01	1.806851115358e-01	2.389518405415e-03	3.588139897892e-01	-7.497023394896e-02	4.799149718535e+19	1.663204377870e+02	2.000000000000e+01	1.440509000000e+11	2.394306730060e+02	1.845797816818e+02	11	3.471222375490e-01	2.379179786271e+00	2.266184127974e+00	1.602150895080e+00
22754	10_14	12	5.294323900000e-02	1.676710700000e+01	3.362580330000e+00	1.079181246048e+00	1.123504944894e+01	2.415582393902e+00	1.980118848063e+00	2.705544639771e+00	-7.500613996134e+00	-2.531086775451e+00	1.586778065097e+00	-2.794712795271e-01	3.125238816413e-01	-1.459150445628e-01	4.508089084537e-01	-8.734144908508e-02	5.957241749200e+19	2.603648746083e+02	2.000000000000e+01	1.718104000000e+11	3.577663551151e+02	3.179613018275e+02	12	1.946313599249e-01	2.553599496447e+00	2.502374266445e+00	1.933642862700e+00
25395	10_14	11	3.880434400000e-02	1.844968100000e+01	1.090316890000e+00	1.041392685158e+00	1.127194169175e+01	2.378963589941e+00	2.122092273482e+00	2.466296022662e+00	-7.427102949356e+00	-2.420956924711e+00	1.667869675810e+00	-1.907991048799e-01	2.913842126800e-01	4.879752064366e-01	5.018228906204e-01	-5.559584695548e-02	9.421513802148e+19	2.393115115782e+02	2.000000000000e+01	1.870431000000e+11	4.310354657628e+02	3.876224649695e+02	11	1.603074279470e-01	2.634513005547e+00	2.588408938992e+00	1.933286659474e+00
27941	15_plus	24	3.156003100000e-02	2.249525600000e+01	2.960828370000e+00	1.380211241712e+00	1.138970445296e+01	2.535272297730e+00	2.338797844692e+00	2.767092511055e+00	-7.465648895942e+00	-2.615811579085e+00	1.616317171490e+00	-2.553581669332e-01	4.371424748441e-01	6.188547996223e-01	4.788348970683e-01	-1.116279010648e-01	9.744923659271e+19	3.429827654606e+02	2.000000000000e+01	2.453039000000e+11	2.951380945455e+02	3.826082716061e+02	24	9.148000533156e-02	2.470025269084e+00	2.582754354803e+00	1.707416195186e+00
30044	10_14	13	3.296901100000e-02	1.201962800000e+01	1.702822690000e+00	1.113943352307e+00	1.110613852030e+01	2.328042426856e+00	2.003757489334e+00	2.598762235036e+00	-7.541984957725e+00	-2.484917769995e+00	1.490427605980e+00	-4.308012361709e-01	5.984410550675e-01	6.253045173403e-02	2.858093451528e-01	-2.578091462985e-01	2.840752369316e+19	2.128346957120e+02	2.000000000000e+01	1.276846000000e+11	2.846884425343e+02	2.612762277437e+02	13	2.137392947990e-01	2.454369836499e+00	2.417099897177e+00	1.927884461038e+00
30693	15_plus	18	4.192804000000e-02	2.441922200000e+01	2.693857930000e+00	1.255272505103e+00	1.140581814078e+01	2.698862697935e+00	2.690229446226e+00	2.836603957080e+00	-7.613125608327e+00	-2.926878691676e+00	1.618740723723e+00	-1.030343500821e-01	2.463538338823e-02	3.179461175989e-01	8.049844420162e-01	-2.538290716429e-03	1.022678753754e+20	4.998764742011e+02	2.499382371005e+01	2.545764000000e+11	2.989147563491e+02	2.819729491886e+02	18	1.398302991073e-01	2.475547355129e+00	2.450207446682e+00	1.713613262811e+00
30731	10_14	14	3.264166300000e-02	1.283291400000e+01	1.450885250000e+00	1.146128035678e+00	1.116376914076e+01	2.533505520650e+00	2.440968087840e+00	2.708058423530e+00	-7.689817431060e+00	-2.838213337124e+00	1.393914910799e+00	-4.759941531974e-01	1.317261568465e-01	-3.691617010910e-02	2.222790032390e-01	-6.270088048209e-02	2.079881575031e+19	3.415902928743e+02	2.000000000000e+01	1.458039000000e+11	2.838764211811e+02	2.243194669730e+02	14	2.388460431852e-01	2.453129321458e+00	2.350866964319e+00	2.118428821318e+00
31680	10_14	11	3.758530100000e-02	1.540263400000e+01	2.453127170000e+00	1.041392685158e+00	1.121091696810e+01	2.506470222256e+00	2.151577831429e+00	2.802247566422e+00	-7.615634305329e+00	-2.736994912999e+00	1.704995267722e+00	7.198343491640e-02	2.743681407169e-01	2.664567081740e+00	1.602516251960e+00	1.974996120043e-02	9.712860445918e+19	3.209742718124e+02	2.000000000000e+01	1.625238000000e+11	3.841809499084e+02	4.878889378199e+02	11	2.824527027520e-01	2.584535826026e+00	2.688320971221e+00	1.759081116609e+00
33422	10_14	10	2.607682000000e-02	1.168642700000e+01	2.342966250000e+00	1.000000000000e+00	1.110612797612e+01	2.006654920433e+00	1.660946001519e+00	2.228952064066e+00	-7.220607995480e+00	-1.842153301327e+00	1.797464162442e+00	-1.381050854921e-01	2.623239430921e-01	-1.043071984517e-01	6.096207388078e-01	-3.622827058735e-02	1.168142826421e+20	1.015441527716e+02	2.000000000000e+01	1.276815000000e+11	3.646193022041e+02	3.087887384177e+02	10	2.834572073449e-01	2.561839655594e+00	2.489661453153e+00	1.528750986304e+00
40840	15_plus	18	3.436626400000e-02	2.205842700000e+01	4.388914880000e+00	1.255272505103e+00	1.137556723561e+01	2.658936766332e+00	2.669238484303e+00	2.802285438572e+00	-7.603450581893e+00	-2.877277733639e+00	1.612577558747e+00	-1.250357064700e-01	6.999595922959e-02	-5.395878604493e-02	8.338077284431e-01	-8.751994212313e-03	9.271756094152e+19	4.559705213995e+02	2.279852606997e+01	2.374473000000e+11	3.679538567024e+02	3.932113928253e+02	18	1.115187053272e-01	2.565793359337e+00	2.594626092501e+00	1.906431601180e+00
41002	10_14	13	3.502036400000e-02	1.109791000000e+01	3.530544580000e+00	1.113943352307e+00	1.110524918905e+01	2.105196165981e+00	1.876542620776e+00	2.227009958953e+00	-7.320028028100e+00	-2.040114579496e+00	1.651666348040e+00	-3.302806816747e-01	3.071633498930e-01	1.300207037501e-01	2.439660737521e-01	-1.014501205881e-01	5.956916746132e+19	1.274078438108e+02	2.000000000000e+01	1.274234000000e+11	2.861303005210e+02	3.288403321303e+02	13	1.320215624319e-01	2.456563850997e+00	2.516985078173e+00	1.609795005914e+00
41074	10_14	11	7.678290000000e-03	5.419140000000e+00	9.001785900000e-01	1.041392685158e+00	1.076323071917e+01	1.919945629469e+00	1.532367187740e+00	2.031549247454e+00	-7.476795961470e+00	-2.011631976353e+00	1.281638314732e+00	-9.135688149227e-01	2.307424411765e-01	-2.976745570732e-01	1.466234371423e-01	-2.107990985380e-01	4.931136152930e+18	8.316596468068e+01	2.000000000000e+01	5.797366000000e+10	1.769136691935e+02	1.601471236223e+02	11	3.667043951906e-01	2.247761389868e+00	2.204519142774e+00	1.932246150273e+00
41133	10_14	11	1.822182500000e-02	8.104278000000e+00	1.682934080000e+00	1.041392685158e+00	1.094730900362e+01	2.124751456290e+00	1.646278556121e+00	2.459574477554e+00	-7.497523503834e+00	-2.237165345538e+00	1.540556300846e+00	-3.750053003306e-01	3.623891493338e-01	3.340913141489e-01	3.610805056713e-01	-1.358978517825e-01	2.482339915086e+19	1.332758485463e+02	2.000000000000e+01	8.857456000000e+10	2.779323307809e+02	1.392868275567e+02	11	2.687845116909e-01	2.443939069494e+00	2.143910046862e+00	1.806765537298e+00
43200	10_14	11	2.879330700000e-02	9.882957000000e+00	1.205460800000e+00	1.041392685158e+00	1.103692976358e+01	2.585342111091e+00	2.512003090815e+00	2.812079396490e+00	-7.868493398675e+00	-3.068725895180e+00	1.312132091092e+00	-4.608838249959e-01	2.578716608440e-01	1.853897868323e-01	2.582536772563e-01	-1.188488774078e-01	1.065696626685e+19	3.848948596943e+02	2.000000000000e+01	1.088754000000e+11	3.361707284244e+02	1.202307980673e+02	11	4.225547597626e-01	2.526559895191e+00	2.080015729875e+00	2.428855608198e+00
47806	10_14	10	8.466814000000e-03	1.928556000000e+00	1.429389410000e+00	1.000000000000e+00	1.035424985008e+01	2.464479198506e+00	2.484067557178e+00	2.491510767323e+00	-8.430310399597e+00	-3.509679983517e+00	1.040859756776e+00	-4.416114927069e-01	3.981024503609e-02	-3.460892498584e-02	9.250429570532e-01	-1.758066173542e-02	6.344669569301e+17	2.913930562287e+02	2.000000000000e+01	2.260736000000e+10	2.652608098018e+02	3.052239041548e+02	10	1.596316596789e-01	2.423673091128e+00	2.484618543162e+00	2.765626668704e+00
54290	10_14	12	2.146615300000e-02	6.000190000000e+00	3.705710060000e+00	1.079181246048e+00	1.086646586537e+01	2.449827209159e+00	2.386567086018e+00	2.498951853071e+00	-7.903442394959e+00	-2.968159989532e+00	1.293373248003e+00	-4.634525148920e-01	3.356285674250e-02	-1.713253225901e-01	5.217397318297e-01	-1.555479036427e-02	6.601642568196e+18	2.817261816649e+02	2.000000000000e+01	7.353022000000e+10	2.149128569629e+02	1.697666306861e+02	12	2.216800144161e-01	2.332262397534e+00	2.229852329412e+00	2.077778299063e+00
