Name (Abbreviation)	RA	DEC	r_h			d	M_V	v_ los	_ los	Ref	r_h_value	r_h_err_minus	r_h_err_plus	_value	_err_minus	_err_plus	_value	_err_minus	_err_plus	d_value	d_err_minus	d_err_plus	M_V_value	M_V_err_minus	M_V_err_plus	v_ los_value	v_ los_err_minus	v_ los_err_plus	_ los_value	_ los_err_minus	_ los_err_plus
Cetus II(Cet II)	19.4700	-17.4200	1.90 +/- 0.75	0.0 +/- 0.0	0.0 +/- 0.0	30.0 +/- 3.0	0.0 +/- 0.68			t	1.90	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	30.0	3.0	3.0	0.0	0.68	0.68						
Cetus III(Cet III)	31.3310	-4.2700	1.23 +/- 0.30	0.76 +/- 0.07	101.0 +/- 5.5	251.0 +/- 17.5	-2.45 +/- 0.565			u	1.23	0.30	0.30	0.76	0.07	0.07	101.0	5.5	5.5	251.0	17.5	17.5	-2.45	0.565	0.565						
Columba I(Col I)	82.8570	-28.0425	2.20 +/- 0.20	0.3 +/- 0.1	24.0 +/- 9.0	183.0 +/- 10.0	-4.2 +/- 0.2	153.7+/-4.9		v,w	2.20	0.20	0.20	0.3	0.1	0.1	24.0	9.0	9.0	183.0	10.0	10.0	-4.2	0.2	0.2	153.7	4.9	4.9			
Coma Berenices(CB)	186.7454	23.9069	5.64 +/- 0.30	0.37 +/- 0.05	-57.0 +/- 4.0	42.0 +/- 1.5	-4.38 +/- 0.25	98.1+/-0.9	4.6+/-0.8	e,x,m	5.64	0.30	0.30	0.37	0.05	0.05	-57.0	4.0	4.0	42.0	1.5	1.5	-4.38	0.25	0.25	98.1	0.9	0.9	4.6	0.8	0.8
Crater II(Cra II)	177.3100	-18.4130	31.20 +/- 2.50	0.0 +/- 0.0	0.0 +/- 0.0	117.5 +/- 1.1	-8.2 +/- 0.1	87.5+/-0.4	2.7+/-0.3	y,z	31.20	2.50	2.50	0.0	0.0	0.0	0.0	0.0	0.0	117.5	1.1	1.1	-8.2	0.1	0.1	87.5	0.4	0.4	2.7	0.3	0.3
Draco(Dra)	260.0684	57.9185	9.67 +/- 0.09	0.29 +/- 0.01	87.0 +/- 1.0	75.8 +/- 5.4	-8.71 +/- 0.05	-290.7+/-0.75	9.1+/-1.2	aa,e,ab	9.67	0.09	0.09	0.29	0.01	0.01	87.0	1.0	1.0	75.8	5.4	5.4	-8.71	0.05	0.05	-290.7	0.75	0.75	9.1	1.2	1.2
Draco II(Dra II)	238.1983	64.5653	3.00 +/- 0.60	0.23 +/- 0.15	76.0 +/- 27.0	21.5 +/- 0.4	-0.8 +/- 0.7	-342.5+/-1.15		ac	3.00	0.60	0.60	0.23	0.15	0.15	76.0	27.0	27.0	21.5	0.4	0.4	-0.8	0.7	0.7	-342.5	1.15	1.15			
Eridanus II(Eri II)	56.0925	-43.5329	2.31 +/- 0.12	0.48 +/- 0.04	72.6 +/- 3.3	366.0 +/- 17.0	-7.1 +/- 0.3	75.6+/-1.3	6.9+/-1.05	ad,ae	2.31	0.12	0.12	0.48	0.04	0.04	72.6	3.3	3.3	366.0	17.0	17.0	-7.1	0.3	0.3	75.6	1.3	1.3	6.9	1.05	1.05
Fornax(For)	39.9583	-34.4997	19.90 +/- 0.06	0.29 +/- 0.02	42.7 +/- 0.3	147.2 +/- 8.4	-13.46 +/- 0.14	55.2+/-0.1	12.1+/-0.2	e,af,p,ag	19.90	0.06	0.06	0.29	0.02	0.02	42.7	0.3	0.3	147.2	8.4	8.4	-13.46	0.14	0.14	55.2	0.1	0.1	12.1	0.2	0.2
Grus I(Gru I)	344.1660	-50.1680	4.16 +/- 0.64	0.44 +/- 0.09	153.0 +/- 7.5	127.0 +/- 6.0	-4.3 +/- 0.3	-140.5+/-2.0		ah,ai,aj	4.16	0.64	0.64	0.44	0.09	0.09	153.0	7.5	7.5	127.0	6.0	6.0	-4.3	0.3	0.3	-140.5	2.0	2.0			
Grus II(Gru II)	331.0250	-46.4420	5.90 +/- 0.50	0.0 +/- 0.0	0.0 +/- 0.0	55.0 +/- 2.0	-3.5 +/- 0.3	-110.0+/-0.5		ai,ak	5.90	0.50	0.50	0.0	0.0	0.0	0.0	0.0	0.0	55.0	2.0	2.0	-3.5	0.3	0.3	-110.0	0.5	0.5			
Hercules(Her)	247.7722	12.7852	5.63 +/- 0.46	0.69 +/- 0.03	-73.0 +/- 2.0	130.6 +/- 6.1	-5.83 +/- 0.17	45.0+/-1.1	5.1+/-0.9	e,al,m	5.63	0.46	0.46	0.69	0.03	0.03	-73.0	2.0	2.0	130.6	6.1	6.1	-5.83	0.17	0.17	45.0	1.1	1.1	5.1	0.9	0.9
Horologium I(Hor I)	43.8813	-54.1160	1.46 +/- 0.07	0.16 +/- 0.06	69.0 +/- 11.0	79.0 +/- 4.0	-3.4 +/- 0.1	112.8+/-2.55	4.9+/-1.85	am,an,j	1.46	0.07	0.07	0.16	0.06	0.06	69.0	11.0	11.0	79.0	4.0	4.0	-3.4	0.1	0.1	112.8	2.55	2.55	4.9	1.85	1.85
Horologium II(Hor II)	49.1077	-50.0486	2.09 +/- 0.42	0.52 +/- 15.0	127.0 +/- 11.0	78.0 +/- 8.0	-2.6 +/- 0.25			ao	2.09	0.42	0.42	0.52	15.0	15.0	127.0	11.0	11.0	78.0	8.0	8.0	-2.6	0.25	0.25						
Hydra II(Hyd II)	185.4251	-31.9860	1.70 +/- 0.25	0.01 +/- 0.1	28.0 +/- 37.5	151.0 +/- 8.0	-5.1 +/- 0.3	303.1+/-1.4		ap,aq,ar	1.70	0.25	0.25	0.01	0.1	0.1	28.0	37.5	37.5	151.0	8.0	8.0	-5.1	0.3	0.3	303.1	1.4	1.4			
Hydrus I(Hyi I)	37.3890	-79.3089	7.42 +/- 0.58	0.21 +/- 0.11	97.0 +/- 14.0	27.6 +/- 0.5	-4.71 +/- 0.08	80.4+/-0.6	2.7+/-0.45	as	7.42	0.58	0.58	0.21	0.11	0.11	97.0	14.0	14.0	27.6	0.5	0.5	-4.71	0.08	0.08	80.4	0.6	0.6	2.7	0.45	0.45
Leo I(Leo I)	152.1146	12.3059	3.65 +/- 0.03	0.3 +/- 0.1	78.0 +/- 1.0	258.2 +/- 9.5	-11.78 +/- 0.28	282.9+/-0.5	9.2+/-0.4	at,e,au	3.65	0.03	0.03	0.3	0.1	0.1	78.0	1.0	1.0	258.2	9.5	9.5	-11.78	0.28	0.28	282.9	0.5	0.5	9.2	0.4	0.4
Leo II(Leo II)	168.3627	22.1529	2.52 +/- 0.03	0.07 +/- 0.01	38.0 +/- 8.0	233.0 +/- 15.0	-9.74 +/- 0.04	78.5+/-0.6	7.4+/-0.4	av,e,aw	2.52	0.03	0.03	0.07	0.01	0.01	38.0	8.0	8.0	233.0	15.0	15.0	-9.74	0.04	0.04	78.5	0.6	0.6	7.4	0.4	0.4
Leo IV(Leo IV)	173.2405	-0.5453	2.54 +/- 0.27	0.17 +/- 0.09	-28.0 +/- 38.0	151.4 +/- 4.4	-4.99 +/- 0.26	132.3+/-1.4	3.3+/-1.7	ax,e,m	2.54	0.27	0.27	0.17	0.09	0.09	-28.0	38.0	38.0	151.4	4.4	4.4	-4.99	0.26	0.26	132.3	1.4	1.4	3.3	1.7	1.7
Leo V(Leo V)	172.7857	2.2194	1.00 +/- 0.32	0.43 +/- 0.22	-71.0 +/- 26.0	169.0 +/- 4.4	-4.4 +/- 0.36	173.0+/-0.9	3.2+/-1.55	ay,ax,e	1.00	0.32	0.32	0.43	0.22	0.22	-71.0	26.0	26.0	169.0	4.4	4.4	-4.4	0.36	0.36	173.0	0.9	0.9	3.2	1.55	1.55
Pegasus III(Peg III)	336.1074	5.4150	1.67 +/- 0.23	0.37 +/- 0.085	83.0 +/- 7.5	215.0 +/- 12.0	-4.17 +/- 0.205	-222.9+/-2.6	5.4+/-2.75	az,ba	1.67	0.23	0.23	0.37	0.085	0.085	83.0	7.5	7.5	215.0	12.0	12.0	-4.17	0.205	0.205	-222.9	2.6	2.6	5.4	2.75	2.75
Phoenix II(Phx II)	354.9960	-54.4115	1.50 +/- 0.30	0.4 +/- 0.1	156.0 +/- 13.0	84.1 +/- 8.0	-2.7 +/- 0.4	32.4+/-3.75		w,bb	1.50	0.30	0.30	0.4	0.1	0.1	156.0	13.0	13.0	84.1	8.0	8.0	-2.7	0.4	0.4	32.4	3.75	3.75			
Pictor I(Pic I)	70.9475	-50.2831	0.90 +/- 0.09	0.46 +/- 0.08	58.0 +/- 6.0	125.9 +/- 5.0	-3.1 +/- 0.3			am,j	0.90	0.09	0.09	0.46	0.08	0.08	58.0	6.0	6.0	125.9	5.0	5.0	-3.1	0.3	0.3						
Pictor II(Pic II)	101.1800	-59.8970	3.80 +/- 1.25	0.13 +/- 17.5	14.0 +/- 63.0	45.0 +/- 4.5	-3.2 +/- 0.45			bc	3.80	1.25	1.25	0.13	17.5	17.5	14.0	63.0	63.0	45.0	4.5	4.5	-3.2	0.45	0.45						
Pisces II(Psc II)	344.6345	5.9526	1.12 +/- 0.16	0.34 +/- 0.1	78.0 +/- 20.0	183.0 +/- 15.0	-4.22 +/- 0.38	-226.5+/-2.7	5.4+/-3.1	ap,e,bd	1.12	0.16	0.16	0.34	0.1	0.1	78.0	20.0	20.0	183.0	15.0	15.0	-4.22	0.38	0.38	-226.5	2.7	2.7	5.4	3.1	3.1
Reticulum II(Ret II)	53.9203	-54.0513	6.30 +/- 0.40	0.6 +/- 0.1	68.0 +/- 2.0	31.4 +/- 1.4	-3.1 +/- 0.1	64.3+/-1.2	3.6+/-0.85	bb,be	6.30	0.40	0.40	0.6	0.1	0.1	68.0	2.0	2.0	31.4	1.4	1.4	-3.1	0.1	0.1	64.3	1.2	1.2	3.6	0.85	0.85
Reticulum III(Ret III)	56.3600	-60.4500	2.40 +/- 0.85	0.0 +/- 0.0	0.0 +/- 0.0	92.0 +/- 13.0	-3.3 +/- 0.29	274.2+/-7.45		t,w	2.40	0.85	0.85	0.0	0.0	0.0	0.0	0.0	0.0	92.0	13.0	13.0	-3.3	0.29	0.29	274.2	7.45	7.45			
Sagittarius II(Sgr II)	298.1687	-22.0681	1.60 +/- 0.10	0.0 +/- 0.0	0.0 +/- 0.0	70.2 +/- 5.0	-5.2 +/- 0.1	-177.2+/-0.55	1.7+/-0.5	bf,bb	1.60	0.10	0.10	0.0	0.0	0.0	0.0	0.0	0.0	70.2	5.0	5.0	-5.2	0.1	0.1	-177.2	0.55	0.55	1.7	0.5	0.5
Sculptor(Scl)	15.0183	-33.7186	11.17 +/- 0.05	0.33 +/- 0.01	92.0 +/- 1.0	83.9 +/- 1.5	-10.82 +/- 0.14	111.4+/-0.1	9.2+/-1.1	bg,e,p	11.17	0.05	0.05	0.33	0.01	0.01	92.0	1.0	1.0	83.9	1.5	1.5	-10.82	0.14	0.14	111.4	0.1	0.1	9.2	1.1	1.1
Segue 1(Seg 1)	151.7504	16.0756	3.62 +/- 0.42	0.33 +/- 0.1	77.0 +/- 15.0	23.0 +/- 2.0	-1.3 +/- 0.73	208.5+/-0.9	3.7+/-1.25	bh,e,bi	3.62	0.42	0.42	0.33	0.1	0.1	77.0	15.0	15.0	23.0	2.0	2.0	-1.3	0.73	0.73	208.5	0.9	0.9	3.7	1.25	1.25
Segue 2(Seg 2)	34.8226	20.1624	3.76 +/- 0.28	0.22 +/- 0.07	164.0 +/- 14.0	36.6 +/- 2.45	-1.86 +/- 0.88	-40.2+/-0.9		bj,bk,e	3.76	0.28	0.28	0.22	0.07	0.07	164.0	14.0	14.0	36.6	2.45	2.45	-1.86	0.88	0.88	-40.2	0.9	0.9			
Sextans(Sxt)	153.2628	-1.6133	16.50 +/- 0.10	0.3 +/- 0.01	57.0 +/- 1.0	92.5 +/- 2.5	-8.72 +/- 0.06	224.3+/-0.1	7.9+/-1.3	e,bl,p	16.50	0.10	0.10	0.3	0.01	0.01	57.0	1.0	1.0	92.5	2.5	2.5	-8.72	0.06	0.06	224.3	0.1	0.1	7.9	1.3	1.3
Triangulum II(Tri II)	33.3252	36.1702	2.50 +/- 0.30	0.3 +/- 0.1	73.0 +/- 17.0	28.4 +/- 1.6	-1.6 +/- 0.4	-381.7+/-1.1		v,bm	2.50	0.30	0.30	0.3	0.1	0.1	73.0	17.0	17.0	28.4	1.6	1.6	-1.6	0.4	0.4	-381.7	1.1	1.1			
Tucana II(Tuc II)	342.9796	-58.5689	12.89 +/- 1.85	0.39 +/- 0.15	107.0 +/- 18.0	58.0 +/- 3.0	-3.8 +/- 0.1	-129.1+/-3.5	8.6+/-3.55	am,aj	12.89	1.85	1.85	0.39	0.15	0.15	107.0	18.0	18.0	58.0	3.0	3.0	-3.8	0.1	0.1	-129.1	3.5	3.5	8.6	3.55	3.55
Tucana III(Tuc III)	359.1075	-59.5833	5.10 +/- 1.20	0.2 +/- 0.1	25.0 +/- 38.0	22.9 +/- 0.9	-1.3 +/- 0.2	-102.3+/-0.4		bb,bn	5.10	1.20	1.20	0.2	0.1	0.1	25.0	38.0	38.0	22.9	0.9	0.9	-1.3	0.2	0.2	-102.3	0.4	0.4			
Tucana IV(Tuc IV)	0.7170	-60.8300	9.30 +/- 1.15	0.39 +/- 0.085	27.0 +/- 8.5	47.0 +/- 4.0	-3.0 +/- 0.35	15.9+/-1.75	4.3+/-1.35	ak	9.30	1.15	1.15	0.39	0.085	0.085	27.0	8.5	8.5	47.0	4.0	4.0	-3.0	0.35	0.35	15.9	1.75	1.75	4.3	1.35	1.35
Tucana V(Tuc V)	354.3470	-63.2660	2.10 +/- 0.50	0.51 +/- 0.135	29.0 +/- 11.0	55.0 +/- 5.5	-1.1 +/- 0.55	-36.2+/-2.35		ak	2.10	0.50	0.50	0.51	0.135	0.135	29.0	11.0	11.0	55.0	5.5	5.5	-1.1	0.55	0.55	-36.2	2.35	2.35			
Ursa Major I(UMa I)	158.7706	51.9479	8.31 +/- 0.35	0.59 +/- 0.03	67.0 +/- 2.0	97.3 +/- 5.85	-5.13 +/- 0.38	-55.3+/-1.4	7.0+/-1.0	bo,e,m	8.31	0.35	0.35	0.59	0.03	0.03	67.0	2.0	2.0	97.3	5.85	5.85	-5.13	0.38	0.38	-55.3	1.4	1.4	7.0	1.0	1.0
Ursa Major II(UMa II)	132.8726	63.1335	13.80 +/- 0.50	0.56 +/- 0.03	-76.0 +/- 2.0	34.7 +/- 2.1	-4.25 +/- 0.26	-116.5+/-1.9	6.7+/-1.4	bp,e,m	13.80	0.50	0.50	0.56	0.03	0.03	-76.0	2.0	2.0	34.7	2.1	2.1	-4.25	0.26	0.26	-116.5	1.9	1.9	6.7	1.4	1.4
Ursa Minor(UMi)	227.2420	67.2221	18.30 +/- 0.11	0.55 +/- 0.01	50.0 +/- 1.0	76.2 +/- 4.2	-9.03 +/- 0.05	-247.0+/-0.4	8.6+/-0.3	bq,e,br	18.30	0.11	0.11	0.55	0.01	0.01	50.0	1.0	1.0	76.2	4.2	4.2	-9.03	0.05	0.05	-247.0	0.4	0.4	8.6	0.3	0.3
Virgo I(Vir I)	180.0380	-0.6810	1.76 +/- 0.45	0.59 +/- 0.13	62.0 +/- 10.5	91.0 +/- 6.5	-0.33 +/- 0.81			u	1.76	0.45	0.45	0.59	0.13	0.13	62.0	10.5	10.5	91.0	6.5	6.5	-0.33	0.81	0.81						
Willman 1(Wil 1)	162.3436	51.0501	2.51 +/- 0.22	0.47 +/- 0.06	73.0 +/- 4.0	38.0 +/- 7.0	-2.53 +/- 0.74	-12.8+/-1.0	4.5+/-0.9	e,bs,bt	2.51	0.22	0.22	0.47	0.06	0.06	73.0	4.0	4.0	38.0	7.0	7.0	-2.53	0.74	0.74	-12.8	1.0	1.0	4.5	0.9	0.9
