key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method,table,confirmed_star_cluster
canes_venatici_2,194.2927,34.3226,Canes Venatici II,mw,1,1,1.52,0.24,0.24,9.0,15.0,15.0,0.4,0.13,0.13,,Munoz2018ApJ...860...66M,21.02,0.06,0.06,Greco2008ApJ...675L..73G,15.85,0.32,0.32,Munoz2018ApJ...860...66M,-131.8,1.2,1.2,5.28,0.96,1.25,,Geha2026ApJ...999..140G,-0.124,0.115,0.117,-0.254,0.08,0.082,Pace2022ApJ...940..136P,-2.85,0.08,0.08,0.3,0.05,0.07,,Geha2026arXiv260210202G,0.89,0.65,0.65,5.37,4.0,4.0,Munoz2018ApJ...860...66M,1.51,0.23,0.23,0.59,0.49,0.49,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.4,Putman2021ApJ...913...53P,-2.98,0.12,0.12,0.55,0.1,0.12,,Fu2023ApJ...958..167F,-5.17,0.32,0.32,4.3,159.96,4.36,4.48,113.5743762,82.7012046,18.59,156.79,25.61,160.57,830.45,454.92,160.57,,3.38,-2.85,0.08,0.08,spectroscopic,-96.14,-116.17,6.13,0.22,0.19,,70.33,11.12,11.31,54.04,10.34,10.65,27.06,,dwarf_mw,
carina_1,100.4065,-50.9593,Carina,mw,1,1,10.1,0.1,0.1,60.0,1.0,1.0,0.36,0.01,0.01,,Munoz2018ApJ...860...66M,20.118,0.111,0.111,Karczmarek2015AJ....150...90K,10.688,0.05,0.05,Munoz2018ApJ...860...66M,222.9,0.1,0.1,6.6,1.2,1.2,,Walker2009AJ....137.3100W,0.532,0.006,0.007,0.127,0.006,0.006,Pace2022ApJ...940..136P,-1.8,0.02,0.02,0.24,,,,Simon2019ARA&A..57..375S,7.97,1.6,1.6,58.4,0.98,0.98,Munoz2018ApJ...860...66M,11.43,0.12,0.12,0.94,0.01,0.01,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.42,Putman2021ApJ...913...53P,,,,,,,,,-9.43,0.05,0.05,6.01,105.58,5.26,5.54,260.1059875,-22.2194162,-52.86,-30.63,-86.12,107.18,835.05,451.18,107.18,,3.04,-1.8,0.02,0.02,spectroscopic,-6.07,-53.23,7.0,0.18,0.15,,310.03,15.97,16.1,248.12,13.08,13.34,26.11,,dwarf_mw,
carina_2,114.1066,-57.9991,Carina II,lmc,1,1,8.69,0.75,0.75,170.0,9.0,9.0,0.34,0.07,0.07,,Torrealba2018MNRAS.475.5085T,17.864,0.023,0.023,Torrealba2018MNRAS.475.5085T,13.29,0.1,0.1,Torrealba2018MNRAS.475.5085T,477.2,1.2,1.2,3.4,0.8,1.2,,Li2018ApJ...857..145L,1.885,0.019,0.018,0.133,0.019,0.019,Pace2022ApJ...940..136P,-2.44,0.09,0.09,0.22,0.07,0.1,,Li2018ApJ...857..145L,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,Putman2021ApJ...913...53P,,,,,,,,,-4.57,0.1,0.1,4.06,37.39,0.39,0.4,269.981634,-17.1398174,-24.19,-8.06,-27.35,38.27,801.12,413.45,18.65,,2.38,-2.44,0.09,0.09,spectroscopic,240.21,182.88,5.91,0.3,0.23,,94.26,8.09,8.26,76.52,7.72,7.69,28.42,,dwarf_mw,
carina_3,114.6298,-57.8997,Carina III,lmc,1,1,3.75,1.0,1.0,150.0,14.0,14.0,0.55,0.18,0.18,,Torrealba2018MNRAS.475.5085T,17.22,0.1,0.1,Torrealba2018MNRAS.475.5085T,14.82,0.2,0.2,Torrealba2018MNRAS.475.5085T,284.6,3.1,3.4,5.6,2.1,4.3,,Li2018ApJ...857..145L,3.095,0.041,0.04,1.395,0.045,0.045,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,Putman2021ApJ...913...53P,,,,,,,,,-2.4,0.2,0.2,3.19,27.8,1.25,1.31,270.0059987,-16.845838,-18.02,-5.85,-20.34,28.96,794.73,406.85,25.04,,2.0,,,,,47.29,-10.3,5.72,0.72,0.44,,30.02,8.01,8.2,19.51,6.56,7.14,27.62,,dwarf_mw,
carina_4,104.046,-63.319,Carina IV,mw,1,1,1.34,0.38,0.56,117.0,68.0,63.0,0.21,0.21,0.27,,Tan2026ApJ..1000...46T,20.1,0.2,0.1,Tan2026ApJ..1000...46T,17.3,0.6,0.4,Tan2026ApJ..1000...46T,,,,,,,,,0.94,0.53,0.54,0.23,0.4,0.41,Tan2026ApJ..1000...46T,,,,,,,,,,,,,,,,,,,,,,,12.5,,,Tan2026ApJ..1000...46T,-2.07,,,Tan2026ApJ..1000...46T,,,,,,-2.0,0.2,0.2,,,,,Tan2026ApJ..1000...46T,-2.8,0.6,0.4,3.35,104.71,9.21,4.93,273.6161659,-23.5254069,-69.35,-34.23,-70.59,104.56,844.12,459.45,104.56,,,-2.0,0.2,0.2,photometric,,,,,,,40.22,14.05,14.74,33.33,12.34,13.5,28.38,cmd,dwarf_mw,
centaurus_1,189.5908,-40.9043,Centaurus I,mw,1,1,2.6,0.3,0.3,10.0,4.0,4.0,0.36,0.05,0.05,,Casey2025ApJ...984..148C,20.354,0.07,0.07,MartinezVazquez2021AJ....162..253M,15.0,0.19,0.19,Casey2025ApJ...984..148C,44.8,0.8,0.8,4.2,0.5,0.6,,Heiger2024ApJ...961..234H,-0.14,0.05,0.05,-0.19,0.04,0.04,Heiger2024ApJ...961..234H,-2.57,0.08,0.08,0.38,0.05,0.07,,Heiger2024ApJ...961..234H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.35,0.19,0.19,4.37,117.71,3.73,3.86,300.2697883,21.8998551,-104.38,47.17,-27.09,114.13,893.94,505.8,114.13,,,-2.57,0.08,0.08,spectroscopic,-143.07,-223.4,6.06,0.13,0.12,,88.6,10.46,10.8,70.97,8.88,8.88,27.47,,dwarf_mw,
cetus_2,19.47,-17.42,Cetus II,mw,1,0,1.9,0.5,1.0,,,,,,,0.4,DrlicaWagner2015ApJ...813..109D,17.38,0.19,0.19,DrlicaWagner2015ApJ...813..109D,17.38,0.68,0.68,DrlicaWagner2015ApJ...813..109D,,,,,,,,,2.844,0.059,0.061,0.474,0.063,0.064,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,Putman2021ApJ...913...53P,,,,,,,,,0.0,0.68,0.68,2.23,29.92,2.51,2.74,156.4654633,-78.5313393,5.62,-28.93,-5.16,32.4,761.38,373.69,32.4,,2.1,,,,,,,,,,,16.26,6.37,6.78,16.26,6.37,6.78,29.63,,dwarf_mw,
cetus_3,31.331,-4.27,Cetus III,mw,0,0,1.23,0.19,0.42,101.0,6.0,5.0,0.76,0.08,0.06,,Homma2018PASJ...70S..18H,22.0,0.2,0.2,Homma2024PASJ...76..733H,18.55,0.43,0.49,Homma2024PASJ...76..733H,1.3,2.6,2.6,,,,,Geha2026ApJ...999..140G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,Putman2021ApJ...913...53P,,,,,,,,,-3.45,0.43,0.49,3.61,251.19,22.1,24.23,163.8102406,-61.1332557,108.58,-212.7,-77.88,255.06,641.3,294.16,255.06,,3.93,,,,,21.57,70.63,,,,,88.48,22.77,24.48,42.66,12.7,13.64,28.27,,dwarf_mw,
columba_1,82.85696,-28.04253,Columba I,mw,1,1,2.2,0.2,0.2,24.0,9.0,9.0,0.3,0.1,0.1,,Carlin2017AJ....154..267C,21.31,0.11,0.11,Carlin2017AJ....154..267C,17.11,0.2,0.2,Carlin2017AJ....154..267C,148.8,2.3,2.3,5.96,1.81,2.78,,Geha2026ApJ...999..140G,0.169,0.073,0.071,-0.4,0.079,0.079,Pace2022ApJ...940..136P,-2.37,0.34,0.35,0.71,0.24,0.49,,Fritz2019A&A...623A.129F,2.1,0.6,0.6,8.9,2.5,2.5,Carlin2017AJ....154..267C,,,,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,,,,,,,,,-4.2,0.2,0.2,3.91,182.81,9.03,9.5,231.6332922,-28.8854684,-11.9,-70.2,-168.37,187.35,816.3,446.34,187.35,,3.72,-2.37,0.34,0.35,spectroscopic,-30.58,-47.7,6.5,0.43,0.29,,116.48,11.9,12.29,97.34,12.31,12.32,29.31,,dwarf_mw,
coma_berenices_1,186.7454,23.9069,Coma Berenices,mw,1,1,5.64,0.3,0.3,-57.0,4.0,4.0,0.37,0.05,0.05,,Munoz2018ApJ...860...66M,18.13,0.08,0.08,Musella2009ApJ...695L..83M,13.84,0.25,0.25,Munoz2018ApJ...860...66M,93.5,0.6,0.6,3.33,0.46,0.58,,Geha2026ApJ...999..140G,0.423,0.027,0.026,-1.721,0.024,0.024,Pace2022ApJ...940..136P,-2.44,0.07,0.07,0.26,0.06,0.07,,Geha2026arXiv260210202G,4.25,0.73,0.73,26.1,3.9,3.9,Munoz2018ApJ...860...66M,5.63,0.3,0.3,0.93,0.12,0.12,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.14,Spekkens2014ApJ...795L...5S,,,,,,,,,-4.29,0.25,0.25,3.95,42.27,1.53,1.59,241.8639281,83.6122845,-1.18,42.25,0.1,43.46,794.85,407.59,43.46,,1.77,-2.44,0.07,0.07,spectroscopic,76.46,41.57,5.75,0.15,0.13,,69.14,4.35,4.61,54.94,4.19,4.12,27.98,,dwarf_mw,
crater_2,177.31,-18.413,Crater II,mw,1,1,31.2,2.5,2.5,,,,,,,0.1,Torrealba2016MNRAS.459.2370T,20.333,0.068,0.068,Vivas2020MNRAS.492.1061V,12.15,0.1,0.1,Torrealba2016MNRAS.459.2370T,89.3,0.3,0.3,2.34,0.3,0.42,,Ji2021ApJ...921...32J,-0.072,0.02,0.02,-0.112,0.013,0.013,Pace2022ApJ...940..136P,-2.16,0.04,0.04,0.24,0.05,0.05,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,Putman2021ApJ...913...53P,,,,,,,,,-8.18,0.1,0.1,5.51,116.57,3.59,3.71,282.9084214,42.0276406,-71.4,82.96,-40.11,115.5,882.85,495.83,115.5,,3.46,-2.16,0.04,0.04,spectroscopic,-81.18,-156.12,6.73,0.15,0.13,,1054.19,88.77,92.14,1054.19,88.77,92.14,30.5,,dwarf_mw,
draco_1,260.0684,57.9185,Draco,mw,1,1,9.67,0.09,0.09,87.0,1.0,1.0,0.29,0.01,0.01,,Munoz2018ApJ...860...66M,19.557,0.04,0.04,Bhardwaj2024AJ....167..247B,10.69,0.05,0.05,Munoz2018ApJ...860...66M,-292.2,0.3,0.3,9.55,0.25,0.26,,Geha2026ApJ...999..140G,0.044,0.006,0.005,-0.188,0.006,0.006,Pace2022ApJ...940..136P,-2.2,0.01,0.01,0.24,0.01,0.01,,Geha2026arXiv260210202G,6.62,0.15,0.15,48.1,1.3,1.3,Munoz2018ApJ...860...66M,9.93,0.09,0.09,0.96,0.02,0.02,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.098,Spekkens2014ApJ...795L...5S,,,,,,,,,-8.87,0.05,0.05,5.78,81.55,1.49,1.52,86.3710883,34.7126412,42.19,40.42,56.89,81.53,745.83,361.66,81.53,,2.19,-2.2,0.01,0.01,spectroscopic,-85.62,-47.36,7.21,0.03,0.03,,229.24,4.61,4.78,193.22,4.19,4.26,26.13,,dwarf_mw,
draco_2,238.1983333,64.56527778,Draco II,mw,1,1,3.0,0.5,0.7,76.0,32.0,22.0,0.23,0.15,0.15,,Longeard2018MNRAS.480.2609L,16.67,0.05,0.05,Longeard2018MNRAS.480.2609L,15.87,1.0,0.4,Longeard2018MNRAS.480.2609L,-342.4,0.7,0.7,,,,2.6,Cerny2026arXiv260217652C,1.043,0.029,0.029,0.879,0.028,0.028,Warfield2026ApJ...998....3W,-2.94,0.39,0.32,0.57,0.27,0.27,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.72,0.11,0.1,0.4,0.12,0.12,,Fu2023ApJ...958..167F,-0.8,1.0,0.4,2.55,21.58,0.49,0.5,98.2942351,42.8799852,12.27,13.5,11.52,23.85,768.36,380.48,23.85,,,-2.94,0.39,0.32,spectroscopic,-160.38,-127.39,,,,5.02,18.7,3.72,3.81,16.1,3.52,3.61,28.8,,dwarf_mw,
eridanus_2,56.0925,-43.5329,Eridanus II,mw,1,1,2.31,0.12,0.12,72.6,3.3,3.3,0.48,0.04,0.04,,Crnojevic2016ApJ...824L..14C,22.84,0.05,0.05,MartinezVazquez2021MNRAS.508.1064M,15.72,0.3,0.3,Crnojevic2016ApJ...824L..14C,75.6,1.3,1.3,6.9,0.9,1.2,,Li2017ApJ...838....8L,0.125,0.1,0.101,0.013,0.127,0.123,Pace2022ApJ...940..136P,-2.38,0.13,0.13,0.47,0.09,0.12,,Li2017ApJ...838....8L,,,,,,,,1.81,0.17,0.17,0.77,0.19,0.19,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.089,Crnojevic2016ApJ...824L..14C,-2.63,0.06,0.06,0.26,0.09,0.08,,Fu2023ApJ...958..167F,-7.12,0.3,0.3,5.08,369.83,8.42,8.61,249.7801696,-51.6431334,-87.49,-264.89,-242.8,371.65,883.46,554.96,371.65,,3.46,-2.38,0.13,0.13,spectroscopic,-76.28,-86.89,6.9,0.15,0.13,,247.97,13.85,14.26,178.95,12.38,12.0,27.71,,dwarf_mw,
eridanus_4,76.4246,-9.5189,Eridanus IV,mw,1,1,3.24,0.48,0.48,75.0,26.0,26.0,0.26,0.09,0.09,,Casey2025ApJ...984..148C,19.22,0.11,0.11,Cerny2021ApJ...920L..44C,15.67,0.24,0.24,Casey2025ApJ...984..148C,-31.5,1.2,1.3,6.1,0.9,1.2,,Heiger2024ApJ...961..234H,0.25,0.06,0.06,-0.1,0.05,0.05,Cerny2021ApJ...920L..44C,-2.87,0.07,0.08,0.2,0.09,0.09,,Heiger2024ApJ...961..234H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.55,0.24,0.24,3.65,69.82,3.45,3.63,209.4961377,-27.7851445,18.96,-25.88,-62.02,76.25,765.66,380.66,76.25,,,-2.87,0.07,0.08,spectroscopic,-152.04,-145.65,6.28,0.18,0.16,,65.33,9.99,10.5,56.18,9.3,9.46,28.77,,dwarf_mw,
