Dwarf	N	N_mem, F	_ _F	__F	N_mem, G	_ _G	__G	_, sys	N_mem, F_value	N_mem, F_err_minus	N_mem, F_err_plus	_ _F_value	_ _F_err_minus	_ _F_err_plus	__F_value	__F_err_minus	__F_err_plus	N_mem, G_value	N_mem, G_err_minus	N_mem, G_err_plus	_ _G_value	_ _G_err_minus	_ _G_err_plus	__G_value	__G_err_minus	__G_err_plus
Leo IV	11	6.2_-0.1^+0.2	-0.009_-0.152^+0.152	-0.279_-0.112^+0.115	6.2_-0.2^+0.8	-0.021_-0.150^+0.152	-0.279_-0.111^+0.110	0.023	6.2	0.1	0.2	-0.009	0.152	0.152	-0.279	0.112	0.115	6.2	0.2	0.8	-0.021	0.150	0.152	-0.279	0.111	0.110
Leo V	6	6.0_-0.0^+0.0	0.113_-0.215^+0.219	-0.391_-0.153^+0.155	6.0_-0.0^+0.0	0.115_-0.217^+0.213	-0.391_-0.154^+0.151	0.023	6.0	0.0	0.0	0.113	0.215	0.219	-0.391	0.153	0.155	6.0	0.0	0.0	0.115	0.217	0.213	-0.391	0.154	0.151
Peg III	25	3.9_-0.4^+0.3	-0.030_-0.210^+0.210	-0.580_-0.208^+0.213	3.8_-0.4^+0.3	-0.019_-0.218^+0.212	-0.567_-0.217^+0.217	0.023	3.9	0.4	0.3	-0.030	0.210	0.210	-0.580	0.208	0.213	3.8	0.4	0.3	-0.019	0.218	0.212	-0.567	0.217	0.217
Phx II	45	9.5_-0.3^+0.3	0.507_-0.048^+0.047	-1.199_-0.057^+0.058	9.5_-0.3^+0.3	0.507_-0.048^+0.047	-1.198_-0.059^+0.058	0.023	9.5	0.3	0.3	0.507	0.048	0.047	-1.199	0.057	0.058	9.5	0.3	0.3	0.507	0.048	0.047	-1.198	0.059	0.058
Pic I	68	8.3_-0.3^+0.3	0.153_-0.088^+0.086	0.096_-0.114^+0.118	8.2_-0.4^+0.3	0.150_-0.087^+0.087	0.097_-0.117^+0.119	0.023	8.3	0.3	0.3	0.153	0.088	0.086	0.096	0.114	0.118	8.2	0.4	0.3	0.150	0.087	0.087	0.097	0.117	0.119
Pic II	455	6.1_-1.5^+3.5	1.091_-0.423^+0.113	1.179_-0.087^+0.116				0.022	6.1	1.5	3.5	1.091	0.423	0.113	1.179	0.087	0.116									
Psc II		3	0.681_-0.307^+0.309	-0.645_-0.209^+0.215				0.022				0.681	0.307	0.309	-0.645	0.209	0.215									
Ret II	465	50.2_-1.4^+1.4	2.377_-0.024^+0.023	-1.379_-0.025^+0.026	49.4_-1.5^+1.4	2.375_-0.023^+0.023	-1.378_-0.026^+0.027	0.021	50.2	1.4	1.4	2.377	0.024	0.023	-1.379	0.025	0.026	49.4	1.5	1.4	2.375	0.023	0.023	-1.378	0.026	0.027
Ret III	67	5.7_-1.5^+0.8	0.260_-0.144^+0.140	-0.502_-0.226^+0.222	4.9_-2.2^+1.1	0.260_-0.173^+0.163	-0.524_-0.318^+0.330	0.023	5.7	1.5	0.8	0.260	0.144	0.140	-0.502	0.226	0.222	4.9	2.2	1.1	0.260	0.173	0.163	-0.524	0.318	0.330
Sgr II	769	65.2_-1.3^+1.3	-0.769_-0.035^+0.035	-0.903_-0.023^+0.022	63.1_-1.3^+1.3	-0.771_-0.035^+0.036	-0.902_-0.023^+0.023	0.023	65.2	1.3	1.3	-0.769	0.035	0.035	-0.903	0.023	0.022	63.1	1.3	1.3	-0.771	0.035	0.036	-0.902	0.023	0.023
Scl	7362	6184.2_-3.6^+3.5	0.100_-0.002^+0.002	-0.158_-0.002^+0.002	6195.5_-6.5^+6.6	0.101_-0.003^+0.003	-0.156_-0.002^+0.002	0.020	6184.2	3.6	3.5	0.100	0.002	0.002	-0.158	0.002	0.002	6195.5	6.5	6.6	0.101	0.003	0.003	-0.156	0.002	0.002
Seg 1	302	17.9_-1.9^+1.9	-2.102_-0.051^+0.051	-3.375_-0.046^+0.044	16.5_-1.9^+1.9	-2.099_-0.054^+0.053	-3.375_-0.047^+0.047	0.022	17.9	1.9	1.9	-2.102	0.051	0.051	-3.375	0.046	0.044	16.5	1.9	1.9	-2.099	0.054	0.053	-3.375	0.047	0.047
Seg 2	201	16.4_-0.7^+0.7	1.446_-0.059^+0.059	-0.322_-0.050^+0.049	15.9_-0.7^+0.7	1.445_-0.061^+0.059	-0.321_-0.051^+0.050	0.022	16.4	0.7	0.7	1.446	0.059	0.059	-0.322	0.050	0.049	15.9	0.7	0.7	1.445	0.061	0.059	-0.321	0.051	0.050
Sxt	4359	1361.0_-6.5^+6.5	-0.409_-0.008^+0.009	0.037_-0.009^+0.009	1333.0_-8.2^+8.2	-0.409_-0.009^+0.009	0.041_-0.009^+0.009	0.019	1361.0	6.5	6.5	-0.409	0.008	0.009	0.037	0.009	0.009	1333.0	8.2	8.2	-0.409	0.009	0.009	0.041	0.009	0.009
Tri II	799	10.7_-1.3^+1.5	0.575_-0.060^+0.060	0.112_-0.067^+0.069	11.1_-1.3^+1.5	0.571_-0.058^+0.058	0.109_-0.067^+0.065	0.023	10.7	1.3	1.5	0.575	0.060	0.060	0.112	0.067	0.069	11.1	1.3	1.5	0.571	0.058	0.058	0.109	0.067	0.065
Tuc II	277	40.6_-4.6^+4.7	0.911_-0.026^+0.024	-1.280_-0.029^+0.029	42.5_-5.0^+5.0	0.905_-0.026^+0.024	-1.277_-0.030^+0.029	0.020	40.6	4.6	4.7	0.911	0.026	0.024	-1.280	0.029	0.029	42.5	5.0	5.0	0.905	0.026	0.024	-1.277	0.030	0.029
Tuc III	881	46.8_-4.7^+5.1	-0.048_-0.036^+0.035	-1.638_-0.039^+0.039	54.3_-5.7^+5.9	-0.040_-0.034^+0.034	-1.629_-0.038^+0.038	0.022	46.8	4.7	5.1	-0.048	0.036	0.035	-1.638	0.039	0.039	54.3	5.7	5.9	-0.040	0.034	0.034	-1.629	0.038	0.038
Tuc IV	344	11.0_-1.9^+2.2	0.534_-0.053^+0.050	-1.707_-0.055^+0.054	12.1_-2.1^+2.3	0.540_-0.051^+0.049	-1.697_-0.055^+0.053	0.021	11.0	1.9	2.2	0.534	0.053	0.050	-1.707	0.055	0.054	12.1	2.1	2.3	0.540	0.051	0.049	-1.697	0.055	0.053
Tuc V	62	4.6_-4.6^+1.7	-0.161_-0.176^+0.087	-1.157_-0.195^+0.150	5.6_-3.1^+1.2	-0.152_-0.068^+0.057	-1.151_-0.079^+0.074	0.023	4.6	4.6	1.7	-0.161	0.176	0.087	-1.157	0.195	0.150	5.6	3.1	1.2	-0.152	0.068	0.057	-1.151	0.079	0.074
UMa I	122	44.0_-1.0^+0.9	-0.401_-0.036^+0.036	-0.613_-0.042^+0.040	42.9_-1.3^+1.2	-0.398_-0.038^+0.036	-0.614_-0.043^+0.042	0.021	44.0	1.0	0.9	-0.401	0.036	0.036	-0.613	0.042	0.040	42.9	1.3	1.2	-0.398	0.038	0.036	-0.614	0.043	0.042
UMa II	812	47.0_-2.3^+2.3	1.731_-0.021^+0.021	-1.906_-0.025^+0.024	42.6_-2.6^+2.6	1.734_-0.022^+0.022	-1.902_-0.025^+0.025	0.020	47.0	2.3	2.3	1.731	0.021	0.021	-1.906	0.025	0.024	42.6	2.6	2.6	1.734	0.022	0.022	-1.902	0.025	0.025
UMi	5113	1909.1_-6.9^+6.9	-0.120_-0.005^+0.005	0.071_-0.005^+0.005	1890.2_-8.1^+8.0	-0.119_-0.005^+0.005	0.072_-0.005^+0.005	0.019	1909.1	6.9	6.9	-0.120	0.005	0.005	0.071	0.005	0.005	1890.2	8.1	8.0	-0.119	0.005	0.005	0.072	0.005	0.005
Wil 1	76	7.7_-0.6^+0.9	0.255_-0.087^+0.077	-1.110_-0.091^+0.095	7.6_-0.5^+1.1	0.241_-0.085^+0.082	-1.108_-0.096^+0.096	0.023	7.7	0.6	0.9	0.255	0.087	0.077	-1.110	0.091	0.095	7.6	0.5	1.1	0.241	0.085	0.082	-1.108	0.096	0.096
