survey	host_name	host_id	pgc	n_satellites_in_survey	ba_survey	PA_survey_deg	sersic_survey	logR25_hyperleda	ba_hyperleda	PA_hyperleda_deg	ba_ungc	inclination_ungc_deg	W50_ungc_kms	vAmp_ungc_kms	Kmag_ungc	Bmag_ungc	dist_Mpc	has_orientation	has_inplane_rotation
SAGA-DR3	PGC013646	nsa133549	13646	3	0.129	34.530	1.237	0.89	0.129	34							31.915	YES	NO
SAGA-DR3	PGC068743	nsa149781	68743	5	0.684	96.619	3.605	0.18	0.661	92							39.077	YES	NO
SAGA-DR3	UGC00903	nsa129237	4948	5	0.241	52.315	1.330	0.65	0.224	52							38.419	YES	NO
SAGA-DR3	UGC04906	nsa16235	26246	7	0.279	48.411	1.177	0.59	0.257	48							36.101	YES	NO
ELVES	M31	M31	2557					0.45	0.355	35.0	0.33	78	510	249	0.99	4.29	0.78	YES	YES
ELVES	NGC253	NGC253	2789					0.69	0.204	53.0	0.22	85	407	192	3.77	7.92	3.56	YES	YES
ELVES	NGC628	NGC628	5974					0.03	0.933		0.94	20	53	64	6.85	9.79	9.77	PARTIAL(no PA)	YES
ELVES	NGC891	NGC891	9031					0.7	0.200	22.0	0.29	82	456	218	5.94	10.71	9.12	YES	YES
ELVES	NGC1023	NGC1023	10123					0.42	0.380	87.0							10.4	YES	NO
ELVES	NGC1291	NGC1291	12209					0.11	0.776	156.0	0.92	25	40	37	5.66	9.42	9.08	YES	YES
ELVES	NGC1808	NGC1808	16779					0.34	0.457	136.0							9.29	YES	NO
ELVES	NGC2683	NGC2683	24930					0.53	0.295	44.0	0.24	90	428	202	6.33	10.34	9.4	YES	YES
ELVES	NGC2903	NGC2903	27077					0.34	0.457	23.0	0.48	64	366	189	6.04	9.53	9.0	YES	YES
ELVES	M81	M81	28630					0.32	0.479	157.0	0.52	62	423	226	3.83	7.79	3.61	YES	YES
ELVES	NGC3115	NGC3115	29265					0.29	0.513	15.0	0.35	90	238	107	5.88	9.87	10.2	YES	YES
ELVES	NGC3344	NGC3344	31968					0.02	0.955		0.90	27	157	153	7.44	10.45	9.82	PARTIAL(no PA)	YES
ELVES	NGC3379	NGC3379	32256					0.04	0.912		0.89	33			6.27	10.24	10.7	PARTIAL(no PA)	NO
ELVES	NGC3521	NGC3521	33550					0.32	0.479	164.0	0.46	66	441	228	5.78	9.83	11.2	YES	YES
ELVES	NGC3556	NGC3556	34030					0.46	0.347	79.0	0.25	80	308	144	7.04	10.69	9.55	YES	YES
ELVES	NGC3621	NGC3621	34554					0.36	0.437	161.0	0.44	65	271	136	6.60	10.18	6.7	YES	YES
ELVES	NGC3627	NGC3627	34695					0.35	0.447	173.0	0.46	66	369	189	5.88	9.65	10.5	YES	YES
ELVES	NGC4258	NGC4258	39600					0.41	0.389		0.39	71	421	209	5.46	9.10	7.2	PARTIAL(no PA)	YES
ELVES	NGC4517	NGC4517	41618					0.81	0.155	86.0	0.13	90	307	141	7.33	11.09	8.34	YES	YES
ELVES	NGC4565	NGC4565	42038					0.8	0.158	135.0							11.9	YES	NO
ELVES	M104	M104	42407					0.23	0.589	90.0	0.51	66	736	389	4.96	8.98	9.55	YES	YES
ELVES	NGC4631	NGC4631	42637					0.74	0.182	86.0	0.17	86	183	81	6.47	9.75	7.4	YES	YES
ELVES	NGC4736	NGC4736	43495					0.06	0.871	105.0	0.81	38	207	150	5.11	8.70	4.2	YES	YES
ELVES	NGC4826	NGC4826	44182					0.3	0.501	115.0	0.52	63	302	155	5.33	9.30	5.3	YES	YES
ELVES	NGC5055	NGC5055	46153					0.22	0.603	102.0	0.57	58	381	211	5.61	9.32	8.87	YES	YES
ELVES	CENA	CENA	46957					0.16	0.692	33.0	0.78	45	477	318	3.94	7.84	3.66	YES	YES
ELVES	NGC5194	NGC5194	47404					0.12	0.759	163.0	0.62	53	175	96	5.50	8.61	8.58	YES	YES
ELVES	NGC5236	NGC5236	48082					0.03	0.933		0.89	28	261	254	4.62	8.20	4.7	PARTIAL(no PA)	YES
ELVES	NGC5457	NGC5457	50063					0.02	0.955		0.93	22	147	171	5.51	8.31	6.5	PARTIAL(no PA)	YES
ELVES	NGC6744	NGC6744	62836					0.2	0.631	16.0	0.65	51	323	191	5.94	9.14	8.95	YES	YES
ELVES	MW	MW											440			-4.60	0	NO	YES
