TrackFileBase	StreamName	StreamShortName	TrackRef	TrackType	InfoFlags	has_empirical_track	has_D	has_pm	has_vrad	D_caveat	pm_caveat	vrad_caveat	sky_status	D_status	pm_status	vrad_status	usable_3d	usable_6d	data_defects	n_track_points	track_length_deg	pole_ra_deg	pole_dec_deg	pole_l_deg	pole_b_deg	orbit_inc_to_disc_deg	mid_l_deg	mid_b_deg	mid_distance_kpc	b_min_deg	b_max_deg	absb_min_deg	absb_max_deg	dist_min_kpc	dist_max_kpc	z_min_kpc	z_max_kpc	absz_max_kpc	R_gc_min_kpc	R_gc_max_kpc	width_phi2	width_pm_phi1_cosphi2	width_pm_phi2	dist_ptp_kpc	pmra_ptp_masyr	rv_ptp_kms
track.ep.Ravi.shipp2018	Ravi	Rav	shipp2018	ep	0020	0	0	1	0	0	1	0	GREAT_CIRCLE_ASSUMED	ABSENT	SINGLE_MEAN_VALUE	ABSENT	0	0	pm_flag_set_but_column_is_constant	200	16.564	53.19859	11.72369	173.50299	-34.85969	55.1403	339.40031	-54.31369	22.9	-55.1403	-51.9016	51.9016	55.1403	22.9	22.9	-18.8031	-18.0304	18.8031	19.4691	19.9925	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Styx.grillmair2009	Styx	Sty	grillmair2009	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	60.4408	48.89109	66.07143	136.84606	7.17345	82.8266	34.4252	59.66632	45.0	29.9666	82.8263	29.9666	82.8263	45.0	45.0	22.4247	44.658	44.658	40.317	45.0579	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Turbio.shipp2018	Turbio	Tur	shipp2018	ep	0020	0	0	1	0	0	1	0	GREAT_CIRCLE_ASSUMED	ABSENT	SINGLE_MEAN_VALUE	ABSENT	0	0	pm_flag_set_but_column_is_constant	200	15.0001	297.76526	-0.13012	39.73434	-13.29512	76.7049	284.08964	-61.36576	16.6	-67.6783	-54.618	54.618	67.6783	16.6	16.6	-15.3365	-13.5218	15.3365	16.9516	18.257	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Wambelong.shipp2018	Wambelong	Wam	shipp2018	ep	0020	0	0	1	0	0	1	0	GREAT_CIRCLE_ASSUMED	ABSENT	SINGLE_MEAN_VALUE	ABSENT	0	0	pm_flag_set_but_column_is_constant	200	14.1622	328.67319	-27.31286	22.15765	-50.92022	39.0798	245.4527	-30.58592	15.1	-33.4237	-27.3272	27.3272	33.4237	15.1	15.1	-8.2795	-6.9009	8.2795	18.9471	20.0766	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Willka_Yaku.shipp2018	Willka_Yaku	WYak	shipp2018	ep	0020	0	0	1	0	0	1	0	GREAT_CIRCLE_ASSUMED	ABSENT	SINGLE_MEAN_VALUE	ABSENT	0	0	pm_flag_set_but_column_is_constant	200	6.3941	315.98204	4.65881	53.94402	-26.59462	63.4054	284.17053	-51.95474	34.7	-54.0881	-49.7008	49.7008	54.0881	34.7	34.7	-28.0926	-26.4616	28.0926	34.0418	34.8059	0.0	0.0	0.0	0.0	0.0	0.0
track.po.20.0-1.mateu2018	20.0-1	20.0-1	mateu2018	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		3660	36.6198	235.75858	38.82188	62.23831	52.54216	37.4578	10.8361	-25.54668	26.83995	-32.5214	-15.5746	15.5746	32.5214	25.12673	27.65256	-13.5345	-7.4715	13.5345	20.0	20.0	0.0	0.0	0.0	2.525834	0.0	0.0
track.po.Corvus.mateu2018	Corvus	Crv	mateu2018	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		7205	72.9597	198.97012	74.64953	120.74587	42.37481	47.6252	282.23611	46.10789	8.70724	25.4776	47.1923	25.4776	47.1923	4.90407	14.82947	2.1352	9.2814	9.2814	11.0	11.0	0.0	0.0	0.0	9.925402	0.0	0.0
track.po.Ophiuchus.bernard2014	Ophiuchus	Oph	bernard2014	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		240	2.4	184.32	77.25	125.37366	39.71587	50.2841	4.49645	31.70795	9.5	30.9114	32.4957	30.9114	32.4957	9.5	9.5	4.8803	5.1041	5.1041	4.9435	5.1277	0.0	0.0	0.0	0.0	0.0	0.0
track.po.PS1-A.bernard2016	PS1-A	PS1-A	bernard2016	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		490	4.9	300.856	20.732	59.60336	-5.49436	84.5056	160.13475	-62.24324	7.9	-64.6363	-59.8417	59.8417	64.6363	7.9	7.9	-7.1095	-6.8003	7.1095	13.4331	13.7338	0.0	0.0	0.0	0.0	0.0	0.0
track.po.PS1-B.bernard2016	PS1-B	PS1-B	bernard2016	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		990	9.9	65.603	32.567	166.23632	-12.04137	77.9586	248.47721	32.33041	14.5	27.5261	37.1181	27.5261	37.1181	14.5	14.5	6.7333	8.7825	8.7825	18.659	18.702	0.0	0.0	0.0	0.0	0.0	0.0
track.po.PS1-C.bernard2016	PS1-C	PS1-C	bernard2016	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		790	7.9	232.227	33.838	53.9831	55.63036	34.3696	75.06371	-32.54455	17.4	-33.262	-31.6606	31.6606	33.262	17.4	17.4	-9.535	-9.119	9.535	17.0173	18.037	0.0	0.0	0.0	0.0	0.0	0.0
track.po.PS1-D.bernard2016	PS1-D	PS1-D	bernard2016	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		4490	44.9	49.64	2.467	178.95201	-43.83108	46.1689	230.9482	32.67464	22.9	18.4353	42.9744	18.4353	42.9744	22.9	22.9	7.2813	15.6697	15.6697	26.6346	28.9136	0.0	0.0	0.0	0.0	0.0	0.0
track.po.PS1-E.bernard2016	PS1-E	PS1-E	bernard2016	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		2490	24.9	42.526	23.987	154.92761	-31.41089	58.5891	144.17926	58.13622	12.6	54.2152	58.5891	54.2152	58.5891	12.6	12.6	10.2524	10.7895	10.7895	17.0182	18.1917	0.0	0.0	0.0	0.0	0.0	0.0
track.po.Sangarius.grillmair2017	Sangarius	San	grillmair2017	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		5010	50.1	43.20839	-2.61205	178.0	-52.0	38.0	220.30858	30.01865	21.0	17.5353	37.24	17.5353	37.24	21.0	21.0	6.3703	12.771	12.771	25.4719	27.8068	0.0	0.0	0.0	0.0	0.0	0.0
track.po.Scamander.grillmair2017	Scamander	Sca	grillmair2017	po	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		6520	65.2	59.40284	-5.94275	196.0	-41.0	49.0	223.82599	45.49277	21.0	27.8885	49.0	27.8885	49.0	21.0	21.0	9.8529	15.9035	15.9035	23.8015	27.168	0.0	0.0	0.0	0.0	0.0	0.0
track.st.300S.fu2018	300S	300S	fu2018	st	1101	1	1	0	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	ABSENT	MEASURED_TRACK	1	0		1108	11.0841	308.05647	72.50939	106.24447	18.72492	71.2751	225.37999	55.15453	15.92941	50.4414	59.5955	50.4414	59.5955	14.35006	17.96333	12.4089	13.8922	13.8922	18.5812	23.0186	3e-05	0.0	0.0	3.613273	0.0	9.973568
track.st.AAU-ATLAS.ibata2021	AAU-ATLAS	AAU	ibata2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		1809	18.1152	80.54484	44.62608	164.27117	4.57805	85.4219	231.73248	-78.20111	24.64213	-85.5539	-69.4683	69.4683	85.5539	20.39428	25.16099	-24.7385	-19.0689	24.7385	23.2178	27.4986	0.34608	0.30719	0.26574	4.76671	0.554705	110.397916
track.st.AAU-ATLAS.ibata2024	AAU-ATLAS	AAU	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	4068	40.7917	76.34323	47.43969	160.27493	3.84842	86.1516	216.85027	-83.0358	1.0	-86.2567	-63.7398	63.7398	86.2567	1.0	1.0						0.40991	0.22775	0.24799	0.0	1.280428	168.220687
track.st.AAU-ATLAS.li2021	AAU-ATLAS	AAU-A	li2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		2350	23.5617	74.25907	47.93312	159.02325	3.0417	86.9583	212.07851	-83.77758	21.47824	-86.2285	-73.3122	73.3122	86.2285	18.99511	25.55778	-24.4511	-18.7979	24.4511	20.7405	27.9104	0.0	0.00045	0.00155	6.562679	0.803362	94.666729
track.st.AAU-AliqaUma.li2021	AAU-AliqaUma	AAU-AU	li2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		950	9.6772	74.25907	47.93312	159.02325	3.0417	86.9583	206.94172	-83.29905	21.98194	-73.171	-63.9975	63.9975	73.171	25.60982	30.8459	-27.6885	-24.4819	27.6885	28.0509	33.2719	0.0	9e-05	0.00018	5.236081	0.048906	55.680563
track.st.ACS.ramos2021	ACS	ACS	ramos2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	SINGLE_MEAN_VALUE	MEASURED_TRACK	ABSENT	0	0	distance_flag_set_but_column_is_constant	5744	57.6641	212.30164	-4.73314	336.39096	53.01106	36.9889	165.93771	36.60648	11.7	29.9029	36.8629	29.9029	36.8629	11.7	11.7	5.8781	7.0621	7.0621	17.4415	19.0229	0.0	0.05143	0.06036	0.0	1.329046	0.0
track.st.Alpheus.grillmair2013	Alpheus	Alp	grillmair2013	st	1100	1	1	0	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	ABSENT	ABSENT	1	0		2420	24.2161	301.57141	4.28072	45.60047	-14.51803	75.482	290.15136	-58.92705	1.80026	-68.5637	-47.8127	47.8127	68.5637	1.60001	2.00001	-1.841	-1.166	1.841	7.7624	8.3239	6e-05	0.0	0.0	0.399999	0.0	0.0
track.st.Aquarius.williams2011	Aquarius	Aqu	williams2011	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		1208	12.3741	47.76297	70.95363	133.90211	11.11811	78.8819	62.4396	-57.83926	4.08863	-63.2041	-52.2441	52.2441	63.2041	3.34203	4.83523	-3.8061	-2.9637	3.8061	7.9832	8.2618	3.77717	14.3148	32.75115	1.493208	5.969515	10.681242
track.st.C-10.ibata2024	C-10	C-1	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	1441	14.7687	55.68862	5.74302	180.98508	-37.14241	52.8576	234.10157	38.39427	1.0	33.6496	43.2948	33.6496	43.2948	1.0	1.0						0.52724	0.40343	0.37806	0.0	0.588393	191.003716
track.st.C-11.ibata2024	C-11	C-1	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	UNPHYSICAL	0	0	distance_flag_set_but_column_is_1kpc_placeholder;vrad_flag_set_but_values_exceed_1000kms	3009	35.0327	346.21723	24.73349	94.18754	-32.12271	57.8773	169.104	22.23136	1.0	13.3798	36.5334	13.3798	36.5334	1.0	1.0						2.19878	0.69336	0.66326	0.0	1.818617	3185.59129
track.st.C-12.ibata2024	C-12	C-1	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	2742	28.1087	108.93911	59.60464	157.02741	26.16787	63.8321	237.71732	-18.22786	1.0	-29.9911	-7.0064	7.0064	29.9911	1.0	1.0						0.79614	0.60834	0.42888	0.0	1.320834	136.606425
track.st.C-13.ibata2024	C-13	C-1	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	UNPHYSICAL	0	0	distance_flag_set_but_column_is_1kpc_placeholder;vrad_flag_set_but_values_exceed_1000kms	2080	23.2282	129.10002	5.10612	220.68286	25.62767	64.3723	138.73974	-16.11931	1.0	-25.485	-6.3652	6.3652	25.485	1.0	1.0						0.60194	0.58806	0.59123	0.0	1.330724	5879.90951
track.st.C-19.ibata2024	C-19	C-1	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	1816	18.5098	265.93037	-2.07677	23.14325	14.03176	75.9682	103.74143	-33.19949	1.0	-41.405	-24.2532	24.2532	41.405	1.0	1.0						0.63366	0.17214	0.11902	0.0	0.247839	56.839505
track.st.C-19.martin2022	C-19	C-19	martin2022	st	1010	1	0	1	0	0	0	0	EMPIRICAL_TRACK	ABSENT	MEASURED_TRACK	ABSENT	0	0		2855	29.7308	85.91694	2.28616	202.94728	-13.94308	76.0569	101.46421	-38.60343	18.0	-52.4077	-24.3447	24.3447	52.4077	18.0	18.0	-14.2401	-7.3874	14.2401	20.0219	21.5693	0.76144	0.21383	0.33814	0.0	0.228861	0.0
track.st.C-20.ibata2024	C-20	C-2	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	1727	17.2782	95.28927	31.75633	181.28553	8.06478	81.9352	100.56519	-48.69242	1.0	-57.1644	-40.2105	40.2105	57.1644	1.0	1.0						0.04385	0.2323	0.15956	0.0	0.706361	139.119424
track.st.C-22.ibata2024	C-22	C-2	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	1014	10.1487	54.23368	69.58126	136.52835	11.20577	78.7942	334.52574	78.23141	1.0	75.9797	78.7385	75.9797	78.7385	1.0	1.0						0.36009	0.22049	0.31809	0.0	0.635838	153.156592
track.st.C-23.ibata2024	C-23	C-2	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	2047	20.5229	303.89134	18.28279	59.05306	-9.2206	80.7794	117.44441	72.79516	1.0	63.2617	80.0979	63.2617	80.0979	1.0	1.0						0.30997	0.1909	0.21374	0.0	1.210498	56.924382
track.st.C-24.ibata2024	C-24	C-2	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	3698	37.4624	38.53206	18.03144	154.66006	-38.43251	51.5675	161.79112	51.3467	1.0	45.8226	51.4989	45.8226	51.4989	1.0	1.0						0.8084	0.3194	0.54156	0.0	0.392591	39.906053
track.st.C-25.ibata2024	C-25	C-2	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	2558	28.3167	309.86683	48.53377	86.66187	4.24788	85.7521	178.61729	23.11669	1.0	10.4747	35.7073	10.4747	35.7073	1.0	1.0						2.65001	0.56861	0.27085	0.0	1.653208	92.154096
track.st.C-4.ibata2021	C-4	C-4	ibata2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	ABSENT	1	0	vrad_filler_is_unphysical_gt_1000kms	1344	13.5569	5.94323	5.58726	110.35474	-56.6074	33.3926	118.08472	33.13946	3.55396	32.1195	33.5939	32.1195	33.5939	3.21606	3.98177	1.7969	2.1532	2.1532	9.5632	10.6787	0.54829	0.44796	0.32133	0.765705	4.199225	0.0
track.st.C-5.ibata2021	C-5	C-5	ibata2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		611	6.1147	254.76162	46.52459	72.30469	38.26487	51.7351	184.79308	25.87223	4.29986	23.7242	27.9285	23.7242	27.9285	3.35186	5.62418	1.3772	2.6676	2.6676	11.2696	13.3288	0.10613	0.10481	0.30802	2.272322	0.709036	133.88
track.st.C-7.ibata2021	C-7	C-7	ibata2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		2493	24.9332	257.33379	35.86337	59.27766	35.30598	54.694	348.26188	-24.6681	5.72628	-33.772	-14.7085	14.7085	33.772	5.69092	6.12027	-3.2691	-1.5474	3.2691	3.5918	4.6004	0.73473	0.83235	0.75609	0.429348	5.862458	121.5578
track.st.C-7.ibata2024	C-7	C-7	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	3366	33.6883	256.91958	35.88448	59.23079	35.64011	54.3599	348.2159	-24.41085	1.0	-36.7354	-11.6388	11.6388	36.7354	1.0	1.0						0.69604	0.77921	0.63762	0.0	6.73876	521.749767
track.st.C-8.ibata2021	C-8	C-8	ibata2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	ABSENT	1	0	vrad_filler_is_unphysical_gt_1000kms	997	10.2454	258.25837	1.59033	22.63917	22.52043	67.4796	311.29914	-37.63234	3.43885	-42.3689	-32.7231	32.7231	42.3689	3.25902	3.69832	-2.3426	-1.9266	2.3426	6.8837	7.0304	0.29595	0.31649	0.5029	0.439294	1.570573	0.0
track.st.C-9.ibata2024	C-9	C-9	ibata2024	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	PLACEHOLDER_1KPC	MEASURED_TRACK	MEASURED_TRACK	0	0	distance_flag_set_but_column_is_1kpc_placeholder	2432	33.6807	273.38316	53.32348	81.56139	26.95103	63.049	219.11249	51.23262	1.0	47.0543	62.479	47.0543	62.479	1.0	1.0						2.73629	0.36984	0.35445	0.0	1.390167	67.557543
track.st.Cetus-New.yuan2021	Cetus-New	CetNw	yuan2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	ABSENT	1	0		6688	67.7672	114.76275	1.79474	216.80026	11.40599	78.594	248.15163	-76.88152	18.46773	-78.751	-48.3352	48.3352	78.751	16.87146	20.95198	-19.8451	-13.9878	19.8451	17.5634	25.0755	3.16407	0.56942	0.43964	4.080525	1.009765	0.0
track.st.Cetus-Palca.thomas2021	Cetus-Palca	Cetus-Palca	thomas2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	ABSENT	1	0		10346	101.2094	125.18098	15.91291	207.95532	26.74928	63.2507	148.08951	-67.70818	33.39126	-77.2861	-32.9725	32.9725	77.2861	26.48775	35.02165	-33.6488	-14.3638	33.6488	31.0471	37.0689	4.40187	0.11635	0.23097	8.533893	0.379089	0.0
track.st.Cetus-Palca.yuan2021	Cetus-Palca	CetPal	yuan2021	st	1110	1	1	1	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	ABSENT	1	0		12783	152.2019	105.66491	12.44217	203.04713	8.09301	81.907	194.47073	-77.22136	39.10365	-77.7692	-15.7984	15.7984	77.7692	25.03391	55.59677	-38.2506	-6.7696	38.2506	26.0122	54.0777	6.24615	0.27809	0.27479	30.562855	1.472505	0.0
track.st.Cetus.yam2013	Cetus	Cet	yam2013	st	1100	1	1	0	0	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	ABSENT	ABSENT	1	0	vrad_flag_clear_but_column_populated_with_filler	3011	30.1098	291.42949	23.31093	57.47042	3.36199	86.638	143.30953	-51.00312	30.62096	-66.0001	-36.0	36.0	66.0001	27.17673	32.48916	-25.1521	-19.0207	25.1521	30.7163	38.357	0.00151	0.0	0.0	5.312436	0.0	69.057875
track.st.Elqui.shipp2019	Elqui	Elq	shipp2019	st	1011	1	0	1	1	0	0	0	EMPIRICAL_TRACK	ABSENT	MEASURED_TRACK	MEASURED_TRACK	0	0		1094	10.9396	64.04744	38.48742	161.04182	-8.79207	81.2079	293.88569	-77.19521	50.1	-79.8283	-71.9309	71.9309	79.8283	50.1	50.1	-49.3068	-47.6149	49.3068	49.7943	50.3426	0.41279	0.17856	0.17789	0.0	0.14573	85.939594
track.st.Eridanus.myeong2017	Eridanus	Eri	myeong2017	st	1000	1	0	0	0	0	0	0	EMPIRICAL_TRACK	ABSENT	ABSENT	ABSENT	0	0		60	0.6	353.05672	36.82204	105.74548	-23.39205	66.608	218.10604	-41.33216	95.0	-41.5864	-41.0772	41.0772	41.5864	95.0	95.0	-62.8925	-62.2565	62.8925	99.9827	100.0447	0.0	0.0	0.0	0.0	0.0	0.0
track.st.Fimbulthul.ibata2021	Fimbulthul	Fim	ibata2021	st	1111	1	1	1	1	0	0	0	EMPIRICAL_TRACK	MEASURED_TRACK	MEASURED_TRACK	MEASURED_TRACK	1	1		3308	38.8119	144.41962	47.91748	170.5396	47.23325	42.7668	312.66751	36.15539	4.11589	22.8033	37.6611	22.8033	37.6611	3.05393	5.3365	1.7253	2.6327	2.6327	5.8499	7.385	1.6154	1.2983	0.9663	2.282567	16.444676	413.550263
