case,comparison,aperture,profile_L1,centroid_km_s,reference_L1_mjy_beam,passed,original_failure_retained,signed_replay_centroid_delta_km_s,positive_centroid_delta_km_s,positive_delta_below_0p5_diagnostic_only,signed_difference_identity_km_s,signed_difference_triangle_bound_km_s,coarse_cancellation_kappa,fine_cancellation_kappa,coarse_capture,fine_capture,coarse_positive_centroid_km_s,fine_positive_centroid_km_s,coarse_signed_centroid_km_s,fine_signed_centroid_km_s
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,planar,2,0.0011768187497875283,1.1376715356911404,16.51800225168463,False,True,1.1376715356911689,0.007164940277007759,True,-1.1376715356911375,1.282901670932063,4.990576858534421,5.01409565610789,0.8140572754999644,0.8142373931354175,-83.11369364035845,-83.10652870008144,195.89705245367531,197.03472398936648
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,joint,0,0.0023997227351631426,0.9991848139562762,3.651481326923496,False,True,0.9991848139528088,0.0022621234223976217,True,-0.999184813952948,6.963923638969103,7.804446481535091,7.825486388442416,0.8273886411339268,0.8274504948944779,-82.53783742227476,-82.53557529885236,331.7215203283442,332.720705142297
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,joint,2,0.0010479885360945933,1.1069202375653333,16.521847018237022,False,True,1.1069202375646796,0.006517856661588439,True,-1.1069202375647407,1.1656230911297039,4.990576858534421,5.013499644751605,0.8140572754999644,0.8142335141895036,-83.11369364035845,-83.10717578369686,195.89705245367531,197.00397269124
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,fine_vertical_planar,0,0.0027573425325934384,1.0522953575073188,3.651481326923496,False,True,1.0522953575049314,0.002791515421037616,True,-1.052295357505082,7.9909573973207975,7.803374931415016,7.825486388442416,0.827385954471144,0.8274504948944779,-82.5383668142734,-82.53557529885236,331.66840978479206,332.720705142297
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,fine_vertical_planar,2,0.0011826208685597258,1.1375649271236057,16.521847018237022,False,True,1.1375649271232646,0.007174665007525505,True,-1.13756492712335,1.2877442340053062,4.989983514094282,5.013499644751605,0.8140533902697192,0.8142335141895036,-83.11435044870439,-83.10717578369686,195.86640776411673,197.00397269124
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys-30_sig20,planar,13,0.00039159884815408576,0.575089425048759,11.491224305985021,False,True,0.5750894250514875,0.0009558199970456371,True,-0.5750894250515509,3.0195872644678854,12.707104371818943,12.719142952897641,0.8357805122240729,0.8357916763290146,-82.06690847369276,-82.06595265369572,565.5667827162787,566.1418721413302
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys-30_sig20,fine_vertical_planar,13,0.00039852448670475515,0.5598625886268564,11.489105590406815,False,True,0.5598625886266291,0.0009696747084007029,True,-0.5598625886268727,3.0701382375755726,12.7050548719401,12.716768898732308,0.8357790411133831,0.8357898046086807,-82.06745420278537,-82.06648452807697,565.4652631735917,566.0251257622183
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys30_sig20,planar,2,0.0010271690252298604,2.8913397333375315,15.49439121764179,False,True,2.8913397333371336,0.007335592810164826,True,2.8913397333373014,3.5060303607453585,8.300719164377625,8.240808085752153,0.8251152125741121,0.8252888900844865,83.45128425871707,83.4439486659069,441.0093410951108,438.1180013617737
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys30_sig20,joint,2,0.0009188823962797862,2.8134184189604525,15.497913812990681,False,True,2.813418418960623,0.0066876736153886895,True,2.8134184189606812,3.1145978066865534,8.300719164377625,8.242469301778277,0.8251152125741121,0.8252852738008072,83.45128425871707,83.44459658510168,441.0093410951108,438.1959226761502
h0p1_newton_plus_log_p10_boxcar_independent_s1_sys30_sig20,fine_vertical_planar,2,0.0010322960158244284,2.8929203761730378,15.497913812990681,False,True,2.892920376172981,0.007345283513757295,True,2.8929203761729125,3.525825037686142,8.30241408593491,8.242469301778277,0.8251115933137954,0.8252852738008072,83.45194186861544,83.44459658510168,441.08884305232317,438.1959226761502
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,planar,0,0.002716137046931351,0.8428888018738689,3.6195710390113067,False,True,0.8428888018724479,0.0026900669439555713,True,-0.842888801872483,6.455105388817669,7.071489989030536,7.089154936458272,0.8234773786353552,0.8235408034609254,-82.31563029739708,-82.31294023045312,297.5393078694343,298.38219667130676
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,planar,2,0.0011672573846227853,0.9988134764639653,16.35574882132981,False,True,0.9988134764639085,0.007115983361728695,True,-0.9988134764639601,1.1224823065840683,4.6977716208084805,4.718309366659432,0.8101930108812025,0.810372234275044,-82.88731902457143,-82.8802030412097,182.6589785198991,183.65779199636302
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,joint,0,0.002399007420345617,0.8117077529022936,3.618420405420783,False,True,0.8117077529008725,0.0022437386840437057,True,-0.8117077529009838,5.708539008325368,7.071489989030536,7.088538513467817,0.8234773786353552,0.8235389524914698,-82.31563029739708,-82.31338655871303,297.5393078694343,298.3510156223352
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,joint,2,0.0010374143844152992,0.9711263843597351,16.359556106480095,False,True,0.9711263843595077,0.006472495454957539,True,-0.9711263843594918,1.0197885919987542,4.6977716208084805,4.71777710474792,0.8101930108812025,0.8103682569277739,-82.88731902457143,-82.88084652911647,182.6589785198991,183.63010490425862
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,fine_vertical_planar,0,0.002756605178765501,0.8559629243251266,3.618420405420783,False,True,0.855962924324956,0.0027711157292884536,True,-0.8559629243251581,6.549891247476501,7.070602802887116,7.088538513467817,0.8234746241221802,0.8235389524914698,-82.31615767444232,-82.31338655871303,297.4950526980102,298.3510156223352
h0p1_newton_plus_log_p10_boxcar_hanning_full_s-1_sys-30_sig20,fine_vertical_planar,2,0.0011731450843687824,0.9987474579870081,16.359556106480095,False,True,0.9987474579866671,0.007125636165611127,True,-0.9987474579866251,1.126777084720453,4.697241165634521,4.71777710474792,0.8101890245764645,0.8103682569277739,-82.88797216528208,-82.88084652911647,182.63135744627195,183.63010490425862
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,planar,0,0.0027576954629517647,0.5058124062200591,3.4360945671045746,False,True,0.5058124062192064,0.002752556213252433,True,0.5058124062191027,4.2695195083772735,5.7617496602207385,5.751457487192516,0.8340174186710704,0.834078508477488,82.64408982696239,82.64133727074913,318.1218245418215,317.6160121356023
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,planar,2,0.0010208336085716487,3.572652608818771,15.346767738227834,False,True,3.5726526088182027,0.007283357601593821,True,3.572652608818156,4.319550273898705,9.247738572255587,9.173798364173054,0.8212192569597629,0.8213922762042312,83.22853637570027,83.22125301809868,487.54639898732995,483.97374637851175
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,joint,2,0.0009118743326655444,3.4744065785934595,15.350258173879363,False,True,3.4744065785930047,0.006638900919810453,True,3.474406578593029,3.833671653788698,9.247738572255587,9.175884036125879,0.8212192569597629,0.8213885591915793,83.22853637570027,83.22189747478046,487.54639898732995,484.07199240873695
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,fine_vertical_planar,0,0.0027989905468797185,0.513886315475645,3.43499281658429,False,True,0.5138863154766682,0.002834287174678707,True,0.5138863154766409,4.334553752416046,5.762343189902946,5.7518851585092365,0.8340148395859242,0.8340767888912458,82.64461702238987,82.64178273521519,318.1498338019706,317.63594748649393
h0p1_newton_plus_log_p10_boxcar_hanning_full_s1_sys30_sig20,fine_vertical_planar,2,0.0010260072055115702,3.5748380488030875,15.350258173879363,False,True,3.574838048803258,0.007292980680134065,True,3.5748380488031968,4.3444121160915,9.2498706064731,9.175884036125879,0.8212155343254982,0.8213885591915793,83.2291904554606,83.22189747478046,487.6468304575402,484.07199240873695
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,planar,0,0.0027167697237294665,1.0084811465855523,3.64850452095931,False,True,1.0084811465859502,0.0027074431392293263,True,-1.0084811465860535,7.670953755347004,7.703184264853502,7.724371325055781,0.8268944168368239,0.8269580341185744,-82.51000594075089,-82.50729849761166,326.9961002706524,328.00458141723834
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,planar,2,0.0011756097811706021,1.1185915165080473,16.497676764627116,False,True,1.118591516508161,0.007158723435495062,True,-1.1185915165081608,1.2608467144429658,4.9514429350724365,4.974551989626799,0.8135687677995631,0.8137487750008423,-83.08533332753176,-83.07817460409626,194.12567644519456,195.24426796170272
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,joint,0,0.002399633298364648,0.9721286557966664,3.6473446640463365,False,True,0.9721286557985991,0.00225978483679512,True,-0.9721286557985577,6.783185427369893,7.703184264853502,7.723648139865212,0.8268944168368239,0.8269562362770018,-82.51000594075089,-82.50774615591409,326.9961002706524,327.968228926451
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,joint,2,0.0010466527020671957,1.0882590192738064,16.501516840510238,False,True,1.0882590192741475,0.006512089437961777,True,-1.0882590192741368,1.1455720860158096,4.9514429350724365,4.973964697964755,0.8135687677995631,0.813744883489993,-83.08533332753176,-83.0788212380938,194.12567644519456,195.2139354644687
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,fine_vertical_planar,0,0.002757250212902344,1.0239674715591036,3.6473446640463365,False,True,1.02396747156115,0.002788926286257265,True,-1.0239674715611307,7.783479990139761,7.702139212536748,7.723648139865212,0.8268917215445006,0.8269562362770018,-82.51053508220035,-82.50774615591409,326.94426145488984,327.968228926451
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,fine_vertical_planar,2,0.0011814227683893878,1.1184906860706008,16.501516840510238,False,True,1.1184906860711123,0.007168439173554475,True,-1.1184906860711121,1.2656144068831676,4.950858187806495,4.973964697964755,0.8135648696638172,0.813744883489993,-83.08598967726735,-83.0788212380938,194.0954447783976,195.2139354644687
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys-30_sig20,planar,13,0.0003916069656501519,0.5506161717925124,11.478035747337367,False,True,0.5506161717906934,0.0009548380660930889,True,-0.5506161717905343,2.890956395755263,12.432603246689252,12.444124520903683,0.8352869251882155,0.8352981039794733,-82.03951422999799,-82.0385593919319,552.6643133591718,553.2149295309625
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys-30_sig20,fine_vertical_planar,13,0.0003985333260819641,0.5360951092294499,11.475919510770643,False,True,0.5360951092293362,0.000968693275282817,True,-0.5360951092289414,2.939343729926751,12.430634833268016,12.441846576399216,0.8352854422508947,0.8352962214209715,-82.04005968545636,-82.03909099218107,552.5667064612383,553.1028015704676
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys30_sig20,planar,2,0.0010263656371399324,2.966005026510402,15.475894389460846,False,True,2.966005026509947,0.007328962209996348,True,2.9660050265101945,3.595269680494032,8.409562274254451,8.348112437080616,0.8246228899782774,0.8247964871071153,83.4233837615149,83.4160547993049,446.35523759265345,443.3892325661435
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys30_sig20,joint,2,0.000917994872502852,2.885865845299861,15.479412961664284,False,True,2.8858658453004864,0.006681475638103507,True,2.8858658453004895,3.1934881308357403,8.409562274254451,8.349820046798303,0.8246228899782774,0.8247928579786533,83.4233837615149,83.4167022858768,446.35523759265345,443.46937174735297
h0p1_newton_plus_log_p10_boxcar_hanning_decimated_s1_sys30_sig20,fine_vertical_planar,2,0.0010314985075039924,2.9676491007629124,15.479412961664284,False,True,2.9676491007629124,0.0073386444707495,True,2.967649100762888,3.6156161251974077,8.411304919447167,8.349820046798303,0.8246192575366091,0.8247928579786533,83.42404093034754,83.4167022858768,446.4370208481159,443.46937174735297
