model,tau_seconds,heldout_day,delta_log_likelihood,standardized_beta,physical_beta,null_rho,alternative_rho,null_innovation_sigma,alternative_innovation_sigma
memory,7200.0,0,0.16969239485661092,-1.0607811608913714e-15,-3.9371953206922234e-05,0.04266322712417984,0.0420700350602331,4.2743765566051125e-14,4.273276728409978e-14
memory,7200.0,1,0.09776594497088809,-1.1484510928710466e-15,-4.2625910372467426e-05,0.02923828014962904,0.02853054008229865,4.32679775138645e-14,4.3254889912423416e-14
memory,7200.0,2,-0.08083264508059074,-1.3496092638510223e-15,-5.0092096978155745e-05,0.05293043238696082,0.05197233713007821,4.293643038521227e-14,4.291913245600751e-14
memory,7200.0,3,0.035488651410560124,-1.1787274521875872e-15,-4.374964771456458e-05,0.01943644579040626,0.018683726259659014,4.2424154056973946e-14,4.240983203190403e-14
memory,7200.0,4,-0.10948489729889843,-1.315479074971686e-15,-4.882532089931638e-05,0.019953151240895733,0.019009944402730964,4.299195662309679e-14,4.2974156246404814e-14
memory,7200.0,5,0.25157505144306924,-2.9624291231286945e-16,-1.0995351832666146e-05,0.022419648351024533,0.022353999472312265,4.210071625307321e-14,4.2099799189522365e-14
memory,7200.0,6,-0.67122474534699,-1.6495174924867975e-15,-6.122349069021647e-05,0.027656718672844922,0.026244414150740324,4.226216779365252e-14,4.2234000833469815e-14
memory,21600.0,0,-0.02119617150128761,6.309371943418814e-17,1.7616288076066397e-06,0.04266322712417984,0.042664335037345034,4.2743765566051125e-14,4.274372663404736e-14
memory,21600.0,1,-0.1894404826234677,-6.715692402851392e-16,-1.8750768390233035e-05,0.02923828014962904,0.028986336580173182,4.32679775138645e-14,4.326350193353162e-14
memory,21600.0,2,-0.02679615308625216,-4.245408899092253e-16,-1.185353262381612e-05,0.05293043238696082,0.052815910268055766,4.293643038521227e-14,4.293472500449103e-14
memory,21600.0,3,0.024281003832584247,-1.4320207290319276e-16,-3.998320263847932e-06,0.01943644579040626,0.01941985946467017,4.2424154056973946e-14,4.2423942838525525e-14
memory,21600.0,4,-0.15086166448963922,-6.094618855110485e-16,-1.7016679699386277e-05,0.019953151240895733,0.019735834409094273,4.299195662309679e-14,4.298815721605009e-14
memory,21600.0,5,-0.7300975093130546,7.339531935713862e-16,2.0492579940209438e-05,0.022419648351024533,0.02219770418545668,4.210071625307321e-14,4.2095100071118944e-14
memory,21600.0,6,-0.7921247072972619,-1.107285313389266e-15,-3.0916321367627374e-05,0.027656718672844922,0.027027847551843134,4.226216779365252e-14,4.224953581821656e-14
memory,43200.0,0,-0.22564255420365953,6.017144896522425e-16,1.6190566060023913e-05,0.04266322712417984,0.04251696636316672,4.2743765566051125e-14,4.2740223878356576e-14
memory,43200.0,1,-0.12342348000129277,-3.1320409661890384e-16,-8.427504578640285e-06,0.02923828014962904,0.029176273391458372,4.32679775138645e-14,4.326700443611465e-14
memory,43200.0,2,0.004673768622524221,6.193961064566231e-17,1.6666332207993533e-06,0.05293043238696082,0.05293279594399435,4.293643038521227e-14,4.293639407068972e-14
memory,43200.0,3,-0.06927744961649296,3.589178300593413e-16,9.657541803679491e-06,0.01943644579040626,0.01938711259707282,4.2424154056973946e-14,4.2422827033861564e-14
memory,43200.0,4,-0.0575969088695274,-1.901311096192414e-16,-5.1159317970472675e-06,0.019953151240895733,0.019925551628890863,4.299195662309679e-14,4.299158752844592e-14
memory,43200.0,5,-1.1745118830258434,1.1936228248328932e-15,3.211727410350104e-05,0.022419648351024533,0.0217764952233382,4.210071625307321e-14,4.208586295768194e-14
memory,43200.0,6,-0.5744252092827082,-7.21148281120804e-16,-1.940421759048388e-05,0.027656718672844922,0.027390357182776572,4.226216779365252e-14,4.2256816792536316e-14
