plateifu	manga_id	visual_class	axis_bin	axis_ratio	redshift	half_light_major_axis_arcsec	valid_pca_spaxels	valid_pca_luminosity_fraction	unique_kinematic_bins	usable_kinematic_luminosity_fraction	log10_stellar_mass_aperture	log10_circularized_radius_kpc	sersic_index	pymorph_axis_ratio	visual_class_proxy	mass_concentration_0p25	centroid_shift_profile	quadrupole_1p0	m3_1p0	m4_1p0	quadrupole_inner_outer_difference	quadrupole_profile_variance	axis_twist_inner_outer_sin2	m3_inner_outer_difference	m4_inner_outer_difference	outer_multipole_energy	profile_roughness_energy	inner_outer_centroid_alignment	log10_eta_ap	log10_eta_major_axis	log10_eta_uncorrected_sigma	log10_eta_mass_weighted
9044-6102	1-316030	1	0	4.713000059128e-01	7.525459809891e-02	4.739380587944e+00	98	7.623488311541e-01	98	1.000000000000e+00	1.088224575901e+01	6.671618168846e-01	4.023000000045e+00	4.713000059128e-01	0.000000000000e+00	2.728894566086e-01	1.367576540246e-02	5.766750828508e-01	9.361754516054e-03	3.293823426477e-02	1.374241602431e-01	3.528855904750e-03	5.156142308833e-02	-6.274416184434e-03	1.165604320279e-02	5.776908523640e-01	4.246431750992e-03	5.400105492336e-01	-1.221980749279e-01	4.115320246798e-02	-1.135883382372e-01	-1.214855541923e-01
9050-3703	1-318164	1	2	8.485000133514e-01	6.442609837246e-02	6.429772377014e+00	414	8.455602500974e-01	129	1.000000000000e+00	1.077551268276e+01	8.653414002431e-01	7.073999881744e+00	8.485000133514e-01	0.000000000000e+00	3.122752992486e-01	1.462798672246e-02	1.444235080767e-01	1.355419411480e-03	1.131931668538e-03	-8.592022108924e-02	1.648455875952e-02	9.506753910801e-03	-7.264094321013e-03	-8.503530335980e-03	1.444343038072e-01	2.147758712005e-02	9.429809944201e-01	-2.003017055401e-01	-1.646276322838e-01	-1.922600650503e-01	-1.934736963000e-01
9086-3704	1-317857	2	1	7.256000041962e-01	3.864933177829e-02	5.256860733032e+00	251	9.879118466388e-01	108	1.000000000000e+00	1.003677958221e+01	5.352220457983e-01	5.596300125122e+00	7.256000041962e-01	1.000000000000e+00	2.041083879855e-01	2.216386116072e-02	2.707595179428e-01	4.068132642415e-03	1.100405989437e-02	3.072317076819e-02	8.112084765949e-04	1.079852019068e-02	-5.775496633602e-03	1.615739852054e-04	2.710135708668e-01	2.881742076867e-03	9.674183962090e-01	-4.652292249407e-01	-3.955778632225e-01	-3.658565241629e-01	-4.675407812520e-01
9086-6104	1-318370	2	1	6.945000290871e-01	3.139951825142e-02	5.640465736389e+00	241	9.004901113667e-01	232	1.000000000000e+00	1.029908866013e+01	4.698453112759e-01	3.674400091171e+00	6.945000290871e-01	1.000000000000e+00	2.214790032951e-01	1.232540338645e-02	3.396987055782e-01	4.160745423968e-03	1.899864032351e-02	9.984352454765e-02	1.948578183050e-03	6.649227183412e-02	-7.946084842112e-03	2.404609667289e-03	3.402550083513e-01	6.027363839162e-03	9.999365646269e-01	-4.687231860922e-01	-3.895593202236e-01	-3.901082326451e-01	-4.635788036840e-01
9094-12702	1-265226	1	1	6.761999726295e-01	9.080672264099e-02	4.350974655151e+01	2544	7.727029358696e-01	172	1.000000000000e+00	1.150255796817e+01	1.782167424066e+00	4.969500064850e+00	6.761999726295e-01	0.000000000000e+00	6.651681366141e-01	2.617463730522e-03	2.428479439933e-01	3.623901796654e-04	1.126607924029e-04	-1.203356447707e-05	2.529557793962e-04	2.343690854588e-06	-2.536100438190e-03	-1.690232936554e-03	2.428482405142e-01	6.825658526851e-04	0.000000000000e+00	7.258719638813e-01	8.108343894559e-01	7.289507080375e-01	7.163986497321e-01
9196-3701	1-24623	1	0	5.065000057220e-01	8.223486458924e-02	6.553166866302e+00	217	7.100421392368e-01	211	1.000000000000e+00	1.126137947689e+01	8.585301968894e-01	3.538100004196e+00	5.065000057220e-01	0.000000000000e+00	1.658490558542e-01	2.300039049933e-02	5.411162462649e-01	4.776973058382e-04	4.159359361169e-02	1.237070114242e-01	2.194767768736e-03	1.150778928123e-01	-1.337201285653e-02	2.173344780084e-03	5.427126746227e-01	7.049347101025e-03	-5.433037290104e-01	-1.087070507441e-01	3.900322195465e-02	-1.040612807784e-01	-1.080191581447e-01
9493-3701	1-384789	1	1	7.360000014305e-01	7.669290806257e-02	8.039394378662e+00	578	9.548334719645e-01	179	1.000000000000e+00	1.107914992568e+01	1.000948264968e+00	7.493100166321e+00	7.360000014305e-01	0.000000000000e+00	3.891939114438e-01	1.308777133815e-02	2.178323692694e-01	3.980984735242e-03	4.276649621569e-03	1.554103797738e-02	4.900300560548e-04	5.236951705931e-03	-1.763618970686e-03	-1.128579420736e-04	2.179107135342e-01	1.530564645771e-03	9.649832560703e-01	-1.472192368511e-01	-8.065814444193e-02	-1.389918161187e-01	-1.394016606587e-01
9501-3702	1-385080	2	2	7.930999994278e-01	2.823485162006e-02	7.804050922394e+00	536	8.460446953752e-01	431	1.000000000000e+00	1.047324527275e+01	5.951905620111e-01	5.251399993896e+00	7.930999994278e-01	1.000000000000e+00	3.562011040883e-01	7.369013498227e-03	1.871259268732e-01	1.343331284067e-03	3.881669331564e-03	8.037713136559e-02	8.886203578217e-04	8.315087649848e-02	-1.198776351189e-02	-3.135697752634e-03	1.871710031065e-01	1.862714966316e-03	8.856759408160e-01	-2.612395965094e-01	-2.109035712916e-01	-2.440537392020e-01	-2.485014837288e-01
9506-6104	1-386302	1	2	7.669000029564e-01	4.684176881668e-02	3.042094162731e+00	90	1.000000000000e+00	90	1.000000000000e+00	1.006797145875e+01	3.889459400268e-01	4.264999985695e+00	7.669000029564e-01	0.000000000000e+00	1.423380713125e-01	3.474706079509e-02	2.272880156338e-01	4.518632978343e-03	6.210719078437e-03	-4.940649050892e-02	5.796930300707e-04	3.746950960860e-02	-2.304843244326e-02	-5.229503251604e-02	2.274177502444e-01	4.502474540600e-03	9.967026990094e-01	-1.418499986989e-01	-8.421936842086e-02	-3.012246479710e-02	-1.413636327656e-01
9863-6101	1-455924	2	2	7.983000278473e-01	2.307182675049e-02	1.160505771637e+01	1208	9.530446104118e-01	503	1.000000000000e+00	1.038833511167e+01	6.839323775640e-01	5.875899791718e+00	7.983000278473e-01	1.000000000000e+00	4.424653855542e-01	7.412398337747e-03	1.669842787915e-01	1.771501908324e-03	3.610318290066e-03	-7.729919222067e-02	1.636937908122e-03	6.618733648994e-03	-5.716693012017e-03	-6.931882794872e-03	1.670326973400e-01	4.591836561923e-03	9.911596488788e-01	-3.385902091617e-01	-2.896732813721e-01	-2.721539269634e-01	-3.231649329266e-01
