galaxy,model,R_kpc,z_kpc,gR,gz,return_gR,return_gz,relative_error
NGC2976,Burkert-Flat,0.5,0.5,-632.8641199806776,-632.8641199806776,-632.8641199806775,-632.8641199806775,1.7963862088608702e-16
NGC2976,Burkert-Flat,0.5,2,-430.73043758729307,-1722.9217503491723,-430.730437587293,-1722.921750349172,1.3196982126271948e-16
NGC2976,Burkert-Flat,0.5,8,-84.21969942843239,-1347.5151908549183,-84.21969942843236,-1347.5151908549178,3.374710385253275e-16
NGC2976,Burkert-Flat,0.5,32,-4.2120914176286846,-269.5738507282358,-4.2120914176286846,-269.5738507282358,0.0
NGC2976,Burkert-Flat,0.5,-0.5,-632.8641199806776,632.8641199806776,-632.8641199806775,632.8641199806775,1.7963862088608702e-16
NGC2976,Burkert-Flat,0.5,-2,-430.73043758729307,1722.9217503491723,-430.730437587293,1722.921750349172,1.3196982126271948e-16
NGC2976,Burkert-Flat,0.5,-8,-84.21969942843239,1347.5151908549183,-84.21969942843236,1347.5151908549178,3.374710385253275e-16
NGC2976,Burkert-Flat,0.5,-32,-4.2120914176286846,269.5738507282358,-4.2120914176286846,269.5738507282358,0.0
NGC2976,Burkert-Flat,1,0,-1171.5153223635818,-0.0,-1171.51532236358,-0.0,1.5526808474651174e-15
NGC2976,Burkert-Flat,1,0.5,-1134.3016420655824,-567.1508210327912,-1134.3016420655829,-567.1508210327914,4.009051331869374e-16
NGC2976,Burkert-Flat,1,2,-816.9187269843252,-1633.8374539686504,-816.9187269843251,-1633.8374539686502,1.3916541996936914e-16
NGC2976,Burkert-Flat,1,8,-166.6988410051257,-1333.5907280410056,-166.6988410051257,-1333.5907280410056,0.0
NGC2976,Burkert-Flat,1,32,-8.416699942804154,-269.33439816973294,-8.416699942804154,-269.33439816973294,0.0
NGC2976,Burkert-Flat,1,-0.5,-1134.3016420655824,567.1508210327912,-1134.3016420655829,567.1508210327914,4.009051331869374e-16
NGC2976,Burkert-Flat,1,-2,-816.9187269843252,1633.8374539686504,-816.9187269843251,1633.8374539686502,1.3916541996936914e-16
NGC2976,Burkert-Flat,1,-8,-166.6988410051257,1333.5907280410056,-166.6988410051257,1333.5907280410056,0.0
NGC2976,Burkert-Flat,1,-32,-8.416699942804154,269.33439816973294,-8.416699942804154,269.33439816973294,0.0
NGC2976,Burkert-Flat,2,0,-1755.3047546040614,-0.0,-1755.3047546040623,-0.0,5.181406245196893e-16
NGC2976,Burkert-Flat,2,0.5,-1722.9217503491723,-430.73043758729307,-1722.921750349172,-430.730437587293,1.3196982126271948e-16
NGC2976,Burkert-Flat,2,2,-1362.0545396266216,-1362.0545396266216,-1362.0545396266211,-1362.0545396266211,3.3386867974547007e-16
NGC2976,Burkert-Flat,2,8,-320.12698254595944,-1280.5079301838377,-320.12698254595944,-1280.5079301838377,0.0
NGC2976,Burkert-Flat,2,32,-16.77377262711847,-268.3803620338955,-16.77377262711847,-268.3803620338955,0.0
NGC2976,Burkert-Flat,2,-0.5,-1722.9217503491723,430.73043758729307,-1722.921750349172,430.730437587293,1.3196982126271948e-16
NGC2976,Burkert-Flat,2,-2,-1362.0545396266216,1362.0545396266216,-1362.0545396266211,1362.0545396266211,3.3386867974547007e-16
NGC2976,Burkert-Flat,2,-8,-320.12698254595944,1280.5079301838377,-320.12698254595944,1280.5079301838377,0.0
NGC2976,Burkert-Flat,2,-32,-16.77377262711847,268.3803620338955,-16.77377262711847,268.3803620338955,0.0
NGC2976,Burkert-Flat,4,0,-1909.390546407545,-0.0,-1909.3905464075451,-0.0,1.190818064282491e-16
NGC2976,Burkert-Flat,4,0.5,-1891.8765630958426,-236.48457038698032,-1891.8765630958428,-236.48457038698035,1.2018420222467405e-16
NGC2976,Burkert-Flat,4,2,-1663.1766620211888,-831.5883310105944,-1663.1766620211893,-831.5883310105946,2.7342095477327634e-16
NGC2976,Burkert-Flat,4,8,-551.4446925910709,-1102.8893851821417,-551.4446925910711,-1102.8893851821422,4.1232362646355766e-16
NGC2976,Burkert-Flat,4,32,-33.077956521899516,-264.6236521751961,-33.077956521899516,-264.6236521751961,0.0
NGC2976,Burkert-Flat,4,-0.5,-1891.8765630958426,236.48457038698032,-1891.8765630958428,236.48457038698035,1.2018420222467405e-16
NGC2976,Burkert-Flat,4,-2,-1663.1766620211888,831.5883310105944,-1663.1766620211893,831.5883310105946,2.7342095477327634e-16
NGC2976,Burkert-Flat,4,-8,-551.4446925910709,1102.8893851821417,-551.4446925910711,1102.8893851821422,4.1232362646355766e-16
NGC2976,Burkert-Flat,4,-32,-33.077956521899516,264.6236521751961,-33.077956521899516,264.6236521751961,0.0
NGC2976,Burkert-Flat,8,0,-1352.217832314098,-0.0,-1352.2178323140974,-0.0,3.3629740713316803e-16
NGC2976,Burkert-Flat,8,0.5,-1347.5151908549183,-84.21969942843239,-1347.5151908549178,-84.21969942843236,3.374710385253275e-16
NGC2976,Burkert-Flat,8,2,-1280.5079301838377,-320.12698254595944,-1280.5079301838377,-320.12698254595944,0.0
NGC2976,Burkert-Flat,8,8,-698.6805249134618,-698.6805249134618,-698.6805249134619,-698.6805249134619,1.6271648295291645e-16
NGC2976,Burkert-Flat,8,32,-62.62263797865941,-250.49055191463765,-62.6226379786594,-250.4905519146376,2.2692839480899524e-16
NGC2976,Burkert-Flat,8,-0.5,-1347.5151908549183,84.21969942843239,-1347.5151908549178,84.21969942843236,3.374710385253275e-16
NGC2976,Burkert-Flat,8,-2,-1280.5079301838377,320.12698254595944,-1280.5079301838377,320.12698254595944,0.0
NGC2976,Burkert-Flat,8,-8,-698.6805249134618,698.6805249134618,-698.6805249134619,698.6805249134619,1.6271648295291645e-16
NGC2976,Burkert-Flat,8,-32,-62.62263797865941,250.49055191463765,-62.6226379786594,250.4905519146376,2.2692839480899524e-16
NGC2976,Burkert-Flat,16,0,-673.2731112306188,-0.0,-673.2731112306188,-0.0,0.0
NGC2976,Burkert-Flat,16,0.5,-672.5535067308035,-21.01729708533761,-672.5535067308034,-21.017297085337606,1.6903761051553085e-16
NGC2976,Burkert-Flat,16,2,-661.9251227395335,-82.7406403424417,-661.9251227395335,-82.7406403424417,0.0
NGC2976,Burkert-Flat,16,8,-525.8488333167139,-262.92441665835696,-525.8488333167141,-262.9244166583571,4.323936101733005e-16
NGC2976,Burkert-Flat,16,32,-102.67002416543322,-205.34004833086644,-102.67002416543323,-205.34004833086647,1.3841288955288366e-16
NGC2976,Burkert-Flat,16,-0.5,-672.5535067308035,21.01729708533761,-672.5535067308034,21.017297085337606,1.6903761051553085e-16
NGC2976,Burkert-Flat,16,-2,-661.9251227395335,82.7406403424417,-661.9251227395335,82.7406403424417,0.0
NGC2976,Burkert-Flat,16,-8,-525.8488333167139,262.92441665835696,-525.8488333167141,262.9244166583571,4.323936101733005e-16
NGC2976,Burkert-Flat,16,-32,-102.67002416543322,205.34004833086644,-102.67002416543323,205.34004833086647,1.3841288955288366e-16
NGC2976,Burkert-Flat,32,0,-269.65375245734947,-0.0,-269.65375245734947,-0.0,0.0
NGC2976,Burkert-Flat,32,0.5,-269.5738507282358,-4.2120914176286846,-269.5738507282358,-4.2120914176286846,0.0
NGC2976,Burkert-Flat,32,2,-268.3803620338955,-16.77377262711847,-268.3803620338955,-16.77377262711847,0.0
NGC2976,Burkert-Flat,32,8,-250.49055191463765,-62.62263797865941,-250.4905519146376,-62.6226379786594,2.2692839480899524e-16
NGC2976,Burkert-Flat,32,32,-114.58245375702737,-114.58245375702737,-114.58245375702737,-114.58245375702737,0.0
NGC2976,Burkert-Flat,32,-0.5,-269.5738507282358,4.2120914176286846,-269.5738507282358,4.2120914176286846,0.0
NGC2976,Burkert-Flat,32,-2,-268.3803620338955,16.77377262711847,-268.3803620338955,16.77377262711847,0.0
NGC2976,Burkert-Flat,32,-8,-250.49055191463765,62.62263797865941,-250.4905519146376,62.6226379786594,2.2692839480899524e-16
NGC2976,Burkert-Flat,32,-32,-114.58245375702737,114.58245375702737,-114.58245375702737,114.58245375702737,0.0
NGC2976,Burkert-Flat,64,0,-95.02311155590357,-0.0,-95.02311155590355,-0.0,1.495515615360747e-16
NGC2976,Burkert-Flat,64,0.5,-95.0156589475411,-0.7423098355276648,-95.01565894754111,-0.7423098355276649,1.4956329169961269e-16
NGC2976,Burkert-Flat,64,2,-94.90399271693303,-2.9657497724041573,-94.90399271693303,-2.9657497724041573,0.0
NGC2976,Burkert-Flat,64,8,-93.14815235781857,-11.643519044727322,-93.14815235781855,-11.643519044727318,3.0512370574163485e-16
NGC2976,Burkert-Flat,64,32,-71.26370352194931,-35.631851760974655,-71.26370352194925,-35.63185176097463,7.976489580463661e-16
NGC2976,Burkert-Flat,64,-0.5,-95.0156589475411,0.7423098355276648,-95.01565894754111,0.7423098355276649,1.4956329169961269e-16
NGC2976,Burkert-Flat,64,-2,-94.90399271693303,2.9657497724041573,-94.90399271693303,2.9657497724041573,0.0
NGC2976,Burkert-Flat,64,-8,-93.14815235781857,11.643519044727322,-93.14815235781855,11.643519044727318,3.0512370574163485e-16
NGC2976,Burkert-Flat,64,-32,-71.26370352194931,35.631851760974655,-71.26370352194925,35.63185176097463,7.976489580463661e-16
NGC2976,NFW-Flat,0.5,0,-21.15201365944541,-0.0,-21.15201365944544,-0.0,1.5116491329858028e-15
NGC2976,NFW-Flat,0.5,0.5,-14.616250759365785,-14.616250759365785,-14.616250759365709,-14.616250759365709,5.225919105504258e-15
NGC2976,NFW-Flat,0.5,2,-4.348448449758052,-17.393793799032206,-4.348448449758043,-17.39379379903217,2.0425179922497267e-15
NGC2976,NFW-Flat,0.5,8,-0.677401798277739,-10.838428772443825,-0.6774017982777392,-10.838428772443827,1.6389431316064473e-16
NGC2976,NFW-Flat,0.5,32,-0.05344175830611946,-3.4202725315916456,-0.05344175830611947,-3.420272531591646,1.298402994931526e-16
NGC2976,NFW-Flat,0.5,-0.5,-14.616250759365785,14.616250759365785,-14.616250759365709,14.616250759365709,5.225919105504258e-15
NGC2976,NFW-Flat,0.5,-2,-4.348448449758052,17.393793799032206,-4.348448449758043,17.39379379903217,2.0425179922497267e-15
NGC2976,NFW-Flat,0.5,-8,-0.677401798277739,10.838428772443825,-0.6774017982777392,10.838428772443827,1.6389431316064473e-16
NGC2976,NFW-Flat,0.5,-32,-0.05344175830611946,3.4202725315916456,-0.05344175830611947,3.420272531591646,1.298402994931526e-16
NGC2976,NFW-Flat,1,0,-20.020339288882443,-0.0,-20.02033928888248,-0.0,1.7745521829259754e-15
NGC2976,NFW-Flat,1,0.5,-17.681031994180564,-8.840515997090282,-17.681031994180564,-8.840515997090282,0.0
NGC2976,NFW-Flat,1,2,-7.8800663360820575,-15.760132672164115,-7.880066336082065,-15.76013267216413,9.016963886542351e-16
NGC2976,NFW-Flat,1,8,-1.3424783720328852,-10.739826976263082,-1.3424783720328854,-10.739826976263084,1.6539901837583727e-16
NGC2976,NFW-Flat,1,32,-0.10680170984267215,-3.4176547149655088,-0.10680170984267215,-3.4176547149655088,0.0
NGC2976,NFW-Flat,1,-0.5,-17.681031994180564,8.840515997090282,-17.681031994180564,8.840515997090282,0.0
NGC2976,NFW-Flat,1,-2,-7.8800663360820575,15.760132672164115,-7.880066336082065,15.76013267216413,9.016963886542351e-16
NGC2976,NFW-Flat,1,-8,-1.3424783720328852,10.739826976263082,-1.3424783720328854,10.739826976263084,1.6539901837583727e-16
NGC2976,NFW-Flat,1,-32,-0.10680170984267215,3.4176547149655088,-0.10680170984267215,3.4176547149655088,0.0
NGC2976,NFW-Flat,2,0,-18.04018245329004,-0.0,-18.040182453290058,-0.0,9.846667815026955e-16
NGC2976,NFW-Flat,2,0.5,-17.393793799032206,-4.348448449758052,-17.39379379903217,-4.348448449758043,2.0425179922497267e-15
NGC2976,NFW-Flat,2,2,-11.763477049823043,-11.763477049823043,-11.763477049823054,-11.763477049823054,9.060366243126926e-16
NGC2976,NFW-Flat,2,8,-2.5909355734272213,-10.363742293708885,-2.5909355734272217,-10.363742293708887,1.714011009786064e-16
NGC2976,NFW-Flat,2,32,-0.21295130930249165,-3.4072209488398664,-0.21295130930249168,-3.407220948839867,1.3033766125477474e-16
NGC2976,NFW-Flat,2,-0.5,-17.393793799032206,4.348448449758052,-17.39379379903217,4.348448449758043,2.0425179922497267e-15
NGC2976,NFW-Flat,2,-2,-11.763477049823043,11.763477049823043,-11.763477049823054,11.763477049823054,9.060366243126926e-16
NGC2976,NFW-Flat,2,-8,-2.5909355734272213,10.363742293708885,-2.5909355734272217,10.363742293708887,1.714011009786064e-16
NGC2976,NFW-Flat,2,-32,-0.21295130930249165,3.4072209488398664,-0.21295130930249168,3.407220948839867,1.3033766125477474e-16
NGC2976,NFW-Flat,4,0,-14.940223938781358,-0.0,-14.940223938781383,-0.0,1.6645664652354614e-15
NGC2976,NFW-Flat,4,0.5,-14.784092288521482,-1.8480115360651852,-14.784092288521476,-1.8480115360651845,3.604597708266672e-16
NGC2976,NFW-Flat,4,2,-12.823277065435336,-6.411638532717668,-12.823277065435336,-6.411638532717668,0.0
NGC2976,NFW-Flat,4,8,-4.550568936526352,-9.101137873052703,-4.550568936526349,-9.101137873052698,5.855389284871117e-16
NGC2976,NFW-Flat,4,32,-0.42075963401634914,-3.366077072130793,-0.42075963401634914,-3.366077072130793,0.0
NGC2976,NFW-Flat,4,-0.5,-14.784092288521482,1.8480115360651852,-14.784092288521476,1.8480115360651845,3.604597708266672e-16
NGC2976,NFW-Flat,4,-2,-12.823277065435336,6.411638532717668,-12.823277065435336,6.411638532717668,0.0
NGC2976,NFW-Flat,4,-8,-4.550568936526352,9.101137873052703,-4.550568936526349,9.101137873052698,5.855389284871117e-16
NGC2976,NFW-Flat,4,-32,-0.42075963401634914,3.366077072130793,-0.42075963401634914,3.366077072130793,0.0
NGC2976,NFW-Flat,8,0,-10.871725396647303,-0.0,-10.871725396647307,-0.0,3.2678471440201306e-16
NGC2976,NFW-Flat,8,0.5,-10.838428772443825,-0.677401798277739,-10.838428772443827,-0.6774017982777392,1.6389431316064473e-16
NGC2976,NFW-Flat,8,2,-10.363742293708885,-2.5909355734272213,-10.363742293708887,-2.5909355734272217,1.714011009786064e-16
NGC2976,NFW-Flat,8,8,-6.165412373249541,-6.165412373249541,-6.1654123732495405,-6.1654123732495405,1.4405823421540288e-16
NGC2976,NFW-Flat,8,32,-0.8026070657333565,-3.210428262933426,-0.8026070657333564,-3.2104282629334255,1.3832709329698287e-16
NGC2976,NFW-Flat,8,-0.5,-10.838428772443825,0.677401798277739,-10.838428772443827,0.6774017982777392,1.6389431316064473e-16
NGC2976,NFW-Flat,8,-2,-10.363742293708885,2.5909355734272213,-10.363742293708887,2.5909355734272217,1.714011009786064e-16
NGC2976,NFW-Flat,8,-8,-6.165412373249541,6.165412373249541,-6.1654123732495405,6.1654123732495405,1.4405823421540288e-16
NGC2976,NFW-Flat,8,-32,-0.8026070657333565,3.210428262933426,-0.8026070657333564,3.2104282629334255,1.3832709329698287e-16
NGC2976,NFW-Flat,16,0,-6.681709015905644,-0.0,-6.681709015905644,-0.0,0.0
NGC2976,NFW-Flat,16,0.5,-6.6757281122323775,-0.2086165035072618,-6.675728112232376,-0.20861650350726174,2.660918493887303e-16
NGC2976,NFW-Flat,16,2,-6.587266743509931,-0.8234083429387413,-6.587266743509932,-0.8234083429387415,2.6966523575964137e-16
NGC2976,NFW-Flat,16,8,-5.431743858331938,-2.715871929165969,-5.431743858331937,-2.7158719291659685,1.6351625608002814e-16
NGC2976,NFW-Flat,16,32,-1.3516014798340208,-2.7032029596680416,-1.3516014798340206,-2.703202959668041,1.6428259974404499e-16
NGC2976,NFW-Flat,16,-0.5,-6.6757281122323775,0.2086165035072618,-6.675728112232376,0.20861650350726174,2.660918493887303e-16
NGC2976,NFW-Flat,16,-2,-6.587266743509931,0.8234083429387413,-6.587266743509932,0.8234083429387415,2.6966523575964137e-16
NGC2976,NFW-Flat,16,-8,-5.431743858331938,2.715871929165969,-5.431743858331937,2.7158719291659685,1.6351625608002814e-16
NGC2976,NFW-Flat,16,-32,-1.3516014798340208,2.7032029596680416,-1.3516014798340206,2.703202959668041,1.6428259974404499e-16
NGC2976,NFW-Flat,32,0,-3.421145973632979,-0.0,-3.4211459736329783,-0.0,1.298071503737901e-16
NGC2976,NFW-Flat,32,0.5,-3.4202725315916456,-0.05344175830611946,-3.420272531591646,-0.05344175830611947,1.298402994931526e-16
NGC2976,NFW-Flat,32,2,-3.4072209488398664,-0.21295130930249165,-3.407220948839867,-0.21295130930249168,1.3033766125477474e-16
NGC2976,NFW-Flat,32,8,-3.210428262933426,-0.8026070657333565,-3.2104282629334255,-0.8026070657333564,1.3832709329698287e-16
NGC2976,NFW-Flat,32,32,-1.6239306534730782,-1.6239306534730782,-1.6239306534730782,-1.6239306534730782,0.0
NGC2976,NFW-Flat,32,-0.5,-3.4202725315916456,0.05344175830611946,-3.420272531591646,0.05344175830611947,1.298402994931526e-16
NGC2976,NFW-Flat,32,-2,-3.4072209488398664,0.21295130930249165,-3.407220948839867,0.21295130930249168,1.3033766125477474e-16
NGC2976,NFW-Flat,32,-8,-3.210428262933426,0.8026070657333565,-3.2104282629334255,0.8026070657333564,1.3832709329698287e-16
NGC2976,NFW-Flat,32,-32,-1.6239306534730782,1.6239306534730782,-1.6239306534730782,1.6239306534730782,0.0
NGC2976,NFW-Flat,64,0,-1.4853544035300879,-0.0,-1.4853544035300876,-0.0,1.4948931002414032e-16
NGC2976,NFW-Flat,64,0.5,-1.4852498556724258,-0.011603514497440827,-1.485249855672426,-0.011603514497440829,1.494998326894324e-16
NGC2976,NFW-Flat,64,2,-1.4836832401366902,-0.04636510125427157,-1.4836832401366902,-0.04636510125427157,0.0
NGC2976,NFW-Flat,64,8,-1.4590195852484966,-0.18237744815606208,-1.4590195852484966,-0.18237744815606208,0.0
NGC2976,NFW-Flat,64,32,-1.1464269527930584,-0.5732134763965292,-1.1464269527930584,-0.5732134763965292,0.0
NGC2976,NFW-Flat,64,-0.5,-1.4852498556724258,0.011603514497440827,-1.485249855672426,0.011603514497440829,1.494998326894324e-16
NGC2976,NFW-Flat,64,-2,-1.4836832401366902,0.04636510125427157,-1.4836832401366902,0.04636510125427157,0.0
NGC2976,NFW-Flat,64,-8,-1.4590195852484966,0.18237744815606208,-1.4590195852484966,0.18237744815606208,0.0
NGC2976,NFW-Flat,64,-32,-1.1464269527930584,0.5732134763965292,-1.1464269527930584,0.5732134763965292,0.0
