galaxy,model,Ydisk,e_Ydisk,Ybul,e_Ybul,D,e_D,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,log_M200,e_log_M200,alpha,e_alpha,Chi,rho_s_msun_kpc3,nonfinite_published_chi
DDO161,NFW-Flat,0.33,0.08,0.0,0.0,7.74,1.44,71.4,8.7,96.97,14.87,2.1,1.09,63.34,34.25,-3.7,0.77,11.46,0.2,0.0,0.0,1.01,199526.23149688786,False
DDO161,NFW-LCDM,0.47,0.11,0.0,0.0,4.78,0.9,81.1,5.2,61.54,2.97,6.24,1.5,13.5,3.32,-2.67,0.33,10.87,0.06,0.0,0.0,1.99,2137962.0895022326,False
DDO168,Burkert-Flat,0.45,0.11,0.0,0.0,4.16,0.21,55.1,6.0,51.56,5.14,20.67,2.21,3.42,0.5,-1.42,0.23,10.64,0.13,0.0,0.0,6.06,38018939.632056125,False
DDO168,NFW-Flat,0.45,0.1,0.0,0.0,4.12,0.21,48.9,5.5,482.1,92.0,1.15,0.79,573.47,409.12,-4.19,1.03,13.55,0.25,0.0,0.0,14.4,64565.42290346549,False
DDO168,NFW-LCDM,0.56,0.12,0.0,0.0,4.11,0.21,61.2,4.8,53.33,2.87,7.39,0.85,9.88,1.26,-2.5,0.18,10.68,0.07,0.0,0.0,23.93,3162277.6601683795,False
DDO170,Burkert-Flat,0.51,0.13,0.0,0.0,11.23,4.02,64.5,7.3,41.78,4.05,19.11,8.09,2.99,1.3,-1.51,0.58,10.37,0.13,0.0,0.0,2.7,30902954.325135905,False
DDO170,NFW-Flat,0.49,0.13,0.0,0.0,15.7,3.98,65.2,6.9,55.27,4.71,5.52,2.02,13.71,5.16,-2.79,0.51,10.73,0.11,0.0,0.0,4.32,1621810.0973589297,False
DDO170,NFW-LCDM,0.5,0.12,0.0,0.0,12.09,2.56,66.0,6.2,52.59,3.53,7.51,1.68,9.59,2.24,-2.48,0.32,10.67,0.09,0.0,0.0,4.44,3311311.214825911,False
ESO079-G014,Burkert-Flat,0.46,0.1,0.0,0.0,23.62,6.03,78.2,5.0,111.49,6.24,23.97,6.71,6.37,1.82,-1.25,0.38,11.64,0.07,0.0,0.0,1.15,56234132.519034915,False
ESO079-G014,NFW-Flat,0.59,0.12,0.0,0.0,32.78,5.51,79.8,4.6,253.17,80.39,2.99,1.33,116.01,63.49,-3.38,0.84,12.71,0.41,0.0,0.0,4.68,416869.3834703355,False
ESO079-G014,NFW-LCDM,0.57,0.11,0.0,0.0,31.56,4.21,78.7,4.9,198.9,22.56,4.41,0.89,61.74,14.28,-3.01,0.34,12.4,0.15,0.0,0.0,4.9,977237.2209558111,False
ESO116-G012,Burkert-Flat,0.52,0.11,0.0,0.0,14.37,3.24,74.2,3.0,69.89,5.01,22.71,7.48,4.22,1.42,-1.31,0.45,11.04,0.09,0.0,0.0,0.98,48977881.93684462,False
ESO116-G012,NFW-Flat,0.47,0.1,0.0,0.0,12.91,3.18,73.8,3.0,118.82,26.23,7.41,3.06,21.97,10.29,-2.49,0.68,11.73,0.29,0.0,0.0,3.02,3235936.5692962813,False
ESO116-G012,NFW-LCDM,0.39,0.07,0.0,0.0,18.54,2.67,75.0,2.9,99.57,5.81,6.74,1.26,20.24,3.96,-2.59,0.27,11.5,0.08,0.0,0.0,3.82,2570395.7827688647,False
ESO444-G084,Burkert-Flat,0.54,0.14,0.0,0.0,4.85,0.48,32.7,6.5,37.18,6.01,32.54,8.53,1.57,0.48,-0.9,0.46,10.21,0.21,0.0,0.0,3.98,125892541.17941673,False
ESO444-G084,NFW-Flat,0.51,0.13,0.0,0.0,4.93,0.48,34.5,5.9,78.81,54.78,7.15,3.12,15.1,12.39,-2.53,1.41,11.19,0.91,0.0,0.0,1.49,2951209.2266663867,False
ESO444-G084,NFW-LCDM,0.52,0.12,0.0,0.0,4.83,0.46,42.1,3.6,44.52,2.68,9.6,1.57,6.35,1.11,-2.22,0.24,10.45,0.08,0.0,0.0,4.71,6025595.860743575,False
ESO563-G021,Burkert-Flat,0.3,0.07,0.0,0.0,32.21,8.85,82.8,3.0,163.95,11.59,53.74,14.82,4.18,1.19,-0.32,0.38,12.15,0.09,0.0,0.0,8.41,478630092.32263833,False
ESO563-G021,NFW-Flat,0.78,0.09,0.0,0.0,71.13,7.62,83.7,2.8,497.1,39.32,1.76,0.45,387.93,105.09,-3.85,0.39,13.59,0.1,0.0,0.0,19.15,141253.75446227542,False
ESO563-G021,NFW-LCDM,0.96,0.12,0.0,0.0,56.54,6.34,83.3,2.9,451.09,42.53,2.68,0.52,230.66,49.94,-3.48,0.32,13.47,0.12,0.0,0.0,19.23,331131.1214825911,False
F561-1,Burkert-Flat,0.49,0.13,0.0,0.0,67.22,9.96,20.2,7.0,30.68,33.61,19.43,296.87,2.16,33.12,-1.49,20.2,9.96,1.43,0.0,0.0,0.68,32359365.692962825,False
F561-1,NFW-Flat,0.51,0.13,0.0,0.0,66.27,10.01,21.1,6.7,33.24,47.21,9.15,296.89,4.98,161.55,-2.27,43.11,10.07,1.85,0.0,0.0,1.33,5370317.963702527,False
F561-1,NFW-LCDM,0.49,0.13,0.0,0.0,66.39,10.14,13.6,1.8,75.54,6.19,8.78,2.26,11.79,3.18,-2.32,0.37,11.14,0.11,0.0,0.0,1.21,4786300.923226385,False
F563-1,Burkert-Flat,0.49,0.12,0.0,0.0,47.61,9.96,24.6,5.2,71.53,17.68,24.47,8.46,4.0,1.7,-1.23,0.64,11.07,0.32,0.0,0.0,0.7,58884365.535558894,False
F563-1,NFW-Flat,0.5,0.13,0.0,0.0,48.44,9.92,24.3,5.4,100.06,30.62,7.9,3.43,17.35,9.21,-2.43,0.81,11.5,0.4,0.0,0.0,1.34,3715352.290971724,False
F563-1,NFW-LCDM,0.54,0.13,0.0,0.0,51.03,8.56,31.5,2.8,70.67,5.44,7.41,1.48,13.07,2.8,-2.49,0.3,11.05,0.1,0.0,0.0,1.47,3235936.5692962813,False
F563-V1,Burkert-Flat,0.49,0.13,0.0,0.0,52.5,9.8,59.2,9.3,14.47,157.0,11.02,101.54,1.8,25.62,-2.11,23.42,8.98,14.13,0.0,0.0,0.77,7762471.16628692,False
F563-V1,NFW-Flat,0.51,0.12,0.0,0.0,53.9,10.92,60.2,8.9,13.6,16.58,5.36,177.0,3.48,114.77,-2.82,44.23,8.9,1.59,0.0,0.0,0.99,1513561.2484362088,False
F563-V1,NFW-LCDM,0.47,0.12,0.0,0.0,41.44,13.93,28.8,10.0,58.74,7.68,6.86,1.99,11.73,3.74,-2.57,0.46,10.81,0.17,0.0,0.0,2.21,2691534.8039269163,False
F563-V2,Burkert-Flat,0.51,0.13,0.0,0.0,58.33,12.16,27.7,10.6,70.3,50.19,35.14,26.59,2.74,2.85,-0.82,1.65,11.04,0.93,0.0,0.0,0.28,151356124.8436208,False
F563-V2,NFW-Flat,0.52,0.14,0.0,0.0,61.12,12.03,32.6,10.6,135.73,117.12,6.08,5.58,30.56,38.46,-2.69,2.01,11.9,1.12,0.0,0.0,1.91,2041737.9446695298,False
F563-V2,NFW-LCDM,0.55,0.14,0.0,0.0,62.6,10.71,39.6,5.0,74.68,6.29,7.92,1.75,12.92,3.06,-2.42,0.33,11.12,0.11,0.0,0.0,1.98,3801893.9632056127,False
F565-V2,Burkert-Flat,0.5,0.13,0.0,0.0,50.2,10.57,59.9,10.0,63.68,35.6,16.87,4.93,5.17,3.26,-1.65,1.1,10.92,0.73,0.0,0.0,0.14,22387211.3856834,False
F565-V2,NFW-Flat,0.49,0.13,0.0,0.0,52.88,10.45,60.4,9.9,342.36,105.31,1.14,2.12,412.09,778.17,-4.19,2.69,13.11,0.4,0.0,0.0,0.94,64565.42290346549,False
F565-V2,NFW-LCDM,0.54,0.13,0.0,0.0,54.6,8.65,66.9,7.4,59.27,3.96,8.65,1.8,9.39,2.06,-2.33,0.3,10.82,0.09,0.0,0.0,3.6,4677351.412871981,False
F567-2,Burkert-Flat,0.5,0.14,0.0,0.0,77.11,11.99,18.1,9.6,35.29,54.96,19.67,192.13,2.46,24.31,-1.48,13.17,10.15,2.03,0.0,0.0,inf,33113112.148259114,True
F567-2,NFW-Flat,0.5,0.13,0.0,0.0,79.59,12.13,18.8,9.2,41.19,124.36,8.53,127.43,6.61,100.74,-2.35,20.59,10.35,3.93,0.0,0.0,inf,4466835.92150963,True
F567-2,NFW-LCDM,0.48,0.13,0.0,0.0,78.73,11.78,13.4,2.0,67.75,5.36,8.94,2.31,10.38,2.81,-2.3,0.37,11.0,0.1,0.0,0.0,inf,5011872.336272725,True
F568-1,Burkert-Flat,0.5,0.12,0.0,0.0,90.14,9.64,25.4,5.1,81.87,19.15,28.87,6.91,3.89,1.3,-1.04,0.53,11.24,0.3,0.0,0.0,0.13,91201083.93559097,False
F568-1,NFW-Flat,0.51,0.13,0.0,0.0,91.64,9.84,25.3,5.0,177.58,103.77,6.29,2.7,38.69,28.06,-2.66,1.22,12.25,0.76,0.0,0.0,1.19,2187761.623949552,False
F568-1,NFW-LCDM,0.56,0.14,0.0,0.0,93.88,9.19,33.6,3.0,85.65,6.88,8.23,1.54,14.25,2.9,-2.38,0.29,11.3,0.1,0.0,0.0,1.57,4168693.834703355,False
F568-3,Burkert-Flat,0.48,0.12,0.0,0.0,80.73,8.4,31.8,9.6,94.25,33.89,20.17,7.89,6.4,3.4,-1.45,0.84,11.43,0.47,0.0,0.0,1.17,35481338.923357554,False
F568-3,NFW-Flat,0.51,0.12,0.0,0.0,83.22,8.15,46.5,8.4,264.63,99.55,1.0,0.57,362.33,246.45,-4.29,1.06,12.77,0.49,0.0,0.0,3.89,51286.13839913648,False
F568-3,NFW-LCDM,0.55,0.13,0.0,0.0,80.04,8.08,47.2,5.3,87.91,8.0,3.86,0.68,31.23,6.2,-3.14,0.29,11.34,0.12,0.0,0.0,4.99,724435.9600749898,False
F568-V1,Burkert-Flat,0.5,0.13,0.0,0.0,81.19,8.1,40.2,10.6,69.2,21.4,30.99,11.07,3.06,1.45,-0.96,0.74,11.02,0.4,0.0,0.0,0.07,109647819.6143185,False
F568-V1,NFW-Flat,0.49,0.13,0.0,0.0,80.72,8.06,40.1,10.7,86.61,32.35,14.47,6.27,8.2,4.69,-1.78,0.9,11.32,0.49,0.0,0.0,0.28,16595869.074375605,False
F568-V1,NFW-LCDM,0.53,0.14,0.0,0.0,83.9,7.61,49.7,5.6,77.02,5.36,11.17,2.13,9.45,1.92,-2.06,0.28,11.16,0.09,0.0,0.0,0.31,8709635.899560805,False
F571-8,Burkert-Flat,0.37,0.09,0.0,0.0,24.73,7.03,84.6,4.3,86.09,8.2,39.37,10.77,3.0,0.87,-0.68,0.4,11.31,0.12,0.0,0.0,0.53,208929613.08540392,False
F571-8,NFW-Flat,0.47,0.11,0.0,0.0,0.81,2.64,86.8,4.1,62.46,30.07,177.43,34.6,0.48,0.25,1.12,0.92,10.89,0.63,0.0,0.0,2.12,13182567385.564074,False
F571-8,NFW-LCDM,0.2,0.03,0.0,0.0,53.84,8.15,82.6,5.4,152.15,17.67,7.17,1.74,29.05,7.81,-2.53,0.39,12.05,0.15,0.0,0.0,9.6,2951209.2266663867,False
F571-V1,Burkert-Flat,0.49,0.13,0.0,0.0,79.76,8.05,28.6,10.7,62.94,34.47,16.28,10.72,5.3,4.53,-1.69,1.33,10.9,0.71,0.0,0.0,0.08,20417379.446695294,False
F571-V1,NFW-Flat,0.49,0.13,0.0,0.0,79.68,7.82,32.8,10.0,87.85,90.99,4.03,4.26,29.89,44.24,-3.1,2.38,11.33,1.35,0.0,0.0,0.76,794328.2347242814,False
F571-V1,NFW-LCDM,0.5,0.12,0.0,0.0,80.18,7.95,30.8,3.2,67.49,4.61,7.54,1.81,12.26,3.06,-2.48,0.34,10.99,0.09,0.0,0.0,1.39,3311311.214825911,False
F574-1,Burkert-Flat,0.48,0.12,0.0,0.0,96.57,9.65,63.8,10.0,61.74,6.31,24.14,3.52,3.5,0.62,-1.24,0.27,10.87,0.13,0.0,0.0,0.12,57543993.73371569,False
F574-1,NFW-Flat,0.51,0.14,0.0,0.0,97.75,9.71,65.3,9.8,89.97,14.17,7.63,1.67,16.16,4.37,-2.46,0.41,11.37,0.21,0.0,0.0,2.19,3467368.504525317,False
F574-1,NFW-LCDM,0.54,0.13,0.0,0.0,97.27,9.0,68.6,7.5,83.56,5.59,7.98,1.24,14.35,2.42,-2.42,0.24,11.27,0.09,0.0,0.0,2.21,3801893.9632056127,False
F574-2,Burkert-Flat,0.52,0.12,0.0,0.0,88.49,8.99,28.4,6.8,16.68,155.75,5.67,99.83,4.03,80.4,-2.8,29.23,9.17,12.17,0.0,0.0,inf,1584893.1924611141,True
F574-2,NFW-Flat,0.49,0.12,0.0,0.0,87.23,8.91,29.7,6.0,13.9,58.36,1.61,314.21,11.8,2296.26,-3.92,270.46,8.93,5.47,0.0,0.0,inf,120226.4434617413,True
F574-2,NFW-LCDM,0.5,0.13,0.0,0.0,88.04,8.99,12.8,2.1,71.15,5.09,7.61,2.14,12.81,3.71,-2.47,0.4,11.06,0.09,0.0,0.0,inf,3388441.5613920237,True
F579-V1,Burkert-Flat,0.52,0.13,0.0,0.0,91.92,8.87,34.4,9.4,40.55,22.54,39.52,13.21,1.41,0.91,-0.68,1.11,10.33,0.72,0.0,0.0,0.18,208929613.08540392,False
F579-V1,NFW-Flat,0.5,0.13,0.0,0.0,89.69,8.92,26.7,9.8,64.9,41.61,21.76,10.42,4.08,3.27,-1.33,1.34,10.94,0.84,0.0,0.0,0.25,46773514.128719814,False
F579-V1,NFW-LCDM,0.47,0.12,0.0,0.0,93.24,8.67,24.9,2.6,87.43,7.07,13.91,2.96,8.61,1.96,-1.82,0.32,11.33,0.11,0.0,0.0,0.91,15135612.484362079,False
F583-1,Burkert-Flat,0.49,0.12,0.0,0.0,32.56,8.54,62.5,5.1,59.57,4.93,18.97,5.34,4.3,1.26,-1.52,0.4,10.83,0.11,0.0,0.0,0.21,30199517.20402016,False
F583-1,NFW-Flat,0.5,0.13,0.0,0.0,32.8,8.8,62.0,5.0,100.14,22.72,4.99,1.77,27.47,11.57,-2.89,0.63,11.51,0.3,0.0,0.0,1.79,1288249.5516931335,False
F583-1,NFW-LCDM,0.59,0.14,0.0,0.0,39.61,6.23,66.8,4.4,68.88,4.1,6.01,1.08,15.7,2.98,-2.71,0.26,11.02,0.08,0.0,0.0,2.23,1949844.5997580455,False
F583-4,Burkert-Flat,0.5,0.14,0.0,0.0,52.84,11.1,55.8,10.4,39.83,20.7,21.76,8.08,2.51,1.6,-1.36,1.07,10.3,0.68,0.0,0.0,0.64,43651583.224016584,False
F583-4,NFW-Flat,0.52,0.13,0.0,0.0,54.27,10.59,56.5,9.9,91.83,92.53,3.83,2.75,32.82,40.57,-3.15,2.09,11.39,1.31,0.0,0.0,0.21,707945.7843841381,False
F583-4,NFW-LCDM,0.49,0.12,0.0,0.0,48.39,9.44,53.1,7.6,64.24,5.17,7.68,1.76,11.45,2.79,-2.46,0.34,10.93,0.1,0.0,0.0,0.34,3467368.504525317,False
IC2574,Burkert-Flat,0.69,0.09,0.0,0.0,4.03,0.19,77.8,5.6,85.83,44.24,7.49,0.57,15.69,8.17,-2.52,0.96,11.3,0.67,0.0,0.0,2.41,3019951.7204020163,False
IC2574,NFW-Flat,0.26,0.05,0.0,0.0,4.83,0.19,87.4,2.1,105.03,5.57,1.0,0.01,143.87,7.74,-4.29,0.1,11.57,0.07,0.0,0.0,36.55,51286.13839913648,False
IC2574,NFW-LCDM,0.44,0.05,0.0,0.0,5.45,0.16,88.4,1.8,78.56,2.99,1.0,0.01,107.59,4.36,-4.29,0.07,11.19,0.05,0.0,0.0,36.3,51286.13839913648,False
IC4202,Burkert-Flat,0.56,0.12,0.58,0.14,1.47,4.03,89.7,0.6,43.55,11.06,913.24,191.48,0.07,0.02,3.1,0.54,10.42,0.33,0.0,0.0,2.95,1258925411794.1675,False
IC4202,NFW-Flat,0.83,0.15,0.16,0.03,52.88,9.33,89.9,0.6,132.83,5.57,29.88,4.79,6.09,1.01,-0.97,0.22,11.87,0.05,0.0,0.0,20.17,107151930.52376065,False
IC4202,NFW-LCDM,0.67,0.1,0.14,0.02,67.51,8.03,89.9,0.6,140.8,4.86,24.25,2.48,7.95,0.86,-1.21,0.15,11.95,0.04,0.0,0.0,20.56,61659500.18614822,False
KK98-251,Burkert-Flat,0.5,0.13,0.0,0.0,7.43,2.06,59.5,4.8,33.41,148.08,11.86,4.59,3.86,17.18,-2.03,8.18,10.07,5.78,0.0,0.0,0.37,9332543.007969916,False
KK98-251,NFW-Flat,0.51,0.13,0.0,0.0,10.13,1.76,62.8,4.6,48.44,23.75,1.01,0.45,65.68,43.63,-4.28,1.1,10.56,0.64,0.0,0.0,1.57,52480.746024977234,False
KK98-251,NFW-LCDM,0.53,0.13,0.0,0.0,5.47,1.03,60.1,4.8,41.11,2.8,4.71,1.17,11.96,3.09,-2.95,0.36,10.35,0.09,0.0,0.0,3.61,1122018.454301963,False
NGC0024,Burkert-Flat,0.45,0.11,0.0,0.0,7.25,0.36,63.9,3.0,56.11,1.72,50.86,3.81,1.51,0.12,-0.39,0.11,10.75,0.04,0.0,0.0,0.86,407380277.80411273,False
NGC0024,NFW-Flat,0.65,0.2,0.0,0.0,7.4,0.36,64.7,3.0,68.7,4.96,19.47,3.5,4.83,0.94,-1.45,0.27,11.01,0.09,0.0,0.0,0.93,35481338.923357554,False
NGC0024,NFW-LCDM,1.18,0.21,0.0,0.0,7.62,0.34,65.8,2.8,85.54,6.47,9.16,2.64,12.79,3.81,-2.27,0.41,11.3,0.1,0.0,0.0,0.66,5370317.963702527,False
NGC0055,Burkert-Flat,0.4,0.07,0.0,0.0,2.11,0.11,76.9,3.0,63.97,2.68,13.69,1.02,6.4,0.55,-1.88,0.12,10.92,0.05,0.0,0.0,0.41,13182567.385564074,False
NGC0055,NFW-Flat,0.32,0.06,0.0,0.0,2.16,0.11,77.2,2.9,157.5,44.18,2.18,0.61,98.87,39.28,-3.66,0.65,12.1,0.37,0.0,0.0,2.85,218776.16239495517,False
NGC0055,NFW-LCDM,0.36,0.06,0.0,0.0,2.15,0.11,78.0,2.9,83.92,4.19,4.55,0.46,25.26,2.85,-2.98,0.16,11.27,0.07,0.0,0.0,4.35,1047128.5480508996,False
NGC0100,Burkert-Flat,0.49,0.11,0.0,0.0,13.66,3.89,89.1,0.8,63.17,10.39,18.1,9.14,4.78,2.54,-1.57,0.73,10.9,0.21,0.0,0.0,0.1,26915348.039269153,False
NGC0100,NFW-Flat,0.49,0.11,0.0,0.0,14.0,2.9,89.1,0.8,409.88,95.14,1.0,1.36,559.89,770.09,-4.29,1.97,13.34,0.3,0.0,0.0,0.89,51286.13839913648,False
NGC0100,NFW-LCDM,0.46,0.1,0.0,0.0,13.64,2.43,88.9,0.8,78.88,4.77,7.11,1.57,15.2,3.48,-2.54,0.31,11.19,0.08,0.0,0.0,1.94,2884031.5031266054,False
NGC0247,Burkert-Flat,2.12,0.12,0.0,0.0,3.91,0.18,76.3,2.8,486.95,116.15,3.98,0.53,167.65,45.74,-3.13,0.47,13.57,0.31,0.0,0.0,2.06,741310.2413009177,False
NGC0247,NFW-Flat,0.61,0.16,0.0,0.0,3.72,0.19,74.3,3.0,96.59,7.52,5.72,0.65,23.15,3.18,-2.76,0.21,11.46,0.1,0.0,0.0,2.03,1737800.8287493763,False
NGC0247,NFW-LCDM,0.66,0.12,0.0,0.0,3.74,0.18,74.5,2.9,90.75,4.26,5.92,0.55,20.98,2.19,-2.72,0.15,11.38,0.06,0.0,0.0,2.03,1905460.7179632462,False
NGC0289,Burkert-Flat,0.56,0.1,0.0,0.0,26.19,4.08,50.2,4.3,116.29,9.3,7.99,1.71,19.93,4.56,-2.45,0.32,11.7,0.1,0.0,0.0,2.06,3548133.8923357534,False
NGC0289,NFW-Flat,0.48,0.09,0.0,0.0,25.76,4.16,49.0,4.4,126.12,10.69,5.21,1.65,33.16,10.87,-2.85,0.45,11.81,0.11,0.0,0.0,1.95,1412537.544622754,False
NGC0289,NFW-LCDM,0.53,0.1,0.0,0.0,21.53,3.27,48.1,4.1,126.55,10.15,6.96,1.32,24.9,5.13,-2.56,0.29,11.81,0.1,0.0,0.0,2.06,2754228.703338166,False
NGC0300,Burkert-Flat,0.57,0.14,0.0,0.0,2.08,0.1,46.3,9.3,58.41,9.3,19.34,5.92,4.14,1.43,-1.49,0.5,10.8,0.21,0.0,0.0,0.62,32359365.692962825,False
NGC0300,NFW-Flat,0.5,0.12,0.0,0.0,2.09,0.1,42.2,9.9,97.2,20.59,6.53,3.09,20.4,10.58,-2.62,0.74,11.47,0.28,0.0,0.0,0.74,2398832.91901949,False
NGC0300,NFW-LCDM,0.41,0.08,0.0,0.0,2.07,0.1,51.9,5.0,74.26,4.75,6.69,0.97,15.21,2.42,-2.6,0.23,11.12,0.08,0.0,0.0,0.93,2511886.4315095795,False
NGC0801,Burkert-Flat,0.63,0.06,0.0,0.0,84.16,7.3,80.1,1.0,168.64,20.16,5.67,0.88,40.74,7.99,-2.8,0.3,12.18,0.16,0.0,0.0,7.1,1584893.1924611141,False
NGC0801,NFW-Flat,0.61,0.06,0.0,0.0,83.63,7.2,80.0,1.0,260.74,35.5,1.17,0.58,304.52,156.71,-4.17,0.74,12.75,0.18,0.0,0.0,6.77,67608.29753919819,False
NGC0801,NFW-LCDM,0.72,0.08,0.0,0.0,66.5,6.77,79.9,1.0,189.32,19.58,3.25,0.74,79.7,19.86,-3.3,0.36,12.33,0.13,0.0,0.0,7.15,501187.23362727254,False
NGC0891,Burkert-Flat,0.24,0.03,0.62,0.07,9.34,0.49,89.8,0.6,110.97,2.43,35.3,3.2,4.31,0.4,-0.81,0.13,11.64,0.03,0.0,0.0,2.01,154881661.8912481,False
NGC0891,NFW-Flat,0.21,0.03,0.53,0.07,9.3,0.49,89.9,0.6,127.04,4.74,22.21,3.06,7.84,1.12,-1.31,0.19,11.82,0.05,0.0,0.0,3.46,48977881.93684462,False
NGC0891,NFW-LCDM,0.25,0.03,0.54,0.07,9.54,0.48,89.9,0.6,137.81,6.55,16.73,2.47,11.29,1.75,-1.62,0.21,11.92,0.06,0.0,0.0,4.39,23988329.190194897,False
NGC1003,Burkert-Flat,0.74,0.12,0.0,0.0,14.92,2.21,68.5,4.7,96.1,4.35,7.14,1.16,18.43,3.1,-2.57,0.23,11.45,0.06,0.0,0.0,3.01,2691534.8039269163,False
NGC1003,NFW-Flat,0.65,0.11,0.0,0.0,11.95,2.1,67.0,5.0,114.44,7.14,3.72,0.93,42.18,10.9,-3.18,0.36,11.68,0.08,0.0,0.0,2.48,660693.4480075957,False
NGC1003,NFW-LCDM,0.66,0.1,0.0,0.0,10.61,1.66,68.6,4.9,106.38,6.03,4.66,0.89,31.27,6.23,-2.96,0.28,11.58,0.07,0.0,0.0,2.54,1096478.1961431853,False
NGC1090,Burkert-Flat,0.36,0.09,0.0,0.0,24.77,8.29,63.0,3.0,89.86,7.83,39.34,19.13,3.13,1.55,-0.69,0.66,11.36,0.11,0.0,0.0,1.41,204173794.46695298,False
NGC1090,NFW-Flat,0.51,0.1,0.0,0.0,31.9,6.61,63.5,3.0,113.1,7.6,10.78,4.01,14.37,5.43,-2.1,0.51,11.66,0.09,0.0,0.0,2.73,7943282.347242814,False
