radius_kpc,height_kpc,azimuth_radian,newton_gx,newton_gy,newton_gz,newton_inward,newton_tangential,mond_gx,mond_gy,mond_gz,mond_inward,mond_tangential
1.0,0.0,3.5342917352885173,2749.6511490559715,1917.441082153568,-8.316889379677088e-12,3274.1193528353133,-719.2386310706224,4301.5579281683,3116.1361997817185,-2.5431607578389358e-11,5166.615024395924,-1232.799503027123
1.0,0.0,3.665191429188092,1849.9344324817869,3836.3336886938537,0.0,3520.257058211702,-2397.3952155620473,2928.9056753928185,5948.820484046666,-2.6119512667532362e-12,5510.916962201931,-3687.3768240412464
1.0,0.0,3.796091123087667,1295.8595230945252,4696.691515987307,-4.391345421202562e-12,3887.239120080816,-2937.2666074524523,2147.994341441401,7136.968384738084,-2.2591711711024145e-11,6048.829558392425,-4354.521602786387
1.0,0.0,3.926990816987241,1173.4504747383692,4151.091587825806,2.2825297418222653e-12,3765.019799152133,-2105.5102230039874,1956.672061876328,6421.424569726456,2.2919872328245836e-12,5924.208941642499,-3157.056774620473
1.0,0.0,4.057890510886816,1044.0349058677075,3494.1877346563283,-4.680907014108005e-12,3407.6936921252723,-1298.838138623341,1741.3074977894148,5550.221282615288,-3.14819836658822e-11,5463.327434616225,-1997.2885194740938
1.0,0.0,4.1887902047863905,747.4434411762107,3252.995718465684,6.2311771074821314e-12,3190.898651181399,-979.1928512821853,1259.8478957377065,5281.538232736106,-7.835853800259709e-13,5203.87022847709,-1549.7088337548328
1.0,0.0,4.319689898685966,738.9277372148431,3139.229886275435,9.746471487957564e-14,3183.0456425247544,-518.6510554452809,1209.735641505244,5152.67779407076,7.900718381449736e-12,5223.3993391129925,-854.1944251702696
1.0,0.0,4.4505895925855405,665.2762078674783,3091.9171759171354,-5.530337857658121e-12,3158.7488058148083,-157.63958021210328,1049.1576373966063,5115.149366579581,-1.784687134098029e-11,5212.396856378392,-310.4896168050865
1.0,0.0,4.581489286485115,316.47141508244204,3203.95097211325,-1.0179644436877084e-12,3217.8485361525086,-104.43556219448999,467.44260795811397,5297.153196152259,-1.664958686216507e-11,5312.848819933196,-227.97366465278589
1.0,0.0,4.71238898038469,-110.19785636742745,3398.1800894081316,0.0,3398.1800894081316,-110.19785636742807,-209.27941304599153,5565.299488081844,-1.8189894035458565e-11,5565.299488081844,-209.27941304599256
1.0,0.0,4.843288674284264,-110.10867750065452,3628.682193401877,-1.2956663020641991e-11,3612.0103806114844,364.4713869807606,-231.20990424989125,5858.278628317568,-1.614079070768782e-11,5838.339190946769,535.4269308511118
1.0,0.0,4.974188368183839,-82.52602420967035,3941.3640708701423,-2.7986399343964426e-13,3828.424653643343,940.3860670989149,-226.9049811044299,6271.078109349153,3.8154149010340725e-12,6116.1236350348245,1403.9010666626643
1.0,0.0,5.105088062083413,-285.0196986743285,4015.0032644398157,-8.491774335116649e-12,3818.4516555623036,1273.1513642251198,-559.9430368308325,6325.887643462091,-1.4814508103183097e-11,6058.639042024038,1903.4924850557582
1.0,0.0,5.235987755982989,-566.9914880295096,3875.5224378003395,0.0,3639.7966280864457,1446.7321865370745,-1012.5749012669946,6068.709754262323,1.63615281487313e-11,5761.944266019087,2157.439289399425
1.0,0.0,5.3668874498825625,-612.6930584142373,4289.117433388782,0.0,3775.769544464336,2124.9671734697795,-1108.0533797195762,6633.022684754887,2.021741379002089e-13,5936.870862033861,3158.8505181971223
1.0,0.0,5.497787143782138,-927.8825011905931,4160.470505880029,-6.419220836749915e-12,3598.008916370598,2285.7848988981905,-1584.2398810509296,6433.831179924455,-2.2400081526506292e-11,5669.632419251311,3429.1788934167453
1.0,0.0,5.6286868376817125,-1362.1121855674678,3956.16955290624,-8.925798980279229e-12,3488.99968269934,2309.438969000403,-2228.435329580506,6143.524390231705,-1.970375420088605e-11,5507.877299293077,3517.4001204620467
1.0,0.0,5.759586531581287,-1216.514759054763,4307.653459763875,-1.350713472166535e-11,3207.3594153020695,3122.2799473280606,-2054.2171048818605,6638.037672110453,-2.8581440203382953e-11,5098.023033771442,4721.600702884837
1.0,0.0,5.8904862254808625,-739.6540545162563,4305.493236876746,-1.4551915228366852e-11,2330.9921720192297,3694.7037265711588,-1462.7717482786247,6909.492649787978,-1.1462824745485263e-11,3995.5732420925942,5823.760325778343
1.0,0.0,6.021385919380436,-1332.2834070184633,794.2637858168553,-1.0865023323261493e-11,1492.457545380156,422.37958439617654,-2515.088421411566,1513.9734131886541,-2.056344267598683e-11,2821.234014754127,811.4332365357816
1.0,0.0,6.152285613280012,-2150.9965959065453,-2789.046294760584,-5.993029912830202e-13,1768.55092906356,-3045.947012216021,-3655.3010722959225,-4240.25519924155,7.183563051655166e-12,3070.565099703695,-4681.091758586276
1.5,0.0,0.0,-2672.0415914735713,-630.1068700628675,0.0,2672.0415914735713,-630.1068700628675,-4466.284294068873,-994.388404193307,0.0,4466.284294068873,-994.388404193307
1.5,0.0,0.1308996938995747,-2859.832208885482,-747.0745545279167,-1.509390017956013e-11,2932.8787447978452,-367.4002195357504,-4776.448959210387,-1275.8247641412117,-1.6675059498903102e-11,4902.114324626821,-641.4582114420978
1.5,0.0,0.2617993877991494,-2932.0543286854354,-2573.3301288632997,-1.8548549533439963e-12,3498.1738468458643,-1726.7745294977606,-4742.073643951052,-4077.5611083387103,-7.979525798658212e-12,5635.841875264434,-2711.2826104829956
1.5,0.0,0.39269908169872414,-2672.6524073048267,-3169.6312727415743,-8.644562748807387e-12,3682.174231410422,-1905.5776617474094,-4277.843111120562,-4953.59608447465,-2.382748597148204e-11,5847.870845815722,-2939.4663498912087
1.5,0.0,0.5235987755982988,-2228.6968844061257,-2907.5412020160284,0.0,3383.8787202389494,-1403.6561012927607,-3659.4845045875327,-4624.123005460165,-9.276778637963494e-12,5481.268048458396,-2174.8657406587854
1.5,0.0,0.6544984694978736,-1852.8531455713642,-2667.0098334659424,-2.4255666634989064e-12,3093.539949509201,-987.9356313284493,-3134.2288920768187,-4374.254337605064,-3.177764913293461e-13,5149.428282174495,-1562.3316308412989
1.5,0.0,0.7853981633974483,-1387.603234188316,-2690.2382925415413,-8.879186574870477e-12,2883.4693961547864,-921.1020831728997,-2416.9947797569184,-4523.312552843104,-1.657720758376911e-11,4907.538378400195,-1489.3915806829896
1.5,0.0,0.916297857297023,-1191.3258777511028,-2457.69397876458,-8.04657178892856e-12,2675.0529712213656,-551.006934089629,-2090.2015009969186,-4248.081462285027,-2.5703867236979434e-11,4642.663670596157,-927.7997988284294
1.5,0.0,1.0471975511965976,-1052.7353619995968,-2244.397029134411,0.0,2470.072524408521,-210.50294761334771,-1842.7414091765486,-3960.3583288372392,-4.4215641871177355e-12,4351.141625450609,-384.3182914661943
1.5,0.0,1.1780972450961724,-1058.9415403757303,-2032.5702074680182,0.0,2283.0893964168818,200.5034717622276,-1814.064127312856,-3636.48725530145,-9.592034614231073e-13,4053.8884321816213,284.35329327663317
1.5,0.0,1.3089969389957472,-1343.6776319299618,-1780.2005023451118,-3.8457337025321405e-12,2067.3110028096457,837.1431327800974,-2252.718174127412,-3184.9450753571564,-1.31058650921654e-11,3659.467070312411,1351.6342206325066
1.5,0.0,1.4398966328953218,-1962.6551115765828,-881.9257868077541,-7.156987880459102e-12,1130.5586877989144,1830.7499102489562,-3378.311890709014,-1692.9810044234691,-2.5774367685778797e-11,2119.4555044650915,3128.4316001532197
1.5,0.0,1.5707963267948966,-158.00895780693827,1744.5407540359374,0.0,-1744.5407540359374,158.00895780693838,-265.8948060059374,2185.3432081781557,0.0,-2185.3432081781557,265.89480600593754
1.5,0.0,1.7016960206944713,1725.9367716124875,-1160.8697135481625,-4.7683722811478865e-12,1376.2182670329598,-1559.647239898281,2938.598325661387,-2206.8699226729086,-1.0933659959556412e-11,2571.5538944672735,-2625.403881887211
1.5,0.0,1.832595714594046,1137.4173369350005,-2196.524693175482,2.901192724673231e-12,2416.0651982484383,-530.1583573826666,1841.5218979277122,-3900.2476889349464,3.2453654414665505e-12,4243.970910823549,-769.3151783717831
1.5,0.0,1.9634954084936205,907.7716501020544,-2519.263803878576,-8.503875253094123e-12,2674.8854362647203,125.40887177809964,1509.3577663330134,-4422.126073824013,-2.666092719815392e-11,4663.117980477724,297.8096367301057
1.5,0.0,2.0943951023931953,919.2347602545046,-2855.6005775136628,0.0,2932.6400233155982,631.7196343347316,1577.1117073650262,-4891.982251756766,1.3159712026463807e-11,5025.136758566474,1080.17232269442
