galaxy,split,branch,split_sha256,duplicate_of,diagnostic_pass,mean_square,channel_lag1,quadrant_min,quadrant_max,failed_gates,calibration_mean_variance_factor,expected_calibration_residual_variance_factor,maximum_test_mean_cross_covariance,effective_independent_calibration_pixels_for_mean,calibration_pixels,test_pixels
NGC2976,9062028-forward,previous_fixed_mean,330c123c2724c4c26ca12bf7fd8e042fd639cd33f3e5fdeaeea890c7435cf3a3,,True,1.0955085910135882,0.032473352293806323,0.9979491499652132,1.1533107238465445,,0.046925196570619866,0.9530748034293801,1.6519074449108325e-05,21.310512753954146,324,36
NGC2976,9062028-forward,mean_propagated,330c123c2724c4c26ca12bf7fd8e042fd639cd33f3e5fdeaeea890c7435cf3a3,,True,1.061492834840268,0.03042835859387429,0.9666693877497174,1.1157412923836454,,0.046925196570619866,0.9530748034293801,1.6519074449108325e-05,21.310512753954146,324,36
NGC2976,9062028-forward,mean_and_variance_corrected,330c123c2724c4c26ca12bf7fd8e042fd639cd33f3e5fdeaeea890c7435cf3a3,,True,1.0116820749070836,0.029000501885535428,0.9213082367107612,1.0633849129165853,,0.046925196570619866,0.9530748034293801,1.6519074449108325e-05,21.310512753954146,324,36
NGC2976,9062028-reverse,previous_fixed_mean,8c68a53a7a458b39dbd394d4ac9c08a828bcab002f7aaae86699c47fe01e1446,,True,0.9986963127259839,-0.01208332671404192,0.9696225783889807,1.0297594940775527,,0.0417272270366489,0.9582727729633511,3.3552398928042455e-05,23.965167853634345,395,33
NGC2976,9062028-reverse,mean_propagated,8c68a53a7a458b39dbd394d4ac9c08a828bcab002f7aaae86699c47fe01e1446,,True,0.9760709784051617,-0.012256906193335347,0.9529445184543252,1.0134836345489986,,0.0417272270366489,0.9582727729633511,3.3552398928042455e-05,23.965167853634345,395,33
NGC2976,9062028-reverse,mean_and_variance_corrected,8c68a53a7a458b39dbd394d4ac9c08a828bcab002f7aaae86699c47fe01e1446,,True,0.9353422430853655,-0.01174545948583916,0.9131807861794516,0.9711937728322445,,0.0417272270366489,0.9582727729633511,3.3552398928042455e-05,23.965167853634345,395,33
NGC2976,9062029-forward,previous_fixed_mean,881ac66e4fd01d1f35ad85614cea8a41284c3267b688ada681be6eb961280f56,,True,1.0001134555427995,-0.019891544580798726,0.9437147840306482,1.066330446150703,,0.047892712114130404,0.9521072878858696,3.0325803535757492e-05,20.880003571669878,331,36
NGC2976,9062029-forward,mean_propagated,881ac66e4fd01d1f35ad85614cea8a41284c3267b688ada681be6eb961280f56,,True,0.973054470245194,-0.018265928844991102,0.9197798177103007,1.026464408235576,,0.047892712114130404,0.9521072878858696,3.0325803535757492e-05,20.880003571669878,331,36
NGC2976,9062029-forward,mean_and_variance_corrected,881ac66e4fd01d1f35ad85614cea8a41284c3267b688ada681be6eb961280f56,,True,0.9264522526303733,-0.01739112397332074,0.8757290676923141,0.9773042438365485,,0.047892712114130404,0.9521072878858696,3.0325803535757492e-05,20.880003571669878,331,36
NGC2976,9062029-reverse,previous_fixed_mean,863dfaeca4638f810ba4b7a75371c801f7049889d43360de4cbe4e2b548436b3,,True,1.1047980843454177,0.028302437324678888,1.0782112344534431,1.1300899514888192,,0.041185880362293294,0.9588141196377067,2.2544075406396828e-05,24.280165707360357,388,33
NGC2976,9062029-reverse,mean_propagated,863dfaeca4638f810ba4b7a75371c801f7049889d43360de4cbe4e2b548436b3,,True,1.085411679212338,0.028302295229948135,1.0552256464674004,1.0903824499887054,,0.041185880362293294,0.9588141196377067,2.2544075406396828e-05,24.280165707360357,388,33
NGC2976,9062029-reverse,mean_and_variance_corrected,863dfaeca4638f810ba4b7a75371c801f7049889d43360de4cbe4e2b548436b3,,True,1.0407080436484628,0.0271366402846292,1.0117652492367701,1.0454740888543261,,0.041185880362293294,0.9588141196377067,2.2544075406396828e-05,24.280165707360357,388,33
NGC2976,9062030-forward,previous_fixed_mean,90df8d6d74a4087fc9c55bbe75207eba51f4d61c73d70391e62c2a297bef2766,,True,1.0342059008938145,0.04412126611696766,0.9422780201419559,1.0884753012550723,,0.04411596788274184,0.9558840321172581,1.9638078624579304e-05,22.66752942286006,355,35
NGC2976,9062030-forward,mean_propagated,90df8d6d74a4087fc9c55bbe75207eba51f4d61c73d70391e62c2a297bef2766,,True,1.0101459706863962,0.04110124131541427,0.9226302014406853,1.0686220396448427,,0.04411596788274184,0.9558840321172581,1.9638078624579304e-05,22.66752942286006,355,35
NGC2976,9062030-forward,mean_and_variance_corrected,90df8d6d74a4087fc9c55bbe75207eba51f4d61c73d70391e62c2a297bef2766,,True,0.965582403486714,0.03928802027360261,0.8819274771062802,1.0214787440650808,,0.04411596788274184,0.9558840321172581,1.9638078624579304e-05,22.66752942286006,355,35
NGC2976,9062030-reverse,previous_fixed_mean,2b3aa79584b2520c75966ebcca5d83410b807c8cb453f2234f4934e5f5112916,,True,1.0394169155591317,-0.010391294109697085,0.942650758259032,1.1539789469707404,,0.04389626196592181,0.9561037380340782,2.6787964486872132e-05,22.780983054464517,364,34
NGC2976,9062030-reverse,mean_propagated,2b3aa79584b2520c75966ebcca5d83410b807c8cb453f2234f4934e5f5112916,,True,1.0123639769681205,-0.013759408530168188,0.9190853961320623,1.121395082590093,,0.04389626196592181,0.9561037380340782,2.6787964486872132e-05,22.780983054464517,364,34
NGC2976,9062030-reverse,mean_and_variance_corrected,2b3aa79584b2520c75966ebcca5d83410b807c8cb453f2234f4934e5f5112916,,True,0.9679249826302657,-0.0131554219288318,0.8787409828143963,1.0721700302774217,,0.04389626196592181,0.9561037380340782,2.6787964486872132e-05,22.780983054464517,364,34
NGC2976,9062031-forward,previous_fixed_mean,8e6f8e7d94acd0b83564ad9d436076e4cabf9e6d5e3ea526d05b06b67c81fc45,,True,1.0452495367620631,0.0240197793531658,0.9700089106108275,1.1425861508263095,,0.044038467723772866,0.9559615322762272,2.0176118347589464e-05,22.70742039147242,357,34
