galaxy,branch,partitions,passing_partitions,all_declared_partitions_pass,mean_square_min,mean_square_max,channel_lag1_min,channel_lag1_max,mean_variance_factor_min,mean_variance_factor_max,failed_gates
NGC5055,previous_fixed_mean,16,16,True,0.8572319786689097,1.0932429679720141,-0.10164545989547633,0.1033864357657956,0.05223564083566429,0.06587311593908597,
NGC5055,mean_propagated,16,16,True,0.8197595130145224,1.0540832677315808,-0.10800187060596018,0.07624323342607309,0.05223564083566429,0.06587311593908597,
NGC5055,mean_and_variance_corrected,16,16,True,0.765759399571548,0.9984510927327344,-0.10144832031186651,0.07184584424466568,0.05223564083566429,0.06587311593908597,
NGC6946,previous_fixed_mean,16,16,True,0.8627327095869217,1.098260874868298,-0.11088690018918164,0.06618522449642442,0.04999352528369696,0.056296891114676235,
NGC6946,mean_propagated,16,16,True,0.848649767344502,1.0672217143364613,-0.1118959590944149,0.05789784313989391,0.04999352528369696,0.056296891114676235,
NGC6946,mean_and_variance_corrected,16,16,True,0.8042742260843112,1.0084565220772341,-0.10604496621053051,0.05479093280097152,0.04999352528369696,0.056296891114676235,
NGC7331,previous_fixed_mean,16,16,True,0.8571549019107716,1.0283576882344698,-0.10720445995292285,0.056141888331456634,0.038344596401111625,0.05344927063090383,
NGC7331,mean_propagated,16,16,True,0.8422308009957471,0.9957316445752158,-0.10477563942153129,0.05572629404590056,0.038344596401111625,0.05344927063090383,
NGC7331,mean_and_variance_corrected,16,16,True,0.8099358008549803,0.9458973421768939,-0.10011930814626707,0.05293730867604629,0.038344596401111625,0.05344927063090383,
UGC04305,previous_fixed_mean,16,16,True,0.9405779341203296,1.124067777270047,-0.10275961998812504,0.04694299291262829,0.039728212095091135,0.0464385660180388,
UGC04305,mean_propagated,16,16,True,0.9223210858137991,1.094678129821453,-0.10018446632658115,0.049359945203318115,0.039728212095091135,0.0464385660180388,
UGC04305,mean_and_variance_corrected,16,16,True,0.8819558497216112,1.050648454961262,-0.0961298134777994,0.04714365501178551,0.039728212095091135,0.0464385660180388,
