name,positions,alpha_all,alpha_inner,alpha_disk_two_component,alpha_bulge_two_component,required_alpha_inner_third,required_alpha_outer_third,outer_inner_required_ratio,fit_all_median_absolute_speed_error_percent,fit_all_p90_absolute_speed_error_percent,inner_fit_outer_median_prediction_ratio,global_log_mse
NGC3198,33,2.8888476704910797,2.0768664122636964,2.8888476704910797,2.8888476704910797,2.05158372867288,5.9377990719761815,2.894251396611144,19.062924809356208,29.86345663208459,0.6771108553348906,0.0106847919063366
NGC3521,33,1.337613761218241,1.2088397136754878,1.337613761218241,1.337613761218241,1.2218789434184438,1.4324162266441005,1.17230617186727,5.093865302726197,15.14188386810279,0.9499238424509384,0.04426681629642491
NGC3741,6,11.964211646244463,8.425829595084586,11.964211646244463,11.964211646244463,7.41548393832344,21.23987149669209,2.8642596590255973,14.535215783228628,33.038806440146736,0.7463020914651398,0.06521852927933955
NGC3769,7,2.4715320881031695,1.8706173076605976,2.4715320881031695,2.4715320881031695,1.6459845976976808,3.6803912862300483,2.235981607226454,16.33732068140962,30.49126369981188,0.742151610734122,0.011026059161979325
NGC3877,11,1.6770467389811818,1.8906694947870353,1.6770467389811818,1.6770467389811818,2.1079971802371285,1.4405619593975287,0.6833794527350744,7.775588033211045,13.336075111596957,1.1491411298097272,0.023235368643587107
NGC3893,9,2.075282033776415,1.5468217821293668,2.075282033776415,2.075282033776415,1.3530959876732938,3.3141752312656947,2.4493275136855295,16.05996738995036,27.408166384858013,0.7197529500468869,0.016693151224305484
NGC3917,16,3.180119105813139,2.8895404731153933,3.180119105813139,3.180119105813139,2.8871993403536793,3.6454810681591523,1.2626357374106993,4.793272384627484,13.642759041232273,0.9256055098924298,0.0013689618582975022
NGC3949,6,1.3386511120798923,1.1734540044632276,1.3386511120798923,1.3386511120798923,1.195808206375098,1.6883548173631886,1.4118943224860172,6.502255235386512,11.20538333371972,0.8815688049265176,0.03967984862430037
NGC3972,9,3.0204184555249443,2.8608763542340863,3.0204184555249443,3.0204184555249443,2.881593484567202,3.610288479181538,1.2528791790087566,3.3290368546184057,9.043482695144885,0.9325073925290006,0.001338763250416636
NGC3992,8,2.9699616158985056,2.493071724069007,2.9699616158985056,2.9699616158985056,2.4687239560471657,3.8214424533939684,1.5479423870106273,8.365626916911694,14.626998498080566,0.851594196441112,0.0026772574889762017
NGC4051,6,1.4711628816277296,1.543281698707016,1.4711628816277296,1.4711628816277296,1.5538067395417674,1.448075422798345,0.931953367138436,3.0944951977665336,6.485203361887199,1.0600019577749218,0.0301340875043256
NGC4088,10,1.2023002503868303,1.011722206106539,1.2023002503868303,1.2023002503868303,0.9754928162528973,1.557717651458912,1.5968519967604482,7.653983870338221,16.220712491973835,0.8448500059403843,0.04636466224183429
NGC4100,23,2.662674035813101,2.1733276709907394,2.662674035813101,2.662674035813101,1.9494740088670242,3.641748592737023,1.868067271568036,10.991051870464219,19.64856412928831,0.8100937043109788,0.005501284798097114
NGC5005,17,1.208846250057342,1.0108998687489315,1.5463042456037015,0.55938469331649,0.9589781297953737,1.500167176809612,1.5643393005528887,8.362330020879206,18.362382301604857,0.8426898933051805,0.050171565804021274
NGC5033,21,2.536226064076088,1.624714243808285,3.9482187894759417,0.30036696081943626,1.277213800111461,4.538480272140398,3.553422513712528,22.84775891317232,57.502722685857165,0.6359337106196095,0.02035693782055789
NGC5371,15,1.4777238683555391,1.5168668055817247,1.4777238683555391,1.4777238683555391,1.6079180036258798,1.5384071124951715,0.9567696294375956,3.990896232600716,6.937796281148414,1.0242600663893335,0.029946134209908905
NGC5585,16,1.9889540634024911,1.4351745243285108,1.9889540634024911,1.9889540634024911,1.2753715449076664,3.425882150689686,2.6861836179179543,21.076733837252526,29.05484980102635,0.677174847276495,0.02058541203369653
NGC5985,33,3.7458095217235297,3.768499262869882,3.694952040616713,4.057629894972521,4.165592002947587,3.9210176820635243,0.9412870197775007,5.186004261521793,8.357362804648849,1.00679729426139,0.0030586873415575488
NGC6015,42,3.346276236720614,2.2736698233798776,3.346276236720614,3.346276236720614,2.450566683097079,7.12524618712863,2.90759122625612,22.256144423699208,30.262699456728388,0.6401509955359127,0.010891709343411477
NGC6195,23,1.228122192162433,1.0708540080217503,1.8079531628564198,0.8384233644430236,1.0640666731418218,1.512971067815946,1.4218761906607453,4.790998411376801,18.887235886416605,0.8984813496440076,0.04669046526014903
NGC6503,27,4.185680387548106,2.6557471183309995,4.185680387548106,4.185680387548106,2.318935625781452,8.023605588096755,3.4600380876864145,21.665775262535412,53.7990195118692,0.6353862196985021,0.017819964728479496
NGC6674,13,4.076590969044079,3.070229765620261,4.596561259116639,0.050000000000076414,2.728167110833368,6.401118867844454,2.346307468639308,16.382432685336703,24.11883994974747,0.734296143538535,0.007816128904650228
NGC6946,54,1.6397744253966657,1.2422034051662025,1.910994345542186,0.5605803280564794,1.1237500081389502,2.3942519657534445,2.130591277786579,13.538820873179326,23.311250893647824,0.7575072576221139,0.027459603298300553
NGC7331,34,1.4913061265133356,1.0515120482969975,1.6122701509680388,0.050000000000001606,0.8935668868131204,2.556926658667159,2.861483226830799,17.933286490678192,33.95263141091057,0.713307972311509,0.03911861107189713
UGC00128,20,12.807812333012619,8.696151196921878,12.807812333012619,12.807812333012619,8.458658570866362,24.15163892471797,2.8552563887496274,20.53693306970899,31.222824539581662,0.7030397554087977,0.07606937126480245
UGC00191,7,4.465097486147577,3.7155064541993625,4.465097486147577,4.465097486147577,3.7485645147714832,6.143103073787261,1.6387881413218124,9.107660855953803,21.623747550225755,0.8021867378449273,0.01018727491478122
UGC00731,11,34.90018690040768,31.712438134159804,34.90018690040768,34.90018690040768,31.25324141103021,42.39479362902349,1.3564926937165978,4.371799946539379,10.393655647735844,0.9144426776204304,0.1398136603179828
UGC02259,7,8.700676066818724,8.213753814635709,8.700676066818724,8.700676066818724,7.742794660721168,9.440343747265299,1.2192424261430717,6.377172449354385,9.098119867804165,0.9384565098996756,0.03654534986756984
UGC02487,16,3.6656150026098,2.668918370792437,5.32085930922488,0.05000000000000018,2.291467318036398,5.424031625172367,2.3670560703524774,17.357768674667412,27.477664340687724,0.7368952787742749,0.008383803021979983
UGC02916,40,1.2958650176456858,0.975314480322578,4.860632551482121,0.7202783116356142,0.8522991235959627,1.9219735530451598,2.25504579300293,14.26971322569386,26.63057338094328,0.7599136827048585,0.045818391026097874
UGC02953,103,1.685129013764676,1.1741988214422938,2.365054177499994,0.8014782174576057,1.0598932760902318,3.1722075082833983,2.9929499316998585,21.26753668565289,33.64710918447511,0.7347954148919936,0.033416640959867905
UGC03205,45,2.155903892496415,1.791714561205084,2.7707506178143735,1.035242257698067,2.0177003548128805,2.7229709362815164,1.349541783935525,9.045831331356435,28.53904492504085,0.8318517151790097,0.013666658676516676
UGC03580,38,1.255271885579888,0.6864603859384767,2.7252621036583142,0.0500000000000066,0.5383028816215134,4.616589210651543,8.576192638510742,34.761359309898346,58.1912241322492,0.5248199343426675,0.07021539639342174
UGC04325,8,7.244088497745368,7.9049209617070115,7.244088497745368,7.244088497745368,8.152946762784397,6.791972443652189,0.8330696423353796,4.343873773802187,9.464531655217053,1.0908476259896775,0.032474387139334884
UGC04483,5,7.981494986108557,6.373463139376233,7.981494986108557,7.981494986108557,6.150772886420567,12.933913122820275,2.1028110388168058,11.269759178382122,21.118015508346843,0.7890029051778671,0.019716958819533874
UGC04499,7,5.1919592708883116,4.264353451598851,5.1919592708883116,5.1919592708883116,4.5354222620609725,7.620594451065446,1.6802392392020669,9.335486307963436,19.742027601330154,0.7935746407585369,0.013099969382793095
UGC05414,5,3.8547527525419176,3.260682754308035,3.8547527525419176,3.8547527525419176,3.0308697249042997,5.127988053824447,1.6919196531900969,8.58849694778322,18.212513794762014,0.8313119797270505,0.0033788571285526476
UGC05716,9,14.350856266426401,9.967672821764225,14.350856266426401,14.350856266426401,8.041932397959183,30.46916360466345,3.788786338516806,23.053236861119707,36.118975023564595,0.6659207606923861,0.07459211373073621
UGC05764,10,31.70587733139588,27.707937918499635,31.70587733139588,31.70587733139588,28.304722107861316,36.55405539081358,1.2914472451457528,6.651943615935091,13.522678787559084,0.8643313288535781,0.12954211667304594
UGC05829,5,12.610260287259694,11.108264976551206,12.610260287259694,12.610260287259694,10.737940525411593,16.171097591146776,1.5059775711066277,6.498742588005147,10.72725669199393,0.877105107852379,0.03274870584673467
UGC06399,6,6.044920463636767,5.374150222478949,6.044920463636767,6.044920463636767,5.159105367121174,7.032843309215428,1.3631904775652637,6.664145886452838,8.027199443407445,0.8943277643743122,0.015359663335160494
UGC06614,6,1.2039528148044147,1.0852043173484778,2.6566960814634566,0.8743119869997533,1.0176128588809144,1.3487296871221042,1.325385853128197,4.820309836657205,12.020927748507166,0.8962056278480939,0.049792474170376376
UGC06786,40,2.5280717462490734,1.7556648113402535,4.138828221993293,0.7556331322653154,1.8857487218076803,4.748125714521372,2.517899473886327,15.39765709380605,40.69572619669899,0.7137253308957872,0.016871303368502826
UGC06787,67,1.9433330561882562,1.1753818687075908,6.067719580965446,0.6824405985954561,0.9714658951281154,4.405246945095038,4.534638804292847,21.318681218966805,46.26034091187457,0.6427750698354256,0.03270000551098796
UGC06818,5,5.091971469986868,4.13459565079859,5.091971469986868,5.091971469986868,3.6223145990036274,7.329703768721089,2.0234862457107496,8.726529037630272,32.50404458394367,0.7801298533882401,0.01422641190941803
UGC06917,11,4.192962380118627,3.535465053748238,4.192962380118627,4.192962380118627,3.3155288387671558,5.646817921366791,1.7031424535780846,7.556193400918065,20.16541244937491,0.8319590469910086,0.005808341242884696
UGC06983,12,6.2370445885082555,5.101404823461863,6.2370445885082555,6.2370445885082555,4.76103074659097,8.70309168845234,1.8279847687780622,11.315137712027795,16.825252705339906,0.8077883282375568,0.018231050129217958
UGC07089,9,3.218397005760082,2.562387696129839,3.218397005760082,3.218397005760082,2.220467677986931,4.985094709122607,2.2450651988963326,11.316905079615779,21.182310241090576,0.7807585413437526,0.004352821840464968
UGC07323,8,2.6788353608424016,2.309262401211646,2.6788353608424016,2.6788353608424016,2.233299837734276,3.2026497336638933,1.4340437766354923,7.079250767521455,12.732627283518028,0.8694605040772913,0.0033503226324896134
UGC07399,10,11.756696179850385,8.150411590095432,11.756696179850385,11.756696179850385,8.137690215221024,18.70264669677884,2.298274596616709,14.574362292995351,37.71328790289033,0.7037483617458329,0.07003241533183002
UGC07524,26,7.125745933985413,6.593871832302971,7.125745933985413,7.125745933985413,5.859024687373976,7.571409086454771,1.2922644109643253,3.596841675015167,12.981344594624433,0.9376986606826038,0.02169672528968388
UGC07603,10,6.931614056204497,4.445132131279377,6.931614056204497,6.931614056204497,4.153671186337657,12.399640894931133,2.985224477015969,20.178346449431082,43.03647061503381,0.6472738510433772,0.03242475712360658
UGC08490,22,7.970700723476751,5.13748870094256,7.970700723476751,7.970700723476751,4.531609261140181,15.672842526915629,3.458560000155937,22.023915391313174,42.73247632130022,0.6414476520665837,0.03846158328019276
UGC08699,38,2.071818055412721,1.4997174882685147,3.8676300117506224,0.46676820792597135,1.3593497646409118,3.032373036330601,2.2307526107025426,10.093849089038127,38.638720574301765,0.7928950280971959,0.019986229969835293
UGC08837,6,3.107457351834594,2.2912096980285455,3.107457351834594,3.107457351834594,2.1344985896848225,5.107599131948611,2.392880068711028,15.428553701124093,20.32699072152184,0.7537696389083263,0.004814265155296219
UGC09037,20,1.5530384999013171,1.0611372546744382,1.5530384999013171,1.5530384999013171,1.1506370110487212,2.9271022134560596,2.5438971503169543,17.619287399682165,27.491772220482748,0.685289175021265,0.031945800590142494
UGC09133,60,1.837003288471243,1.1869590907061973,3.4210119095444056,0.6510484301353507,1.0579347166878657,4.3091949072161535,4.07321438576776,23.129980189060547,37.36643880638769,0.64516569946327,0.031529012176698706
UGC10310,5,5.4190028789098825,5.243649261522945,5.4190028789098825,5.4190028789098825,4.991038291951538,5.796208975632506,1.16132328316923,3.7396590781944683,6.253720301805315,0.9596919374976214,0.01352122263109667
UGC11914,61,1.5229478792083226,1.432496224630123,1.8207008293614166,1.2815266744710752,1.4397195964593517,1.6058942890522592,1.115421567506322,2.3591877789744364,5.135003809979977,0.9542136306470268,0.03202019404032389
UGCA442,6,22.884444060887894,14.630764166012632,22.884444060887894,22.884444060887894,12.574471994001424,38.54584704250342,3.065404818658905,19.45978344174406,28.87304985772385,0.7022768286540717,0.0761743009375966
