plateifu,y,baseline,color,color_and_spectrum
11835-6102,2.1156368015023705,2.150831867414659,2.14403686721559,2.2833452377295997
11835-9102,2.084705653396597,2.0379520361126597,2.03405177845808,2.0551478119511644
11942-3701,1.99567015608948,2.0040124506790034,2.007105296574705,1.9626153971195255
11943-12702,1.8888598984391416,1.8162010079698632,1.843831876018073,1.8140454289052481
11944-6101,2.2919038398169196,2.1228125437459986,2.1399304391393454,2.23123805548175
11944-6103,1.7246280788695834,1.779904785405085,1.7756370909473478,1.7730331539171387
11944-9102,2.462928411672052,2.183291162775265,2.2018190351539038,2.2882056809080806
11978-3702,1.7246616467025233,1.8550666726962743,1.7892161807059466,1.8064397491323323
11984-6104,2.258338872109107,2.0855378872845813,2.1232641045238485,2.0665037818171776
12066-1901,1.6680171690553296,1.7839325729545517,1.789184984568216,1.7944128886149497
12066-3703,2.032151582666284,1.9931383293072023,2.012543495306081,1.9999740469669685
7979-1901,2.4077201974888593,2.432047339033786,2.4297555765100545,2.4083443190535596
7990-12705,2.109465487394109,1.992098066866019,2.0658275449546415,1.9754202986853873
8082-12701,1.8245938643781088,1.901196193067437,1.8753385681453763,1.89179227132026
8082-3702,1.6632388767492325,1.7241839417564706,1.7208118676110629,1.7633809596945382
8082-3703,1.940097377853944,2.0263770447192027,2.043131155894263,2.02499232819183
8084-12703,1.9326883728531727,1.9139364532039211,1.844367689909769,1.8537103500682506
8084-6104,2.1037558433347274,2.0221691689405628,2.047379407281518,2.1265856588983727
8091-6103,1.7809638070521678,1.827364300833222,1.7560519798552254,1.7641659036189732
8097-3703,1.6909628631118472,1.7077549477496636,1.6993654509693679,1.727912364351945
8135-12702,1.7911587863218918,1.8486626484844424,1.8412024237552758,1.8408119848730813
8135-6102,2.2980474663325614,2.2943437769655075,2.286624182988504,2.165387105679863
8140-3704,2.272654392856773,2.3445206930362206,2.3355548470563114,2.3069870902431386
8148-9101,1.823858207841529,1.829851747432285,1.7903227044608307,1.7947872269126492
8149-3702,2.195850411135135,2.065523166112721,2.08719067851405,2.1715283130098
8150-6101,1.9616609102797533,2.010040565293071,1.9384240163399888,1.9366395696200498
8150-6102,2.192959200887528,2.0913219231294082,2.1103398198376215,2.0631365477301173
8150-9101,2.161832897685653,2.049166335833707,2.035251768197099,2.133501762642646
8154-1901,2.297643443660965,2.32500621337564,2.3354935532395618,2.315850578500365
8158-6104,2.1786590194262283,2.1408516622548137,2.0507428536538517,2.0173709932846617
8239-3703,2.2851838352324494,2.0938136010080144,2.0907062622295256,2.2628013200685393
8241-9101,2.1221332725233215,2.141091263250533,2.150951190554944,2.080113359460391
8243-9102,2.260756888802261,2.2118795515330456,2.219998178287182,2.101949695027398
8247-12704,1.7422055520667574,1.8541697615845016,1.8226682327296402,1.819404544817418
8253-3704,2.209007773459247,2.0665043691694787,2.0852270428478925,2.030823479587088
8254-12704,1.7759234058426805,1.8415120178338142,1.8170999660088687,1.8190679476993123
8256-6103,2.440589065391809,2.341094809656229,2.289291950385845,2.214091398492765
8257-1902,2.178597708828488,2.1054436315081584,2.149168310379356,2.068644338567559
8260-3704,2.021880311299188,2.0634324639274255,2.0312947526383303,2.0584999217947058
8262-1902,1.7300045315990555,2.11128291659389,2.067173705248034,1.992013111781136
8262-3702,2.0006795731916225,2.0931726512514213,1.9962185226146434,1.9540328512737353
8309-3704,2.3693153254382993,2.180986002606779,2.202982083091916,2.2996990106115853
8310-6104,2.2615442956013223,2.1971770664807297,2.1917146153612364,2.036460160816802
8314-3704,1.977112145563652,2.2291796195532347,2.1925425641710437,2.011753217237026
8314-6102,1.6835503298742296,1.825275910162757,1.7940489342414963,1.8148036408734178
8315-1902,2.2240184412817223,2.05455258255539,2.1054635337125607,2.1460353538277963
8317-12702,2.29131822421775,2.2886054520018186,2.3089473204527686,2.255559507755462
8317-9101,1.9500049029831426,1.9650889038897639,1.937229871110408,1.9447362700417805
8318-6104,1.7284881895685784,1.739305736386914,1.7327242289060363,1.7552053300775154
8320-3702,1.935965300607934,1.963240275748335,1.9195439316599354,1.907803886422233
8322-3701,2.040826944379654,1.9293220571157692,1.9166744003746816,1.9124019005354447
8323-6103,1.992982960966765,1.8947041707805738,1.9228211639392987,1.9386592961111395
8324-6103,1.9012149502243954,1.8100008855537495,1.8736329277010562,1.884763665255615
8324-6104,2.1414005401163196,2.010604495685653,2.062310184064929,2.040839743691778
8324-9101,1.8332797396068494,1.8269123278082968,1.8061339699669015,1.8051162071721747
8328-9101,2.0208586958472856,2.035338362488642,2.077095439763031,2.0188248971631912
8330-12703,1.8080333013625673,1.7920869543958293,1.784415448967284,1.780640026268258
8330-6102,1.787181246068547,1.8544749005113708,1.8379555887672998,1.8237348229869623
8331-6104,1.7020686459795307,1.8551316281352173,1.855615685597792,1.8864546163386526
8332-9102,2.0691732224578434,1.8528892720410586,1.902950060027324,1.91443745502775
8336-12702,2.0978026992530365,2.0414453555323444,2.1015447945025962,2.0376687387500265
8336-12704,1.8932598981224806,1.8233672946955102,1.8943249732116774,1.9404822736229361
8338-1901,1.7114901204906035,1.8815937681607864,1.8456595640981228,1.8563336434826887
8338-3701,2.1312965126504717,2.1939436828983214,2.2242717718446365,2.2236504002627444
8341-12702,2.333057342873407,2.1107511049339833,2.1618325309610205,2.129700522144205
8341-9101,1.9582643604298178,2.0063349718035637,1.949136807533594,1.9260359677719856
8439-6101,1.7826952326089596,1.824072913860832,1.7878054989622691,1.7813805986086675
8440-3704,1.7619844132379887,1.8367406421778032,1.820132588726271,1.8445701341965333
8441-12704,2.187726820799251,2.0918234152416924,2.1581513262362892,2.066375044296268
8441-9101,1.7790737970489463,1.8183711937325724,1.7783141548061476,1.800866246751055
8442-1901,2.0793798903366785,2.024981361045386,2.000461596363183,2.015101881190189
8443-3704,1.832234709703605,1.8929798393923907,1.8554605289744377,1.8786398460569607
8444-1901,1.6653179897077341,1.7598298574363236,1.7604880694249705,1.7621377519552333
8444-3702,1.7827633464761556,1.7269638247115626,1.7265378135009475,1.7458900107580293
8447-12702,1.8948059739937888,1.9914388691995262,1.896448093537414,1.890518377243162
8449-3703,1.8225854947116824,1.9810834337227907,1.8800997687538552,1.8576346315810957
8449-6101,1.8426627119465628,1.7917201651118893,1.7644555408757219,1.7779686122637586
8450-6102,1.688894527561912,1.8426304109374798,1.80041549982101,1.8190079371047978
8454-6104,1.9045555353475863,1.9851980686977166,1.9526193865951287,1.959924247644356
8455-3701,1.940531176985904,1.9507527679169547,1.9095045463967988,1.8788815690024878
8461-3702,2.407678582382823,2.393930068637172,2.3876845246831455,2.3576975242811096
8464-3701,1.7870530526920874,1.9793813810785066,1.9151978842887607,1.8994434514129703
8466-12702,1.7702962008486065,1.8758619513269663,1.80887230758921,1.8077568265314028
8482-9101,2.1867453492575377,2.0432597514073954,2.081754833428985,2.016236764263704
8483-3702,2.1799875903102257,2.1381585539537573,2.1069928227720442,2.1653814699892164
8486-12705,2.182113509497849,2.03434719956993,2.0494747803831794,2.013517809426123
8488-12705,2.0764649430510835,1.9987696655092109,2.0468365126414056,2.034519099481128
8547-3703,2.0621109611934774,2.189946486133701,2.1907250626313837,2.0528769869810004
8554-3701,1.80576869243079,1.9645740951793444,1.8822953917882574,1.8613029063708473
8562-6104,1.8344046160477083,1.9013921854233815,1.8984255542846191,1.9118711978428644
8563-3701,1.6207115043051916,1.8361632670441668,1.7739473147918463,1.780616153356044
8595-3703,2.1978749278500223,2.118370989861139,2.0533000876511296,2.031868630085366
8595-3704,1.630697826670403,1.795921734519075,1.7703439854218863,1.7684057305628242
8596-3703,2.3175464676358706,2.295262226003746,2.2977555722411718,2.3813071974643347
8597-3703,2.3178143794752253,2.1972886797212348,2.216881427215707,2.261955354657204
8602-9102,2.0716633328366183,1.9816038428205185,1.9949259112189288,2.105266102296487
8603-6102,2.049280448015241,2.0568991586430485,2.0515626284464408,2.0718738862601755
8609-3702,2.341596143063178,2.1820707444262943,2.1804940002072173,2.2791084166659625
8609-6103,1.8929033073735526,2.0347653243065826,2.102501741815847,2.0194472495723956
8610-3703,1.9071868456032375,1.9448893250324466,1.8567582463532737,1.8354806501275762
8611-9101,1.934330912560167,1.9884536854137433,1.9626826073216712,1.975597021422887
8612-6104,1.9883771304636535,2.06504990702992,2.0154341825337183,2.0087607696021066
8614-3703,2.3395931353359245,2.108009398671258,2.1462419338955363,2.128354802946661
8616-3704,1.9125466726368925,1.9344474501698372,1.9138970551208367,1.9486866710326427
8616-6104,1.9845176372449538,1.8655885491285558,1.900628044011537,1.902767544119578
8624-6104,2.2977279104409054,2.0872176202942243,2.135812273579215,2.1644933872824055
8657-3701,1.7249129954935192,1.9236300525031231,1.8513498548527747,1.8169669831075437
8718-6103,2.330424123234544,2.1385206446697604,2.1693336199008084,2.3362109419706685
8719-6104,1.6859763733189563,1.7870227022701328,1.736125977270767,1.7365917588761333
8723-12704,1.9759116111135373,1.9512864995021637,1.955318902172362,1.9630101067392118
8727-3703,1.9817616787093422,2.0221642489628495,2.1336477761948105,2.0227206772326918
8931-1902,1.8429332172360966,1.9327315209191527,1.909845051217462,1.8695440000696388
8932-9102,1.9521020587208866,1.8624016507211854,1.835339852742935,1.8766694920556568
8934-3701,1.9400034954516763,1.9366053447792566,1.8645642431881124,1.8318819093809025
8937-3704,2.1001847238412528,2.1012148357086033,2.170019682173384,2.2547680733493016
8941-6101,1.9041445839754572,1.8422555786290944,1.8656391988753922,1.8927021755086777
8944-12702,2.0766826697481524,1.9464758362916847,1.9774362427558145,1.9931242128038125
8944-6103,2.0105276470765716,1.914362523039197,1.919600639415729,1.9232448124792432
8946-6102,1.938668050436764,1.952538370763139,1.9699946882835153,1.9889548984274639
8948-1901,2.276561749338529,2.080167983356323,2.141876506706345,2.2217243314770294
8948-9101,1.6869089134489748,1.7651902375618953,1.7509799865374278,1.7416715684044186
8977-12704,1.9440332904065227,1.7715823310762968,1.753567059889696,1.7714110479834124
8982-12704,2.1873971831487293,1.9099741141456983,1.9533321479594812,1.9658399079106883
8982-3701,2.3085612123616137,2.301895934975596,2.313798963708823,2.1945477754633806
8985-1901,1.7884524793687067,1.906320932372967,1.8149131331393984,1.8062547588488058
8991-12705,1.811442552665862,1.9150234032607865,1.8810512599463178,1.8615434648111455
8993-3701,2.19784546275177,2.215727234361794,2.234260337540267,2.2410981596166306
8994-9101,1.8128409904718907,1.874085436536738,1.9015960805971526,1.9098244948608922
8999-1902,2.045141397913413,2.0748932532259854,2.0323523074034147,2.0498203279993876
9024-1902,1.9034460167793972,2.0674287633094797,1.9420397790604662,1.8835210968633203
9024-6102,1.875402889795013,1.8667146123712035,1.8522510799373473,1.847711744791809
9027-12702,1.778541216459671,1.8080521995637517,1.7694749598151467,1.7554584712364982
9028-3702,2.0904866059610376,2.0148813443105573,2.054948686924899,2.0280330025862936
9029-3702,2.1590306104612655,1.999574925896844,2.040928341620122,2.071325050324238
9030-6103,2.0798094327696446,2.0793590349485456,2.0820760888183365,2.2472080135877897
9036-12705,1.6181438402421857,1.750407988664713,1.738648050062377,1.740085400554699
9036-3702,2.3190177333692197,2.151103058108263,2.0494359806888114,1.9422887183016233
9037-6104,2.3133202131189834,2.175527084347093,2.196977201729628,2.1853784434153507
9038-6101,2.385442890953452,2.178952704006591,2.176779126914167,2.33059725937133
9039-6102,2.176750885478996,2.0940293926963824,2.126906172426003,2.0474614215215103
9040-3702,1.994385261600037,2.1356701397922455,2.0807166673643938,1.933824598227341
9043-3703,2.4407021134650853,2.2364711979159435,2.2508801073762568,2.3812154848035116
9043-6101,2.2340612374151974,2.263154212195728,2.2747342854606907,2.327663765270277
9044-12704,2.290361656700602,2.237723692371063,2.243745904275037,2.1358456865744353
9045-12704,1.8159609403919705,1.936190185238156,1.8797506543304767,1.8958282604287302
9045-3704,2.3120260042633136,2.144588578067335,2.1784074396961985,2.104092989147534
9046-3702,2.2141455027572627,2.1498164108260926,2.1792846278728435,2.290831965918311
9047-3703,2.315669592071778,2.439512109519825,2.433139806889001,2.158458338055099
9048-9101,1.9731715118611046,1.93290271611129,1.9093957098016325,1.941026975932535
9049-3704,1.7411531752354283,1.7578130937231722,1.751623592737908,1.75219697675034
9050-9102,2.0465369139088296,1.95159398066115,2.0139051408276525,1.9940788738414668
9085-1902,2.223496979322138,2.3063835398967303,2.2567693580309225,2.0902034444030924
9085-6101,2.2206587172502066,2.106685830288875,2.132640026699824,2.1153558498759684
9087-3704,2.1634148382999467,2.035011466116789,2.088121005078243,2.1080196263023163
9092-3703,2.3564266771223723,2.20518781413483,2.242130330540695,2.344756948390335
9093-12701,2.0780400869932016,1.9384753082534742,1.9506289250538495,1.9885371140409054
9182-12703,2.054801054944762,2.0809844147139036,2.0835199042163404,2.102354117438942
9183-3704,2.176070701963683,2.027473066646337,2.046999688728501,2.029478479172903
9186-3701,1.821007867334791,1.9257423686270503,1.9673886035548311,1.944062157015541
9190-9101,2.0602160728336085,2.1236184499482857,2.089349414508192,2.0771696746433763
9193-12701,2.167872699177792,1.9740148504792336,2.037160931279297,2.024617892528403
9193-1901,1.9462284277734607,1.8804587376029749,1.9063004552874352,1.9427087741724536
9193-6101,1.9965972092358977,2.1237422292985224,2.1659097037257284,2.0652278489131164
9194-6104,1.7682395808947302,1.8152485987882538,1.799740052581893,1.8335579826622308
9194-9101,2.2928707389709473,2.328039085625454,2.3463250861044562,2.169079032884412
9196-6104,2.0451457035110865,2.010965717729086,1.970746213556983,1.9639320504056366
9484-6104,2.331751731976151,2.3375317697093774,2.3481399639323133,2.3811941200719335
9489-3703,1.7795630161073366,1.9521383403719696,1.822662350548885,1.7993800590332423
9491-3703,2.324664301864861,2.2213048920374017,2.2419114144669936,2.130432267759013
9491-9102,1.700177400257274,1.7617659167395867,1.7122882841974545,1.7205723467258205
9493-3702,1.527509518892977,1.7457412958458776,1.718277222380164,1.7201082523909033
9500-3704,2.2322228353545452,2.2583245550884925,2.268363380507673,2.1474464826911057
9502-3703,1.9034962422677548,1.9380440421944953,1.9567898139553508,2.0644194277287333
9508-12704,2.0726586260187045,2.132130851746324,2.10973777131259,2.059355727406369
9510-1902,2.22037277002813,2.225718197184385,2.162442503854713,2.026541496025337
9512-1901,2.2843449945228933,2.144615242823493,2.1823859172366005,2.301715581784446
9513-1901,2.033212991104309,2.0768151667018886,2.08603664545226,2.027462362244985
9862-9101,1.7862009671066479,1.8921318258177298,1.8223795842285908,1.822856651176915
9865-12705,1.6266445749545602,1.741776903516718,1.727700025426852,1.71526101043845
9871-12705,1.8639371009652246,1.9097481067977538,1.855094383955736,1.8627438345736658
9871-6101,1.8756748063862736,1.9929690315429145,1.892794059388728,1.8618963588052957
9874-1902,2.1447074330787648,2.1159885938326837,2.151053879813217,2.1738660128466325
9876-3702,1.8901867607965623,1.7782239675136855,1.7632708652556417,1.7946128429322052
9876-3703,1.6946529248359823,1.783058125843755,1.738975774237351,1.7450164642949244
9877-3701,1.7072716024765056,1.7035271012744027,1.7201760954191678,1.721035840462625
9878-1902,2.106510463931446,2.013399297012719,2.05212907130937,1.9895596777589144
9878-3701,2.3840733535797116,2.2837792109244486,2.2659531533277923,2.380313004756143
9881-12705,1.9061751963337878,1.8976169021089022,1.8889191514567847,1.9257370850300088
9881-6101,2.1839203707770927,2.1952523554410437,2.197062110813054,2.2934381588224015
9884-3701,2.2623359745717506,2.0468012634575676,2.061850684625714,2.2458143697857738
9885-1901,1.8452306657046371,1.9674825346232876,1.9180076229974181,1.891424215617335
9886-3702,1.6003856025675682,1.6927911977185035,1.6995683764241234,1.706327964013804
9890-9102,2.4072569409341025,2.223490878689445,2.2268449829736205,2.3528129272387206
9891-9102,2.1867826394176455,2.1346853435443656,2.161331301380153,2.274968082755521
9892-3701,2.308895290307724,2.2989137984364616,2.266120109231277,2.1022215328736125
9893-3704,2.007935021792976,1.9969926390003623,1.995652402421826,1.9828932909681194
