HI_SNR	HI_flux_Jy_km_s	HI_flux_error_Jy_km_s	agc	axis_ratio	center_separation_arcsec	dec_deg	distance_Mpc	distance_error_Mpc	g_minus_r	heliocentric_velocity_km_s	log_HI_mass	log_HI_mass_error	mass_stratum	max_fracflux_grz	max_fracmasked_grz	minimum_flux_signal_to_noise_grz	minimum_predecessor_separation_arcsec	name	r_minus_z	ra_deg	reff_arcsec	reff_kpc	sersic	shape_signal_to_noise	tractor_brickid	tractor_brickname	tractor_dec_deg	tractor_objid	tractor_ra_deg	tractor_release	tractor_type	z_luminosity_Lsun
1.730000000000e+01	1.990000000000e+00	7.000000000000e-02	330147	4.329043139253e-01	2.111696142603e+00	9.995000000000e+00	6.210000000000e+01	2.200000000000e+00	4.433816838558e-01	4.317000000000e+03	9.260000000000e+00	6.000000000000e-02	0	3.445968404412e-02	5.670011974871e-03	1.486150234845e+03	8.041914148233e+02	431-026	3.243982871321e-01	3.487383333333e+02	1.009561729431e+01	3.039480391171e+00	9.286358356476e-01	3.406410964996e+03	389105	3487p100	9.995248270740e+00	2544	3.487388729758e+02	9010	SER	4.739717364641e+09
1.840000000000e+01	2.630000000000e+00	8.000000000000e-02	253392	1.618778117470e-01	9.264144523189e-01	3.661111111111e+00	5.700000000000e+01	2.400000000000e+00	3.622615388209e-01	3.819000000000e+03	9.300000000000e+00	6.000000000000e-02	0	2.441576449201e-03	1.467535737902e-02	5.029524230719e+02	1.000000000000e+09		2.184538087878e-01	2.348216666667e+02	9.311622619629e+00	2.573209162415e+00	1.000000000000e+00	9.316641104833e+03	352901	2347p037	3.661161260938e+00	5996	2.348219195872e+02	9010	EXP	5.207565387922e+08
1.670000000000e+01	1.640000000000e+00	6.000000000000e-02	6936	4.775640843121e-01	2.718286748664e+00	3.227722222222e+01	4.840000000000e+01	4.300000000000e+00	7.087988107183e-01	2.981000000000e+03	8.960000000000e+00	9.000000000000e-02	0	1.281701261178e-03	1.737853586674e-01	8.754087309147e+03	1.000000000000e+09	N3994	4.596911941072e-01	1.794029166667e+02	9.139185905457e+00	2.144508342806e+00	1.958281874657e+00	6.784734401925e+04	507421	1792p322	3.227761833534e+01	5432	1.794036769962e+02	9010	SER	2.260087220416e+10
1.060000000000e+01	1.100000000000e+00	6.000000000000e-02	182608	4.670729688495e-01	1.285207042154e+00	2.572888888889e+01	6.790000000000e+01	2.300000000000e+00	3.384441595116e-01	4.675000000000e+03	9.080000000000e+00	6.000000000000e-02	0	3.314640000463e-02	9.444876760244e-02	1.693451146833e+02	1.355750762692e+03		2.114297661865e-01	1.200125000000e+02	9.630470275879e+00	3.170239963035e+00	9.069398045540e-01	6.951722783548e+02	474417	1200p257	2.572924349165e+01	2362	1.200125458764e+02	9010	SER	4.308672318800e+08
1.400000000000e+01	1.630000000000e+00	7.000000000000e-02	336803	2.347052300357e-01	3.189131547219e-01	1.055055555556e+01	4.860000000000e+01	2.300000000000e+00	2.723573933130e-01	3.380000000000e+03	8.960000000000e+00	6.000000000000e-02	0	3.652470111847e-01	5.250091850758e-02	1.024022910198e+02	4.939267809530e+03		1.771897259951e-01	3.509033333333e+02	1.299520015717e+01	3.061921900926e+00	1.134458303452e+00	7.167251209364e+02	391950	3509p105	1.055060022755e+01	884	3.509032555126e+02	9010	SER	1.810760178897e+08
2.260000000000e+01	2.480000000000e+00	6.000000000000e-02	732593	3.724117369122e-01	4.842238032683e-01	2.474222222222e+01	4.290000000000e+01	2.400000000000e+00	4.002761639164e-01	2.791000000000e+03	9.030000000000e+00	7.000000000000e-02	0	1.076274514198e-01	5.671157315373e-02	2.845761019725e+02	1.306873027470e+03		2.623136963257e-01	1.995316666667e+02	1.043741989136e+01	2.170827498332e+00	1.127051353455e+00	7.533199220205e+02	469486	1996p247	2.474210171763e+01	457	1.995317324620e+02	9010	SER	2.453069469087e+08
1.930000000000e+01	1.920000000000e+00	6.000000000000e-02	190450	6.641467030591e-01	2.304008285902e+00	1.463027777778e+01	5.810000000000e+01	2.300000000000e+00	2.987313490071e-01	3.877000000000e+03	9.180000000000e+00	6.000000000000e-02	0	1.560047119856e-01	2.229546941817e-02	6.425237458889e+02	3.065450192347e+03	092-032	1.286573576757e-01	1.455966666667e+02	7.770769596100e+00	2.188845114918e+00	8.265921473503e-01	2.957344980559e+03	415053	1455p147	1.463011525952e+01	3700	1.455973064337e+02	9010	SER	1.668159457779e+09
1.190000000000e+01	8.900000000000e-01	5.000000000000e-02	121809	5.597065415736e-01	9.712431733928e-01	2.565833333333e+00	4.170000000000e+01	4.300000000000e+00	3.525365752087e-01	3.165000000000e+03	8.560000000000e+00	1.000000000000e-01	0	7.779037952423e-02	2.990755625069e-02	9.475046251217e+02	1.000000000000e+09		1.750876707290e-01	4.524791666667e+01	1.361360645294e+01	2.752226128231e+00	1.563831925392e+00	3.032505082970e+03	344948	0451p025	2.565927870618e+00	7343	4.524766372781e+01	9010	SER	1.049287066079e+09
1.880000000000e+01	2.170000000000e+00	7.000000000000e-02	198494	2.740103758117e-01	1.279641682944e+00	1.721944444444e+00	2.610000000000e+01	2.400000000000e+00	1.514933053608e-01	1.660000000000e+03	8.540000000000e+00	9.000000000000e-02	0	5.244843289256e-02	1.405622716993e-02	2.658614112734e+02	1.407350537956e+03		6.341338478427e-02	1.409391666667e+02	1.022080802917e+01	1.293303954344e+00	9.443311095238e-01	6.325381021921e+03	341011	1408p017	1.722283197440e+00	4005	1.409392743996e+02	9010	SER	1.105045742653e+08
1.010000000000e+01	1.180000000000e+00	8.000000000000e-02	333290	1.660973749688e-01	8.692650835239e-01	2.487444444444e+01	5.740000000000e+01	2.400000000000e+00	4.640655902617e-01	4.008000000000e+03	8.960000000000e+00	6.000000000000e-02	0	6.409307569265e-02	2.178415842354e-02	5.627023332552e+02	3.617250958015e+03		3.093481882802e-01	3.527920833333e+02	9.959953308105e+00	2.771686213888e+00	1.000000000000e+00	4.807923257772e+03	470043	3527p247	2.487456086436e+01	4026	3.527923165095e+02	9010	EXP	5.223370002179e+08
1.450000000000e+01	1.600000000000e+00	7.000000000000e-02	100499	5.718961629631e-01	7.376860431265e-01	2.745027777778e+01	7.260000000000e+01	2.300000000000e+00	2.560385243665e-01	5.186000000000e+03	9.300000000000e+00	5.000000000000e-02	0	3.698158834595e-04	2.862150548026e-03	1.741823113021e+03	5.122757650810e+03	MK 346	1.217286732554e-01	1.123666666667e+01	4.977536678314e+00	1.751967140787e+00	1.064383149147e+00	8.117754222190e+03	483061	0111p275	2.745047699718e+01	4919	1.123672072678e+01	9010	SER	3.753105747057e+09
1.180000000000e+01	1.620000000000e+00	8.000000000000e-02	748172	3.729883110561e-01	6.365290166609e-01	3.028388888889e+01	7.380000000000e+01	2.200000000000e+00	4.053963713685e-01	4.970000000000e+03	9.320000000000e+00	5.000000000000e-02	0	1.671784184873e-02	8.695518225431e-02	4.181853697003e+02	1.000000000000e+09		2.888000961221e-01	2.049233333333e+02	6.487456321716e+00	2.321163194312e+00	1.168306350708e+00	3.278086928430e+03	497641	2049p302	3.028406325065e+01	1516	2.049233673205e+02	9010	SER	9.533726459900e+08
1.700000000000e+01	1.570000000000e+00	6.000000000000e-02	189084	4.922259007073e-01	8.244315605461e-01	1.865833333333e+00	4.670000000000e+01	2.200000000000e+00	3.497196384326e-01	3.043000000000e+03	8.910000000000e+00	6.000000000000e-02	0	9.488730691373e-03	1.956559531391e-02	5.350986041407e+02	4.692109479332e+03		1.829430896890e-01	1.289966666667e+02	4.474101066589e+00	1.012972225419e+00	1.676255583763e+00	2.864320673421e+03	340963	1288p017	1.865604831421e+00	5410	1.289966818937e+02	9010	SER	6.123180634499e+08
2.760000000000e+01	2.770000000000e+00	7.000000000000e-02	739277	2.346704747900e-01	6.074433835937e-01	1.889638888889e+01	5.490000000000e+01	2.400000000000e+00	3.457014144618e-01	3.666000000000e+03	9.290000000000e+00	6.000000000000e-02	0	1.766395568848e-01	5.069802515209e-03	5.281964665594e+02	3.997798725166e+03		2.275941492280e-01	1.546350000000e+02	1.004235744476e+01	2.672901081618e+00	5.503938794136e-01	2.056760782608e+03	438545	1545p190	1.889651664334e+01	4182	1.546351165073e+02	9010	SER	8.761210473524e+08
1.100000000000e+01	1.120000000000e+00	6.000000000000e-02	198663	3.322386742156e-01	9.534506787539e-01	1.916833333333e+01	8.940000000000e+01	2.200000000000e+00	4.478921939722e-01	5.966000000000e+03	9.320000000000e+00	5.000000000000e-02	0	1.474867761135e-01	1.060198694468e-01	1.821600171666e+02	4.820542181564e+03		2.470616285539e-01	1.414329166667e+02	1.367405223846e+01	5.926654635664e+00	1.828386664391e+00	2.226234453005e+03	439859	1415p192	1.916839399416e+01	391	1.414331896063e+02	9010	SER	9.311312706016e+08
1.006000000000e+02	5.770000000000e+00	4.000000000000e-02	942	7.867067308623e-01	5.413961196903e-01	6.691388888889e+00	3.170000000000e+01	2.300000000000e+00	4.135034202562e-01	2.335000000000e+03	9.130000000000e+00	8.000000000000e-02	0	2.816500701010e-02	5.140089616179e-02	8.205532653484e+02	1.000000000000e+09		2.762142336897e-01	2.093208333333e+01	1.604282951355e+01	2.465557284505e+00	1.500480771065e+00	2.169725389919e+03	369271	0209p067	6.691539270069e+00	1313	2.093208195207e+01	9010	SER	8.427214380575e+08
1.810000000000e+01	3.210000000000e+00	1.000000000000e-01	211145	3.261201443935e-01	3.210241589125e-01	1.769333333333e+01	5.090000000000e+01	4.300000000000e+00	6.191633267078e-01	3.877000000000e+03	9.290000000000e+00	9.000000000000e-02	0	9.273448958993e-04	1.713749580085e-02	1.009483253682e+03	1.000000000000e+09	M+330035	5.069118809653e-01	1.750237500000e+02	1.036707782745e+01	2.558285492413e+00	1.446105837822e+00	2.580299633132e+03	431778	1751p177	1.769341831062e+01	92	1.750237783699e+02	9010	SER	1.997515171757e+09
2.480000000000e+01	2.110000000000e+00	5.000000000000e-02	257937	7.998828703680e-01	6.406268693981e-01	1.622166666667e+01	4.470000000000e+01	2.400000000000e+00	3.991112114997e-01	2.849000000000e+03	9.000000000000e+00	6.000000000000e-02	0	4.836279153824e-01	1.042089909315e-01	7.638163756947e+01	2.495801069861e+03		1.735001119016e-01	2.363616666667e+02	7.264764308929e+00	1.574359535771e+00	1.000000000000e+00	3.280418934038e+02	423740	2363p162	1.622182452075e+01	3605	2.363615811100e+02	9010	EXP	1.150411130675e+08
2.600000000000e+01	2.230000000000e+00	5.000000000000e-02	733593	7.789658395225e-01	9.797459380332e-01	2.563361111111e+01	2.450000000000e+01	2.200000000000e+00	2.816155044931e-01	1.386000000000e+03	8.500000000000e+00	9.000000000000e-02	0	4.982898384333e-02	7.322566118091e-03	5.264644754054e+02	1.601820565312e+03		1.665290856011e-01	2.281695833333e+02	5.675316333771e+00	6.741103957929e-01	9.808967709541e-01	2.004230676266e+03	474807	2280p257	2.563376141312e+01	4299	2.281698349852e+02	9010	SER	1.783380434760e+08
1.780000000000e+01	1.330000000000e+00	6.000000000000e-02	741525	3.995590992652e-01	2.467732861539e+00	2.219277777778e+01	5.140000000000e+01	2.200000000000e+00	2.535872853075e-01	3.420000000000e+03	8.920000000000e+00	6.000000000000e-02	0	5.160065293312e-01	2.204692689702e-03	2.751124650844e+02	1.228406759880e+03		8.273688340500e-02	1.781158333333e+02	6.544874191284e+00	1.630944898225e+00	6.575150489807e-01	1.165743135460e+03	456182	1782p222	2.219293759792e+01	115	1.781151134099e+02	9010	SER	2.812312561098e+08
5.410000000000e+01	9.170000000000e+00	1.000000000000e-01	9341	3.258209641237e-01	1.640404948914e+00	3.008055555556e+00	2.760000000000e+01	4.100000000000e+00	7.008062284087e-01	1.459000000000e+03	9.220000000000e+00	1.400000000000e-01	0	3.287555873394e-01	2.711320761591e-03	5.369522465888e+03	4.156699949802e+03	I1024	5.529296026440e-01	2.178629166667e+02	1.534314537048e+01	2.053044433174e+00	9.083299040794e-01	1.246339597755e+04	348519	2178p030	3.008509217957e+00	2791	2.178628739038e+02	9010	SER	5.421571467085e+09
2.100000000000e+01	2.100000000000e+00	6.000000000000e-02	714204	5.180495488362e-01	1.554772360283e+00	9.134722222222e+00	2.860000000000e+01	2.300000000000e+00	3.070616285474e-01	1.759000000000e+03	8.610000000000e+00	8.000000000000e-02	0	4.007799923420e-02	1.104940939695e-02	5.825544375640e+02	6.360354430645e+03		1.775995723720e-01	2.198016666667e+02	9.351833343506e+00	1.296694470039e+00	1.051704764366e+00	2.030509832452e+03	384334	2198p092	9.135062057466e+00	1021	2.198019366119e+02	9010	SER	3.474198254556e+08
5.240000000000e+01	6.520000000000e+00	7.000000000000e-02	7780	2.525929935640e-01	2.034859599151e+00	3.106944444444e+00	2.420000000000e+01	1.800000000000e+00	3.224494162860e-01	1.443000000000e+03	8.950000000000e+00	8.000000000000e-02	0	3.428494185209e-02	2.925311960280e-02	3.938297630259e+02	3.544270417532e+03	042-175	1.942393006206e-01	1.891750000000e+02	2.328177642822e+01	2.731532343370e+00	8.297299146652e-01	4.451406768790e+03	348404	1891p030	3.107502462439e+00	3428	1.891749098063e+02	9010	SER	2.979950876629e+08
1.170000000000e+01	1.000000000000e+00	6.000000000000e-02	102935	5.013218523941e-01	8.644044931982e-01	2.875972222222e+01	6.120000000000e+01	2.200000000000e+00	2.724797516336e-01	4.400000000000e+03	8.950000000000e+00	6.000000000000e-02	0	7.759924978018e-03	5.266870930791e-02	1.427645204331e+03	1.000000000000e+09		1.223060568595e-01	1.210541666667e+01	7.463479042053e+00	2.214458809936e+00	1.628979086876e+00	3.204469437923e+03	489432	0121p287	2.875995161305e+01	2694	1.210533573691e+01	9010	SER	2.194298634375e+09
1.260000000000e+01	9.600000000000e-01	6.000000000000e-02	190438	5.820667501512e-01	2.482827150017e+00	1.031277777778e+01	8.890000000000e+01	2.400000000000e+00	4.028259823385e-01	5.898000000000e+03	9.250000000000e+00	6.000000000000e-02	0	1.658871918917e-01	2.610249444842e-02	6.038989200357e+02	2.871064080173e+03	063-036	2.537980881221e-01	1.452795833333e+02	1.099413967133e+01	4.738467189647e+00	1.104113578796e+00	1.892252139452e+03	389722	1453p102	1.031343347507e+01	1364	1.452798006480e+02	9010	SER	4.517906510875e+09
1.610000000000e+01	1.540000000000e+00	6.000000000000e-02	732953	6.046579647380e-01	4.144442061174e-01	2.832277777778e+01	6.780000000000e+01	2.200000000000e+00	3.888446324398e-01	4.517000000000e+03	9.220000000000e+00	5.000000000000e-02	0	1.455048173666e-01	6.837303191423e-02	4.185712508673e+02	1.000000000000e+09		2.562157917451e-01	2.177833333333e+02	1.208668899536e+01	3.972939100933e+00	1.210781812668e+00	1.187491123896e+03	487620	2178p282	2.832287689563e+01	1447	2.177833998483e+02	9010	SER	1.691614001746e+09
1.580000000000e+01	6.800000000000e-01	3.000000000000e-02	748769	5.520833428913e-01	4.754032460731e-01	1.507805555556e+01	6.010000000000e+01	2.200000000000e+00	3.162304447961e-01	4.189000000000e+03	8.760000000000e+00	6.000000000000e-02	0	3.462021052837e-01	9.820207208395e-02	1.024915816236e+02	7.058876500077e+02		1.415760849367e-01	3.515587500000e+02	1.362399959564e+01	3.969665938634e+00	1.683153033257e+00	1.070717118755e+03	417243	3515p150	1.507796561679e+01	1574	3.515586498536e+02	9010	SER	2.327530816506e+08
1.370000000000e+01	7.700000000000e-01	4.000000000000e-02	102684	5.058239347638e-01	1.128424408301e+00	2.548583333333e+01	1.016000000000e+02	2.200000000000e+00	3.435929405439e-01	7.447000000000e+03	9.270000000000e+00	5.000000000000e-02	0	1.227791085839e-01	4.695097357035e-02	1.024847645792e+02	4.725304479443e+03		1.808209777116e-01	5.528333333333e+00	7.832807540894e+00	3.858211493440e+00	1.270294189453e+00	4.232381483344e+02	472701	0053p255	2.548612988781e+01	4105	5.528445803382e+00	9010	SER	6.810301464214e+08
1.070000000000e+01	1.640000000000e+00	8.000000000000e-02	116388	1.594810896934e-01	9.081546892112e-01	1.082944444444e+01	6.360000000000e+01	2.400000000000e+00	6.987038077014e-01	4.617000000000e+03	9.190000000000e+00	6.000000000000e-02	0	1.115253008902e-02	1.734748855233e-02	9.745430088060e+02	3.541819358926e+03		6.155865402182e-01	2.766041666667e+01	9.030922889709e+00	2.784608320905e+00	1.177555799484e+00	2.140071404301e+04	392094	0275p107	1.082941124225e+01	2693	2.766067126994e+01	9010	SER	2.285584082336e+09
2.380000000000e+01	2.310000000000e+00	6.000000000000e-02	9252	2.502304193344e-01	1.360456412319e+00	5.135000000000e+00	2.610000000000e+01	2.300000000000e+00	3.735761767424e-01	1.585000000000e+03	8.570000000000e+00	9.000000000000e-02	0	1.736520379782e-01	6.320212036371e-02	5.329541155450e+02	7.184733823610e+03	047-042	2.158872503627e-01	2.167950000000e+02	1.797672843933e+01	2.274709975023e+00	6.643946170807e-01	6.004514695813e+03	361450	2167p052	5.135261032653e+00	3720	2.167947256334e+02	9010	SER	3.650604735953e+08
1.000000000000e+01	9.700000000000e-01	6.000000000000e-02	124932	7.347176367720e-01	1.993397086605e+00	3.325527777778e+01	7.450000000000e+01	2.300000000000e+00	3.527108851996e-01	5.387000000000e+03	9.100000000000e+00	6.000000000000e-02	0	1.612322926521e-01	2.721575554460e-03	4.363990006837e+01	1.000000000000e+09		2.236534934113e-01	3.196166666667e+01	4.147196292877e+00	1.497910038270e+00	1.000000000000e+00	4.884685138115e+02	511783	0320p332	3.325575375922e+01	279	3.196200500411e+01	9010	EXP	1.710470181506e+08
2.430000000000e+01	4.200000000000e+00	1.000000000000e-01	1157	8.030552917590e-01	9.259146498265e-01	5.877222222222e+00	4.330000000000e+01	4.300000000000e+00	6.311619329780e-01	3.153000000000e+03	9.270000000000e+00	1.000000000000e-01	0	8.855348452926e-03	8.145302534103e-02	6.161648511652e+03	1.000000000000e+09	N 632	4.288517442519e-01	2.432333333333e+01	1.266426277161e+01	2.658536800280e+00	3.497733354568e+00	7.730238401589e+03	364986	0242p060	5.877373403508e+00	5633	2.432312416079e+01	9010	SER	1.674784130041e+10
2.110000000000e+01	2.760000000000e+00	7.000000000000e-02	241411	6.658312788108e-01	1.770070175843e+00	1.611250000000e+01	3.620000000000e+01	2.100000000000e+00	4.766935621382e-01	2.297000000000e+03	8.930000000000e+00	7.000000000000e-02	0	1.164338458329e-02	5.517009645700e-03	2.234115307628e+03	4.741512415185e+03	103-101	3.221124450347e-01	2.126012500000e+02	9.273746490479e+00	1.627566180889e+00	9.315607547760e-01	5.042862936449e+03	422264	2125p160	1.611249919755e+01	2207	2.126017617895e+02	9010	SER	2.655857443321e+09
2.970000000000e+01	4.410000000000e+00	9.000000000000e-02	252399	1.763890869949e-01	1.540212731255e+00	2.095277777778e+00	2.560000000000e+01	4.300000000000e+00	2.049223332611e-01	1.811000000000e+03	8.830000000000e+00	1.500000000000e-01	0	5.124803259969e-02	3.519495204091e-02	5.555683274183e+02	1.000000000000e+09	MTT-192	1.389281374341e-01	2.265466666667e+02	1.682297134399e+01	2.087937706107e+00	1.271274924278e+00	1.258100783064e+04	342794	2266p020	2.095689461411e+00	1115	2.265467831965e+02	9010	SER	2.696026176190e+08
1.070000000000e+01	1.520000000000e+00	8.000000000000e-02	111168	3.541512438325e-01	1.042208256781e+00	8.822222222222e+00	7.570000000000e+01	2.400000000000e+00	6.785821128688e-01	5.445000000000e+03	9.310000000000e+00	6.000000000000e-02	0	2.503968076780e-03	2.749253297225e-03	1.270850535562e+03	1.000000000000e+09		5.364241170710e-01	2.572208333333e+01	3.919219732285e+00	1.438369148533e+00	2.025338172913e+00	3.699286969861e+03	380719	0256p087	8.822136540451e+00	3967	2.572236317727e+01	9010	SER	3.415305881802e+09
1.240000000000e+01	8.900000000000e-01	5.000000000000e-02	208876	4.996521004936e-01	2.319096867235e+00	2.336527777778e+01	9.570000000000e+01	2.300000000000e+00	3.320871644967e-01	6.382000000000e+03	9.280000000000e+00	5.000000000000e-02	0	1.095860674977e-01	1.028481684625e-02	9.347870377550e+01	3.968130670013e+03		2.108143261556e-01	1.630441666667e+02	5.819401264191e+00	2.700008358750e+00	6.094689965248e-01	4.200428574790e+02	461446	1630p232	2.336479545105e+01	3121	1.630446318307e+02	9010	SER	4.407102371899e+08
1.080000000000e+01	1.260000000000e+00	7.000000000000e-02	104217	5.907517639071e-01	6.257973296854e-01	2.408055555556e+00	3.700000000000e+01	2.400000000000e+00	4.491127384743e-01	2.639000000000e+03	8.610000000000e+00	8.000000000000e-02	0	4.389626979828e-01	5.660399422050e-02	1.754787199328e+02	1.000000000000e+09		3.107476632910e-01	1.535833333333e+00	5.453049182892e+00	9.781737536228e-01	1.116255402565e+00	5.844414981628e+02	344774	0016p025	2.408058042696e+00	1331	1.535659364117e+00	9010	SER	6.043640016084e+07
1.620000000000e+01	1.160000000000e+00	5.000000000000e-02	105447	6.585600121630e-01	2.633077789656e-01	3.066111111111e+00	7.850000000000e+01	2.200000000000e+00	2.892337712390e-01	5.574000000000e+03	9.230000000000e+00	5.000000000000e-02	0	8.729422837496e-02	6.992982327938e-02	2.287831895954e+02	1.000000000000e+09		1.546702802364e-01	4.491666666667e+00	1.221777820587e+01	4.649826631170e+00	1.447422385216e+00	1.523249911107e+03	347665	0043p030	3.066183993675e+00	7599	4.491672804981e+00	9010	SER	9.611522770920e+08
1.080000000000e+01	1.000000000000e+00	6.000000000000e-02	188950	5.330599636440e-01	2.144102671165e+00	3.924444444444e+00	6.740000000000e+01	2.300000000000e+00	3.765780743677e-01	4.524000000000e+03	9.030000000000e+00	6.000000000000e-02	0	6.049248576164e-01	1.185768768191e-01	2.380281281166e+02	1.000000000000e+09		2.423139369757e-01	1.237545833333e+02	1.490471553802e+01	4.870330743963e+00	1.656790256500e+00	8.293982607847e+02	353896	1237p040	3.924955758209e+00	2139	1.237548894673e+02	9010	SER	1.428100019222e+09
