split,bundle,fold,train_count,test_count,alpha,gamma_multiplier,inner_mse
9060602,baseline,4,69,17,10.0,1.0,0.005308686950882684
9060602,quadrupole_axis,0,68,18,10.0,1.0,0.00581740363053264
9060602,quadrupole_axis,1,69,17,10.0,1.0,0.00460718493751345
9060602,quadrupole_axis,2,69,17,10.0,1.0,0.006305091546834509
9060602,quadrupole_axis,3,69,17,10.0,1.0,0.006052934030435852
9060602,quadrupole_axis,4,69,17,10.0,1.0,0.005741927867298807
9060602,octopole_axis,0,68,18,10.0,1.0,0.005880119787428508
9060602,octopole_axis,1,69,17,10.0,1.0,0.00460472234382918
9060602,octopole_axis,2,69,17,10.0,1.0,0.00629317579683911
9060602,octopole_axis,3,69,17,10.0,1.0,0.006092900332294605
9060602,octopole_axis,4,69,17,10.0,1.0,0.00565685757547334
9060602,galactic_latitude,0,68,18,10.0,1.0,0.005741850521934178
9060602,galactic_latitude,1,69,17,10.0,1.0,0.004527627181361763
9060602,galactic_latitude,2,69,17,10.0,1.0,0.006251571910159391
9060602,galactic_latitude,3,69,17,10.0,1.0,0.005917955865029549
9060602,galactic_latitude,4,69,17,10.0,1.0,0.005810227381188457
9060602,ecliptic_axis,0,68,18,10.0,1.0,0.00602026390232315
9060602,ecliptic_axis,1,69,17,10.0,1.0,0.0046127763785734684
9060602,ecliptic_axis,2,69,17,10.0,1.0,0.005797361705296875
9060602,ecliptic_axis,3,69,17,10.0,1.0,0.0062045050447298205
9060602,ecliptic_axis,4,69,17,10.0,1.0,0.0054211871222533325
9060602,all_sky,0,68,18,10.0,1.0,0.005859637427265314
9060602,all_sky,1,69,17,10.0,1.0,0.00440100208794035
9060602,all_sky,2,69,17,10.0,1.0,0.005868301414307585
9060602,all_sky,3,69,17,10.0,1.0,0.005422006237960147
9060602,all_sky,4,69,17,10.0,1.0,0.005816029996165343
9060603,baseline,0,68,18,10.0,1.0,0.003047344351252126
9060603,baseline,1,69,17,10.0,1.0,0.005320627950617561
9060603,baseline,2,69,17,10.0,1.0,0.004636448682745157
9060603,baseline,3,69,17,10.0,1.0,0.004524375059597606
9060603,baseline,4,69,17,10.0,1.0,0.00569793190759177
9060603,quadrupole_axis,0,68,18,10.0,1.0,0.0032355106264870827
9060603,quadrupole_axis,1,69,17,10.0,1.0,0.005386440411442651
9060603,quadrupole_axis,2,69,17,10.0,1.0,0.0049018816068426485
9060603,quadrupole_axis,3,69,17,10.0,1.0,0.004213356326546376
9060603,quadrupole_axis,4,69,17,10.0,1.0,0.005908734732545719
9060603,octopole_axis,0,68,18,10.0,1.0,0.0032122075461081634
9060603,octopole_axis,1,69,17,10.0,1.0,0.005418442019667626
9060603,octopole_axis,2,69,17,10.0,1.0,0.0049393323290057075
9060603,octopole_axis,3,69,17,10.0,1.0,0.004306107656688137
9060603,octopole_axis,4,69,17,10.0,1.0,0.005939445707860192
9060603,galactic_latitude,0,68,18,10.0,1.0,0.003191528448041509
9060603,galactic_latitude,1,69,17,10.0,1.0,0.0053339397387427824
9060603,galactic_latitude,2,69,17,10.0,1.0,0.004834042075998177
9060603,galactic_latitude,3,69,17,10.0,1.0,0.0042120543070806316
9060603,galactic_latitude,4,69,17,10.0,1.0,0.005764094385674519
9060603,ecliptic_axis,0,68,18,10.0,1.0,0.003142672313909268
9060603,ecliptic_axis,1,69,17,10.0,1.0,0.005549339227538063
9060603,ecliptic_axis,2,69,17,10.0,1.0,0.00478564788102212
9060603,ecliptic_axis,3,69,17,10.0,1.0,0.004676519441421662
9060603,ecliptic_axis,4,69,17,10.0,1.0,0.006021701898317956
9060603,all_sky,0,68,18,10.0,1.0,0.00335714813349867
9060603,all_sky,1,69,17,10.0,1.0,0.005552974330265436
9060603,all_sky,2,69,17,10.0,1.0,0.005053357787407616
9060603,all_sky,3,69,17,10.0,1.0,0.004144946766055816
9060603,all_sky,4,69,17,10.0,1.0,0.005436463330190229
galactic_octants,baseline,1,81,5,10.0,1.0,0.00709979972463079
galactic_octants,baseline,2,72,14,10.0,1.0,0.008250243237974362
galactic_octants,baseline,3,82,4,10.0,1.0,0.0070611408167412055
galactic_octants,baseline,4,74,12,10.0,1.0,0.0074604970721420276
galactic_octants,baseline,5,84,2,10.0,1.0,0.006893053265786522
galactic_octants,baseline,6,41,45,10.0,1.0,0.002172722029579812
galactic_octants,baseline,7,82,4,10.0,1.0,0.007399283090185565
galactic_octants,quadrupole_axis,1,81,5,10.0,1.0,0.007131238332521371
galactic_octants,quadrupole_axis,2,72,14,10.0,1.0,0.008264228649928127
galactic_octants,quadrupole_axis,3,82,4,10.0,1.0,0.007263905495791281
galactic_octants,quadrupole_axis,4,74,12,10.0,1.0,0.007139202386343487
galactic_octants,quadrupole_axis,5,84,2,10.0,1.0,0.007052694934538995
galactic_octants,quadrupole_axis,6,41,45,10.0,1.0,0.002060007393999068
galactic_octants,quadrupole_axis,7,82,4,10.0,1.0,0.00748399793830464
galactic_octants,octopole_axis,1,81,5,10.0,1.0,0.007219677260863683
galactic_octants,octopole_axis,2,72,14,10.0,1.0,0.008439094226048046
galactic_octants,octopole_axis,3,82,4,10.0,1.0,0.007365956172413839
galactic_octants,octopole_axis,4,74,12,10.0,1.0,0.0073069790949919396
galactic_octants,octopole_axis,5,84,2,10.0,1.0,0.007176231476787412
galactic_octants,octopole_axis,6,41,45,10.0,1.0,0.0020658087364444034
galactic_octants,octopole_axis,7,82,4,10.0,1.0,0.007632237160512076
galactic_octants,galactic_latitude,1,81,5,10.0,1.0,0.007018963033077561
galactic_octants,galactic_latitude,2,72,14,10.0,1.0,0.008029489810518403
galactic_octants,galactic_latitude,3,82,4,10.0,1.0,0.007177228633497532
galactic_octants,galactic_latitude,4,74,12,10.0,1.0,0.007095505879656954
galactic_octants,galactic_latitude,5,84,2,10.0,1.0,0.006868546439495289
galactic_octants,galactic_latitude,6,41,45,10.0,1.0,0.0019985375463562696
galactic_octants,galactic_latitude,7,82,4,10.0,1.0,0.007320056928512263
galactic_octants,ecliptic_axis,1,81,5,10.0,1.0,0.007205029469507045
galactic_octants,ecliptic_axis,2,72,14,10.0,1.0,0.00869711260572185
galactic_octants,ecliptic_axis,3,82,4,10.0,1.0,0.00756099105716575
galactic_octants,ecliptic_axis,4,74,12,10.0,1.0,0.007835945236530388
galactic_octants,ecliptic_axis,5,84,2,10.0,1.0,0.007400717153763038
galactic_octants,ecliptic_axis,6,41,45,10.0,1.0,0.0020638529965202232
galactic_octants,ecliptic_axis,7,82,4,10.0,1.0,0.008098381071543495
galactic_octants,all_sky,1,81,5,10.0,1.0,0.00682362869279209
galactic_octants,all_sky,2,72,14,10.0,1.0,0.007816275835991683
galactic_octants,all_sky,3,82,4,10.0,1.0,0.0070391457628871034
galactic_octants,all_sky,4,74,12,10.0,1.0,0.006563135738455516
galactic_octants,all_sky,5,84,2,10.0,1.0,0.0069267746553712895
galactic_octants,all_sky,6,41,45,10.0,1.0,0.0022657505705809575
galactic_octants,all_sky,7,82,4,10.0,1.0,0.007422777603987895
