axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	half_light_radius_kpc	halpha_ew	hbeta	hdelta_a	hgamma_a	internal_acceleration_m_s2	log_baryonic_speed_km_s	log_half_light_radius	log_mean_stellar_density	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_quartile	mass_size_crossing_proxy	mean_stellar_density_msun_kpc3	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	minimum_item36_role_separation_arcsec	minimum_predecessor_separation_arcsec	outer_fold	phase_space_proxy	plateifu	ra	redshift	role	sample_cell	sersic_index	sfr_1re	sfr_tot	snr_med_g	source_map_read	stellar_mass_msun	velocity_response_read	annulus	annulus_index	source_pixels	weighted_radius_re	flux_m1	flux_m2	flux_m3	source_nonaxisymmetry	flux_asymmetry	centroid_offset_re	radial_concentration	radius_kpc	enclosed_stellar_mass_msun	enclosed_stellar_mass_fraction	log_baryonic_speed_km_s	log_acceleration	omega_Gyr_inverse	log_omega_Gyr_inverse	mode_frequency_ratio	age_gyr_proxy	vertical_to_orbital_frequency	radial_enclosed_mass_slope	torsion_proxy	nonmetricity_proxy	Finsler_anisotropy_proxy	affine_holonomy_proxy
3.851720000000e-01	1.733887000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.194464206696e+00	1.521454000000e+00	0.000000000000e+00	6.736000000000e-01	5.315310000000e+00	7.001028000000e+00	2.971880000000e+00	2.078171000000e+00	-3.687754000000e-01	1.603758072928e-11	1.481110480506e+00	7.255285985608e-01	6.713311838192e+00	9.665713074253e-01	-1.137577190817e+01	9.511986243177e+00	-6.247277016061e-01	8.060929046055e+00	1-80127	2	-3.667700223747e+00	5.167873069263e+06	1.855717978680e+03	1.105480096116e+03	4.709210547993e+03	9.302801858489e+02	1	7.583284839236e+00	10503-6102	1.601701354980e+02	2.725930000000e-02	exploration	mq2	5.317420000000e-01	1.368404000000e-02	2.558200000000e-02	9.259154000000e+00	False	3.250770000002e+09	False	inner	0	86	5.464607088448e-01	1.287684765848e-02	8.178598608028e-03	3.877996227028e-03	1.573980735422e-02	6.694717091525e-02	3.009058576151e-02	2.084599178714e-01	2.904608070330e+00	6.190819559073e+08	1.904416356454e-01	1.481110480506e+00	-1.099021712391e+01	1.066047025327e+01	1.027776362655e+00	1.639085078854e+00	3.107270000000e+00	1.567706163517e+00	1.541546943449e+00	8.127072347087e-03	2.292265282754e-01	1.382467753711e-02	2.287966138777e-02
3.851720000000e-01	1.733887000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.194464206696e+00	1.521454000000e+00	0.000000000000e+00	6.736000000000e-01	5.315310000000e+00	7.001028000000e+00	2.971880000000e+00	2.078171000000e+00	-3.687754000000e-01	1.603758072928e-11	1.567512173986e+00	7.255285985608e-01	6.713311838192e+00	9.665713074253e-01	-1.137577190817e+01	9.511986243177e+00	-6.247277016061e-01	8.060929046055e+00	1-80127	2	-3.667700223747e+00	5.167873069263e+06	1.855717978680e+03	1.105480096116e+03	4.709210547993e+03	9.302801858489e+02	1	7.583284839236e+00	10503-6102	1.601701354980e+02	2.725930000000e-02	exploration	mq2	5.317420000000e-01	1.368404000000e-02	2.558200000000e-02	9.259154000000e+00	False	3.250770000002e+09	False	outer	1	218	1.139334128412e+00	4.559045226254e-02	7.615256313016e-02	2.160042470173e-02	9.134703364691e-02	6.694717091525e-02	3.009058576151e-02	2.084599178714e-01	6.055914086092e+00	1.921514643903e+09	5.910952309459e-01	1.567512173986e+00	-1.113650590255e+01	6.238582038829e+00	7.950858905333e-01	1.832639515662e+00	3.107270000000e+00	2.678891584343e+00	1.541546943449e+00	6.083032333613e-02	2.292265282754e-01	8.023244857581e-02	6.259542496944e-02
3.213350000000e-01	1.326575000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.516128158569e+01	1.202578000000e+00	0.000000000000e+00	3.008000000000e-01	6.843640000000e+00	4.359509000000e+01	4.807601000000e+00	7.228789000000e+00	5.834195000000e+00	1.447287958328e-12	1.048346155181e+00	8.352871560231e-01	5.558969373930e+00	1.106933018628e+00	-1.003699032752e+01	8.686919451302e+00	-3.423269120772e-01	7.016345139256e+00	1-232047	0	-3.090528991616e+00	3.622174542557e+05	9.672202339717e+03	1.993529156085e+04	1.148832305023e+04	1.575189283856e+03	0	7.831180398980e+00	10506-12704	1.391378479004e+02	1.728400000000e-02	exploration	mq0	9.338220000000e-01	4.466107000000e-02	1.065055000000e-01	1.279184000000e+01	False	4.863170000000e+08	False	inner	0	109	5.214761542856e-01	4.089792434074e-02	1.705007353483e-02	9.302803587543e-03	4.527568196629e-02	1.300027830443e-01	8.221290000222e-02	2.266950379141e-01	3.568795068515e+00	1.036701115369e+08	2.131739411472e-01	1.048346155181e+00	-1.194517984497e+01	3.203155090889e+00	5.055779669144e-01	1.530189677062e+00	1.512890000000e+00	1.381312142143e+00	1.270344684264e+00	2.171321081855e-02	3.648276578679e-01	4.389574385951e-02	5.181884466563e-02
3.213350000000e-01	1.326575000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.516128158569e+01	1.202578000000e+00	0.000000000000e+00	3.008000000000e-01	6.843640000000e+00	4.359509000000e+01	4.807601000000e+00	7.228789000000e+00	5.834195000000e+00	1.447287958328e-12	1.092988689471e+00	8.352871560231e-01	5.558969373930e+00	1.106933018628e+00	-1.003699032752e+01	8.686919451302e+00	-3.423269120772e-01	7.016345139256e+00	1-232047	0	-3.090528991616e+00	3.622174542557e+05	9.672202339717e+03	1.993529156085e+04	1.148832305023e+04	1.575189283856e+03	0	7.831180398980e+00	10506-12704	1.391378479004e+02	1.728400000000e-02	exploration	mq0	9.338220000000e-01	4.466107000000e-02	1.065055000000e-01	1.279184000000e+01	False	4.863170000000e+08	False	outer	1	307	1.115573722142e+00	1.155537332686e-01	1.050901587914e-01	6.177038043860e-02	1.679648375305e-01	1.300027830443e-01	8.221290000222e-02	2.266950379141e-01	7.634584947801e+00	2.723970851435e+08	5.601224821329e-01	1.092988689471e+00	-1.218615859801e+01	1.659421373658e+00	2.199566795857e-01	1.809558658795e+00	1.512890000000e+00	2.666325196509e+00	1.270344684264e+00	1.042259267497e-01	3.648276578679e-01	1.628455092323e-01	1.135307701837e-01
8.297990000000e-01	1.458306000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.506012344360e+01	1.283999000000e+00	0.000000000000e+00	4.797000000000e-01	3.970690000000e+00	2.039683000000e+01	3.960711000000e+00	4.533003000000e+00	3.303479000000e+00	3.002629811582e-11	1.587996492378e+00	5.988659821168e-01	7.112337391288e+00	8.843106882151e-01	-1.067539850208e+01	9.531023946941e+00	-5.867562450735e-01	8.333291982707e+00	1-232171	2	-3.867213000295e+00	1.295201656801e+07	7.951936011935e+03	2.091766193241e+04	9.763677575028e+03	4.023045319368e+02	3	7.763759912020e+00	10506-6104	1.397520599365e+02	3.867520000000e-02	exploration	mq2	8.977650000000e-01	7.171755000000e-02	1.537517000000e-01	7.661445000000e+00	False	3.396439999999e+09	False	inner	0	98	5.329587391526e-01	6.210020231512e-02	3.914948254811e-02	1.108188093337e-02	7.424234099478e-02	1.623863862302e-01	9.470763993729e-02	2.181268640510e-01	2.116213935966e+00	7.378909775403e+08	2.172542360650e-01	1.587996492378e+00	-1.063891713050e+01	1.871502209541e+01	1.272190344189e+00	1.545823820580e+00	1.919995000000e+00	1.413720191315e+00	1.280428331075e+00	3.589177582925e-02	3.597858344626e-01	1.805160097093e-02	6.758075216984e-02
8.297990000000e-01	1.458306000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.506012344360e+01	1.283999000000e+00	0.000000000000e+00	4.797000000000e-01	3.970690000000e+00	2.039683000000e+01	3.960711000000e+00	4.533003000000e+00	3.303479000000e+00	3.002629811582e-11	1.633665331458e+00	5.988659821168e-01	7.112337391288e+00	8.843106882151e-01	-1.067539850208e+01	9.531023946941e+00	-5.867562450735e-01	8.333291982707e+00	1-232171	2	-3.867213000295e+00	1.295201656801e+07	7.951936011935e+03	2.091766193241e+04	9.763677575028e+03	4.023045319368e+02	3	7.763759912020e+00	10506-6104	1.397520599365e+02	3.867520000000e-02	exploration	mq2	8.977650000000e-01	7.171755000000e-02	1.537517000000e-01	7.661445000000e+00	False	3.396439999999e+09	False	outer	1	270	1.128239573360e+00	1.257880331355e-01	1.720795052727e-02	1.138948941825e-02	1.274694603058e-01	1.623863862302e-01	9.470763993729e-02	2.181268640510e-01	4.479889591544e+00	1.927691884536e+09	5.675624726291e-01	1.633665331458e+00	-1.087328719310e+01	9.820903473250e+00	9.921514425118e-01	1.259007072141e+00	1.919995000000e+00	2.694029596081e+00	1.280428331075e+00	7.966834988168e-02	3.597858344626e-01	3.099347087643e-02	1.006858541883e-01
3.631150000000e-01	1.688518000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.752794647217e+01	1.505587000000e+00	0.000000000000e+00	7.517000000000e-01	5.229760000000e+00	1.287295000000e+01	2.856949000000e+00	3.005649000000e+00	7.869893000000e-01	1.852213155995e-11	1.562034413653e+00	7.184817590265e-01	6.782910786811e+00	1.058604033523e+00	-1.110207488546e+01	9.560444673193e+00	-4.419243768047e-01	8.123481155140e+00	1-280222	2	-3.702499698057e+00	6.066117060304e+06	6.307205203425e+03	1.067237535085e+04	8.634242713043e+03	1.406163212726e+03	4	7.569625883529e+00	10507-3702	1.759559631348e+02	2.503540000000e-02	exploration	mq2	1.163870000000e+00	2.873226000000e-02	5.325432000000e-02	1.144469000000e+01	False	3.634499999998e+09	False	inner	0	74	5.316338477029e-01	1.870999430477e-02	5.815980895582e-02	4.159659689091e-03	6.123667229195e-02	9.381991997058e-02	6.857620225445e-03	2.006848661982e-01	2.780317431363e+00	8.602067679095e+08	2.366781587316e-01	1.562034413653e+00	-1.080937610046e+01	1.341817504022e+01	1.127693452952e+00	1.820431555560e+00	3.027935000000e+00	1.349419711604e+00	1.145222624790e+00	2.865051129990e-02	4.273886876050e-01	5.571531147523e-02	5.608718972034e-02
3.631150000000e-01	1.688518000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.752794647217e+01	1.505587000000e+00	0.000000000000e+00	7.517000000000e-01	5.229760000000e+00	1.287295000000e+01	2.856949000000e+00	3.005649000000e+00	7.869893000000e-01	1.852213155995e-11	1.585741696490e+00	7.184817590265e-01	6.782910786811e+00	1.058604033523e+00	-1.110207488546e+01	9.560444673193e+00	-4.419243768047e-01	8.123481155140e+00	1-280222	2	-3.702499698057e+00	6.066117060304e+06	6.307205203425e+03	1.067237535085e+04	8.634242713043e+03	1.406163212726e+03	4	7.569625883529e+00	10507-3702	1.759559631348e+02	2.503540000000e-02	exploration	mq2	1.163870000000e+00	2.873226000000e-02	5.325432000000e-02	1.144469000000e+01	False	3.634499999998e+09	False	outer	1	202	1.127478697556e+00	8.248417942398e-03	3.513353479730e-02	1.369891652233e-02	3.860132095915e-02	9.381991997058e-02	6.857620225445e-03	2.006848661982e-01	5.896442993328e+00	2.034759769970e+09	5.598458577440e-01	1.585741696490e+00	-1.108845725639e+01	6.681977581032e+00	8.249050141859e-01	2.095487308627e+00	3.027935000000e+00	2.709789081668e+00	1.145222624790e+00	2.335698195197e-02	4.273886876050e-01	3.512086042724e-02	5.064141757788e-02
6.507210000000e-01	1.547316000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.343776702881e+00	1.351351000000e+00	0.000000000000e+00	6.330000000000e-01	5.653840000000e+00	1.847145000000e+01	3.697909000000e+00	4.186707000000e+00	2.475540000000e+00	8.702546002491e-11	1.919666218277e+00	7.523435140756e-01	7.421004394841e+00	9.433193778103e-01	-1.070333078744e+01	1.030012354637e+01	-5.468656623991e-01	8.795436518216e+00	1-213726	3	-4.021546502070e+00	2.636358064302e+07	2.367573725268e+02	1.198105104108e+04	7.427998666626e+03	1.952578894004e+03	3	7.148993814367e+00	10511-12704	1.322502441406e+02	5.894940000000e-02	exploration	mq3	1.241380000000e+00	3.951780000000e-01	1.087290000000e+00	8.776460000000e+00	False	1.995830000013e+10	False	inner	0	154	5.317021850469e-01	4.435822960437e-02	2.464484983623e-02	1.078793403255e-02	5.187871121930e-02	9.404227134859e-02	3.439756048424e-02	2.472994471854e-01	3.006159081905e+00	4.828186540209e+09	2.419137171090e-01	1.919666218277e+00	-1.012803006781e+01	2.827532991690e+01	1.451407680981e+00	1.579272224896e+00	2.256755000000e+00	1.334994959020e+00	1.111441506076e+00	2.407525175138e-02	4.442792469618e-01	2.588592053709e-02	5.526852814555e-02
6.507210000000e-01	1.547316000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.343776702881e+00	1.351351000000e+00	0.000000000000e+00	6.330000000000e-01	5.653840000000e+00	1.847145000000e+01	3.697909000000e+00	4.186707000000e+00	2.475540000000e+00	8.702546002491e-11	1.937914228383e+00	7.523435140756e-01	7.421004394841e+00	9.433193778103e-01	-1.070333078744e+01	1.030012354637e+01	-5.468656623991e-01	8.795436518216e+00	1-213726	3	-4.021546502070e+00	2.636358064302e+07	2.367573725268e+02	1.198105104108e+04	7.427998666626e+03	1.952578894004e+03	3	7.148993814367e+00	10511-12704	1.322502441406e+02	5.894940000000e-02	exploration	mq3	1.241380000000e+00	3.951780000000e-01	1.087290000000e+00	8.776460000000e+00	False	1.995830000013e+10	False	outer	1	420	1.130209143452e+00	6.625291420068e-02	1.584841843568e-02	9.407480214630e-03	6.876860977935e-02	9.404227134859e-02	3.439756048424e-02	2.472994471854e-01	6.390021663613e+00	1.116273031568e+10	5.593026618302e-01	1.937914228383e+00	-1.041902441897e+01	1.387283815575e+01	1.142165319710e+00	1.378798257621e+00	2.256755000000e+00	2.720958932837e+00	1.111441506076e+00	4.131446552132e-02	4.442792469618e-01	3.431347322160e-02	7.240083081222e-02
