domain,concept_id,lane,architecture_id,driver_ids,lay_mechanism,planned_cells,valid_cells,invalid_cells,best_cell_id,best_strongest_worst_fractional_improvement,strict_domain_survivors,rar_conditional_cells,rar_robust_cells,baryon_robust_cells,dominant_category
CLUSTERS,TW2-A02-D05,CORE,A02_CLOCK,D05_SIG,The source_clock_rate template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A02-D05-C002,-53.2107534626,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D06,CORE,A02_CLOCK,D06_SLOPE,The source_clock_rate template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A02-D06-C002,-50.6807492536,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D07,CORE,A02_CLOCK,D07_TIDE,The source_clock_rate template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A02-D07-C002,-53.7909607765,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A02-D13,CORE,A02_CLOCK,D13_GASF,The source_clock_rate template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A02-D13-C002,-46.8007430506,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D01,CORE,A03_CONFORMAL,D01_ACC,The conformal_response template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A03-D01-C002,-52.5825755848,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D02,CORE,A03_CONFORMAL,D02_POT,The conformal_response template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A03-D02-C002,-50.8931274296,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D03,CORE,A03_CONFORMAL,D03_RAD,The conformal_response template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A03-D03-C002,-44.973234917,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D04,CORE,A03_CONFORMAL,D04_RHO,The conformal_response template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A03-D04-C002,-53.7752888708,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D05,CORE,A03_CONFORMAL,D05_SIG,The conformal_response template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A03-D05-C002,-53.2164914562,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D06,CORE,A03_CONFORMAL,D06_SLOPE,The conformal_response template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A03-D06-C002,-50.8913742796,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D07,CORE,A03_CONFORMAL,D07_TIDE,The conformal_response template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A03-D07-C002,-53.7910937784,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A03-D13,CORE,A03_CONFORMAL,D13_GASF,The conformal_response template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A03-D13-C002,-47.3525424016,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D01,CORE,A04_DISFORMAL,D01_ACC,The disformal_gradient_response template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A04-D01-C002,-53.6305372143,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D02,CORE,A04_DISFORMAL,D02_POT,The disformal_gradient_response template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A04-D02-C002,-52.8645556306,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D03,CORE,A04_DISFORMAL,D03_RAD,The disformal_gradient_response template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A04-D03-C002,-49.1020682143,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D04,CORE,A04_DISFORMAL,D04_RHO,The disformal_gradient_response template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A04-D04-C002,-53.8165277309,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D05,CORE,A04_DISFORMAL,D05_SIG,The disformal_gradient_response template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A04-D05-C002,-53.7720197113,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D06,CORE,A04_DISFORMAL,D06_SLOPE,The disformal_gradient_response template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A04-D06-C002,-52.4515339607,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D07,CORE,A04_DISFORMAL,D07_TIDE,The disformal_gradient_response template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A04-D07-C002,-53.8170370544,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A04-D13,CORE,A04_DISFORMAL,D13_GASF,The disformal_gradient_response template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A04-D13-C002,-50.6201066133,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D01,CORE,A05_SLIP,D01_ACC,The two_potential_slip template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A05-D01-C002,-53.1932200458,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D02,CORE,A05_SLIP,D02_POT,The two_potential_slip template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A05-D02-C002,-52.3170167877,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D03,CORE,A05_SLIP,D03_RAD,The two_potential_slip template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A05-D03-C002,-49.1020682143,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D04,CORE,A05_SLIP,D04_RHO,The two_potential_slip template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A05-D04-C002,-53.7966554471,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D05,CORE,A05_SLIP,D05_SIG,The two_potential_slip template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A05-D05-C002,-53.515581155,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D06,CORE,A05_SLIP,D06_SLOPE,The two_potential_slip template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A05-D06-C002,-52.3087191022,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D07,CORE,A05_SLIP,D07_TIDE,The two_potential_slip template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A05-D07-C002,-53.8045700054,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A05-D13,CORE,A05_SLIP,D13_GASF,The two_potential_slip template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A05-D13-C002,-50.4314369237,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D01,CORE,A06_SPATIAL_KERNEL,D01_ACC,The spatial_kernel template lets source-side baryonic_acceleration alter an effective matter field.,4,4,0,TW2-A06-D01-C003,-52.5549417626,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D02,CORE,A06_SPATIAL_KERNEL,D02_POT,The spatial_kernel template lets source-side baryonic_potential_depth alter an effective matter field.,4,4,0,TW2-A06-D02-C003,-50.8266748318,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D03,CORE,A06_SPATIAL_KERNEL,D03_RAD,The spatial_kernel template lets source-side source_radius alter an effective matter field.,4,4,0,TW2-A06-D03-C003,-43.9361770296,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D04,CORE,A06_SPATIAL_KERNEL,D04_RHO,The spatial_kernel template lets source-side volume_mass_density alter an effective matter field.,4,4,0,TW2-A06-D04-C003,-53.7357720834,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D05,CORE,A06_SPATIAL_KERNEL,D05_SIG,The spatial_kernel template lets source-side surface_mass_density alter an effective matter field.,4,4,0,TW2-A06-D05-C003,-53.2059860386,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D06,CORE,A06_SPATIAL_KERNEL,D06_SLOPE,The spatial_kernel template lets source-side source_log_slope alter an effective matter field.,4,4,0,TW2-A06-D06-C004,-50.2611444629,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D07,CORE,A06_SPATIAL_KERNEL,D07_TIDE,The spatial_kernel template lets source-side baryonic_tidal_invariant alter an effective matter field.,4,4,0,TW2-A06-D07-C003,-53.77418137,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A06-D13,CORE,A06_SPATIAL_KERNEL,D13_GASF,The spatial_kernel template lets source-side baryonic_gas_fraction alter an effective matter field.,4,4,0,TW2-A06-D13-C004,-46.8293790245,0,0,0,2,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D01,CORE,A07_BOUNDARY,D01_ACC,The outer_boundary_accumulation template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A07-D01-C002,-53.2448606993,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D02,CORE,A07_BOUNDARY,D02_POT,The outer_boundary_accumulation template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A07-D02-C002,-52.7938099742,0,0,0,1,NO_BASELINE_ADVANCE
