component,radius_kpc,coverage,signed_mean,accepted,conditional_fill
atomic_helium,3.75,0.9932058942700163,8.344678685124613,True,8.344678685124613
atomic_helium,4.25,0.9983194799858136,8.538548496710263,True,8.538548496710263
atomic_helium,4.75,1.007739998345834,8.261825188081879,True,8.261825188081879
atomic_helium,5.25,0.9954902157592015,8.301739297115919,True,8.301739297115919
atomic_helium,5.75,1.0027713506565554,8.386498734534102,True,8.386498734534102
atomic_helium,6.25,0.9982676701174805,7.723889411055564,True,7.723889411055564
atomic_helium,6.75,0.9986451522610817,6.429874040804225,True,6.429874040804225
atomic_helium,7.25,1.0030548423506847,5.207126217116964,True,5.207126217116964
atomic_helium,7.75,0.9989066488390854,4.3939156825480765,True,4.3939156825480765
atomic_helium,8.25,1.000802137209072,3.79321696190275,True,3.79321696190275
atomic_helium,8.75,0.996409213231175,3.6320812424429283,True,3.6320812424429283
atomic_helium,9.25,1.0002207763533928,3.7567588664619027,True,3.7567588664619027
atomic_helium,9.75,0.9999120874103843,3.885548722129579,True,3.885548722129579
atomic_helium,10.25,1.000122936261793,3.8592583739560817,True,3.8592583739560817
atomic_helium,10.75,1.002505954014999,3.791030491866609,True,3.791030491866609
atomic_helium,11.25,0.996976610256665,3.780756819895705,True,3.780756819895705
atomic_helium,11.75,1.0007437061903997,3.947728819531758,True,3.947728819531758
atomic_helium,12.25,1.0014467113368435,4.131786332023014,True,4.131786332023014
atomic_helium,12.75,0.9962403154655048,4.299481522167182,True,4.299481522167182
atomic_helium,13.25,1.003880069030761,4.433943830185917,True,4.433943830185917
atomic_helium,13.75,0.997142017797384,4.816342212160674,True,4.816342212160674
atomic_helium,14.25,1.0014766727370534,5.091454142757511,True,5.091454142757511
atomic_helium,14.75,1.000637685440894,4.937996454547137,True,4.937996454547137
atomic_helium,15.25,1.0011124595828935,4.577537548518814,True,4.577537548518814
atomic_helium,15.75,0.998907348850941,4.035788195052294,True,4.035788195052294
atomic_helium,16.25,0.9989616102515896,3.417832482057227,True,3.417832482057227
atomic_helium,16.75,0.9985622631183126,2.934327833581295,True,2.934327833581295
atomic_helium,17.25,1.0026915248855774,2.5810584855691934,True,2.5810584855691934
atomic_helium,17.75,0.9978877908076975,2.2779408402968,True,2.2779408402968
atomic_helium,18.25,1.0004284089212587,2.050856666687426,True,2.050856666687426
atomic_helium,18.75,1.0000046803657678,1.8780375409055643,True,1.8780375409055643
atomic_helium,19.25,0.9988850365070496,1.7013698408262232,True,1.7013698408262232
atomic_helium,19.75,1.002693957765916,1.5996943991973827,True,1.5996943991973827
atomic_helium,20.25,0.9972085716305384,1.468661847945472,True,1.468661847945472
atomic_helium,20.75,1.0022884347061825,1.3094657176157396,True,1.3094657176157396
atomic_helium,21.25,0.9996256270595731,1.1899037119676292,True,1.1899037119676292
atomic_helium,21.75,0.9979146551535354,1.0844922427960602,True,1.0844922427960602
atomic_helium,22.25,1.0024156529119772,0.9905546117215547,True,0.9905546117215547
atomic_helium,22.75,0.9984709918877891,0.9228819118538115,True,0.9228819118538115
atomic_helium,23.25,0.9997217408987668,0.8288346826976658,True,0.8288346826976658
atomic_helium,23.75,0.9965628000337812,0.7175935915661366,True,0.7175935915661366
atomic_helium,24.25,0.9468276938883629,0.6454093348469422,True,0.6454093348469422
atomic_helium,24.75,0.8546955522620759,0.6010122427310765,True,0.6010122427310765
atomic_helium,25.25,0.7490625038852325,0.6295249999958332,True,0.6295249999958332
atomic_helium,25.75,0.6754855342694936,0.6525698428025642,True,0.6525698428025642
atomic_helium,26.25,0.6270826310006266,0.6524208945169252,True,0.6524208945169252
atomic_helium,26.75,0.5729893197635112,0.6557326442187289,True,0.6557326442187289
atomic_helium,27.25,0.5318152968324251,0.6346552551625726,True,0.6346552551625726
atomic_helium,27.75,0.5083719538929723,0.5650494501124346,True,0.5650494501124346
atomic_helium,28.25,0.5015699336090353,0.5263113475880239,True,0.5263113475880239
atomic_helium,28.75,0.500471320216114,0.4912880949569915,True,0.4912880949569915
atomic_helium,29.25,0.5008339151919511,0.4910008592506491,True,0.4910008592506491
atomic_helium,29.75,0.5012762781652126,0.47496953887298593,True,0.47496953887298593
atomic_helium,30.25,0.5004026487265937,0.4331460464073778,True,0.4331460464073778
atomic_helium,30.75,0.49905006948960245,0.3910571156733011,True,0.3910571156733011
atomic_helium,31.25,0.498066116255925,0.3843676008033941,True,0.3843676008033941
atomic_helium,31.75,0.5028678597933345,0.4030381180968524,True,0.4030381180968524
atomic_helium,32.25,0.5003332982212837,0.3928934893897279,True,0.3928934893897279
atomic_helium,32.75,0.4934828542196619,0.3883088945354975,True,0.3883088945354975
