fold,alpha,core,q,logpdf
0,1.0,training_r09_c18,1.004674461616224,-0.35488207501501
0,1.0,training_r10_c19,1.0572761634375427,-0.3811829259256693
0,1.0,training_r12_c18,1.0473155524814572,-0.37620262044762665
0,1.0,training_r16_c16,1.0394293799558763,-0.37225953418483615
0,1.0,training_r18_c12,1.0148821139797297,-0.35998590119676294
1,0.1,training_r02_c13,0.5330316965992025,0.5585547518758138
1,0.1,training_r03_c14,0.5286288264926611,0.5607561869290845
1,0.1,training_r06_c17,0.5367431499299233,0.5566990252104534
1,0.1,training_r07_c18,0.5270100525224498,0.5615655739141903
1,0.1,training_r08_c19,0.5255406234314252,0.5623002884597026
1,0.1,training_r11_c19,0.5291368572176074,0.5605021715666113
1,0.1,training_r13_c18,0.5397937145185221,0.555173742916154
1,0.1,training_r15_c17,0.5223538040093756,0.5638936981707274
1,0.1,training_r17_c16,0.5243114325490719,0.5629148839008791
1,0.1,training_r18_c14,0.5243939467221662,0.5628736268143321
1,0.1,training_r19_c12,0.5258547202755783,0.562143240037626
1,0.3,training_r02_c13,0.45425655562192807,0.2516946595956399
1,0.3,training_r03_c14,0.4505630638954938,0.253541405458857
1,0.3,training_r06_c17,0.45741861125891853,0.2501136317771447
1,0.3,training_r07_c18,0.4478830712485921,0.2548814017823078
1,0.3,training_r08_c19,0.4513529123907427,0.2531464812112325
1,0.3,training_r11_c19,0.45449407907479533,0.2515758978692062
1,0.3,training_r13_c18,0.4590894045198066,0.2492782351467006
1,0.3,training_r15_c17,0.44325422370657425,0.25719582555331677
1,0.3,training_r17_c16,0.44445081129597364,0.25659753175861705
1,0.3,training_r18_c14,0.44574480968655883,0.25595053256332445
1,0.3,training_r19_c12,0.44718462955176264,0.2552306226307226
1,0.6,training_r02_c13,0.4774215305180677,0.023969364189722023
1,0.6,training_r03_c14,0.4725680444737739,0.026396107211868844
1,0.6,training_r06_c17,0.4818553676063927,0.021752445645559542
1,0.6,training_r07_c18,0.4715981680352284,0.026881045431141636
1,0.6,training_r08_c19,0.48179758090852853,0.021781338994491646
1,0.6,training_r11_c19,0.4819845959656506,0.02168783146593057
1,0.6,training_r13_c18,0.4823590349583988,0.0215006119695565
1,0.6,training_r15_c17,0.4639323884968418,0.030713935200335028
1,0.6,training_r17_c16,0.4645734840761432,0.03039338741068433
1,0.6,training_r18_c14,0.4685135814871666,0.0284233387051726
1,0.6,training_r19_c12,0.47031560539328565,0.027522326752112934
1,1.0,training_r02_c13,1.0451618850030602,-0.3753764526499801
1,1.0,training_r03_c14,1.0084568918883121,-0.3570239560926061
1,1.0,training_r06_c17,1.0449571945334397,-0.3752741074151698
1,1.0,training_r07_c18,1.0218626672124689,-0.3637268437546844
1,1.0,training_r08_c19,1.1143822816675841,-0.4099866509822421
1,1.0,training_r11_c19,1.0659875988752303,-0.38578930958606517
1,1.0,training_r13_c18,1.0307136856187995,-0.3681523529578497
1,1.0,training_r15_c17,1.0032975624326688,-0.3544442913647844
1,1.0,training_r17_c16,0.9981349181927234,-0.35186296924481164
1,1.0,training_r18_c14,0.9928146793676652,-0.34920284983228256
1,1.0,training_r19_c12,1.0069374018747013,-0.3562642110858006
2,0.1,training_r02_c12,0.5066140949514559,0.5669941533591678
2,0.1,training_r08_c18,0.5072324819331266,0.5666849598683321
2,0.1,training_r09_c19,0.5133128912890264,0.5636447551903823
2,0.1,training_r12_c19,0.5055649161427339,0.5675187427635285
2,0.1,training_r14_c18,0.5117125032682825,0.5644449492007542
2,0.1,training_r16_c17,0.5153323884548346,0.5626350066074782
2,0.1,training_r17_c15,0.5136962680997591,0.5634530667850159
2,0.1,training_r18_c13,0.5091883272460166,0.5657070372118873
2,0.3,training_r02_c12,0.4413849937372324,0.25533495882008
2,0.3,training_r08_c18,0.43577147190363114,0.25814171973688066
2,0.3,training_r09_c19,0.4449920196098912,0.2535314458837506
2,0.3,training_r12_c19,0.44243902340960733,0.2548079439838925
2,0.3,training_r14_c18,0.4434381516406714,0.25430837986836047
2,0.3,training_r16_c17,0.44605577967618854,0.252999565850602
2,0.3,training_r17_c15,0.4468450469742135,0.25260493220158947
2,0.3,training_r18_c13,0.44276901087287296,0.2546429502522598
2,0.6,training_r02_c12,0.4730584558907012,0.024374789342011004
2,0.6,training_r08_c18,0.45820581548737255,0.03180110954367538
2,0.6,training_r09_c19,0.47331082633790084,0.02424860411841118
2,0.6,training_r12_c19,0.4735914622162351,0.02410828617924398
2,0.6,training_r14_c18,0.4687470698837218,0.026530482345500723
2,0.6,training_r16_c17,0.47358767374807303,0.024110180413325005
2,0.6,training_r17_c15,0.4771175197920548,0.022345257391334125
2,0.6,training_r18_c13,0.47063398879743856,0.025587022888642397
2,1.0,training_r02_c12,1.0539375356561282,-0.3810996657904998
2,1.0,training_r08_c18,0.9850495243253669,-0.3466556601251191
2,1.0,training_r09_c19,1.0285985389776067,-0.368430167451239
2,1.0,training_r12_c19,1.0277228674641576,-0.36799233169451445
2,1.0,training_r14_c18,0.9785967697527403,-0.3434292828388058
2,1.0,training_r16_c17,1.0360412419555671,-0.3721515189402192
2,1.0,training_r17_c15,1.0580630024438062,-0.3831623991843388
2,1.0,training_r18_c13,1.0282967951041382,-0.3682792955145048
