axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	mass_bin	surface_bin	sample_cell	role	outer_fold	response_read
6.609700000000e-01	1.750029000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.848237609863e+01	1.521783000000e+00	0.000000000000e+00	7.037000000000e-01	8.328344000000e+00	3.332878000000e+00	2.837890000000e+00	-1.868587000000e-01	9.064891189640e-01	8.169776499243e-01	-1.127065471559e+01	1.045010740048e+01	-6.694565664875e-01	8.637129162550e+00	1-297871	-3.865320021793e+00	10216-6102	1.167302017212e+02	4.404610000000e-02	1.081620000000e+00	1.511655000000e-01	2.273972000000e-01	6.561115000000e+00	6.453656855646e+02	2.819080000013e+10	8.062860000000e+00	2.088589318102e+00	6.044202024880e-11	1.283959823166e+07	7.108551434286e+00	6.842783479980e+00	1	0	m1-s0	exploration	1	False
6.156580000000e-01	1.585692000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.823662567139e+01	1.386572000000e+00	0.000000000000e+00	7.252000000000e-01	2.220852000000e+01	3.551054000000e+00	3.675402000000e+00	1.489224000000e+00	5.284963362653e-01	1.156400726881e+00	-1.085862640211e+01	1.008665519285e+01	-3.318525447488e-01	9.029662520323e+00	1-297986	-4.250583092029e+00	10216-6103	1.163465805054e+02	4.620200000000e-02	1.234230000000e+00	1.690553000000e-01	3.451179000000e-01	1.433510000000e+01	4.383109411377e+02	1.220829999989e+10	3.376730000000e+00	2.095859605636e+00	1.492355635014e-10	7.569680944541e+07	7.879077574752e+00	7.591498757843e+00	1	1	m1-s1	exploration	0	False
5.285910000000e-01	1.310091000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.702028656006e+01	1.218349000000e+00	0.000000000000e+00	2.900000000000e-01	4.440109000000e+01	4.278587000000e+00	6.212862000000e+00	4.721381000000e+00	9.362789388277e-01	9.446569965230e-01	-9.937150345744e+00	8.780634094708e+00	-6.276125955129e-01	6.908076217053e+00	1-584678	-2.985898639112e+00	10218-12704	1.190609970093e+02	1.686410000000e-02	8.170510000000e-01	6.974029000000e-02	1.413348000000e-01	8.803533000000e+00	5.175424486963e+02	6.034400000002e+08	8.635330000000e+00	1.238957755284e+00	1.127940073385e-12	2.237219875343e+05	5.349708668922e+00	7.632835403070e+00	0	0	m0-s0	exploration	1	False
7.289030000000e-01	1.623640000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.791004180908e+01	1.397771000000e+00	0.000000000000e+00	7.586000000000e-01	1.691306000000e+01	3.301268000000e+00	4.632595000000e+00	1.885450000000e+00	5.863318283847e-01	7.036351516530e-01	-1.092077646623e+01	9.847239407708e+00	-7.248534090981e-01	8.674575750939e+00	1-383177	-4.044121961277e+00	10218-6104	1.196363372803e+02	4.487020000000e-02	2.270240000000e+00	8.442342000000e-02	1.166713000000e-01	5.053999000000e+00	1.608832847844e+03	7.034600000000e+09	3.857730000000e+00	1.947233967006e+00	6.588484983131e-11	2.925198306012e+07	7.466155313251e+00	7.624453412235e+00	0	1	m0-s1	exploration	2	False
5.706090000000e-01	1.998883000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.400294876099e+01	1.763594000000e+00	0.000000000000e+00	7.090000000000e-01	1.605862000000e+00	2.294512000000e+00	-4.813920000000e-01	-3.739615000000e+00	4.436274853190e-01	1.181640679313e+00	-1.203506236344e+01	9.806076138047e+00	-3.587537059559e-01	8.918821167409e+00	1-298596	-4.237596841045e+00	10221-3701	1.237091903687e+02	3.992990000000e-02	2.525700000000e+00	5.902198000000e-03	2.499861000000e-02	1.519290000000e+01	1.423796181014e+03	6.398469999997e+09	2.777330000000e+00	1.998004503708e+00	1.156194707024e-10	7.130255179652e+07	7.853105072788e+00	7.859091561664e+00	0	1	m0-s1	exploration	1	False
9.322890000000e-01	1.743953000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.438924217224e+01	1.550379000000e+00	0.000000000000e+00	6.934000000000e-01	6.080303000000e+00	2.940253000000e+00	2.091150000000e+00	-1.220281000000e+00	8.827578445263e-01	9.475464473588e-01	-1.141141168193e+01	1.038494628816e+01	-5.702656410690e-01	8.619430599105e+00	1-229796	-3.868336377290e+00	10221-9101	1.217928543091e+02	3.612460000000e-02	1.642090000000e+00	9.408808000000e-02	2.467826000000e-01	8.862300000000e+00	1.493156303225e+03	2.426310000011e+10	7.634099999999e+00	2.067874399161e+00	5.802837494948e-11	1.301919540222e+07	7.114584145279e+00	6.910960947796e+00	1	0	m1-s0	exploration	4	False
6.177360000000e-01	2.145324000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	6.741315126419e-01	1.944089000000e+00	0.000000000000e+00	7.188000000000e-01	-3.069166000000e-02	1.946600000000e+00	-1.286761000000e+00	-4.751949000000e+00	4.668424216497e-01	1.258341507450e+00	-1.307761917188e+01	9.680804914226e+00	-2.691853522450e-02	8.747120070927e+00	1-36587	-4.140138824638e+00	10226-12703	3.825366592407e+01	2.290490000000e-02	4.330530000000e+00	4.010382000000e-04	4.784552000000e-03	1.812765000000e+01	9.119417859629e+02	4.795179999999e+09	2.929830000000e+00	1.923761423632e+00	7.786277547377e-11	4.551861507476e+07	7.658189039974e+00	7.886904769078e+00	0	1	m0-s1	exploration	0	False
4.902670000000e-01	1.939527000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.843605422974e+01	1.655071000000e+00	0.000000000000e+00	7.591000000000e-01	2.583237000000e+00	2.668054000000e+00	5.273289000000e-01	-2.368332000000e+00	6.156007931754e-01	7.035632215666e-01	-1.183018461303e+01	9.287382903978e+00	-8.872053711382e-01	8.056181317628e+00	1-380384	-3.720290262226e+00	10492-3703	1.241821670532e+02	2.721010000000e-02	9.671040000000e-01	2.865486000000e-03	4.590569000000e-03	5.053162000000e+00	2.188320664004e+02	1.938129999998e+09	4.126680000000e+00	1.652671232745e+00	1.586321195617e-11	6.584031729586e+06	6.818491915149e+00	7.860478216914e+00	0	0	m0-s0	reserved_confirmation		False
9.769110000000e-01	2.107771000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.697900772095e+01	1.851869000000e+00	0.000000000000e+00	8.021000000000e-01	1.125189000000e+00	2.632209000000e+00	-2.810080000000e-01	-3.874292000000e+00	7.662164778214e-01	8.221922788381e-01	-1.202698193833e+01	1.031539930305e+01	-3.495110243787e-01	8.782966347409e+00	1-380032	-4.008374934794e+00	10492-6104	1.229851226807e+02	2.718870000000e-02	5.299660000000e+00	1.942752000000e-02	2.316245000000e-02	6.640370000000e+00	2.223149300739e+03	2.067279999992e+10	5.837360000000e+00	2.091371589958e+00	8.456217734887e-11	2.481197073659e+07	7.394661260283e+00	7.120546490409e+00	1	1	m1-s1	exploration	4	False
8.199850000000e-01	1.291695000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.202991485596e+01	1.228542000000e+00	0.000000000000e+00	5.121000000000e-01	5.503294000000e+01	4.914623000000e+00	-1.849078000000e-01	-8.464832000000e-01	3.302737212403e-01	1.000719030404e+00	-1.025136543833e+01	9.506924242132e+00	-3.307038581880e-01	8.846376799651e+00	1-352023	-4.258051539205e+00	10493-1902	1.243273696899e+02	3.854060000000e-02	6.000000000000e+00	1.801187000000e-01	2.425995000000e-01	1.001657000000e+01	1.595717108259e+03	3.213100000002e+09	2.139310000000e+00	1.905105437790e+00	9.785580841382e-11	7.834557442203e+07	7.894014469109e+00	8.178698155739e+00	0	1	m0-s1	exploration	1	False
9.103370000000e-01	1.731559000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.190433120728e+01	1.492613000000e+00	0.000000000000e+00	7.307000000000e-01	2.190483000000e+01	2.900447000000e+00	3.227447000000e+00	3.223244000000e-01	3.990936982661e-01	1.088888096178e+00	-1.085882433619e+01	9.731577484664e+00	-2.709318839984e-01	8.933390088132e+00	1-46056	-4.267148194933e+00	10493-3704	1.260153656006e+02	3.145120000000e-02	3.694570000000e+00	7.460246000000e-02	1.022144000000e-01	1.227123000000e+01	1.310187623476e+03	5.389859999999e+09	2.506650000000e+00	1.983022070543e+00	1.195638518068e-10	8.169731443166e+07	7.912207780563e+00	7.963141568935e+00	0	1	m0-s1	exploration	4	False
7.290270000000e-01	1.898170000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.463741683960e+01	1.728440000000e+00	0.000000000000e+00	7.196000000000e-01	1.268686000000e-01	2.517195000000e+00	3.582389000000e-01	-2.727325000000e+00	5.568715361352e-01	1.425450255303e+00	-1.315971199966e+01	1.022818469798e+01	2.801889696598e-01	9.114441625706e+00	1-379503	-4.278785044785e+00	10494-1902	1.232881851196e+02	2.444480000000e-02	6.000000000000e+00	1.170773000000e-03	1.503713000000e-03	2.663485000000e+01	4.240503798790e+02	1.691160000015e+10	3.604720000000e+00	2.152436758266e+00	1.814059114187e-10	8.619488216232e+07	7.935481480272e+00	7.478171205473e+00	1	1	m1-s1	reserved_confirmation		False
9.306080000000e-01	1.611308000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.539454269409e+01	1.458082000000e+00	0.000000000000e+00	7.261000000000e-01	9.097844000000e+00	3.049243000000e+00	3.016690000000e+00	3.794401000000e-01	8.597733563505e-01	8.095011987701e-01	-1.129335047862e+01	1.007510879642e+01	-7.029544203514e-01	8.355562083715e+00	1-379814	-3.747894363682e+00	10494-9101	1.240174560547e+02	3.084940000000e-02	2.623280000000e+00	6.050041000000e-02	2.960154000000e+03	6.449131000000e+00	6.863280796837e+02	1.188800000010e+10	7.240579999999e+00	1.924447897379e+00	3.160617156263e-11	7.476530650455e+06	6.873700118066e+00	7.100356425930e+00	1	0	m1-s0	exploration	1	False
4.656700000000e-01	1.497575000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.778426361084e+01	1.297707000000e+00	0.000000000000e+00	6.185000000000e-01	2.399573000000e+01	3.925335000000e+00	4.807146000000e+00	2.751775000000e+00	7.299532578971e-01	1.108725317812e+00	-1.073667546659e+01	1.009671192956e+01	-5.137795635848e-01	8.636805413764e+00	1-46266	-3.953426077933e+00	10495-12705	1.264357376099e+02	4.879880000000e-02	6.426810000000e-01	2.291060000000e-01	4.970578000000e-01	1.284474000000e+01	2.301528316330e+03	1.249430000006e+10	5.369739999999e+00	2.000159513175e+00	6.039697998296e-11	1.926475749886e+07	7.284763546566e+00	7.284285007040e+00	1	0	m1-s0	reserved_confirmation		False
7.966720000000e-01	2.169508000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.727738189697e+01	1.957500000000e+00	0.000000000000e+00	7.356000000000e-01	4.311777000000e-02	2.198309000000e+00	-2.212453000000e+00	-5.674617000000e+00	4.392679396439e-01	1.144996155483e+00	-1.339618277951e+01	1.041419593360e+01	-2.452327874742e-01	9.535660054311e+00	1-45694	-4.548196057333e+00	10495-3703	1.252875671387e+02	5.589560000000e-02	6.000000000000e+00	1.042349000000e-03	5.802691000000e-03	1.396356000000e+01	3.115591037098e+02	2.595350000010e+10	2.749590000000e+00	2.304244174322e+00	4.784866924331e-10	2.980598683999e+08	8.474303505366e+00	7.561570982400e+00	1	1	m1-s1	exploration	1	False
9.028990000000e-01	2.147185000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.722756576538e+01	1.921332000000e+00	0.000000000000e+00	7.766000000000e-01	-8.930892000000e-03	2.232608000000e+00	-2.182576000000e+00	-5.469293000000e+00	5.032525870815e-01	1.040663643296e+00	-1.324972014677e+01	1.048848161870e+01	-3.173780033963e-01	9.481976444537e+00	1-45698	-4.489361928728e+00	10495-6104	1.250923156738e+02	5.632810000000e-02	6.000000000000e+00	1.732852000000e-03	7.640389000000e-03	1.098155000000e+01	3.983578418827e+02	3.079510000000e+10	3.186050000000e+00	2.309394693153e+00	4.228499212080e-10	2.273187441952e+08	8.356635248153e+00	7.428451168693e+00	1	1	m1-s1	exploration	1	False
8.128160000000e-01	1.307907000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.074327087402e+01	1.202371000000e+00	0.000000000000e+00	3.283000000000e-01	6.908820000000e+01	4.342585000000e+00	5.960933000000e+00	4.788413000000e+00	7.484981266137e-01	9.827232069008e-01	-1.002667143977e+01	9.502188055662e+00	-3.038977959697e-01	8.005191802435e+00	1-72402	-3.628346837911e+00	10496-6102	1.231016998291e+02	2.347460000000e-02	1.232860000000e+00	2.988936000000e-01	3.850589000000e-01	9.609996000000e+00	1.199246424578e+03	3.178249999996e+09	5.604000000000e+00	1.693625141868e+00	1.410592634768e-11	4.311268455789e+06	6.634605066518e+00	7.553729640914e+00	0	0	m0-s0	exploration	2	False
6.611130000000e-01	1.442005000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.109955978394e+01	1.276157000000e+00	0.000000000000e+00	4.226000000000e-01	2.697422000000e+01	3.835747000000e+00	5.170034000000e+00	3.818566000000e+00	5.670298969942e-01	8.521532349351e-01	-1.049325102066e+01	9.317754207744e+00	-6.080078083058e-01	8.183694413756e+00	1-122625	-3.808332258381e+00	10496-6103	1.237826080322e+02	3.838610000000e-02	1.664890000000e+00	6.675798000000e-02	1.394737000000e-01	7.114645000000e+00	4.176938328934e+02	2.078519999999e+09	3.690030000000e+00	1.692142332719e+00	2.127669770325e-11	9.875882346758e+06	6.994575907459e+00	7.918148909302e+00	0	0	m0-s0	exploration	1	False
4.458900000000e-01	2.302503000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.770656967163e+01	2.094219000000e+00	0.000000000000e+00	9.022000000000e-01	8.544538000000e-01	2.308508000000e+00	-2.563374000000e+00	-6.181512000000e+00	9.572465819122e-01	1.285397963461e+00	-1.226547526263e+01	1.059985360889e+01	2.223371430487e-01	8.685360445061e+00	1-605013	-3.864056931575e+00	10497-3702	1.215560302734e+02	1.570020000000e-02	3.086700000000e+00	2.159625000000e-02	2.348054000000e-02	1.929292000000e+01	9.900829325440e+02	3.979730000038e+10	9.062470000000e+00	2.138083690833e+00	6.754143049289e-11	1.276513034789e+07	7.106025253851e+00	6.691774181352e+00	1	1	m1-s1	exploration	3	False
7.238860000000e-01	1.534318000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.600329589844e+01	1.351669000000e+00	0.000000000000e+00	6.198000000000e-01	1.969405000000e+01	3.597229000000e+00	3.951084000000e+00	1.323129000000e+00	4.538715600854e-01	1.133127411062e+00	-1.069128269379e+01	9.676095242673e+00	-3.147896792974e-01	8.768352122502e+00	1-385342	-4.157240281209e+00	10498-3704	1.305219116211e+02	4.389230000000e-02	1.653820000000e+00	9.656340000000e-02	2.752515000000e-01	1.358712000000e+01	7.787037962564e+02	4.743459999999e+09	2.843620000000e+00	1.927892018638e+00	8.176396280063e-11	4.924838044659e+07	7.692391953114e+00	7.908715897201e+00	0	1	m0-s1	exploration	0	False
4.837550000000e-01	2.124295000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.259295272827e+01	1.950765000000e+00	0.000000000000e+00	8.684000000000e-01	4.602431000000e+00	2.217369000000e+00	-2.079250000000e+00	-5.697617000000e+00	7.392193862365e-01	1.502456754792e+00	-1.141359381893e+01	1.011150110839e+01	3.243221780474e-01	8.633062335914e+00	1-300461	-3.946921474839e+00	10500-12703	1.371602325439e+02	1.422890000000e-02	3.323210000000e+00	4.987780000000e-02	6.463035000000e-02	3.180217000000e+01	1.238563513601e+03	1.292710000008e+10	5.485540000000e+00	2.002921038421e+00	5.987866999617e-11	1.869624284146e+07	7.271754340378e+00	7.262991225116e+00	1	0	m1-s0	exploration	3	False
9.008800000000e-01	1.353839000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.118997001648e+01	1.205662000000e+00	0.000000000000e+00	4.462000000000e-01	4.687543000000e+01	4.065447000000e+00	5.855430000000e+00	4.116786000000e+00	4.954166667302e-01	1.196033239655e+00	-1.030663936600e+01	9.932250471803e+00	-2.475631668516e-01	8.941417138342e+00	1-300401	-4.223000235806e+00	10500-3703	1.366387786865e+02	4.902240000000e-02	7.842370000000e-01	4.222903000000e-01	6.314116000000e-01	1.570483000000e+01	9.531200695938e+02	8.555600000009e+09	3.129080000000e+00	2.035197079880e+00	1.217942955447e-10	6.666714581572e+07	7.823911862310e+00	7.718320622669e+00	0	1	m0-s1	exploration	4	False
7.908230000000e-01	2.081072000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.554450988770e+00	1.880994000000e+00	0.000000000000e+00	7.187000000000e-01	1.323349000000e-01	2.091464000000e+00	-1.415804000000e+00	-4.695680000000e+00	4.131219855562e-01	1.143720033987e+00	-1.299281092228e+01	9.693080300854e+00	-2.140792147750e-01	8.866836329742e+00	1-79971	-4.226857172093e+00	10503-3701	1.591915740967e+02	2.858070000000e-02	3.422440000000e+00	5.014982000000e-04	1.160759000000e-03	1.392259000000e+01	1.987485786877e+02	4.932649999998e+09	2.588940000000e+00	1.956759334993e+00	1.025760896738e-10	6.786185624948e+07	7.831625734883e+00	7.961347729904e+00	0	1	m0-s1	exploration	0	False
7.661500000000e-01	1.990277000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.685313224792e+00	1.800701000000e+00	0.000000000000e+00	7.410000000000e-01	7.095057000000e-01	2.119948000000e+00	-7.444168000000e-01	-4.349721000000e+00	1.921212221317e-01	1.411820646916e+00	-1.247276178659e+01	9.367713647221e+00	-9.720483614933e-02	8.983471202958e+00	1-183745	-4.395674990413e+00	10503-6103	1.600119934082e+02	2.773290000000e-02	3.068770000000e+00	7.851486000000e-04	4.975222000000e-03	2.581194000000e+01	1.063661386562e+03	2.331919999998e+09	1.556400000000e+00	1.904576389889e+00	1.341779067705e-10	1.476594925299e+08	8.169261371523e+00	8.455532201858e+00	0	1	m0-s1	reserved_confirmation		False
7.094170000000e-01	1.534111000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	4.918525695801e+01	1.359977000000e+00	0.000000000000e+00	5.035000000000e-01	1.438134000000e+00	4.538314000000e+00	6.177087000000e+00	4.212056000000e+00	2.743472342812e-01	1.519453630700e+00	-1.198868317772e+01	9.450090454054e+00	2.474942969524e-01	8.901395985492e+00	1-175153	-4.313524375605e+00	10507-1901	1.768111724854e+02	2.552780000000e-02	5.155770000000e+00	2.893392000000e-03	6.299132000000e-03	3.307148000000e+01	2.013533176595e+02	2.818970000000e+09	1.880820000000e+00	1.904651787230e+00	1.110723076623e-10	1.011486619148e+08	8.004960141908e+00	8.291004780217e+00	0	1	m0-s1	reserved_confirmation		False
