plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip	ha_gvel_lo_clip	ha_gvel_hi_clip
11010-12705	45.03073	0.9121934	-68.67714	103.5905	-72.41718	117.531
11010-1902	102.5866	1.192088	-78.48769	91.89367	-292.4251	505.8144
11011-3704	150.1064	1.332544	-168.2038	157.9866	-288.1868	321.3257
11011-6104	38.30384	0.9119749	-85.39528	49.79349	-106.9478	72.86236
11017-12703	56.13935	0.8590417	-135.3632	119.0227	-139.615	142.3145
11017-6103	92.39429	0.9607888	-106.9352	106.5066	-119.6807	126.0717
11017-6104	139.2398	1.011907	-189.0894	234.1677	-197.1549	237.6143
11018-3703	80.99143	1.235083	-99.77774	118.4635	-108.5008	126.5256
11018-6101	94.4342	1.012849	-166.9786	199.4754	-188.0073	258.0717
11020-1901	133.6826	1.234796	-64.38853	92.65096	-146.1636	162.696
11020-6102	54.07135	0.9081538	-47.64524	37.95065	-63.00991	58.20557
11021-3702	134.1614	1.128806	-148.8054	159.5008	-196.1512	183.5388
11021-9101	112.3976	0.8931978	-136.9858	174.5044	-150.7531	199.0797
11025-3702	249.5285	1.084088	-557.0886	120.2505	-298.9226	1028.014
11025-6101	53.59287	1.007744	-62.67353	43.52993	-134.9198	140.8565
11025-6104	271.1779	0.9492931	-71.59143	89.26405	-255.5069	396.1322
11742-9102	52.36569	0.8516407	-79.50143	96.91095	-114.058	235.0345
11743-9102	156.5721	0.9685055	-208.1643	166.8666	-248.1268	220.7675
11744-12701	129.5208	0.9660086	-155.0223	205.3372	-164.1882	207.2168
11744-3704	162.5258	1.002001	-54.79965	79.49271	-236.9825	237.4517
11744-6102	194.2597	0.9999251	-14.14384	116.8578	-206.1876	280.823
11745-3704	114.6823	1.184438	-115.8953	137.3653	-186.7059	176.8633
11745-6102	247.3445	0.9199444	-13.09268	43.57891	-256.821	375.1344
11745-9101	66.72463	0.8826198	-110.9727	96.65191	-123.3484	124.5812
11746-6104	167.1441	0.9423829	-98.74039	73.10716	-334.1545	246.5369
11746-9101	83.79936	1.068576	-97.83204	107.5048	-220.15	158.6908
11750-9102	108.9403	0.9240199	-171.3112	53.84237	-144.8823	422.7194
11751-9101	61.61058	0.8857635	-96.68161	76.11181	-132.5271	159.7807
11757-3701	53.75018	0.9471692	-36.40956	100.7398	-106.0965	115.4055
11758-1901	82.84872	1.5499	-40.42736	49.49669	-63.41679	42.36087
11760-12704	76.04513	0.8992187	-145.4199	114.6737	-235.9845	185.7977
11761-1902	47.38153	1.048254	-28.4391	19.95064	-19.69799	34.07555
11761-6104	119.5628	0.9094108	-92.64075	98.65273	-133.4809	177.4756
11761-9101	59.24881	0.8548724	-37.73008	69.71748	-118.28	169.616
11823-1901	42.46674	0.9799689	-46.96457	45.61938	-29.41453	43.02953
11826-3702	56.85586	0.9775589	-38.8489	43.67845	-65.19319	64.50745
11826-3704	46.5578	1.147214	-5.57535	13.3056	-20.17347	40.19487
11827-3703	229.6445	1.057689	-28.77185	41.8871	-331.7553	415.8536
11827-6102	95.88387	1.041588	-165.4761	122.4902	-141.4357	119.5605
11831-1902	71.56528	1.187547	-62.67973	94.42476	-393.1537	427.1392
11831-6102	61.33981	0.9282963	-97.57444	129.7652	-102.6412	136.3411
11832-12705	47.87144	0.9199108	-102.0036	97.94807	-146.3893	151.9814
11832-3701	109.5792	1.01692	-154.555	146.7296	-167.2493	149.347
11833-12701	61.40167	0.9034438	-110.025	85.99907	-242.9867	215.9424
11833-3704	80.43906	1.00628	-96.28587	78.39381	-140.2431	124.0448
11833-6102	100.8286	0.8929398	-175.6229	130.7511	-175.9799	145.2798
11834-9102	66.94893	0.9413681	-264.7288	25.27435	-278.4802	25.1004
11941-3701	230.646	1.370292	-65.04992	91.18726	-173.7184	266.4528
11942-6104	88.67232	0.9216549	-183.6439	161.5211	-189.1868	178.2589
11943-12705	166.5428	1.44706	-103.3951	127.023	-265.7097	343.5426
11943-3702	82.2918	1.050583	-52.56424	73.34308	-54.40259	107.4126
11944-3701	79.45499	0.9554596	-21.53881	-4.49086	-659.9269	275.6803
11945-3701	125.6832	1.028503	-101.0841	123.7949	-131.7273	158.4408
11945-3703	66.3372	0.9268728	-50.84662	71.10947	-201.4796	180.1126
11946-12701	86.44054	0.9951879	-170.165	140.2912	-174.6733	159.441
11946-1902	70.98133	1.277346	-94.89954	66.72508	-445.7837	469.8124
11952-3704	222.5588	1.169542	-128.8202	162.0513	-344.4405	395.7084
11975-12701	111.8986	0.9783058	-167.1088	66.45523	-166.1304	93.92908
11978-12704	51.43228	0.900152	-70.95763	68.7466	-131.4284	138.6879
11983-3704	96.27372	1.158916	-15.00706	27.96247	-136.8138	263.5833
11983-6103	211.9886	1.028406	-182.1337	179.474	-351.4001	243.8786
11984-12701	65.13213	0.9548085	-119.6414	128.2671	-132.7692	140.5268
11984-6103	40.90603	0.898743	-7.760283	18.64367	-1.584434	22.053
11984-9101	69.146	0.8523537	-127.5061	75.84229	-148.3921	173.7839
12066-9102	114.5118	0.9508581	-369.33	118.5317	-75.63815	65.75974
12083-6104	223.6296	1.068859	-33.85705	58.97108	-128.0262	131.7096
12083-9102	47.69044	0.8763494	-83.19162	52.41329	-88.87566	53.90446
7443-12703	127.9998	0.9864407	-49.61003	176.64	-21.94361	118.1315
7443-9101	61.33355	0.9445385	-71.32597	83.11684	-75.50587	114.7388
7495-3703	42.73279	0.929225	-78.2352	89.0974	-96.16051	95.6205
7495-3704	159.1584	1.427426	-89.27906	138.1583	-314.5077	382.3108
7815-6103	108.6696	1.088339	-87.07465	102.5138	-113.1026	100.3429
7957-12702	75.36336	0.890833	-133.0532	107.1653	-133.2046	126.9777
7957-6103	184.4682	0.9674501	-135.2462	170.8831	-398.5903	321.8984
7958-1901	60.75055	1.124323	-27.8688	1.370448	-83.06933	242.1182
7958-6101	77.28349	0.9859009	-90.47597	111.1989	-86.12174	120.8333
7960-12705	59.25035	0.8827798	-130.8609	140.1774	-136.9726	152.3871
7961-12702	101.4489	0.8841659	-188.3398	151.1176	-195.8724	166.7244
7961-12703	56.47717	0.909735	-118.0687	102.8481	-123.373	110.8052
7961-1901	61.78051	1.037825	-80.8302	38.19997	-71.45795	25.51022
7961-1902	159.4594	1.372779	-24.41215	19.1259	-100.0158	153.9274
7962-12704	60.50164	0.8592984	-94.78694	85.79437	-95.9963	100.5651
7962-1901	147.8125	1.32933	-92.29147	134.8142	-431.8407	175.9694
7962-1902	145.259	1.194941	-68.39565	98.76125	-508.5451	312.6344
7962-3701	138.028	1.242183	-147.2259	166.5031	-212.9589	223.604
7963-6101	226.0775	1.04631	-7.800157	53.36531	-303.0165	336.93
7964-3703	146.4804	1.278705	-163.5787	175.35	-391.3772	326.8983
7968-12702	56.99724	0.8833575	-141.2917	119.5925	-139.0512	130.0515
7968-9102	148.9176	0.9050655	-32.78732	48.43272	-215.5307	228.6837
7979-12704	64.74844	0.8833698	-133.2896	112.8723	-126.4932	139.2117
7979-3702	65.81927	0.932646	-55.35035	94.92182	-515.5488	676.9677
7990-6103	74.17881	0.9053379	-89.0284	112.8602	-93.48363	131.8192
8077-1901	39.82966	0.9488487	-9.784734	26.89021	-217.723	304.7804
8077-3701	129.9213	1.004998	-156.9248	168.2236	-131.6628	191.6511
8077-9101	83.43637	0.9373606	-149.3802	147.779	-202.676	187.0313
8080-1901	151.2581	1.151019	-48.68072	56.56779	43.12607	197.7422
8081-1901	72.83336	1.167107	-94.3419	70.65665	-72.91133	57.02061
8082-1902	65.76693	1.39601	-71.36215	81.33479	-436.8343	945.7935
8082-3704	60.53519	1.304156	-72.18179	86.30312	-169.1311	168.6814
8083-12703	84.26558	0.9192071	-53.10987	81.71777	-103.6042	125.1651
8083-3701	40.99655	0.9450065	-2.857456	11.05794	-216.1124	102.8126
8084-6103	92.20764	0.9463031	-134.7075	151.1151	-163.7653	200.1969
8085-12704	68.66302	0.9296097	-169.7259	167.5217	-171.1359	185.6089
8085-3701	61.54199	1.00596	-84.47279	74.61599	-96.2093	128.3082
8085-6103	202.5709	0.9735712	-52.13583	54.61705	-351.1254	305.2649
8097-1901	104.664	1.066546	-115.1391	113.8462	-128.1782	138.7628
8132-12704	116.9677	0.8921947	-164.0367	179.4883	-194.6855	234.695
8134-1902	199.8004	1.013965	-9.988129	10.72007	-348.8685	161.4181
8135-1901	58.93814	1.142823	-22.09105	43.88729	-38.21612	83.24125
8137-1902	99.3722	1.094072	-65.23093	93.45637	-122.765	147.4797
8138-12702	84.4667	1.019758	-151.0234	173.2855	-161.6833	224.3964
8138-3704	75.74832	1.321473	-16.57428	33.62819	-46.13605	81.91805
8140-3702	154.0802	0.9888213	-52.3709	76.30705	-98.55553	137.7353
8140-9101	53.81132	0.8796642	-44.93751	54.44624	-72.15269	108.0833
8143-1902	128.0998	1.18558	-30.95154	43.77231	-96.78397	123.2999
8143-3703	57.85523	1.003035	-47.13023	47.90547	-150.5062	115.5097
8144-3701	95.87193	1.059247	-81.0379	102.3141	-77.25107	113.7233
8146-6101	93.56741	0.9618403	-19.26173	58.48573	-341.8637	352.7192
8147-3702	43.97314	0.9263563	-56.86117	24.7492	-59.41158	44.82862
8149-1901	54.71848	1.019277	-13.73591	32.40421	-38.46933	72.06238
8150-6104	112.4844	0.9201101	-138.3576	143.0065	-133.9577	152.5838
8152-3702	70.50543	0.9308295	-59.3488	96.37723	-121.3753	131.9174
8153-3701	240.0072	1.190099	-49.9407	109.6334	-429.5811	591.0881
8158-12701	117.6981	0.9284824	-256.1099	164.5169	-288.1509	213.6104
8241-1901	180.4258	1.330014	-190.1914	195.8447	-370.7262	417.144
8243-6104	252.3206	0.9609892	-31.43592	103.8406	-186.1341	269.4582
8245-12701	64.16214	0.9247507	-129.8886	138.5156	-130.0119	152.1836
8245-1902	90.88042	1.087944	-81.90922	125.3923	-103.0383	151.1422
8247-1901	170.1471	1.413139	-64.27119	68.38431	-102.6824	162.3183
8247-9101	60.35759	0.8669427	-94.65893	64.53743	-87.81033	66.37367
8249-1902	96.90192	1.282137	3.892546	24.88929	-14.34085	58.06984
8249-6102	66.43834	1.046524	-34.3047	40.77798	-28.17447	36.86847
8250-3704	60.10203	1.066036	-94.29504	98.2282	-78.32796	96.57253
8252-3703	83.9353	0.9239697	-66.16759	75.61361	-95.38615	92.91965
8252-6101	31.50667	0.9294233	-50.96317	37.34977	-62.5019	116.2984
8252-6104	76.46207	1.012472	-122.8471	135.3174	-149.7756	151.4422
8253-1902	87.81748	1.2286	-49.78429	73.71612	-141.4375	154.4118
8253-6104	125.6078	0.9587535	-58.33337	77.35557	-64.40369	93.66415
8254-1902	78.02966	1.443775	-29.05966	35.46217	-29.71076	39.41845
8255-12702	44.38131	0.8634213	-54.85306	43.02068	-54.66432	57.66373
8256-12705	236.5904	0.9138486	64.64348	141.9298	-183.3984	365.8418
8256-1902	71.27418	1.002866	-7.886966	11.34086	-85.98679	146.6803
8256-6101	115.4076	1.07207	-118.2126	178.6683	-133.6386	213.796
8257-12703	69.46003	0.9661334	-158.1857	167.136	-164.5503	178.6025
8257-1901	52.35651	0.9985293	-2.49517	34.32586	135.7923	235.6512
8257-9101	57.56668	0.9152255	-125.7128	129.3931	-121.4127	140.1026
8258-12702	49.62992	0.8798034	-90.67762	79.82063	-103.2158	121.9405
8259-12703	64.26848	0.8676153	-108.8484	61.6224	-128.6723	145.0652
8259-1902	74.30658	1.058355	-96.35023	101.7877	-96.83868	108.5434
8259-3702	93.46461	0.9192594	-44.42161	51.39967	-41.42331	81.0194
8260-3703	54.34326	0.9069269	-25.43031	42.34784	-46.1381	82.72905
8261-3704	206.1226	0.9441949	-64.09107	78.70293	-229.95	261.0257
8261-6102	75.83746	0.9438648	-76.90969	101.5984	-86.18149	115.8834
8261-6104	46.57041	0.8989552	-58.71136	51.76058	-88.13341	198.8371
8263-12702	61.889	0.9023888	-133.6286	129.1842	-171.1316	171.626
8263-6101	58.03049	0.9253717	-85.29051	60.87463	-88.43907	86.7165
8263-6103	118.9955	0.9983995	-125.2852	150.1608	-126.8739	197.4885
8274-12705	238.0178	0.8863721	64.01096	140.7104	-86.9817	313.5872
8274-3702	69.59315	0.9700857	-75.23107	113.5074	-740.5449	347.6822
8274-6101	115.1709	1.058728	-109.0085	177.542	-127.6317	203.5235
8310-12703	101.3166	0.8951319	-71.79529	81.78716	-94.7628	107.9869
8311-1901	98.91643	1.040528	-87.90092	107.4649	-82.99294	108.6568
8314-12701	57.65668	0.9107414	-50.05193	20.55123	-49.7657	24.11606
8314-3702	78.5948	0.989805	-42.46568	60.8819	-82.63271	88.64879
8315-3701	72.22297	0.9693987	-76.0015	70.26539	-79.40828	117.7895
8318-12705	53.04402	0.8814315	-113.3842	94.89228	-112.148	106.5597
8318-1902	167.4529	1.341766	-101.1245	94.78974	-127.1029	155.1912
8318-3701	149.6441	1.102941	-161.302	160.9359	-297.119	301.5582
8318-9102	58.95902	0.8728457	-81.76504	78.16149	-71.57539	82.38891
8319-6102	77.64995	0.9023231	-77.40878	76.80412	-76.80306	96.04127
8320-6101	85.95232	0.9480146	-126.3875	145.2266	-122.2417	150.4225
8323-3704	53.94086	0.8927165	-72.00427	68.56283	-139.253	150.1933
8325-3701	60.17461	0.9796379	-72.65959	86.52301	-72.32981	154.7566
8326-12701	108.5533	0.9393992	-184.9866	174.3318	-196.5014	201.7529
8326-12702	42.86997	0.868852	-77.52192	64.02428	-86.70174	86.45545
8328-1901	66.38402	1.022219	-42.81425	42.83184	-178.5753	70.66452
8328-3701	66.1945	1.042051	-116.7296	76.41907	-103.6508	87.75357
8330-1901	159.1801	1.216706	-126.0752	138.8189	-208.4085	262.5073
8330-3701	206.6384	1.044592	-34.33614	96.92236	-191.0948	391.5797
8330-6103	150.0907	0.9377251	-112.2669	96.04539	-155.5617	184.8147
8330-9102	92.66864	0.9156641	-143.8816	181.3678	-149.279	194.382
8331-3703	94.63597	0.9648917	-87.08582	67.38554	-111.8768	95.09408
8332-9101	56.29499	0.851729	-59.10566	83.42449	-66.73785	96.22694
8333-12703	100.5019	0.924301	-182.3325	170.0743	-206.6349	197.4784
8335-12705	61.53641	0.8783176	-78.25185	81.07622	-80.32647	93.20831
8337-3704	174.2872	0.9914358	-41.0634	57.35482	-302.8013	400.1855
8338-3704	89.46262	1.006096	-151.6213	116.9192	-145.7678	134.1744
8338-6101	85.14486	0.9926247	-129.6148	100.0028	-138.3964	104.6282
8438-12702	67.0564	0.8791412	-82.49725	117.0389	-78.48463	123.9081
8438-12704	52.66306	0.8783742	-73.21049	60.96644	-91.9227	86.71519
8439-6103	97.88853	1.113557	-141.8223	187.0452	-131.1525	193.3391
8439-6104	143.6598	1.013822	-74.02834	116.3101	-113.084	186.2467
8441-12702	66.82848	0.8419892	-89.72913	63.79323	-95.28494	89.35427
8442-1902	65.11994	0.9361	-18.2406	19.49084	-60.08885	72.62116
8443-12704	103.1458	0.9003847	-63.61354	84.04099	-79.6917	110.2403
8443-12705	70.76609	0.9173489	-173.0895	142.1001	-173.9611	149.1016
8443-3701	159.5196	1.429784	-173.522	203.4806	-171.2328	224.8132
8443-6101	204.2852	0.9766081	-27.58065	91.60894	-45.07882	170.0529
8443-6103	58.53761	0.9182361	-56.65932	50.50208	-51.75938	60.70599
8444-6102	98.54172	0.9741508	-171.0181	173.0351	-171.8544	186.8874
8445-12702	144.3821	0.9525061	-161.1363	206.9494	-186.6079	209.9973
8445-12705	79.20428	0.9466382	-185.0326	179.7707	-210.0013	235.8387
8445-1901	102.7661	1.113193	-96.23157	109.7587	-317.0154	465.7092
8445-6104	42.70092	0.9209293	-24.44786	26.76977	-64.84844	102.9066
8446-9101	154.0227	0.8927506	-148.1836	160.9028	-177.5721	221.6508
8449-3702	172.5684	1.03915	-129.8407	149.1375	-306.6856	376.3138
8450-12704	212.111	0.9032189	-137.7135	151.5939	-209.6276	456.632
8452-12705	59.41521	0.8655552	-140.067	39.59946	-147.4686	47.4878
8452-1902	107.4268	0.927447	-139.3089	19.86764	-144.7101	67.22153
8454-12703	79.12403	0.9411579	-131.9555	39.97765	-129.2673	75.58477
8454-3704	25.30484	0.9462917	-68.85102	29.79469	-76.66235	57.28704
8454-9102	118.573	1.025927	-169.7904	183.53	-167.0894	207.1785
8458-1902	83.29516	1.034637	-25.56149	33.54623	-376.0829	329.5275
8458-6101	78.24243	1.02098	-79.93514	126.5174	-148.4889	179.4643
8459-3704	49.41908	0.9270219	-34.5587	55.33136	-38.63219	67.88014
8461-6103	76.27821	0.9024974	-112.4335	136.0045	-116.6059	194.2658
8462-12705	107.4753	0.9471869	-188.5901	208.0232	-188.8551	212.9352
8462-1901	74.49996	1.017691	-56.59573	74.24959	-358.8959	311.6732
8462-9102	57.37272	0.9322312	-74.79587	91.62446	-78.21656	101.2725
8464-3703	181.538	1.287	-112.7809	122.7419	-399.5603	415.6655
8464-6103	67.47775	0.9451292	-77.12321	54.92446	-121.3223	97.69612
8464-6104	53.46323	0.8767678	-88.88483	79.44134	-86.08704	92.94599
8465-1902	63.26195	0.9390236	-39.21487	39.81765	-38.72987	78.60523
8465-3704	176.3604	1.256318	-133.7876	174.8101	-494.1995	288.7708
8466-1901	76.55477	1.101639	-91.85957	92.80044	-30.4378	36.53123
8466-3702	43.99504	0.8760176	-62.49432	40.41644	-71.70547	61.91208
8481-3702	269.4871	0.890699	-18.10307	63.76795	-289.2935	568.3976
8484-3704	100.7115	0.9460644	-120.8094	145.5584	-165.073	182.6136
8546-12705	63.67723	0.9440222	-112.0228	110.9503	-116.7782	117.4125
8546-6102	77.85845	1.017765	-100.7017	103.3874	-94.98441	102.709
8548-12704	70.7103	0.9573885	-138.5618	62.73162	-136.2988	91.21329
8548-12705	134.2668	0.9174629	-69.63201	92.2801	-680.7031	416.9319
8548-1902	50.49111	0.9984831	-35.46569	26.24269	-59.21771	66.03503
8549-1901	49.16821	0.9623138	-48.3161	39.0725	-38.71365	48.8163
8549-1902	65.02297	1.068737	-77.03993	41.93903	-73.92729	76.48604
8551-12704	85.68304	0.9301983	-170.4897	162.1992	-181.5618	182.7482
8552-12701	112.8667	0.9853163	-167.1117	177.6784	-138.4117	202.6954
8553-12702	173.6265	0.9147805	-338.7676	-70.56125	-417.7944	50.67144
8553-12705	75.99242	0.9616868	-89.1836	89.54025	-209.8396	244.1019
8553-3704	92.28226	1.245325	-112.5367	106.4868	-142.2037	116.1204
8553-6101	28.36307	0.9861957	-40.57808	45.86199	-482.4238	436.364
8555-1901	75.45823	1.02232	-95.48136	74.84589	-51.24586	76.02103
8562-3703	82.59669	1.00528	-106.4423	113.5451	-120.7159	126.6247
8563-12701	59.27626	0.9400004	-136.3721	136.0656	-129.7751	141.418
8563-6101	82.56475	1.064861	-134.4468	144.6917	-169.0641	161.4375
8564-12701	53.40438	0.9312268	-104.5801	116.6331	-102.0909	117.9041
8564-1902	33.68514	0.9731396	-52.50743	48.01566	-85.53275	132.2429
8565-9101	42.48214	0.8430321	-58.98291	67.79753	-107.6601	100.1201
8566-3702	62.33725	0.9868178	-31.42113	47.18053	-146.8775	123.6559
8567-3701	91.44182	0.9800697	-160.777	130.1235	-177.3325	157.0498
8568-12705	52.71902	0.877242	-95.28436	105.3397	-95.75737	125.2512
8588-12703	44.61886	0.8755895	-34.47361	32.23465	-32.33326	36.79101
8589-12703	57.3063	0.879521	-112.4231	112.905	-120.7483	127.3821
8589-12705	93.49107	0.9017054	-90.64035	114.8607	-93.54897	122.4891
8589-1901	92.92347	1.211736	-75.12726	79.53518	-80.45919	159.284
8589-3701	128.6066	1.097928	-187.3903	183.2621	-240.9461	183.3236
8592-3702	73.98656	1.096488	-35.98306	47.93897	-22.05378	65.27191
8592-6101	102.0702	1.010424	-79.61217	126.1263	-127.8282	158.0573
8593-12704	57.23966	0.8777735	-81.4585	89.18944	-88.87236	101.8796
8596-6103	60.64144	0.903214	-91.24058	68.59869	-56.08084	105.9549
8596-9101	57.36555	0.8365695	-107.6204	128.2762	-113.9382	137.5929
8597-12704	114.7024	0.8698653	-126.3886	146.3883	-140.3651	166.1726
8597-3704	227.348	1.039131	-39.61011	52.86906	-209.804	429.9613
8598-3702	66.02789	0.9308782	-68.7412	14.15922	-77.43787	77.08784
8601-9102	253.9635	1.005573	-98.58691	133.2487	-319.4456	325.5461
8602-6102	63.00982	0.9160976	-92.10836	57.19212	-507.153	108.1982
8614-6103	293.7388	0.98607	-43.89871	110.1137	-708.0432	951.4911
8616-6102	63.3076	0.9441756	-115.4574	8.145423	-124.1478	32.59916
8616-9102	73.99655	0.9076051	-61.78668	93.35219	-70.38407	108.8522
8619-12703	51.11416	0.9176645	-85.31199	116.877	-109.2295	137.9384
8619-3703	174.3538	1.013209	-194.7313	186.9999	-229.2933	216.1098
8620-12704	59.94493	0.9079229	-83.07169	124.7092	-105.3885	157.5051
8622-12704	108.076	0.8908969	-125.1667	143.559	-162.3062	187.1162
8624-3702	192.5469	1.537477	-180.439	204.1618	-288.9183	254.0285
8624-6101	264.5087	0.9841503	-554.806	86.35489	-662.72	446.2484
8626-9101	59.47876	0.8639983	-65.24803	85.93371	-81.38167	103.1735
8651-6103	76.69193	1.012014	-134.0614	114.4156	-146.3203	133.8774
8655-3703	77.20789	1.038395	-61.73648	82.56221	-450.6085	711.3645
8656-9102	185.3042	1.024576	-163.5287	152.0833	-252.3611	188.4733
8710-12705	47.40009	0.8855262	-91.95026	91.72604	-195.6918	153.413
8712-12705	114.8213	0.9069852	-231.1864	237.381	-237.21	251.0833
8712-6104	97.2883	0.9513381	-139.0365	141.7028	-119.3544	158.7989
8713-12703	65.2928	0.8947539	-90.55341	79.82784	-87.16888	105.4208
8713-1902	58.1774	0.9669373	-62.96814	24.1543	-45.57336	38.10474
8713-3703	88.47915	1.043082	-17.03	15.21499	-254.0136	116.289
8717-3703	65.50807	1.025743	-53.24257	59.22752	-37.25463	56.11429
8718-1901	178.8978	1.540974	-48.81192	77.90849	-215.594	105.6196
8718-9101	56.84002	0.969408	-73.57015	68.05158	-127.424	100.31
8719-12703	122.8052	0.9295182	-178.965	162.2477	-604.4964	334.9588
8719-3702	52.53443	0.896894	-62.17551	30.59165	-86.74973	83.45878
8719-9102	68.27526	0.8914699	-133.1932	131.5307	-135.6692	133.3404
8723-9102	252.5622	0.9642841	-74.28995	84.05798	-380.2347	436.9861
8724-3702	204.7914	1.152454	-104.3411	124.9046	-132.7511	164.238
8727-6103	290.8206	1.004234	-12.5334	56.0129	-271.8563	371.9106
8938-12702	92.18949	0.8514781	-177.9739	166.4135	-178.1235	201.8654
8943-1901	131.3938	1.352331	-133.7266	120.5749	-239.0168	189.5751
8946-1902	207.7007	1.09513	-152.3194	144.2025	-248.2989	263.2239
8947-1902	115.937	1.117534	-8.564897	34.23344	-95.98867	135.3524
8947-6102	97.72259	0.9591721	-15.14439	22.99635	77.49148	354.8363
8947-6103	80.25664	0.9251046	-133.1647	87.32755	-152.3662	108.2292
8978-6102	77.0512	0.9339283	-111.8852	106.6857	-140.2106	143.3426
8979-3701	71.50017	1.105627	-11.33565	17.17722	-72.07269	79.63329
8979-6102	76.95689	0.8833288	-93.99919	121.5145	-96.73383	127.5347
8980-3701	109.7037	1.996661	-9.289674	26.27128	-120.3507	129.987
8981-12705	39.84347	0.9352259	-31.93995	11.96941	-72.21407	63.14735
8982-3703	52.82165	2.167424	-17.68999	48.95892	-53.85123	86.30842
8982-6104	93.01202	0.947501	-125.0107	164.8624	-117.5868	139.7645
8983-12705	66.05746	0.8824927	-149.9015	135.9115	-156.6143	143.2162
8985-1902	88.01111	1.802105	-97.15342	120.8593	-47.37141	72.31827
8985-9102	104.0623	0.8749377	-169.4474	187.464	-182.0197	203.7938
8986-3702	49.14112	0.9122787	-53.4276	65.84137	-60.90585	77.26909
8987-1901	46.63353	1.042383	-20.20019	24.35703	-8.634265	28.91547
8987-6101	32.26878	0.9192705	-57.23414	27.57805	-93.07957	122.0832
