theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,3.0,0.25,205.0,6269.2783495932445,10531.355422976278,-6224.2780634014725,10132.638909968357,-6895.137909420357,6224.2780634014725
newton,3.0,0.25,210.0,5646.915456172841,9094.034901589104,-4653.621309941107,9437.389688863226,-5052.207519592061,4653.621309941107
newton,3.0,0.25,215.0,4967.526193679737,7401.367665003707,-4010.9568074323206,8314.40932602856,-3213.5894816709283,4010.9568074323206
newton,3.0,0.25,220.0,4154.066151158026,6288.118801228629,-3811.4550467660265,7224.124145109983,-2146.796213570531,3811.4550467660265
newton,3.0,0.25,225.0,3421.902920365157,5954.809968398236,-3704.776169851636,6630.337268883897,-1791.0357497793916,3704.776169851636
newton,3.0,0.25,230.0,3681.1040678785794,5982.467231913501,-3525.4899392785114,6949.003863947779,-1025.5664962886767,3525.4899392785114
newton,3.0,0.25,235.0,3867.602305131927,6069.513489923027,-3858.6538029361304,7190.219930510722,-313.17558318901865,3858.6538029361304
newton,3.0,0.25,240.0,3533.4432726421564,6526.67423142197,-3870.5093203872184,7418.9873229577815,-203.28547877165647,3870.5093203872184
newton,3.0,0.25,245.0,3185.781022323363,6428.545347336181,-4141.259321336672,7172.609945549815,170.4774881127678,4141.259321336672
newton,3.0,0.25,250.0,2192.194039340723,6606.828895894615,-4158.759897785609,6958.162879800271,-199.6800038027136,4158.759897785609
newton,3.0,0.25,255.0,1328.355265163861,6094.962954125633,-4072.3308690578915,6231.085768951679,-294.3998346131975,4072.3308690578915
newton,3.0,0.25,260.0,367.88790301368454,5883.99037353758,-3730.1451458935535,5858.482402453042,-659.4453466472817,3730.1451458935535
newton,3.0,0.25,265.0,250.98338242400325,5822.477809173048,-3396.8113175091503,5822.196166367516,-257.4340632103099,3396.8113175091503
newton,3.0,0.25,270.0,-14.781251117237844,5918.241963370354,-3390.695779665519,5918.241963370354,-14.78125111723893,3390.695779665519
newton,3.0,0.25,275.0,-164.79819108408293,6245.571686632326,-3231.5951595368188,6236.168509522448,380.1663550191091,3231.5951595368188
newton,3.0,0.25,280.0,717.8319414149491,6331.840676560504,-3545.454283710461,6110.995580617029,1806.4390560273196,3545.454283710461
newton,3.0,0.25,285.0,415.73319627598687,5937.725314249221,-4573.563200284739,5627.802561566128,1938.3638270437236,4573.563200284739
newton,3.0,0.25,290.0,-1057.448408103544,6073.207455328542,-5102.275050551196,6068.616886373269,1083.4828183612833,5102.275050551196
newton,3.0,0.25,295.0,-2483.149519542979,6136.9969832628285,-4983.257049991978,6611.432488543037,343.1092514363363,4983.257049991978
