band,mode,ky,kx,q,q_pass
high,277,11,13,0.936542515573568,True
high,278,11,14,0.9683241255447453,True
high,279,11,15,1.118757792696604,True
high,280,11,16,0.955033202294567,True
high,281,11,17,0.961541591766867,True
high,282,11,18,0.8996535885750261,True
high,283,11,19,0.9567682398308945,True
high,284,11,20,0.8874080231412478,True
high,285,11,21,0.952496303054554,True
high,286,11,22,0.8844033752596268,True
high,287,11,23,0.9512254329639628,True
high,288,12,0,1.0693671023958276,True
high,289,12,1,0.9922013409126239,True
high,290,12,2,1.0434649835803718,True
high,291,12,3,1.082429489856922,True
high,292,12,4,1.0379983610578298,True
high,293,12,5,1.0035394622069935,True
high,294,12,6,1.0024684323312612,True
high,295,12,7,0.9947716376510348,True
high,296,12,8,1.0234661315903109,True
high,297,12,9,0.924434531879235,True
high,298,12,10,0.9184077894843031,True
high,299,12,11,1.0335686504276413,True
high,300,12,12,0.9478442497661925,True
high,301,12,13,1.018722096161001,True
high,302,12,14,0.997972788138784,True
high,303,12,15,1.0307850242810797,True
high,304,12,16,1.0405967074007503,True
high,305,12,17,1.0026748818935673,True
high,306,12,18,0.9879555296840156,True
high,307,12,19,1.0073325356913483,True
high,308,12,20,0.9942426651809806,True
high,309,12,21,1.0080666875208733,True
high,310,12,22,0.9941525430951741,True
high,311,12,23,1.0082671797530705,True
high,312,13,0,0.9325619894247266,True
high,313,13,1,0.9694411009107459,True
high,314,13,2,0.9392451895739423,True
high,315,13,3,1.0189790452935332,True
high,316,13,4,0.9225427113877555,True
high,317,13,5,1.0172280390917507,True
high,318,13,6,1.0017279974396993,True
high,319,13,7,1.0452659476411015,True
high,320,13,8,0.8179574164214708,True
high,321,13,9,1.0991842429451428,True
high,322,13,10,0.9894648447728246,True
high,323,13,11,0.9914532428446334,True
high,324,13,12,0.9595602824113311,True
high,325,13,13,0.97167431856687,True
high,326,13,14,0.9412088782247666,True
high,327,13,15,1.009414083767722,True
high,328,13,16,1.0236696740186313,True
