galaxy	point_index	outer_fold	source_family	radius_arcsec	radius_kpc	log10_gbar	log10_radius_over_r50	log10_surface_density	enclosed_mass_fraction	log10_total_mass	inclination_sine	log10_distance	newtonian_speed_km_s	rar_speed_km_s	surface_brightness_q10	surface_brightness_q100	surface_brightness_q1000	acceleration_q0p01	acceleration_q0p1	acceleration_q1	enclosed_mass_fraction_source	outer_inverse_radius_potential_source	outer_radius_lever_source	condition_surface_density	condition_compactness	condition_vacuum_fraction	condition_radial_span	condition_concentration
DDO133	5	2	2015AJ....149..180O	6.548000000000e+01	1.111095994367e+00	1.646009134315e+00	3.294785779616e-02	6.322469926935e-01	5.646974866063e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	7.012620841856e+00	2.179080227677e+01	3.001082174003e-01	4.111620038290e-02	4.269615363032e-03	5.444816339979e-01	1.067681117497e-01	1.181182478027e-02	5.646974866063e-01	2.350692318036e-01	4.058212514473e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	6	2	2015AJ....149..180O	7.619000000000e+01	1.292828402731e+00	1.595907439033e+00	9.873716062927e-02	4.621698144298e-01	6.812284313657e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	7.140426644492e+00	2.280283794977e+01	2.247146521204e-01	2.816831500938e-02	2.890099818833e-03	5.157534737990e-01	9.625465088841e-02	1.053839792031e-02	6.812284313657e-01	1.873734927335e-01	3.235394254529e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	7	2	2015AJ....149..180O	8.750000000000e+01	1.484741898398e+00	1.525963773000e+00	1.588472400786e-01	1.710964179819e-01	7.648376492446e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	7.060043364430e+00	2.342639376787e+01	1.291358513539e-01	1.461180186124e-02	1.480651676150e-03	4.755154782102e-01	8.312683473503e-02	8.984879616174e-03	7.648376492446e-01	1.481201779582e-01	2.527405616294e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	8	2	2015AJ....149..180O	9.821000000000e+01	1.666474306762e+00	1.455237684469e+00	2.089948980989e-01	3.821778767430e-02	8.187258174459e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.894744123342e+00	2.378491692294e+01	9.844834151720e-02	1.080192235902e-02	1.090796666715e-03	4.351500218035e-01	7.152778937636e-02	7.644920793522e-03	8.187258174459e-01	1.205602360321e-01	1.999591045087e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	9	2	2015AJ....149..180O	1.089300000000e+02	1.848376399914e+00	1.383623338777e+00	2.539866906888e-01	-1.906439829848e-01	8.540980395299e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.686623599801e+00	2.399663527929e+01	6.056513518544e-02	6.405678208533e-03	6.442821787345e-04	3.951374779675e-01	6.132092326619e-02	6.490283484600e-03	8.540980395299e-01	1.028497509534e-01	1.609337538823e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	10	2	2015AJ....149..180O	1.202400000000e+02	2.040289895581e+00	1.313081929729e+00	2.968881546351e-01	-2.621338002811e-01	8.846454412451e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.477193990056e+00	2.417074710899e+01	5.184937609494e-02	5.438733032529e-03	5.465485818965e-04	3.570491023412e-01	5.261122032532e-02	5.522618564390e-03	8.846454412451e-01	8.635291988637e-02	1.265477866038e-01	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	11	2	2015AJ....149..180O	1.309500000000e+02	2.222022303945e+00	1.253239880923e+00	3.339446898175e-01	-3.372181629780e-01	9.141979969696e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.309488417292e+00	2.434028360261e+01	4.397937941103e-02	4.579188835995e-03	4.598139008126e-04	3.260760899628e-01	4.615166927145e-02	4.815172344521e-03	9.141979969696e-01	6.699897353426e-02	9.460030017962e-02	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	12	2	2015AJ....149..180O	1.416700000000e+02	2.403924397098e+00	1.194982724131e+00	3.681170809604e-01	-3.087971140599e-01	9.356811726688e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	6.136938407960e+00	2.445474337267e+01	4.681449217345e-02	4.887368942961e-03	4.908961659040e-04	2.973124962466e-01	4.059323916480e-02	4.213250451391e-03	9.356811726688e-01	6.274848791075e-02	8.001611132099e-02	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	13	2	2015AJ....149..180O	1.529800000000e+02	2.595837892765e+00	1.136022073308e+00	4.014738436425e-01	-4.241691081248e-01	9.525346119131e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	5.958676672439e+00	2.453819973901e+01	3.628921801036e-02	3.751445109526e-03	3.764154025013e-04	2.697501788994e-01	3.562352487790e-02	3.680348784630e-03	9.525346119131e-01	5.366048214006e-02	6.271613374417e-02	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	14	2	2015AJ....149..180O	1.636900000000e+02	2.777570301129e+00	1.084693169862e+00	4.308613357567e-01	-4.658834367970e-01	9.690068479745e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	5.810039899783e+00	2.462233773276e+01	3.307569953961e-02	3.409051026687e-03	3.419542682631e-04	2.471111081542e-01	3.177869178350e-02	3.271434907812e-03	9.690068479745e-01	3.217038015472e-02	3.438105714214e-02	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO133	15	2	2015AJ....149..180O	1.744000000000e+02	2.959302709493e+00	1.041717659848e+00	4.583856676528e-01	-6.291063303827e-01	9.963226419544e-01	7.352136088701e+00	8.789382266405e-01	5.440680443503e-01	5.707599954319e+00	2.477707868671e+01	2.295143379068e-02	2.343552479683e-03	2.348505941914e-04	2.291645953309e-01	2.887106231381e-02	2.964125949886e-03	9.963226419544e-01	3.637457711651e-03	3.690529399281e-03	-7.042136676105e-01	-8.504383032955e-01	9.466409591620e-01	-1.045299549892e-01	-3.394126589062e-02
DDO216	1	2	2015AJ....149..180O	3.220000000000e+01	1.717210058490e-01	1.972124165004e+00	-4.877842667594e-01	1.035335960681e+00	1.010707032086e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.013042825265e+00	1.046226380903e+01	5.203297998564e-01	9.786095312237e-02	1.073124849781e-02	7.169344228177e-01	2.020905413203e-01	2.470186631345e-02	1.010707032086e-01	2.420356617092e-01	7.678850851923e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	2	2	2015AJ....149..180O	4.924000000000e+01	2.625944822362e-01	1.878708886821e+00	-3.033220941960e-01	9.557611944050e-01	1.906050286686e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.456534177723e+00	1.221196001990e+01	4.745560935357e-01	8.283408877701e-02	8.950688814380e-03	6.713305615737e-01	1.696125140090e-01	2.001684861549e-02	1.906050286686e-01	2.753316403299e-01	6.762669137181e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	3	2	2015AJ....149..180O	6.439000000000e+01	3.433886821931e-01	1.815021100715e+00	-1.868217133631e-01	8.826473298579e-01	2.814798622737e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.735911072165e+00	1.342894077486e+01	4.328544341723e-01	7.090964050267e-02	7.574348976965e-03	6.382005700569e-01	1.499462758700e-01	1.733386065327e-02	2.814798622737e-01	2.820048436352e-01	6.027281017988e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	4	2	2015AJ....149..180O	8.144000000000e+01	4.343154880852e-01	1.750427997601e+00	-8.480237346257e-02	7.926580049367e-01	3.880546630962e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.944434832617e+00	1.451749702509e+01	3.828609282075e-01	5.841413312738e-02	6.165553214380e-03	6.032036027108e-01	1.319583219680e-01	1.497420620846e-02	3.880546630962e-01	2.740432394325e-01	5.248145518031e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	5	2	2015AJ....149..180O	9.848000000000e+01	5.251889644723e-01	1.692376248756e+00	-2.292098531998e-03	7.448461726528e-01	4.964342166778e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	5.085643583828e+00	1.540939907328e+01	3.572055991502e-01	5.264520604638e-02	5.526363495033e-03	5.708113984952e-01	1.173857532047e-01	1.312521750946e-02	4.964342166778e-01	2.521394582561e-01	4.487527699522e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	6	2	2015AJ....149..180O	1.136400000000e+02	6.060364939342e-01	1.637025420054e+00	5.989108659564e-02	6.152961573781e-01	5.819387128300e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	5.125805214349e+00	1.600593179778e+01	2.919745634787e-01	3.960465231110e-02	4.106850581549e-03	5.393465797021e-01	1.048113243349e-01	1.157279655318e-02	5.819387128300e-01	2.289254653005e-01	3.849665076124e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	7	2	2015AJ....149..180O	1.306800000000e+02	6.969099703213e-01	1.575407884804e+00	1.205689873481e-01	5.214015022972e-01	6.677524888026e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	5.120263146260e+00	1.653579189719e+01	2.493627654357e-01	3.215204772524e-02	3.311015096382e-03	5.039581149870e-01	9.222608875707e-02	1.005740880512e-02	6.677524888026e-01	1.994425031698e-01	3.169167863360e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	8	2	2015AJ....149..180O	1.458300000000e+02	7.777041702782e-01	1.518963066895e+00	1.682067373389e-01	3.912664946671e-01	7.302073455566e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	5.068608497438e+00	1.688322145321e+01	1.975527164693e-01	2.402725644980e-02	2.455831856614e-03	4.714968845625e-01	8.190646885993e-02	8.842477373895e-03	7.302073455566e-01	1.744862617833e-01	2.626232926081e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	9	2	2015AJ....149..180O	1.628800000000e+02	8.686309761703e-01	1.459752062039e+00	2.162276222014e-01	3.024629500752e-01	7.948349626659e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	5.003727927339e+00	1.721858696022e+01	1.671254346334e-01	1.967137129277e-02	2.002591477733e-03	4.377066915774e-01	7.222120234319e-02	7.724185181131e-03	7.948349626659e-01	1.437326879819e-01	2.049394245621e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	10	2	2015AJ....149..180O	1.780300000000e+02	9.494251761272e-01	1.410024283411e+00	2.548530533853e-01	2.120664952637e-01	8.468374311191e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.940177047984e+00	1.747241250862e+01	1.401211692067e-01	1.603417103395e-02	1.626894416389e-03	4.097553048162e-01	6.491479330914e-02	6.894265148323e-03	8.468374311191e-01	1.142656029398e-01	1.567755990891e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	11	2	2015AJ....149..180O	1.950800000000e+02	1.040351982019e+00	1.354215941392e+00	2.945726084643e-01	4.663081419037e-02	8.941920702321e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.849512913714e+00	1.768907728583e+01	1.001811268077e-01	1.101088748459e-02	1.112109530074e-03	3.790739987294e-01	5.753715553453e-02	6.067934052257e-03	8.941920702321e-01	8.403608004980e-02	1.108025616790e-01	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO216	12	2	2015AJ....149..180O	2.121200000000e+02	1.131225458407e+00	1.298293581590e+00	3.309414799913e-01	-1.204870363141e-01	9.294931583525e-01	6.803585370316e+00	8.112450308014e-01	4.139268515823e-02	4.741561370073e+00	1.783966633007e+01	7.043563440322e-02	7.520290211042e-03	7.571536346645e-04	3.492706988002e-01	5.093961254237e-02	5.338718270387e-03	9.294931583525e-01	5.918155470130e-02	7.481676156493e-02	-5.309926503270e-01	-8.047204547327e-01	9.004575905674e-01	-2.350225026313e-01	2.809106900511e-03
DDO64	1	2	2002A&A...385..816D	9.000000000000e+00	2.661627109291e-01	2.031205852451e+00	-6.103497625066e-01	1.590744458327e+00	3.385947736336e-02	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	5.347816930905e+00	1.351265926244e+01	7.957986010543e-01	2.804267638093e-01	3.750946964795e-02	7.437109222120e-01	2.249169962597e-01	2.820011659227e-02	3.385947736336e-02	2.204069688361e-01	8.107470407878e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	2	2	2002A&A...385..816D	1.500000000000e+01	4.436045182152e-01	2.100383017203e+00	-3.885010128902e-01	1.516785750863e+00	1.102947687020e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	7.476347670426e+00	1.821576648563e+01	7.667308993961e-01	2.473786798924e-01	3.182295696512e-02	7.728777916895e-01	2.538937037148e-01	3.290928448310e-02	1.102947687020e-01	2.702343527928e-01	7.151710441283e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	3	2	2002A&A...385..816D	2.100000000000e+01	6.210463255013e-01	1.916199325693e+00	-2.423729772120e-01	1.515821502537e+00	1.414579285342e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	7.155857130643e+00	1.921962684896e+01	7.663335597914e-01	2.469655375886e-01	3.175462112913e-02	6.900887149159e-01	1.821198220629e-01	2.178226644676e-02	1.414579285342e-01	3.254194912363e-01	6.384851483582e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	4	2	2002A&A...385..816D	2.700000000000e+01	7.984881327874e-01	2.114389372959e+00	-1.332285077869e-01	1.265264815185e+00	3.690679055547e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.019363125812e+01	2.465476078182e+01	6.481220874648e-01	1.555405454469e-01	1.808582583895e-02	7.784891584626e-01	2.600513727251e-01	3.395131465653e-02	3.690679055547e-01	2.738890536492e-01	5.368148796491e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	5	2	2002A&A...385..816D	3.300000000000e+01	9.759299400735e-01	2.038875382123e+00	-4.607833206802e-02	1.226232308551e+00	4.633323681456e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.033111062368e+01	2.599879873610e+01	6.273626671427e-01	1.440975446743e-01	1.655699449609e-02	7.470624459753e-01	2.280105557061e-01	2.868813300423e-02	4.633323681456e-01	2.625755369496e-01	4.644769392427e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	6	2	2002A&A...385..816D	3.900000000000e+01	1.153371747360e+00	1.950929499467e+00	2.647233508059e-02	1.176653109017e+00	5.285037734710e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.014961115479e+01	2.676050623020e+01	6.003104495567e-01	1.305815870694e-01	1.479717323566e-02	7.069264986344e-01	1.943354257250e-01	2.355300803103e-02	5.285037734710e-01	2.594041980338e-01	4.029977866689e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	7	2	2002A&A...385..816D	4.500000000000e+01	1.330813554646e+00	1.918141040062e+00	8.862024182944e-02	1.026335004870e+00	6.524623358404e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.049854533221e+01	2.816841082441e+01	5.151550038995e-01	9.604641044044e-02	1.051344153256e-02	6.910440895041e-01	1.827867284554e-01	2.187773678522e-02	6.524623358404e-01	2.125876747576e-01	3.194707450842e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	8	2	2002A&A...385..816D	5.100000000000e+01	1.508255361932e+00	1.862179002954e+00	1.429779041520e-01	7.993385032342e-01	7.367306432926e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.047917131788e+01	2.897089633384e+01	3.865019502793e-01	5.926596496911e-02	6.260529169092e-03	6.628783606579e-01	1.643189863073e-01	1.928371040163e-02	7.367306432926e-01	1.768035880396e-01	2.505804976134e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	9	2	2002A&A...385..816D	5.700000000000e+01	1.685697169218e+00	1.803950526216e+00	1.912825837266e-01	7.104896165198e-01	8.048030554456e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.036012610793e+01	2.955236866102e+01	3.392535779302e-01	4.883652794954e-02	5.108171624640e-03	6.322942092211e-01	1.467260488474e-01	1.690496354030e-02	8.048030554456e-01	1.433832320969e-01	1.897958175986e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	10	2	2002A&A...385..816D	6.300000000000e+01	1.863138976504e+00	1.750068716208e+00	2.347482775077e-01	5.896309523389e-01	8.684387510169e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.023662947260e+01	3.006190306929e+01	2.799096834493e-01	3.741701458130e-02	3.872095486066e-03	6.030055781236e-01	1.318635902222e-01	1.496200879977e-02	8.684387510169e-01	1.054141939038e-01	1.314039956332e-01	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	11	2	2002A&A...385..816D	6.900000000000e+01	2.040580783790e+00	1.697389529442e+00	2.742568187913e-01	4.413197548453e-01	9.227352036521e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	1.008257963815e+01	3.046696577549e+01	2.164612782059e-01	2.688342662054e-02	2.755000121295e-03	5.736370516700e-01	1.185870258591e-01	1.327558333582e-02	9.227352036521e-01	6.648715164516e-02	7.871184719619e-02	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	12	2	2002A&A...385..816D	7.200000000000e+01	2.129301687433e+00	1.670791896429e+00	2.927402244854e-01	3.629844323274e-01	9.450314640962e-01	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	9.988828284601e+00	3.062308459439e+01	1.874321431506e-01	2.254657127182e-02	2.301356046493e-03	5.585951757507e-01	1.123336480756e-01	1.249679424575e-02	9.450314640962e-01	4.975915863099e-02	5.736772243811e-02	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
DDO64	13	2	2002A&A...385..816D	9.000000000000e+01	2.661627109291e+00	1.501525602162e+00	3.896502374934e-01	-5.331562170387e-01	1.000000000000e+00	7.718259670022e+00	7.804570242279e-01	7.853298350108e-01	9.190442171676e+00	3.090734458815e+01	2.846442981848e-02	2.921280302175e-03	2.928981039329e-04	4.615044710087e-01	7.893742365141e-02	8.497431155935e-03	1.000000000000e+00	0.000000000000e+00	0.000000000000e+00	-3.333821033412e-01	-7.400546337301e-01	7.465480515406e-01	1.979506197970e-01	1.076606869704e-01
