cluster	redshift	theta_arcmin	n_members	response_log10_sigma	response_fractional_error	redshift_stratum	extent_stratum	log_y_sz	log_y_snr	log_xi	log_theta_eff	log_da	log_ez	log1pz	thermal_energy_proxy	log_extent	pressure_surface_proxy	detection_aperture_coherence	aperture_filter_ratio	coherence_x_extent	coherence_x_surface	coherence_x_aperture	surface_x_aperture	coherence_squared	alternative_responses_json
0334-4659	0.4861	1.0	34	3.0874264570362855	0.13000817661488143	low_z	resolved	-4.017728766960432	0.9408785478813433	0.9637878273455552	0.013164469361174578	3.093464914743275	0.11325001302412967	0.17204803418025563	-4.790096690035384	-0.4296444986883663	-4.044057705682781	0.02290927946421191	-0.13810320596947454	-0.009842845890713011	-0.09264644814888646	-0.0031638449404583105	0.5584973342803498	0.0005248350855693616	"[{""estimator"":""biweight"",""fractional_error"":0.15944399018806213,""log10_sigma"":3.0874264570362855,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1596009975062344,""log10_sigma"":3.0802656273398448,""source_id"":""J/ApJS/227/3/table2""}]"
0348-4515	0.3592	0.75	27	3.095518042323151	0.13402889245585875	low_z	resolved	-3.978810700930062	0.9420080530223133	1.0051805125037803	-0.10205999132796237	3.0154075846501924	0.08117851403035423	0.13328336586098918	-4.9393647831849545	-0.6229262894705856	-3.774690718274137	0.06317245948146707	-0.02287874528033758	-0.039351785781521195	-0.23845649645524278	-0.0014453066092089317	0.08636018745544848	0.003990759636937599	"[{""estimator"":""biweight"",""fractional_error"":0.1797752808988764,""log10_sigma"":3.095518042323151,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1800796812749004,""log10_sigma"":3.098643725817057,""source_id"":""J/ApJS/227/3/table2""}]"
0403-5719	0.467	0.25	29	2.99563519459755	0.1111111111111111	low_z	unresolved	-4.1938200260161125	0.6020599913279624	0.7678976160180907	-0.45154499349597177	3.083884329652347	0.1083645146096171	0.1664301138432827	-4.990234617687433	-0.9039345466364405	-3.290730039024169	0.16583762469012828	0.3266062568876718	-0.14990635808953526	-0.5457268531682213	0.05416360585118534	-1.074773020473506	0.027502117762863845	"[{""estimator"":""biweight"",""fractional_error"":0.17373737373737375,""log10_sigma"":2.99563519459755,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1736111111111111,""log10_sigma"":3.0034605321095067,""source_id"":""J/ApJS/227/3/table2""}]"
0411-4819	0.4241	1.0	44	3.1027766148834415	0.08918705603788477	low_z	resolved	-3.7986028756795487	1.1222158782728267	1.1835545336188618	0.013164469361174578	3.059869411236874	0.09745804948419191	0.15354048643802246	-4.653953769307241	-0.4632400021947676	-3.824931814401898	0.061338655346035026	-0.13810320596947454	-0.028414518837121358	-0.2346161742856824	-0.008471064953144085	0.5282353461835413	0.0037624306396596714	"[{""estimator"":""biweight"",""fractional_error"":0.13970007892659828,""log10_sigma"":3.1027766148834415,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.13987635239567234,""log10_sigma"":3.1119342763326814,""source_id"":""J/ApJS/227/3/table2""}]"
0417-4748	0.5794	0.25	32	3.0542299098633974	0.11738746690203	low_z	unresolved	-3.7644715530924513	0.820555098936731	1.1535099893008376	-0.45154499349597177	3.1324191887155477	0.13730358532134185	0.19849213367704432	-4.434877355925646	-0.8553996875732401	-2.8613815661005075	0.3329548903641067	0.3266062568876718	-0.2848095091934393	-0.9527109856308704	0.10874515045426604	-0.9345451228314711	0.1108589590173743	"[{""estimator"":""biweight"",""fractional_error"":0.1650485436893204,""log10_sigma"":3.0542299098633974,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.16505706760316066,""log10_sigma"":3.0565237240791006,""source_id"":""J/ApJS/227/3/table2""}]"
0456-5116	0.5619	1.0	23	2.9148718175400505	0.18126520681265207	low_z	resolved	-4.045757490560675	0.9128498242810998	0.9334872878487055	0.013164469361174578	3.125980297254089	0.13277342767772232	0.19365322490719905	-4.733571233960407	-0.39712911617755237	-4.072086429283024	0.020637463567605596	-0.13810320596947454	-0.008195737666749647	-0.08403753532846957	-0.0028500998817645624	0.5623681908687755	0.0004259049025042483	"[{""estimator"":""biweight"",""fractional_error"":0.1961023142509135,""log10_sigma"":2.9143431571194407,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.19527363184079602,""log10_sigma"":2.905256048748451,""source_id"":""J/ApJS/227/3/table2""}]"
0516-5430	0.2947	1.5	169	2.972665592266111	0.059637912673056445	low_z	resolved	-3.815308569182401	1.105510184769974	1.0937717814987298	0.1820408707055351	2.9578308993778877	0.06533916977223168	0.11216914800165971	-4.906855366240026	-0.3964021127093931	-4.1793903105934715	-0.011738403271244124	-0.30697960731383506	0.004653127856556021	0.0490593688936764	0.003603450426697958	1.282987596357231	0.00013779011135835474	"[{""estimator"":""gapper"",""fractional_error"":0.13314840499306518,""log10_sigma"":2.857935264719429,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.13397790055248618,""log10_sigma"":2.859738566197147,""source_id"":""J/ApJ/792/45/table4""}]"
0528-5300	0.7694	0.5	20	3.156851901070011	0.15121951219512195	high_z	resolved	-4.130768280269024	0.7900504736833514	0.8162412999917831	-0.25257498915995297	3.1840472081243267	0.18662879548446384	0.2478260229354417	-4.648592834121539	-0.6048016638284422	-3.625618301949118	0.026190826308431715	0.12763625255165303	-0.01584025532838124	-0.09495793920702048	0.003342898921239469	-0.46276033324347304	0.0006859593827184388	"[{""estimator"":""gapper"",""fractional_error"":0.2032927702219041,""log10_sigma"":3.1451964061141817,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.20561456752655538,""log10_sigma"":3.119915410257991,""source_id"":""J/ApJ/792/45/table4""}]"
0542-4100	0.6399	0.75	31	3.0136796972911926	0.13662790697674418	high_z	resolved	-4.013228265733755	0.9075904882186201	0.8987251815894935	-0.10205999132796237	3.152157541912734	0.15300235843090396	0.2148173658694584	-4.6284585890630145	-0.4861763322080441	-3.8091082830778302	-0.008865306629126551	-0.02287874528033758	0.004310102260848406	0.033768912913030746	0.00020282709219987454	0.08714761815376168	7.859366162843517e-05	"[{""estimator"":""biweight"",""fractional_error"":0.16779825412221144,""log10_sigma"":3.0132586652835167,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.16795366795366795,""log10_sigma"":3.0153597554092144,""source_id"":""J/ApJS/227/3/table2""}]"
0549-6205	0.3755	0.25	27	2.823474229170301	0.15615615615615616	low_z	unresolved	-3.5214335044061564	1.3024752365381622	1.4117880045438689	-0.45154499349597177	3.0276507951194933	0.08523851009403906	0.13846059472570232	-4.453441169658762	-0.9601680811692941	-2.618343517414213	0.10931276800570676	0.3266062568876718	-0.10495863070334366	-0.2862183774783461	0.035702233988374334	-0.8551673754687567	0.011949281249069467	"[{""estimator"":""biweight"",""fractional_error"":0.18018018018018017,""log10_sigma"":2.823474229170301,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.17937219730941703,""log10_sigma"":2.8254261177678233,""source_id"":""J/ApJS/227/3/table2""}]"
0555-6406	0.3455	1.25	31	3.036628895362161	0.14613970588235295	low_z	resolved	-3.8477116556169437	1.0731070983354316	1.104487111312395	0.10542668265744656	3.004471546960598	0.07778278054383295	0.1288837020997733	-4.833533546737547	-0.4263756531747715	-4.0585650209318365	0.03138001297696339	-0.23036541926574652	-0.013379673529685571	-0.12735782302469073	-0.007228869846002738	0.9349530326642558	0.0009847052144343908	"[{""estimator"":""biweight"",""fractional_error"":0.16727941176470587,""log10_sigma"":3.036628895362161,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.16775396085740912,""log10_sigma"":3.030599721965951,""source_id"":""J/ApJS/227/3/table2""}]"
0559-5249	0.6091	1.0	37	3.0523090996473234	0.125	high_z	resolved	-3.978810700930062	0.979796613911713	1.0269416279590293	0.013164469361174578	3.142569443301304	0.14500459634627266	0.2065830348377911	-4.621214983566813	-0.38053997013033736	-4.005139639652411	0.04714501404731636	-0.13810320596947454	-0.0179405622373601	-0.1888223645728765	-0.006510877585410301	0.5531226245914239	0.0022226523495216567	"[{""estimator"":""gapper"",""fractional_error"":0.1515418502202643,""log10_sigma"":3.0549958615291417,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.15357766143106458,""log10_sigma"":3.059184617631371,""source_id"":""J/ApJ/792/45/table4""}]"
2017-6258	0.5354	1.5	37	2.9876662649262746	0.13786008230452676	low_z	resolved	-4.173925197299174	0.7846821175426014	0.800717078282385	0.1820408707055351	3.115518666713836	0.1259273617998973	0.18622153627082913	-4.889508267657236	-0.23871434537344477	-4.538006938710244	0.016034960739783662	-0.30697960731383506	-0.0038277751560863446	-0.0727667630990846	-0.00492240595119155	1.3930755880327295	0.0002571199659264034	"[{""estimator"":""biweight"",""fractional_error"":0.15329218106995884,""log10_sigma"":2.9876662649262746,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1529656607700312,""log10_sigma"":2.9827233876685453,""source_id"":""J/ApJS/227/3/table2""}]"
2035-5251	0.5287	0.75	32	3.0064660422492318	0.10935960591133005	low_z	resolved	-3.9913998282380825	0.8946568194550808	0.9872192299080049	-0.10205999132796237	3.1127284959704253	0.1241995751433063	0.18432226557715706	-4.7142910267395575	-0.5256053781503528	-3.787279845582158	0.09256241045292415	-0.02287874528033758	-0.04865130074861737	-0.3505597515668629	-0.0021177118112865084	0.08664821089243042	0.008567799828855603	"[{""estimator"":""biweight"",""fractional_error"":0.16453201970443349,""log10_sigma"":3.0064660422492318,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.1643835616438356,""log10_sigma"":3.009450895798694,""source_id"":""J/ApJS/227/3/table2""}]"
2043-5035	0.7234	0.5	21	2.7715874808812555	0.12013536379018612	high_z	resolved	-4.060480747381382	0.7353992699626938	0.8561244442423003	-0.25257498915995297	3.1740880462537424	0.1746975371655314	0.23638608860955435	-4.610154883293997	-0.6147608256990263	-3.5553307690614755	0.1207251742796066	0.12763625255165303	-0.07421710782278981	-0.4292179267165944	0.015408908833694196	-0.4537890959445933	0.014574567704841388	"[{""estimator"":""gapper"",""fractional_error"":0.2043222003929273,""log10_sigma"":2.7067177823367587,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.20610687022900764,""log10_sigma"":2.7193312869837265,""source_id"":""J/ApJ/792/45/table4""}]"
2100-4548	0.7122	0.25	20	2.937517892017347	0.197459584295612	high_z	unresolved	-4.200659450546418	0.5205869485007527	0.6766936096248666	-0.45154499349597177	3.1714527704854296	0.17178901900101243	0.23355449271452353	-4.758512656160179	-0.8163661058033582	-3.297569463554475	0.15610666112411384	0.3266062568876718	-0.1274401870318573	-0.5147725587803242	0.05098541226497905	-1.077006819318615	0.024369289647318916	"[{""estimator"":""gapper"",""fractional_error"":0.20938215102974828,""log10_sigma"":2.941511432634403,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.2107728337236534,""log10_sigma"":2.931457870689005,""source_id"":""J/ApJ/792/45/table4""}]"
2115-4659	0.2988	3.0	29	2.9703468762300935	0.13704496788008566	low_z	resolved	-4.200659450546418	0.6853971971467449	0.714329759745233	0.4786240097895251	2.961999943534725	0.06633416235860448	0.11354227995396385	-5.282873166703995	-0.09564992946856571	-5.157907470125468	0.028932562598488133	-0.603562746397825	-0.002767397571890252	-0.14923148075661466	-0.01746261694227049	3.1131207983347853	0.0008370931785154343	"[{""estimator"":""biweight"",""fractional_error"":0.1734475374732334,""log10_sigma"":2.9703468762300935,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.17391304347826086,""log10_sigma"":2.9745116927373285,""source_id"":""J/ApJS/227/3/table2""}]"
2118-5055	0.6244	0.5	33	2.9951962915971793	0.10920121334681497	high_z	resolved	-4.167491087293763	0.5537553117534073	0.7435097647284298	-0.25257498915995297	3.1474452921468545	0.1489764218854166	0.21069298081799934	-4.79617184670027	-0.6414035798059144	-3.662341108973858	0.18975445297502236	0.12763625255165303	-0.12170918542229239	-0.6949455337412712	0.024219547282720723	-0.4674474947152884	0.03600675242384997	"[{""estimator"":""biweight"",""fractional_error"":0.2647342995169082,""log10_sigma"":3.0149403497929366,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.265625,""log10_sigma"":3.036628895362161,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.18552497451580022,""log10_sigma"":2.9916690073799486,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.18737270875763748,""log10_sigma"":2.9921114877869495,""source_id"":""J/ApJ/792/45/table4""}]"
2136-4704	0.4242	0.25	24	3.1607685618611283	0.15469613259668508	low_z	unresolved	-4.102372908709558	0.6423545861871354	0.795184589682424	-0.45154499349597177	3.059929819807756	0.09748335218567239	0.15357098143378003	-4.957577682494007	-0.9278890564810319	-3.1992829217176153	0.1528300034952886	0.3266062568876718	-0.14180928774523616	-0.4889464201085203	0.049915235381726014	-1.0449058197868446	0.023357009968369927	"[{""estimator"":""biweight"",""fractional_error"":0.19129834254143646,""log10_sigma"":3.1607685618611283,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.19164955509924708,""log10_sigma"":3.1646502159342966,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.189596167008898,""log10_sigma"":3.1646502159342966,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.19164955509924708,""log10_sigma"":3.1646502159342966,""source_id"":""J/ApJ/792/45/table4""}]"
2155-6048	0.5389	1.0	24	3.020775488193558	0.13822688274547187	low_z	resolved	-4.221848749616356	0.7367585652254186	0.7589118923979735	0.013164469361174578	3.116952194365113	0.12683046922273358	0.18721039965005265	-4.933661657249028	-0.4061572190665284	-4.248177688338705	0.022153327172554933	-0.13810320596947454	-0.00899773375747587	-0.09411127021691544	-0.0030594455054205106	0.5866869582875665	0.0004907699048142607	"[{""estimator"":""biweight"",""fractional_error"":0.19161105815061963,""log10_sigma"":3.020775488193558,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.19184430027803523,""log10_sigma"":3.0330214446829107,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.18582541054451165,""log10_sigma"":3.0633333589517497,""source_id"":""J/ApJ/792/45/table4""},{""estimator"":""biweight"",""fractional_error"":0.18760757314974183,""log10_sigma"":3.065206128054312,""source_id"":""J/ApJ/792/45/table4""}]"
2159-6244	0.3915	1.0	41	2.8998205024270964	0.11083123425692695	low_z	resolved	-4.1487416512809245	0.7720771026714505	0.8122446968003693	0.013164469361174578	3.0389250341539915	0.08924341213316128	0.14348321067006176	-5.054195936425413	-0.4841843792776499	-4.175070590003274	0.04016759412891879	-0.13810320596947454	-0.01944852163038712	-0.16770254091883702	-0.005547273525284328	0.5765906336283176	0.0016134356181055514	"[{""estimator"":""biweight"",""fractional_error"":0.14522821576763487,""log10_sigma"":2.859138297294531,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.14482758620689656,""log10_sigma"":2.8603380065709936,""source_id"":""J/ApJS/227/3/table2""}]"
2222-4834	0.6519	0.5	27	3.0008677215312267	0.10778443113772455	high_z	resolved	-4.00436480540245	0.8495071589193118	0.9580858485210851	-0.25257498915995297	3.155656399583499	0.15612024671141148	0.21798375317643726	-4.6094795251096725	-0.6331924723692697	-3.499214827082544	0.10857868960177323	0.12763625255165303	-0.0687512089155623	-0.37994016055971813	0.013858577047739472	-0.44662666740199647	0.011789331835638218	"[{""estimator"":""biweight"",""fractional_error"":0.17964071856287425,""log10_sigma"":3.0008677215312267,""source_id"":""J/ApJS/227/3/table2""},{""estimator"":""gapper"",""fractional_error"":0.17964071856287425,""log10_sigma"":3.0008677215312267,""source_id"":""J/ApJS/227/3/table2""}]"
