branch,center,kind,shift,amplitude,actual_maximum_detector_signal_over_sigma
boxcar_independent,61,rotation,0,5,1.3762823333371141
boxcar_independent,61,rotation,0,10,2.7525646666742283
boxcar_independent,61,rotation,-4,5,1.3762823333371141
boxcar_independent,61,rotation,-4,10,2.7525646666742283
boxcar_independent,61,rotation,4,5,1.3762823333371141
boxcar_independent,61,rotation,4,10,2.7525646666742283
boxcar_independent,61,warp,0,5,1.3482204824773232
boxcar_independent,61,warp,0,10,2.6964409649546464
boxcar_independent,61,warp,-4,5,1.3482204824773236
boxcar_independent,61,warp,-4,10,2.6964409649546472
boxcar_independent,61,warp,4,5,1.3482204824773236
boxcar_independent,61,warp,4,10,2.6964409649546472
boxcar_independent,61,streaming,0,5,1.187603324268755
boxcar_independent,61,streaming,0,10,2.37520664853751
boxcar_independent,61,streaming,-4,5,1.187603324268755
boxcar_independent,61,streaming,-4,10,2.37520664853751
boxcar_independent,61,streaming,4,5,1.187603324268755
boxcar_independent,61,streaming,4,10,2.37520664853751
boxcar_hanning_full,10,rotation,0,5,1.4445697374857411
boxcar_hanning_full,10,rotation,0,10,2.8891394749714823
boxcar_hanning_full,10,rotation,-4,5,1.444569737485741
boxcar_hanning_full,10,rotation,-4,10,2.889139474971482
boxcar_hanning_full,10,rotation,4,5,1.4445697374857411
boxcar_hanning_full,10,rotation,4,10,2.8891394749714823
boxcar_hanning_full,10,warp,0,5,1.4169134517356743
boxcar_hanning_full,10,warp,0,10,2.8338269034713486
boxcar_hanning_full,10,warp,-4,5,1.4169134517356743
boxcar_hanning_full,10,warp,-4,10,2.8338269034713486
boxcar_hanning_full,10,warp,4,5,1.4169134517356743
boxcar_hanning_full,10,warp,4,10,2.8338269034713486
boxcar_hanning_full,10,streaming,0,5,1.2528355928975115
boxcar_hanning_full,10,streaming,0,10,2.505671185795023
boxcar_hanning_full,10,streaming,-4,5,1.2528355928975115
boxcar_hanning_full,10,streaming,-4,10,2.505671185795023
boxcar_hanning_full,10,streaming,4,5,1.2528355928975112
boxcar_hanning_full,10,streaming,4,10,2.5056711857950225
boxcar_hanning_full,36,rotation,0,5,1.4870631131801737
boxcar_hanning_full,36,rotation,0,10,2.9741262263603474
boxcar_hanning_full,36,rotation,-4,5,1.4870631131801733
boxcar_hanning_full,36,rotation,-4,10,2.9741262263603465
boxcar_hanning_full,36,rotation,4,5,1.4870631131801737
boxcar_hanning_full,36,rotation,4,10,2.9741262263603474
boxcar_hanning_full,36,warp,0,5,1.458593292418681
boxcar_hanning_full,36,warp,0,10,2.917186584837362
boxcar_hanning_full,36,warp,-4,5,1.458593292418681
boxcar_hanning_full,36,warp,-4,10,2.917186584837362
boxcar_hanning_full,36,warp,4,5,1.458593292418681
boxcar_hanning_full,36,warp,4,10,2.917186584837362
boxcar_hanning_full,36,streaming,0,5,1.2957373191227104
boxcar_hanning_full,36,streaming,0,10,2.591474638245421
boxcar_hanning_full,36,streaming,-4,5,1.2957373191227104
boxcar_hanning_full,36,streaming,-4,10,2.591474638245421
boxcar_hanning_full,36,streaming,4,5,1.2957373191227104
boxcar_hanning_full,36,streaming,4,10,2.591474638245421
boxcar_hanning_full,61,rotation,0,5,1.4702409072647122
boxcar_hanning_full,61,rotation,0,10,2.9404818145294245
boxcar_hanning_full,61,rotation,-4,5,1.4702409072647127
boxcar_hanning_full,61,rotation,-4,10,2.9404818145294254
boxcar_hanning_full,61,rotation,4,5,1.4702409072647122
boxcar_hanning_full,61,rotation,4,10,2.9404818145294245
boxcar_hanning_full,61,warp,0,5,1.4458330639308452
boxcar_hanning_full,61,warp,0,10,2.8916661278616904
boxcar_hanning_full,61,warp,-4,5,1.4458330639308452
boxcar_hanning_full,61,warp,-4,10,2.8916661278616904
boxcar_hanning_full,61,warp,4,5,1.4458330639308452
boxcar_hanning_full,61,warp,4,10,2.8916661278616904
boxcar_hanning_full,61,streaming,0,5,1.2920063226608696
boxcar_hanning_full,61,streaming,0,10,2.584012645321739
boxcar_hanning_full,61,streaming,-4,5,1.2920063226608698
boxcar_hanning_full,61,streaming,-4,10,2.5840126453217396
boxcar_hanning_full,61,streaming,4,5,1.2920063226608698
boxcar_hanning_full,61,streaming,4,10,2.5840126453217396
boxcar_hanning_decimated,10,rotation,0,5,1.3541427919205415
boxcar_hanning_decimated,10,rotation,0,10,2.708285583841083
boxcar_hanning_decimated,10,rotation,-4,5,1.3541427919205415
boxcar_hanning_decimated,10,rotation,-4,10,2.708285583841083
boxcar_hanning_decimated,10,rotation,4,5,1.3541427919205415
boxcar_hanning_decimated,10,rotation,4,10,2.708285583841083
boxcar_hanning_decimated,10,warp,0,5,1.324339404666719
boxcar_hanning_decimated,10,warp,0,10,2.648678809333438
boxcar_hanning_decimated,10,warp,-4,5,1.3243394046667187
boxcar_hanning_decimated,10,warp,-4,10,2.6486788093334375
boxcar_hanning_decimated,10,warp,4,5,1.3243394046667187
boxcar_hanning_decimated,10,warp,4,10,2.6486788093334375
boxcar_hanning_decimated,10,streaming,0,5,1.1591674716615503
boxcar_hanning_decimated,10,streaming,0,10,2.3183349433231006
boxcar_hanning_decimated,10,streaming,-4,5,1.1591674716615503
boxcar_hanning_decimated,10,streaming,-4,10,2.3183349433231006
boxcar_hanning_decimated,10,streaming,4,5,1.1591674716615503
boxcar_hanning_decimated,10,streaming,4,10,2.3183349433231006
boxcar_hanning_decimated,36,rotation,0,5,1.3939761715727101
boxcar_hanning_decimated,36,rotation,0,10,2.7879523431454203
boxcar_hanning_decimated,36,rotation,-4,5,1.3939761715727097
boxcar_hanning_decimated,36,rotation,-4,10,2.7879523431454194
boxcar_hanning_decimated,36,rotation,4,5,1.3939761715727101
boxcar_hanning_decimated,36,rotation,4,10,2.7879523431454203
boxcar_hanning_decimated,36,warp,0,5,1.3651104801929683
boxcar_hanning_decimated,36,warp,0,10,2.7302209603859366
boxcar_hanning_decimated,36,warp,-4,5,1.3651104801929683
boxcar_hanning_decimated,36,warp,-4,10,2.7302209603859366
boxcar_hanning_decimated,36,warp,4,5,1.3651104801929685
boxcar_hanning_decimated,36,warp,4,10,2.730220960385937
boxcar_hanning_decimated,36,streaming,0,5,1.20467434657488
boxcar_hanning_decimated,36,streaming,0,10,2.40934869314976
boxcar_hanning_decimated,36,streaming,-4,5,1.20467434657488
boxcar_hanning_decimated,36,streaming,-4,10,2.40934869314976
boxcar_hanning_decimated,36,streaming,4,5,1.20467434657488
boxcar_hanning_decimated,36,streaming,4,10,2.40934869314976
boxcar_hanning_decimated,61,rotation,0,5,1.3888352838876135
boxcar_hanning_decimated,61,rotation,0,10,2.777670567775227
boxcar_hanning_decimated,61,rotation,-4,5,1.3888352838876135
boxcar_hanning_decimated,61,rotation,-4,10,2.777670567775227
boxcar_hanning_decimated,61,rotation,4,5,1.388835283887613
boxcar_hanning_decimated,61,rotation,4,10,2.777670567775226
boxcar_hanning_decimated,61,warp,0,5,1.3611797591226604
boxcar_hanning_decimated,61,warp,0,10,2.722359518245321
boxcar_hanning_decimated,61,warp,-4,5,1.3611797591226604
boxcar_hanning_decimated,61,warp,-4,10,2.722359518245321
boxcar_hanning_decimated,61,warp,4,5,1.3611797591226604
boxcar_hanning_decimated,61,warp,4,10,2.722359518245321
boxcar_hanning_decimated,61,streaming,0,5,1.201205587096003
boxcar_hanning_decimated,61,streaming,0,10,2.402411174192006
boxcar_hanning_decimated,61,streaming,-4,5,1.201205587096003
boxcar_hanning_decimated,61,streaming,-4,10,2.402411174192006
boxcar_hanning_decimated,61,streaming,4,5,1.2012055870960032
boxcar_hanning_decimated,61,streaming,4,10,2.4024111741920064
