detector,group,branch,center,shift,amplitude,kind,mean_true_full_retention_difference
native_core,gaussian,boxcar_hanning_full,36,4,10,warp,-0.0026163471734961252
native_core,gaussian,boxcar_hanning_full,36,0,5,streaming,-0.04132363219175145
native_core,gaussian,boxcar_hanning_full,36,0,10,streaming,-0.018873761612204998
native_core,gaussian,boxcar_hanning_full,36,-4,5,streaming,-0.03531615999373572
native_core,gaussian,boxcar_hanning_full,36,-4,10,streaming,-0.014412536264870823
native_core,gaussian,boxcar_hanning_full,36,4,5,streaming,-0.03383766923391407
native_core,gaussian,boxcar_hanning_full,36,4,10,streaming,-0.014343722955370453
native_core,gaussian,boxcar_hanning_full,61,0,5,warp,-0.0054794361563915706
native_core,gaussian,boxcar_hanning_full,61,0,10,warp,-0.002691096749773081
native_core,gaussian,boxcar_hanning_full,61,-4,5,warp,-0.009663020906605646
native_core,gaussian,boxcar_hanning_full,61,-4,10,warp,-0.0009577439862389348
native_core,gaussian,boxcar_hanning_full,61,4,5,warp,-0.005905823268559096
native_core,gaussian,boxcar_hanning_full,61,4,10,warp,-0.004742569482287795
native_core,gaussian,boxcar_hanning_full,61,0,5,streaming,-0.029713071818559866
native_core,gaussian,boxcar_hanning_full,61,0,10,streaming,-0.011031990126877389
native_core,gaussian,boxcar_hanning_full,61,-4,5,streaming,-0.03483742777424531
native_core,gaussian,boxcar_hanning_full,61,-4,10,streaming,-0.010398199246629103
native_core,gaussian,boxcar_hanning_full,61,4,5,streaming,-0.025484014201957506
native_core,gaussian,boxcar_hanning_full,61,4,10,streaming,-0.012942709719544254
native_core,gaussian,boxcar_hanning_decimated,10,0,5,warp,-0.0046894477776762145
native_core,gaussian,boxcar_hanning_decimated,10,0,10,warp,-0.0010039219029598367
native_core,gaussian,boxcar_hanning_decimated,10,-4,5,warp,-0.006176029696080665
native_core,gaussian,boxcar_hanning_decimated,10,-4,10,warp,-0.006373560652752741
native_core,gaussian,boxcar_hanning_decimated,10,4,5,warp,-0.011637281638370411
native_core,gaussian,boxcar_hanning_decimated,10,4,10,warp,-0.00443814434768286
native_core,gaussian,boxcar_hanning_decimated,10,0,5,streaming,-0.03449825979004817
native_core,gaussian,boxcar_hanning_decimated,10,0,10,streaming,-0.012385776216639943
native_core,gaussian,boxcar_hanning_decimated,10,-4,5,streaming,-0.03325972206064148
native_core,gaussian,boxcar_hanning_decimated,10,-4,10,streaming,-0.016193309664253808
native_core,gaussian,boxcar_hanning_decimated,10,4,5,streaming,-0.041769831312464756
native_core,gaussian,boxcar_hanning_decimated,10,4,10,streaming,-0.0155931680030017
native_core,gaussian,boxcar_hanning_decimated,36,0,5,warp,-0.010144220190873465
native_core,gaussian,boxcar_hanning_decimated,36,0,10,warp,-0.0016598506613988429
native_core,gaussian,boxcar_hanning_decimated,36,-4,5,warp,-0.008278634591367129
native_core,gaussian,boxcar_hanning_decimated,36,-4,10,warp,-0.003740360960689748
native_core,gaussian,boxcar_hanning_decimated,36,4,5,warp,-0.008968938519174574
native_core,gaussian,boxcar_hanning_decimated,36,4,10,warp,-0.002059509963505346
native_core,gaussian,boxcar_hanning_decimated,36,0,5,streaming,-0.04546528104792913
native_core,gaussian,boxcar_hanning_decimated,36,0,10,streaming,-0.018571700350460962
native_core,gaussian,boxcar_hanning_decimated,36,-4,5,streaming,-0.03580080825754817
native_core,gaussian,boxcar_hanning_decimated,36,-4,10,streaming,-0.0158021958535709
native_core,gaussian,boxcar_hanning_decimated,36,4,5,streaming,-0.03547919215435558
native_core,gaussian,boxcar_hanning_decimated,36,4,10,streaming,-0.012998466769260641
native_core,gaussian,boxcar_hanning_decimated,61,0,5,warp,-0.00453830731207161
native_core,gaussian,boxcar_hanning_decimated,61,0,10,warp,-0.00147052785753099
native_core,gaussian,boxcar_hanning_decimated,61,-4,5,warp,-0.009432694363922023
native_core,gaussian,boxcar_hanning_decimated,61,-4,10,warp,-0.0006206362315652747
native_core,gaussian,boxcar_hanning_decimated,61,4,5,warp,-0.006169934173263558
native_core,gaussian,boxcar_hanning_decimated,61,4,10,warp,-0.004675276126363648
native_core,gaussian,boxcar_hanning_decimated,61,0,5,streaming,-0.028112599264818794
native_core,gaussian,boxcar_hanning_decimated,61,0,10,streaming,-0.010508021702855141
native_core,gaussian,boxcar_hanning_decimated,61,-4,5,streaming,-0.03636802586236393
native_core,gaussian,boxcar_hanning_decimated,61,-4,10,streaming,-0.012661709764249518
native_core,gaussian,boxcar_hanning_decimated,61,4,5,streaming,-0.02846931990789553
