kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
warp,boxcar_independent,32,64,1,0.24417061880939722,0.5791797876243443,False
warp,boxcar_independent,32,64,2,0.003007404892481435,0.016683931381948014,True
warp,boxcar_independent,32,64,3,0.06541936769739226,0.1258314639968514,False
warp,boxcar_independent,32,64,4,0.06614949924446359,0.0850188712268678,False
warp,boxcar_independent,32,64,5,0.0001395251895776225,0.0006166074653712883,True
warp,boxcar_independent,32,64,6,0.0009659410491246353,0.0024031119949654567,True
warp,boxcar_independent,32,64,7,0.0008235003528636672,0.0020230064379340718,True
warp,boxcar_independent,32,64,8,0.001861073384586793,0.008093843985975013,True
warp,boxcar_independent,32,64,9,0.010477742103993425,0.0077316694170139755,False
warp,boxcar_independent,32,64,10,0.0014613334644148184,0.0011149692242788944,True
warp,boxcar_independent,32,64,11,0.0002778237224559572,5.002673422893622e-05,True
warp,boxcar_independent,32,64,12,0.09077219371923441,0.706518748559966,False
warp,boxcar_independent,32,64,13,0.04866954773994958,0.19681501286861192,False
warp,boxcar_independent,32,64,14,0.0037519279739028654,0.0021197447909244715,True
warp,boxcar_hanning_full,32,64,0,0.15188861902754353,0.3981610217177831,False
warp,boxcar_hanning_full,32,64,1,0.242622412204771,0.5791797876243443,False
warp,boxcar_hanning_full,32,64,2,0.002324293891263682,0.01668393138195512,True
warp,boxcar_hanning_full,32,64,3,0.0654192710958794,0.12583146399684964,False
warp,boxcar_hanning_full,32,64,4,0.06614949924446359,0.08501887122686602,False
warp,boxcar_hanning_full,32,64,5,0.00013952518957772455,0.0006166074653677356,True
warp,boxcar_hanning_full,32,64,6,0.0007668715053670239,0.0024031119949636803,True
warp,boxcar_hanning_full,32,64,7,0.0008167844643781629,0.0020230064379340718,True
warp,boxcar_hanning_full,32,64,8,0.001847414372070085,0.008093843985967908,True
warp,boxcar_hanning_full,32,64,9,0.010477661382862009,0.007731669417008646,False
warp,boxcar_hanning_full,32,64,10,0.0013859207447629628,0.0011149692242788944,True
warp,boxcar_hanning_full,32,64,11,0.00022334854953076714,5.002673422893622e-05,True
warp,boxcar_hanning_full,32,64,12,0.07621942324773115,0.7065187485599669,False
warp,boxcar_hanning_full,32,64,13,0.048669547471899735,0.19681501286861547,False
warp,boxcar_hanning_full,32,64,14,0.0025767033592491366,0.0021197447909244715,True
warp,boxcar_hanning_decimated,32,64,0,0.1538223123320536,0.3981610217189271,False
warp,boxcar_hanning_decimated,32,64,1,0.24414774530816172,0.5791797876274067,False
warp,boxcar_hanning_decimated,32,64,2,0.002908488512439639,0.0166839313822571,True
warp,boxcar_hanning_decimated,32,64,3,0.06541937172334299,0.1258314639991127,False
warp,boxcar_hanning_decimated,32,64,4,0.06614949924446348,0.08501887122819873,False
warp,boxcar_hanning_decimated,32,64,5,0.0001395251895778363,0.0006166074653641829,True
warp,boxcar_hanning_decimated,32,64,6,0.0009383607718870397,0.0024031119953740188,True
warp,boxcar_hanning_decimated,32,64,7,0.0008224914759737764,0.0020230064378985446,True
warp,boxcar_hanning_decimated,32,64,8,0.0018593638720611047,0.008093843985875537,True
warp,boxcar_hanning_decimated,32,64,9,0.010477752020866357,0.007731669415559139,False
warp,boxcar_hanning_decimated,32,64,10,0.0014426323943551548,0.0011149692241048115,True
warp,boxcar_hanning_decimated,32,64,11,0.0002688777309994883,5.002673427867421e-05,True
warp,boxcar_hanning_decimated,32,64,12,0.0886091823054937,0.7065187485575635,False
warp,boxcar_hanning_decimated,32,64,13,0.04866954748654705,0.19681501286541803,False
warp,boxcar_hanning_decimated,32,64,14,0.00357028663693581,0.0021197447901073474,True
warp,boxcar_independent,64,128,0,0.016457327362274572,0.010575204830775675,False
warp,boxcar_independent,64,128,1,0.03356538962562285,0.14144807720033548,False
warp,boxcar_independent,64,128,2,0.00010877154273199318,0.00042990713734880615,True
warp,boxcar_independent,64,128,3,0.0017491259916794786,0.006781241070877186,True
warp,boxcar_independent,64,128,4,0.003359020487277072,0.0037207872374422912,True
warp,boxcar_independent,64,128,5,6.767652957204016e-05,1.894796142209998e-08,True
warp,boxcar_independent,64,128,6,7.609653686589485e-05,2.6897134569381365e-05,True
warp,boxcar_independent,64,128,7,6.767828845485322e-05,3.9681914643097116e-08,True
warp,boxcar_independent,64,128,8,6.769319112625366e-05,3.318129770946143e-07,True
warp,boxcar_independent,64,128,9,0.00028213997105170345,0.0003552175225234322,True
warp,boxcar_independent,64,128,10,6.828051389201725e-05,1.945668259395461e-06,True
warp,boxcar_independent,64,128,11,6.767478119962436e-05,1.95229077348813e-08,True
warp,boxcar_independent,64,128,12,0.007620457173668725,0.028119753179656648,True
warp,boxcar_independent,64,128,13,0.0009475645620984894,0.002553772096916873,True
warp,boxcar_independent,64,128,14,0.00021571514762594449,0.0007269440265780247,True
warp,boxcar_hanning_full,64,128,0,0.01645389708626091,0.010575204830775675,False
warp,boxcar_hanning_full,64,128,1,0.03264507882803778,0.14144807720033548,False
warp,boxcar_hanning_full,64,128,2,0.00010877153926912966,0.00042990713735591157,True
warp,boxcar_hanning_full,64,128,3,0.001749123620205835,0.006781241070880739,True
warp,boxcar_hanning_full,64,128,4,0.0033590204776127973,0.0037207872374431794,True
warp,boxcar_hanning_full,64,128,5,6.767652957170374e-05,1.894796142209998e-08,True
warp,boxcar_hanning_full,64,128,6,7.609647431442743e-05,2.6897134572934078e-05,True
warp,boxcar_hanning_full,64,128,7,6.76782884554774e-05,3.9681921748524474e-08,True
warp,boxcar_hanning_full,64,128,8,6.769319112624193e-05,3.318129628837596e-07,True
warp,boxcar_hanning_full,64,128,9,0.00028209645641479053,0.00035521752252520855,True
warp,boxcar_hanning_full,64,128,10,6.828051389206314e-05,1.9456682629481747e-06,True
warp,boxcar_hanning_full,64,128,11,6.76747811995813e-05,1.95229077348813e-08,True
warp,boxcar_hanning_full,64,128,12,0.007293370133761522,0.028119753179653095,True
warp,boxcar_hanning_full,64,128,13,0.000909401715048835,0.0025537720969133204,True
warp,boxcar_hanning_full,64,128,14,0.00021564005835191815,0.0007269440265851301,True
warp,boxcar_hanning_decimated,64,128,0,0.01645698951480326,0.010575204830679752,False
warp,boxcar_hanning_decimated,64,128,1,0.03334685679087226,0.1414480771998612,False
warp,boxcar_hanning_decimated,64,128,2,0.00010877154290577377,0.0004299071373594643,True
warp,boxcar_hanning_decimated,64,128,3,0.0017491237463465603,0.006781241070898503,True
warp,boxcar_hanning_decimated,64,128,4,0.0033590204772974298,0.0037207872373690165,True
warp,boxcar_hanning_decimated,64,128,5,6.767652957180588e-05,1.8947968527527337e-08,True
warp,boxcar_hanning_decimated,64,128,6,7.60965163342893e-05,2.6897134567605008e-05,True
warp,boxcar_hanning_decimated,64,128,7,6.767828845513009e-05,3.968192885395183e-08,True
warp,boxcar_hanning_decimated,64,128,8,6.769319112606643e-05,3.3181296998918697e-07,True
warp,boxcar_hanning_decimated,64,128,9,0.00028213686881747044,0.0003552175225056686,True
warp,boxcar_hanning_decimated,64,128,10,6.828051389179484e-05,1.9456682665008884e-06,True
warp,boxcar_hanning_decimated,64,128,11,6.767478119978875e-05,1.9522900629453943e-08,True
warp,boxcar_hanning_decimated,64,128,12,0.007592849378074461,0.028119753179598028,True
