hrs	radius_kpc	radius_error_kpc	velocity_km_s	velocity_error_km_s	bins	side
66	4.020000000000e+00	8.000000000000e-02	1.680000000000e+02	2.000000000000e+00	24	r
66	4.470000000000e+00	2.600000000000e-01	1.650000000000e+02	2.000000000000e+00	20	r
67	1.100000000000e-01	0.000000000000e+00	-9.000000000000e+00	2.200000000000e+01	1	a
67	1.800000000000e-01	0.000000000000e+00	-2.100000000000e+01	2.200000000000e+01	1	a
67	2.900000000000e-01	3.000000000000e-02	2.000000000000e+00	3.000000000000e+00	4	a
67	3.800000000000e-01	2.000000000000e-02	9.000000000000e+00	6.000000000000e+00	2	a
67	4.800000000000e-01	2.000000000000e-02	1.700000000000e+01	3.000000000000e+00	4	a
67	5.600000000000e-01	3.000000000000e-02	1.700000000000e+01	3.000000000000e+00	5	a
67	6.300000000000e-01	3.000000000000e-02	9.000000000000e+00	4.000000000000e+00	4	a
67	7.000000000000e-01	2.000000000000e-02	3.100000000000e+01	5.000000000000e+00	4	a
67	8.100000000000e-01	2.000000000000e-02	4.000000000000e+01	7.000000000000e+00	5	a
67	9.100000000000e-01	2.000000000000e-02	3.700000000000e+01	4.000000000000e+00	7	a
67	9.900000000000e-01	2.000000000000e-02	4.800000000000e+01	2.000000000000e+00	13	a
67	1.020000000000e+00	4.000000000000e-02	4.800000000000e+01	1.000000000000e+00	22	a
67	1.120000000000e+00	3.000000000000e-02	5.100000000000e+01	2.000000000000e+00	22	a
67	1.220000000000e+00	3.000000000000e-02	5.000000000000e+01	1.000000000000e+00	22	a
67	1.320000000000e+00	3.000000000000e-02	5.100000000000e+01	1.000000000000e+00	22	a
67	1.450000000000e+00	4.000000000000e-02	5.500000000000e+01	2.000000000000e+00	22	a
67	1.570000000000e+00	4.000000000000e-02	6.300000000000e+01	3.000000000000e+00	22	a
67	1.700000000000e+00	4.000000000000e-02	5.800000000000e+01	2.000000000000e+00	22	a
67	1.830000000000e+00	4.000000000000e-02	5.700000000000e+01	2.000000000000e+00	22	a
67	1.980000000000e+00	5.000000000000e-02	6.100000000000e+01	2.000000000000e+00	22	a
67	2.130000000000e+00	5.000000000000e-02	7.000000000000e+01	2.000000000000e+00	22	a
67	2.350000000000e+00	9.000000000000e-02	7.900000000000e+01	2.000000000000e+00	22	a
67	2.660000000000e+00	7.000000000000e-02	8.500000000000e+01	2.000000000000e+00	22	a
67	2.950000000000e+00	1.500000000000e-01	8.500000000000e+01	2.000000000000e+00	22	a
67	8.000000000000e-02	0.000000000000e+00	1.900000000000e+01	2.200000000000e+01	1	r
67	1.600000000000e-01	0.000000000000e+00	1.000000000000e+01	2.200000000000e+01	1	r
67	3.000000000000e-01	2.000000000000e-02	-1.000000000000e+00	4.000000000000e+00	3	r
67	4.600000000000e-01	0.000000000000e+00	1.500000000000e+01	2.200000000000e+01	2	r
67	5.400000000000e-01	1.000000000000e-02	1.000000000000e+01	9.000000000000e+00	3	r
67	6.800000000000e-01	0.000000000000e+00	3.800000000000e+01	2.200000000000e+01	1	r
67	6.900000000000e-01	1.000000000000e-02	2.500000000000e+01	7.000000000000e+00	4	r
67	8.200000000000e-01	3.000000000000e-02	3.200000000000e+01	3.000000000000e+00	5	r
67	9.000000000000e-01	3.000000000000e-02	3.300000000000e+01	0.000000000000e+00	5	r
67	9.700000000000e-01	2.000000000000e-02	4.100000000000e+01	2.000000000000e+00	6	r
67	1.080000000000e+00	8.000000000000e-02	4.300000000000e+01	2.000000000000e+00	22	r
67	1.290000000000e+00	5.000000000000e-02	5.000000000000e+01	1.000000000000e+00	22	r
67	1.470000000000e+00	5.000000000000e-02	5.800000000000e+01	2.000000000000e+00	22	r
67	1.690000000000e+00	7.000000000000e-02	6.400000000000e+01	2.000000000000e+00	22	r
67	1.960000000000e+00	9.000000000000e-02	7.100000000000e+01	2.000000000000e+00	22	r
67	2.450000000000e+00	1.800000000000e-01	7.600000000000e+01	2.000000000000e+00	20	r
76	1.300000000000e-01	1.000000000000e-02	1.800000000000e+01	5.000000000000e+00	2	a
76	2.200000000000e-01	2.000000000000e-02	1.700000000000e+01	3.000000000000e+00	3	a
76	3.100000000000e-01	1.000000000000e-02	1.700000000000e+01	2.000000000000e+00	4	a
76	4.100000000000e-01	1.000000000000e-02	9.000000000000e+00	2.000000000000e+00	3	a
76	4.700000000000e-01	3.000000000000e-02	3.600000000000e+01	9.000000000000e+00	2	a
76	5.800000000000e-01	2.000000000000e-02	4.900000000000e+01	5.000000000000e+00	4	a
76	6.500000000000e-01	2.000000000000e-02	1.700000000000e+01	0.000000000000e+00	2	a
76	7.300000000000e-01	1.000000000000e-02	5.400000000000e+01	1.000000000000e+00	3	a
76	8.200000000000e-01	3.000000000000e-02	3.300000000000e+01	1.500000000000e+01	3	a
76	9.100000000000e-01	2.000000000000e-02	5.100000000000e+01	9.000000000000e+00	2	a
76	1.410000000000e+00	4.700000000000e-01	7.300000000000e+01	4.000000000000e+00	18	a
76	3.130000000000e+00	1.600000000000e-01	7.800000000000e+01	2.000000000000e+00	18	a
76	3.630000000000e+00	1.900000000000e-01	7.500000000000e+01	2.000000000000e+00	16	a
76	1.200000000000e-01	0.000000000000e+00	1.300000000000e+01	2.000000000000e+00	1	r
76	3.600000000000e-01	0.000000000000e+00	2.000000000000e+01	2.000000000000e+00	1	r
76	4.500000000000e-01	2.000000000000e-02	2.900000000000e+01	1.000000000000e+00	2	r
76	5.700000000000e-01	0.000000000000e+00	1.100000000000e+01	2.000000000000e+00	1	r
76	7.500000000000e-01	0.000000000000e+00	5.200000000000e+01	2.000000000000e+00	1	r
76	7.800000000000e-01	0.000000000000e+00	3.700000000000e+01	2.000000000000e+00	1	r
76	9.300000000000e-01	0.000000000000e+00	3.900000000000e+01	2.000000000000e+00	1	r
76	3.500000000000e+00	1.040000000000e+00	6.300000000000e+01	2.000000000000e+00	16	r
78	1.100000000000e-01	2.000000000000e-02	-9.000000000000e+00	8.000000000000e+00	2	a
78	2.300000000000e-01	2.000000000000e-02	9.000000000000e+00	6.000000000000e+00	4	a
78	3.000000000000e-01	2.000000000000e-02	2.400000000000e+01	3.000000000000e+00	7	a
78	3.900000000000e-01	3.000000000000e-02	1.700000000000e+01	4.000000000000e+00	6	a
78	4.800000000000e-01	2.000000000000e-02	2.600000000000e+01	3.000000000000e+00	9	a
78	5.600000000000e-01	2.000000000000e-02	2.800000000000e+01	4.000000000000e+00	10	a
78	6.400000000000e-01	2.000000000000e-02	3.800000000000e+01	2.000000000000e+00	10	a
78	7.200000000000e-01	2.000000000000e-02	3.000000000000e+01	3.000000000000e+00	11	a
78	8.200000000000e-01	2.000000000000e-02	3.100000000000e+01	4.000000000000e+00	7	a
78	9.700000000000e-01	1.200000000000e-01	3.100000000000e+01	3.000000000000e+00	25	a
78	1.380000000000e+00	1.200000000000e-01	3.500000000000e+01	2.000000000000e+00	25	a
78	1.720000000000e+00	7.000000000000e-02	4.100000000000e+01	2.000000000000e+00	25	a
78	1.920000000000e+00	6.000000000000e-02	4.500000000000e+01	2.000000000000e+00	25	a
78	2.100000000000e+00	4.000000000000e-02	5.000000000000e+01	2.000000000000e+00	25	a
78	2.240000000000e+00	4.000000000000e-02	4.700000000000e+01	3.000000000000e+00	25	a
78	2.400000000000e+00	6.000000000000e-02	5.000000000000e+01	2.000000000000e+00	25	a
78	2.590000000000e+00	5.000000000000e-02	5.300000000000e+01	3.000000000000e+00	25	a
78	2.810000000000e+00	8.000000000000e-02	4.700000000000e+01	2.000000000000e+00	25	a
78	3.100000000000e+00	9.000000000000e-02	6.100000000000e+01	3.000000000000e+00	25	a
78	3.410000000000e+00	1.400000000000e-01	5.800000000000e+01	3.000000000000e+00	23	a
78	6.000000000000e-02	1.000000000000e-02	1.800000000000e+01	3.000000000000e+00	2	r
78	1.600000000000e-01	1.000000000000e-02	1.700000000000e+01	1.000000000000e+00	4	r
78	2.300000000000e-01	1.000000000000e-02	2.800000000000e+01	8.000000000000e+00	2	r
78	3.000000000000e-01	1.000000000000e-02	3.200000000000e+01	5.000000000000e+00	5	r
78	3.800000000000e-01	3.000000000000e-02	2.400000000000e+01	5.000000000000e+00	8	r
78	4.600000000000e-01	2.000000000000e-02	1.800000000000e+01	3.000000000000e+00	4	r
78	5.500000000000e-01	3.000000000000e-02	2.900000000000e+01	4.000000000000e+00	9	r
78	6.500000000000e-01	2.000000000000e-02	2.700000000000e+01	9.000000000000e+00	7	r
78	7.200000000000e-01	2.000000000000e-02	3.700000000000e+01	4.000000000000e+00	11	r
78	8.300000000000e-01	2.000000000000e-02	2.600000000000e+01	5.000000000000e+00	13	r
78	9.000000000000e-01	6.000000000000e-02	3.100000000000e+01	3.000000000000e+00	25	r
78	1.160000000000e+00	8.000000000000e-02	2.800000000000e+01	2.000000000000e+00	25	r
78	1.440000000000e+00	9.000000000000e-02	2.900000000000e+01	2.000000000000e+00	25	r
78	1.990000000000e+00	2.700000000000e-01	3.300000000000e+01	3.000000000000e+00	25	r
78	2.690000000000e+00	1.200000000000e-01	5.300000000000e+01	3.000000000000e+00	25	r
78	3.180000000000e+00	2.100000000000e-01	6.200000000000e+01	2.000000000000e+00	21	r
80	6.000000000000e-02	0.000000000000e+00	6.000000000000e+00	1.900000000000e+01	1	a
80	1.200000000000e-01	2.000000000000e-02	-2.200000000000e+01	3.000000000000e+00	3	a
80	2.300000000000e-01	1.000000000000e-02	9.000000000000e+00	5.000000000000e+00	3	a
80	2.600000000000e-01	0.000000000000e+00	3.200000000000e+01	1.900000000000e+01	1	a
80	3.700000000000e-01	2.000000000000e-02	1.500000000000e+01	5.000000000000e+00	4	a
80	5.600000000000e-01	0.000000000000e+00	1.100000000000e+01	1.900000000000e+01	1	a
80	6.700000000000e-01	0.000000000000e+00	3.000000000000e+01	1.000000000000e+01	2	a
80	9.200000000000e-01	2.000000000000e-02	-5.000000000000e+00	1.000000000000e+00	2	a
