Name [-]	r_5re [kpc]	r_5re_err [kpc]	kT [keV]	kT_err [keV]	log10_fX_0.5-2.0keV [log10(erg cm-2 s-1)]	log10_fX_err [dex]	LX_0.5-2.0keV [1e40 erg s-1]	LX_err [1e40 erg s-1]	Z [Zsun]	Z_err [Zsun]	Cstat_per_dof [-]	sigma_c [km s-1]	sigma_c_err [km s-1]
NGC5018	39	4	0.53	0.07	-13.11	0.03	1.52	0.10	0.5		1.1	206.5	4.5
NGC5044	51	3	0.95	0.002	-10.97	0.002	204.11	0.47	0.35	0.007	3.5	225.7	9.2
NGC5171	88	7	0.81	0.05	-13.59	0.05	3.02	0.35	0.5		0.7	-	
NGC5353	32	3	0.74	0.02	-12.48	0.01	4.39	0.10	0.17	0.03	1.1	283.5	4.8
NGC5532	73	6	0.97	0.02	-12.88	0.01	18.02	0.41	0.20	0.04	1.0	277.8	18.6
NGC5813	32	2	0.71	0.002	-11.33	0.001	43.88	0.10	0.45	0.01	2.5	235.4	3.4
NGC5846	34	6	0.79	0.003	-11.53	0.003	15.72	0.11	0.33	0.01	1.2	237.1	3.5
NGC5866	26	3	0.41	0.08	-13.05	0.02	0.33	0.02	0.5		1.1	161.6	4.8
NGC6098	108	12	1.60	0.11	-13.04	0.03	19.56	1.35	0.5		0.8	275.3	25.2
NGC6107	156	17	1.61	0.06	-12.66	0.02	46.30	2.13	0.58	0.14	1.0	240.9	28.1
NGC6251	130	23	0.83	0.03	-12.46	0.01	47.50	1.09	0.5		2.5	311.5	18.6
NGC6269	91	9	2.40	0.16	-12.51	0.01	84.64	1.95	1.01	0.27	1.1	317.9	22.4
NGC6278	27	3	2.05	0.30	-13.17	0.04	1.33	0.12	0.5		0.7	193.2	12.8
NGC6338	124	24	1.84	0.03	-11.80	0.004	264.49	2.44	0.84	0.07	1.2	348.4	40.2
NGC6482	37	4	0.82	0.007	-11.78	0.006	63.39	0.88	0.38	0.04	1.1	316.8	9.8
NGC6861	41	4	1.24	0.03	-12.50	0.01	6.24	0.14	0.17	0.03	1.1	406.9	19.6
NGC6868	62	5	0.75	0.02	-12.37	0.01	8.54	0.20	0.18	0.03	1.2	250.1	3.7
NGC7176	60	5	0.77	0.03	-12.79	0.02	2.51	0.12	0.5		1.0	245.9	5.7
NGC7196	39	3	0.64	0.04	-12.64	0.03	4.81	0.33	0.16	0.09	0.9	277.9	37.5
NGC7618	79	6	0.93	0.006	-12.05	0.004	59.50	0.55	0.25	0.02	1.3	292.8	30.3
NGC7626	52	3	0.93	0.02	-12.60	0.02	7.19	0.33	0.5		1.1	267.0	3.7
UGC408	57	4	0.82	0.01	-12.80	0.01	7.65	0.18	0.18	0.02	1.0	197.6	4.8
