Name [-]	RA_gal_l [deg]	DEC_gal_b [deg]	ObsID [-]	Exposure_before [ks]	Exposure_after [ks]	MorphType [-]	BCG_flag [Y/blank]	cD_flag [Y/blank]	z [-]	D_A [Mpc]	D_A_isVirgoAssumed [0/1]	D_L [Mpc]	D_L_isVirgoAssumed [0/1]	NH_gal [1e20 cm-2]	NH_intrinsic_or_total [1e20 cm-2]
NGC1332	212.1830	-54.3661	multi	74.82	20.48	S0			0.005084	21.601	0	21.8	0	2.29	26.8
NGC1386	237.6634	-53.9659	multi	80.81	70.47	SB			0.002895	16.5	1	17.5	1	1.39	181.0
NGC1399	236.7164	-53.6356	9530	59.35	56.98	E1	Y		0.004753	20.205	0	20.4	0	1.31	163.0
NGC1404	236.9552	-53.5548	multi	319.27	296.7	E1			0.006494	27.531	0	27.9	0	1.35	163.0
NGC1407	209.6362	-50.3838	14033	54.35	50.26	E0			0.005934	25.179	0	25.5	0	5.41	17.3
NGC1482	214.1238	-47.8035	2932	28.20	15.36	SA0			0.006391	27.099	0	27.4	0	3.73	10.3
NGC1550	190.9760	-31.8488	multi	89.00	89.00	SA0	Y		0.012389	52.045	0	53.3	0	11.2	5.98
NGC1600	200.4164	-33.2418	4371	26.75	24.57	E3			0.015614	65.267	0	67.3	0	4.71	4.85
NGC1700	203.6991	-27.6137	2069	42.81	26.79	E4			0.012972	54.445	0	55.9	0	4.80	5.06
NGC2434	281.0002	-21.5444	2923	52.44	47.31	E0			0.004637	19.716	0	19.9	0	12.1	15.5
NGC2768	155.4947	40.5634	9258	153.92	63.56	E6			0.004513	19.191	0	19.4	0	3.89	0.97
NGC3079	157.8101	48.3598	2038	33.02	23.51	SB			0.003723	16.5	1	17.5	1	0.80	1.36
NGC3091	256.7559	27.5029	3215	31.69	27.34	E3	Y		0.013222	55.473	0	56.9	0	4.75	4.79
NGC3379	233.4901	57.6328	multi	369.63	319.34	E1			0.003039	16.5	1	17.5	1	2.75	1.59
NGC3384	233.5221	57.7524	multi	121.55	115.82	SB0			0.002348	16.5	1	17.5	1	2.75	1.75
NGC3557	281.5784	21.0890	4502	99.41	93.86	E3			0.010300	43.410	0	44.3	0	7.44	16.7
NGC3585	277.2465	31.1753	9506	61.23	57.96	E6			0.004783	20.332	0	20.5	0	5.57	8.49
NGC3607	230.5996	66.4223	2073	38.50	32.69	SA0			0.003142	22.2	0	23.5	0	1.52	2.60
NGC3665	174.7122	68.4932	3222	17.96	14.59	SA0			0.006901	29.238	0	29.6	0	2.07	1.38
NGC3923	287.2759	32.2224	9507	81.00	80.90	E4			0.005801	24.620	0	24.9	0	6.29	11.6
NGC3955	286.1398	37.8258	2955	19.71	19.29	S0			0.004973	21.133	0	21.3	0	4.86	8.40
NGC4036	132.9794	54.2466	6783	21.84	12.20	S0			0.004620	19.643	0	19.9	0	1.90	2.64
NGC4073	276.9081	62.3697	3234	29.96	25.76	E	Y	Y	0.019584	81.364	0	84.6	0	1.90	3.91
NGC4104	204.3284	80.0306	6939	35.88	34.86	S0	Y		0.028196	115.6	0	122.2	0	1.68	2.58
NGC4125	130.1897	51.3391	2071	64.23	52.97	E6			0.004523	19.234	0	19.4	0	1.86	3.13
NGC4203	173.0323	80.0788	10535	42.12	40.61	SAB0			0.003623	17.28	0	17.5	0	1.20	4.08
NGC4261	281.8049	67.3726	9569	102.55	102.24	E2			0.007378	31.236	0	31.7	0	1.56	5.50
NGC4278	193.7824	82.7727	multi	470.84	462.52	E1			0.002068	17.11	0	17.4	0	1.75	6.03
NGC4325	279.5840	72.1969	3232	30.09	28.30	E	Y		0.025714	105.8	0	111.3	0	2.18	5.39
NGC4342	283.4824	68.8699	12955	54.54	53.35	S0			0.002538	16.5	0	17.5	0	1.61	5.31
NGC4365	283.8070	69.1819	2015	40.43	37.36	E3			0.004146	17.642	0	17.8	0	1.61	5.44
NGC4374	278.2045	74.4784	multi	87.02	79.85	E1			0.003392	16.5	1	17.5	1	2.58	6.02
NGC4382	267.7120	79.2372	2016	39.75	29.33	SA0			0.002432	16.5	1	17.5	1	2.51	3.99
NGC4388	279.1220	74.3355	9276	170.59	170.59	SAB			0.008419	35.586	0	36.2	0	2.58	6.52
NGC4406	279.0835	74.6369	318	15.02	13.13	E3			0.000747	16.5	1	17.5	1	2.58	6.36
NGC4457	289.1324	65.8389	3150	38.88	32.50	SAB			0.002942	16.5	1	17.5	1	1.84	5.53
NGC4472	286.9222	70.1961	11274	39.67	39.67	E2			0.003272	16.5	1	17.5	1	1.65	7.71
NGC4477	281.5441	75.6119	9527	38.10	37.68	SB0			0.004463	18.980	0	19.2	0	2.63	6.38
NGC4486	283.7777	74.4912	2707	90.03	89.09	E0		Y	0.004283	18.220	0	18.4	0	2.52	7.36
NGC4526	290.1595	70.1385	3925	43.53	31.73	SAB			0.002058	16.5	1	17.5	1	1.66	7.78
NGC4552	287.9326	74.9668	multi	146.96	145.93	E0			0.001134	16.5	1	17.5	1	2.56	6.34
NGC4555	221.8117	86.4343	2884	29.97	23.91	E			0.022292	92.231	0	96.4	0	1.37	5.95
NGC4564	289.5604	73.9207	4008	16.02	15.84	E6			0.003809	15.8	0	16.3	0	2.27	6.85
NGC4621	294.3646	74.3621	2068	24.84	24.84	E5			0.001558	16.5	1	17.5	1	2.22	6.90
NGC4636	297.7485	65.4729	multi	149.07	133.43	E0			0.003129	14.5	0	15.2	0	1.83	8.12
NGC4649	295.8736	74.3178	multi	69.88	61.60	E2			0.003703	16.5	1	17.5	1	2.13	7.19
NGC4696	302.4036	21.5580	1560	84.75	21.20	E1	Y	Y	0.009867	41.613	0	42.4	0	8.07	23.5
NGC4697	301.6329	57.0637	4730	40.05	36.98	E6			0.00414	17.616	0	17.8	0	2.12	15.7
NGC4710	300.8506	78.0300	9512	29.47	27.72	SA0			0.003676	16.5	0	17.5	0	2.15	8.24
NGC4782	304.1379	50.2958	3220	49.33	49.33	E0			0.015437	64.545	0	66.6	0	3.56	31.8
NGC4936	306.2037	32.2638	multi	28.92	25.14	E0			0.010397	43.812	0	44.7	0	5.91	49.9
NGC5018	309.8982	43.0614	2070	30.89	26.54	E3			0.009393	39.643	0	40.4	0	6.98	114.0
NGC5044	311.2340	46.0996	multi	316.04	302.07	E0	Y		0.00928	39.173	0	39.9	0	5.03	112.0
NGC5171	334.8063	72.2182	3216	34.67	30.58	S0			0.022943	94.830	0	99.2	0	1.92	30.8
NGC5353	82.6107	71.6336	14903	40.27	37.20	S0			0.007755	32.813	0	33.3	0	0.98	8.39
NGC5532	357.9614	64.1119	3968	49.36	44.53	S0			0.024704	101.8	0	106.9	0	1.86	68.2
NGC5813	359.1820	49.8484	multi	488.04	481.82	E1			0.006525	27.662	0	28.0	0	4.23	10.9
NGC5846	0.3389	48.9043	7923	90.01	85.25	E	Y		0.00491	20.867	0	21.1	0	4.24	8.73
NGC5866	92.0340	52.4891	2879	27.43	25.55	S0			0.002518	14.9	0	15.2	0	1.45	15.4
NGC6098	34.9745	42.8152	10230	44.57	43.12	E		Y	0.030851	126.0	0	133.9	0	4.18	7.56
NGC6107	56.2296	45.6870	8180	20.87	19.29	E	Y	Y	0.030658	125.2	0	133.0	0	1.46	37.8
NGC6251	115.7638	31.1958	4130	45.44	14.06	E			0.024710	101.9	0	107.0	0	5.40	4.31
NGC6269	49.0135	35.9380	4972	39.64	35.80	E		Y	0.034801	141.3	0	151.3	0	4.65	12.8
NGC6278	43.5694	33.945	6789	15.04	11.79	S0			0.009447	39.865	0	40.6	0	4.91	7.29
NGC6338	85.8062	35.3991	4194	47.33	44.52	S0			0.027303	112.1	0	118.3	0	2.55	45.4
NGC6482	48.0905	22.9122	3218	19.34	10.03	E			0.013129	55.091	0	56.5	0	8.04	9.85
NGC6861	350.8772	-32.2109	11752	93.50	88.89	SA0			0.009437	39.826	0	40.6	0	4.94	1.22
NGC6868	350.9126	-32.6376	11753	72.60	69.53	E2	Y		0.009520	40.171	0	40.9	0	4.94	1.27
NGC7176	14.9320	-53.0969	905	49.53	43.63	E			0.008376	35.406	0	36.0	0	1.61	2.42
NGC7196	345.3695	-51.0861	10546	10.11	10.11	E			0.009750	41.127	0	41.9	0	1.84	0.87
NGC7618	105.5754	-16.9091	multi	235.84	168.14	E			0.017309	72.164	0	74.7	0	11.9	38.1
NGC7626	87.8591	-48.3788	2074	26.74	23.61	E			0.011358	47.790	0	48.9	0	4.94	5.37
UGC408	116.977	-59.40	11389	93.92	93.80	SAB0			0.014723	61.628	0	63.5	0	2.80	13.6
