Name [-]	MorphType [-]	BCG_flag [Y/blank]	cD_flag [Y/blank]	z [-]	D_A [Mpc]	D_L [Mpc]	r_5re [kpc]	r_5re_err [kpc]	kT [keV]	kT_err [keV]	LX_0.5-2.0keV [1e40 erg s-1]	LX_err [1e40 erg s-1]	Z [Zsun]	Z_err [Zsun]	sigma_c [km s-1]	sigma_c_err [km s-1]	M_gas_lt_5re [1e11 Msun]	M_gas_err [1e11 Msun]	M_tot_hydrostatic_lt_5re [1e13 Msun]	M_tot_err_stat [1e13 Msun]	M_tot_err_sys [1e13 Msun]
NGC821	E6			0.005787	24.561	24.8	30	7	0.20	0.08	0.10	0.03	0.5		198.4	2.8	0.10	0.02	0.03	0.02	0.02
NGC1023	SB0			0.002125	16.5	17.5	35	4	0.20	0.09	0.21	0.02	0.5		197.9	4.6	0.22	0.05	0.03	0.01	0.02
NGC1265	E		Y	0.025137	103.6	108.8	143	17	0.96	0.04	7.43	0.51	0.5		-		0.30	0.03	1.47	0.01	0.02
NGC1266	SB			0.007238	30.649	31.1	13	2	0.80	0.03	0.67	0.05	0.5		94.4	5.2	0.05	0.01	0.05	0.01	0.02
NGC1316	S0			0.005871	24.914	25.2	58	7	0.75	0.01	6.47	0.09	0.22	0.02	223.7	3.3	1.21	0.22	0.21	0.02	0.05
NGC1332	S0			0.005084	21.601	21.8	30	4	0.70	0.03	2.16	0.04	0.15	0.02	312.5	10.7	0.05	0.01	0.19	0.03	0.05
NGC1386	SB			0.002895	16.5	17.5	16	4	0.32	0.04	0.23	0.02	0.5		166.2	18.0	0.06	0.01	0.02	0.003	0.005
NGC1399	E1	Y		0.004753	20.205	20.4	45	5	1.26	0.003	24.96	0.12	0.46	0.01	333.7	5.3	0.71	0.11	0.30	0.02	0.04
NGC1404	E1			0.006494	27.531	27.9	45	5	0.67	0.004	26.86	0.19	0.19	0.007	228.1	3.6	1.12	0.21	0.14	0.02	0.04
NGC1407	E0			0.005934	25.179	25.5	44	5	1.02	0.02	5.77	0.13	0.19	0.03	264.9	5.1	0.74	0.11	0.21	0.02	0.04
NGC1482	SA0			0.006391	27.099	27.4	69	7	0.80	0.01	2.06	0.05	0.5		108.5	7.4	0.06	0.02	0.39	0.02	0.05
NGC1550	SA0	Y		0.012389	52.045	53.3	54	5	1.27	0.005	105.04	0.73	0.48	0.02	300.3	5.3	5.48	0.55	0.29	0.02	0.03
NGC1600	E3			0.015614	65.267	67.3	97	10	1.24	0.02	17.14	0.40	0.32	0.05	331.4	7.0	2.48	0.32	0.74	0.08	0.13
NGC1700	E4			0.012972	54.445	55.9	45	6	0.51	0.02	7.81	0.18	0.13	0.03	233.1	3.9	0.74	0.12	0.13	0.02	0.04
NGC2434	E0			0.004637	19.716	19.9	25	3	0.59	0.03	0.79	0.04	0.5		183.7	5.3	0.17	0.02	0.05	0.004	0.01
NGC2768	E6			0.004513	19.191	19.4	31	4	0.35	0.02	0.74	0.02	0.5		184.2	2.8	0.30	0.05	0.04	0.003	0.01
NGC3079	SB			0.003723	16.5	17.5	25	4	0.78	0.01	0.97	0.02	0.5		175.1	12.3	0.33	0.04	0.09	0.005	0.01
NGC3091	E3	Y		0.013222	55.473	56.9	47	6	0.88	0.01	28.06	0.39	0.57	0.08	310.2	7.6	3.01	0.35	0.16	0.015	0.02
NGC3379	E1			0.003039	16.5	17.5	29	5	0.24	0.08	0.18	0.02	0.11	0.08	203.7	1.8	0.11	0.04	0.03	0.002	0.005
NGC3384	SB0			0.002348	16.5	17.5	23	3	0.31	0.04	0.09	0.01	0.5		145.7	2.5	0.04	0.01	0.03	0.003	0.008
NGC3557	E3			0.010300	43.410	44.3	60	7	0.43	0.10	4.91	0.67	0.5		264.1	7.2	2.01	0.33	0.07	0.01	0.02
NGC3585	E6			0.004783	20.332	20.5	35	4	0.32	0.07	0.28	0.03	0.5		210.9	6.2	0.03	0.01	0.05	0.01	0.02
NGC3607	SA0			0.003142	22.2	23.5	28	3	0.59	0.11	0.73	0.03	0.5		220.8	4.2	0.08	0.01	0.05	0.003	0.007
NGC3665	SA0			0.006901	29.238	29.6	38	5	0.30	0.05	1.48	0.10	0.5		214.7	8.6	0.11	0.01	0.09	0.01	0.03
NGC3923	E4			0.005801	24.620	24.9	50	6	0.58	0.01	5.02	0.06	0.18	0.02	246.6	5.6	0.60	0.08	0.15	0.02	0.04
NGC3955	S0			0.004973	21.133	21.3	11	1	0.31	0.03	0.21	0.02	0.5		94.4	5.3	0.03	0.01	0.01	0.002	0.006
NGC4036	S0			0.004620	19.643	19.9	18	2	0.46	0.07	0.16	0.01	0.5		197.9	6.3	0.30	0.05	0.02	0.003	0.008
NGC4073	E	Y	Y	0.019584	81.364	84.6	104	16	1.88	0.02	225.24	1.56	1.67	0.10	267.0	6.3	8.34	1.43	0.81	0.05	0.08
NGC4104	S0	Y		0.028196	115.6	122.2	132	14	1.43	0.04	74.48	1.71	0.30	0.04	291.0	5.5	6.91	0.42	1.14	0.05	0.08
NGC4125	E6			0.004523	19.234	19.4	32	3	0.49	0.01	1.60	0.03	0.18	0.02	238.2	7.0	0.33	0.05	0.06	0.01	0.02
NGC4203	SAB0			0.003623	17.28	17.5	21	3	0.28	0.03	0.44	0.02	0.5		160.8	5.5	0.03	0.01	0.04	0.002	0.005
NGC4261	E2			0.007378	31.236	31.7	45	4	0.80	0.006	6.61	0.08	0.19	0.01	296.4	4.3	0.37	0.04	0.21	0.01	0.02
NGC4278	E1			0.002068	17.11	17.4	25	3	0.33	0.02	0.35	0.01	0.5		234.3	4.5	0.03	0.01	0.05	0.002	0.005
NGC4325	E	Y		0.025714	105.8	111.3	16	1	0.93	0.006	224.34	2.07	0.51	0.04	-		2.27	0.14	0.12	0.01	0.02
NGC4342	S0			0.002538	16.5	17.5	11	1	0.64	0.02	0.32	0.01	0.16	0.04	240.7	5.7	0.05	0.01	0.02	0.002	0.006
NGC4365	E3			0.004146	17.642	17.8	28	2	0.44	0.02	0.41	0.02	0.5		246.9	2.6	0.23	0.03	0.04	0.002	0.005
NGC4374	E1			0.003392	16.5	17.5	32.51	3	0.81	0.005	5.18	0.05	0.16	0.007	274.9	2.4	0.37	0.05	0.14	0.01	0.02
NGC4382	SA0			0.002432	16.5	17.5	34	3	0.44	0.03	1.13	0.03	0.23	0.05	175.3	3.5	0.48	0.07	0.04	0.003	0.008
NGC4388	SAB			0.008419	35.586	36.2	39	4	0.98	0.05	3.68	0.25	0.5		98.9	9.4	0.48	0.06	0.19	0.02	0.03
NGC4406	E3			0.000747	16.5	17.5	35	3	0.88	0.01	10.28	0.24	0.34	0.03	230.0	2.6	1.05	0.16	0.12	0.02	0.03
NGC4457	SAB			0.002942	16.5	17.5	18	2	0.59	0.02	0.54	0.03	0.17	0.05	113.3	9.8	0.11	0.02	0.05	0.001	0.002
NGC4472	E2			0.003272	16.5	17.5	36	3	1.06	0.002	18.36	0.08	0.55	0.02	280.8	2.9	0.74	0.08	0.20	0.01	0.02
NGC4477	SB0			0.004463	18.980	19.2	21	3	0.34	0.02	1.04	0.03	0.5		172.2	6.2	0.10	0.02	0.05	0.006	0.01
NGC4486	E0		Y	0.004283	18.220	18.4	35	4	1.85	0.002	262.93	0.18	0.75	0.004	321.7	4.3	2.63	0.12	0.41	0.03	0.05
NGC4526	SAB			0.002058	16.5	17.5	25	3	0.37	0.02	0.32	0.02	0.5		224.4	9.4	0.10	0.02	0.05	0.003	0.005
NGC4552	E0			0.001134	16.5	17.5	24	2	0.64	0.01	2.48	0.04	0.16	0.02	249.7	2.9	0.24	0.04	0.07	0.006	0.01
NGC4555	E			0.022292	92.231	96.4	63	7	1.05	0.02	16.83	0.33	0.33	0.07	344.0	28.5	1.96	0.10	0.41	0.02	0.03
NGC4564	E6			0.003809	15.8	16.3	13	3	0.38	0.15	0.09	0.02	0.5		155.9	2.2	0.01	0.003	0.05	0.002	0.004
NGC4621	E5			0.001558	16.5	17.5	24	3	0.26	0.07	0.02	0.004	0.5		227.7	3.8	0.13	0.02	0.03	0.002	0.003
NGC4636	E0			0.003129	14.5	15.2	34	3	0.75	0.003	19.68	0.09	0.42	0.02	199.7	2.7	1.18	0.12	0.10	0.01	0.02
NGC4649	E2			0.003703	16.5	17.5	41	4	0.94	0.003	12.13	0.06	0.58	0.03	329.1	4.6	0.66	0.08	0.20	0.02	0.03
NGC4696	E1	Y	Y	0.009867	41.613	42.4	64	5	1.88	0.02	391.42	2.70	0.86	0.04	243.8	6.5	6.46	0.83	0.42	0.03	0.05
NGC4697	E6			0.00414	17.616	17.8	35	3	0.31	0.01	0.64	0.03	0.5		166.6	1.6	0.35	0.06	0.03	0.004	0.005
NGC4710	SA0			0.003676	16.5	17.5	17	2	0.32	0.05	0.10	0.01	0.5		116.5	6.4	0.01	0.01	0.07	0.01	0.02
NGC4782	E0			0.015437	64.545	66.6	64	3	1.02	0.01	11.88	0.28	0.5		308.5	11.2	4.11	0.52	0.24	0.02	0.03
NGC4936	E0			0.010397	43.812	44.7	69	4	0.91	0.04	11.71	0.54	0.22	0.09	278.2	14.8	1.16	0.14	0.23	0.04	0.06
NGC5018	E3			0.009393	39.643	40.4	39	4	0.53	0.07	1.52	0.10	0.5		206.5	4.5	0.16	0.02	0.13	0.02	0.03
NGC5044	E0	Y		0.00928	39.173	39.9	51	3	0.95	0.002	204.11	0.47	0.35	0.007	225.7	9.2	2.43	0.26	0.14	0.02	0.03
NGC5171	S0			0.022943	94.830	99.2	88	7	0.81	0.05	3.02	0.35	0.5		-		1.82	0.15	0.81	0.01	0.02
NGC5353	S0			0.007755	32.813	33.3	32	3	0.74	0.02	4.39	0.10	0.17	0.03	283.5	4.8	0.33	0.04	0.13	0.01	0.02
NGC5532	S0			0.024704	101.8	106.9	73	6	0.97	0.02	18.02	0.41	0.20	0.04	277.8	18.6	1.35	0.12	0.55	0.03	0.05
NGC5813	E1			0.006525	27.662	28.0	32	2	0.71	0.002	43.88	0.10	0.45	0.01	235.4	3.4	1.68	0.19	0.07	0.01	0.02
NGC5846	E	Y		0.00491	20.867	21.1	34	6	0.79	0.003	15.72	0.11	0.33	0.01	237.1	3.5	0.66	0.08	0.11	0.01	0.02
NGC5866	S0			0.002518	14.9	15.2	26	3	0.41	0.08	0.33	0.02	0.5		161.6	4.8	0.22	0.04	0.05	0.01	0.02
NGC6098	E		Y	0.030851	126.0	133.9	108	12	1.60	0.11	19.56	1.35	0.5		275.3	25.2	5.53	0.61	0.81	0.05	0.08
NGC6107	E	Y	Y	0.030658	125.2	133.0	156	17	1.61	0.06	46.30	2.13	0.58	0.14	240.9	28.1	13.47	1.58	0.91	0.06	0.10
NGC6251	E			0.024710	101.9	107.0	130	23	0.83	0.03	47.50	1.09	0.5		311.5	18.6	14.51	1.82	0.52	0.03	0.05
NGC6269	E		Y	0.034801	141.3	151.3	91	9	2.40	0.16	84.64	1.95	1.01	0.27	317.9	22.4	13.62	2.19	0.85	0.02	0.03
NGC6278	S0			0.009447	39.865	40.6	27	3	2.05	0.30	1.33	0.12	0.5		193.2	12.8	0.95	0.11	0.24	0.03	0.05
NGC6338	S0			0.027303	112.1	118.3	124	24	1.84	0.03	264.49	2.44	0.84	0.07	348.4	40.2	6.21	0.51	1.99	0.15	0.21
NGC6482	E			0.013129	55.091	56.5	37	4	0.82	0.007	63.39	0.88	0.38	0.04	316.8	9.8	2.11	0.37	0.16	0.02	0.03
NGC6861	SA0			0.009437	39.826	40.6	41	4	1.24	0.03	6.24	0.14	0.17	0.03	406.9	19.6	0.39	0.04	0.31	0.03	0.05
NGC6868	E2	Y		0.009520	40.171	40.9	62	5	0.75	0.02	8.54	0.20	0.18	0.03	250.1	3.7	0.73	0.15	0.23	0.02	0.03
NGC7176	E			0.008376	35.406	36.0	60	5	0.77	0.03	2.51	0.12	0.5		245.9	5.7	0.35	0.02	0.26	0.03	0.05
NGC7196	E			0.009750	41.127	41.9	39	3	0.64	0.04	4.81	0.33	0.16	0.09	277.9	37.5	0.22	0.03	0.21	0.04	0.06
NGC7618	E			0.017309	72.164	74.7	79	6	0.93	0.006	59.50	0.55	0.25	0.02	292.8	30.3	5.53	0.29	0.35	0.02	0.03
NGC7626	E			0.011358	47.790	48.9	52	3	0.93	0.02	7.19	0.33	0.5		267.0	3.7	0.64	0.05	0.24	0.03	0.05
UGC408	SAB0			0.014723	61.628	63.5	57	4	0.82	0.01	7.65	0.18	0.18	0.02	197.6	4.8	0.03	0.01	0.51	0.02	0.03
