Name [-]	RA_resolved [deg, J2000]	DE_resolved [deg, J2000]	name_resolver [-]	match_sep [arcsec]	Ks_total [mag]	e_Ks_total [mag]	Ks_catalogue [-]	Ks_column [-]	Ks_extinction_corrected [yes/no]	xsc_2MASX_id [-]	xsc_K.ext [mag]	xsc_e_K.ext [mag]	xsc_r.ext [arcsec]	mrs_Ktmag [mag]	mrs_sep [arcsec]	mrs_CAT_id [-]	leda_kt [mag]	leda_e_kt [mag]	atlas3d_KMAG_abs [mag]	atlas3d_Dist [Mpc]	atlas3d_mK_apparent [mag] (RECONSTRUCTED = KMAG + 5log10(Dist*1e5))	atlas3d_minus_ours [mag]	flags [-]
NGC6269	254.492088	27.854412	stras	0.16	9.402	0.030	VII/233/xsc	K.ext (2MASS k_m_ext)	no	16575809+2751157	9.402	0.030	52.43	9.377	0.08	NGC_6269	9.43	0.05					
NGC6278	255.209681	23.011038	stras	0.40	8.994	0.017	VII/233/xsc	K.ext (2MASS k_m_ext)	no	17005034+2300394	8.994	0.017	60.60	8.972	0.22	NGC_6278	9.04	0.06	-24.19	42.9	8.972	-0.022	
NGC6338	258.845768	57.411207	stras	0.62	9.398	0.029	VII/233/xsc	K.ext (2MASS k_m_ext)	no	17152291+5724404	9.398	0.029	54.58	9.385	0.37	17152298+5724402	9.42	0.05					
NGC6482	267.953475	23.071914	stras	0.48	8.372	0.013	VII/233/xsc	K.ext (2MASS k_m_ext)	no	17514880+2304190	8.372	0.013	65.90	8.336	0.36	NGC_6482	8.40	0.04					
NGC6861	301.831175	-48.370261	stras	0.01	7.708	0.015	VII/233/xsc	K.ext (2MASS k_m_ext)	no	20071948-4822129	7.708	0.015	97.37	7.689	0.16	g2007195-482213	7.75	0.05					
NGC6868	302.475342	-48.379513	stras	0.00	7.317	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	20095408-4822462	7.317	0.021	131.97	7.297	0.15	g2009541-482246	7.35	0.05					
NGC7176	330.535139	-31.989846	stras	0.44	8.011	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	22020846-3159233	8.011	0.021	93.72	8.002	0.26	g2202085-315923	8.04	0.04					
NGC7196	331.478378	-50.119408	stras	0.47	8.273	0.017	VII/233/xsc	K.ext (2MASS k_m_ext)	no	22055480-5007094	8.273	0.017	70.96	8.265	0.28	NGC_7196	8.31	0.05					
NGC7618	349.946811	42.852563	stras	0.49	9.036	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	23194721+4251096	9.036	0.021	55.86	8.957	0.29	NGC_7618	9.06	0.04					
NGC7626	350.177183	8.217064	stras	0.01	8.032	0.022	VII/233/xsc	K.ext (2MASS k_m_ext)	no	23204252+0813014	8.032	0.022	87.54	8.007	0.27	NGC_7626	8.05	0.03					
UGC408	9.827450	3.331279	stras	0.30	9.209	0.025	VII/233/xsc	K.ext (2MASS k_m_ext)	no	00391857+0319528	9.209	0.025	52.48	9.201	0.16	NGC_0193	9.24	0.05					
