Name [-]	beta [-]	beta_err [-]	r_c [kpc]	r_c_err [kpc]	rho_0 [1e-24 g cm-3]	rho_0_err [1e-24 g cm-3]	chi2 [-]	M_gas_lt_5re [1e11 Msun]	M_gas_err [1e11 Msun]	M_tot_hydrostatic_lt_5re [1e13 Msun]	M_tot_err_stat [1e13 Msun]	M_tot_err_sys [1e13 Msun]
NGC1316	0.43	0.01	0.21	0.04	12.6	1.69	376	1.21	0.22	0.21	0.02	0.05
NGC1332	0.84	0.04	0.64	0.04	9.11	1.53	358	0.05	0.01	0.19	0.03	0.05
NGC1386	0.38	0.01	0.004	0.002	1.39	1.04	223	0.06	0.01	0.02	0.003	0.005
NGC1399	0.48	0.01	0.32	0.01	12.5	1.42	254	0.71	0.11	0.30	0.02	0.04
NGC1404	0.46	0.02	0.35	0.01	8.78	1.16	159	1.12	0.21	0.14	0.02	0.04
NGC1407	0.40	0.01	0.47	0.05	2.21	0.21	136	0.74	0.11	0.21	0.02	0.04
NGC1482	0.67	0.04	0.91	0.09	3.71	0.39	275	0.06	0.02	0.39	0.02	0.05
NGC1550	0.40	0.01	2.07	0.07	2.09	0.23	323	5.48	0.55	0.29	0.02	0.03
NGC1600	0.59	0.03	2.68	0.26	1.28	0.13	184	2.48	0.32	0.74	0.08	0.13
NGC1700	0.55	0.03	1.67	0.17	1.33	0.14	245	0.74	0.12	0.13	0.02	0.04
NGC2434	0.33	0.03	0.22	0.17	1.33	0.11	159	0.17	0.02	0.05	0.004	0.01
NGC2768	0.29	0.02	0.27	0.12	0.81	0.12	128	0.30	0.05	0.04	0.003	0.01
NGC3079	0.40	0.02	0.15	0.13	7.01	1.12	212	0.33	0.04	0.09	0.005	0.01
NGC3091	0.37	0.01	0.46	0.05	4.36	0.51	181	3.01	0.35	0.16	0.015	0.02
NGC3379	0.40	0.02	0.01	0.003	7.59	1.41	126	0.11	0.04	0.03	0.002	0.005
NGC3384	0.42	0.04	0.01	0.005	7.47	1.65	256	0.04	0.01	0.03	0.003	0.008
NGC3557	0.29	0.01	0.64	0.19	0.50	0.06	205	2.01	0.33	0.07	0.01	0.02
NGC3585	0.48	0.06	0.02	0.01	7.36	1.15	70	0.03	0.01	0.05	0.01	0.02
NGC3607	0.43	0.01	0.01	0.003	1.24	0.15	123	0.08	0.01	0.05	0.003	0.007
NGC3665	0.65	0.15	1.76	0.74	0.41	0.05	109	0.11	0.01	0.09	0.01	0.03
NGC3923	0.53	0.01	0.55	0.03	3.43	0.36	135	0.60	0.08	0.15	0.02	0.04
NGC3955	0.33	0.05	0.56	0.35	0.49	0.06	124	0.03	0.01	0.01	0.002	0.006
NGC4036	0.26	0.01	0.02	0.002	11.3	1.57	106	0.30	0.05	0.02	0.003	0.008
NGC4073	0.41	0.01	2.16	0.12	3.02	0.31	150	8.34	1.43	0.81	0.05	0.08
NGC4104	0.55	0.01	1.52	0.10	4.55	0.51	57	6.91	0.42	1.14	0.05	0.08
NGC4125	0.33	0.01	0.38	0.06	1.58	0.16	174	0.33	0.05	0.06	0.01	0.02
NGC4203	0.57	0.01	0.06	0.002	4.55	0.58	134	0.03	0.01	0.04	0.002	0.005
NGC4261	0.56	0.01	0.43	0.01	8.48	1.17	376	0.37	0.04	0.21	0.01	0.02
NGC4278	0.58	0.01	0.08	0.01	2.43	0.25	198	0.03	0.01	0.05	0.002	0.005
NGC4325	0.67	0.03	13.1	0.71	0.78	0.11	230	2.27	0.14	0.12	0.01	0.02
NGC4342	0.31	0.01	0.01	0.002	5.09	0.63	141	0.05	0.01	0.02	0.002	0.006
NGC4365	0.36	0.02	0.22	0.09	1.69	0.15	107	0.23	0.03	0.04	0.002	0.005
NGC4374	0.48	0.01	0.49	0.03	3.52	0.37	339	0.37	0.05	0.14	0.01	0.02
NGC4382	0.31	0.01	0.01	0.003	2.72	0.31	125	0.48	0.07	0.04	0.003	0.008
NGC4388	0.44	0.01	0.10	0.02	1.83	0.22	276	0.48	0.06	0.19	0.02	0.03
NGC4406	0.34	0.01	0.51	0.08	2.36	0.27	171	1.05	0.16	0.12	0.02	0.03
NGC4457	0.43	0.01	0.02	0.001	9.59	1.72	181	0.11	0.02	0.05	0.001	0.002
NGC4472	0.43	0.01	0.32	0.01	6.66	0.74	243	0.74	0.08	0.20	0.01	0.02
NGC4477	0.65	0.13	2.73	0.67	0.33	0.05	116	0.10	0.02	0.05	0.006	0.01
NGC4486	0.50	0.01	2.33	0.02	4.70	0.53	339	2.63	0.12	0.41	0.03	0.05
NGC4526	0.52	0.04	0.59	0.11	1.39	0.15	138	0.10	0.02	0.05	0.003	0.005
NGC4552	0.50	0.01	0.18	0.01	2.70	0.41	395	0.24	0.04	0.07	0.006	0.01
NGC4555	0.55	0.02	1.30	0.14	3.14	0.27	85	1.96	0.10	0.41	0.02	0.03
NGC4564	0.90	0.73	0.47	0.10	1.25	0.11	74	0.01	0.003	0.05	0.002	0.004
NGC4621	0.28	0.03	0.04	0.01	2.54	0.26	86	0.13	0.02	0.03	0.002	0.003
NGC4636	0.33	0.01	0.32	0.02	3.03	0.31	464	1.18	0.12	0.10	0.01	0.02
NGC4649	0.49	0.01	0.30	0.01	12.6	1.41	596	0.66	0.08	0.20	0.02	0.03
NGC4696	0.31	0.01	0.96	0.10	3.55	0.37	280	6.46	0.83	0.42	0.03	0.05
NGC4697	0.26	0.03	0.26	0.20	0.58	0.09	121	0.35	0.06	0.03	0.004	0.005
NGC4710	0.90	0.67	0.99	0.11	0.76	0.06	77	0.01	0.01	0.07	0.01	0.02
NGC4782	0.33	0.02	1.62	0.50	0.56	0.07	322	4.11	0.52	0.24	0.02	0.03
NGC4936	0.48	0.05	1.10	0.57	1.11	0.09	89	1.16	0.14	0.23	0.04	0.06
NGC5018	0.57	0.05	0.86	0.17	1.58	0.17	102	0.16	0.02	0.13	0.02	0.03
NGC5044	0.27	0.01	2.24	0.27	1.06	0.11	284	2.43	0.26	0.14	0.02	0.03
NGC5171	0.90	0.05	5.07	0.40	2.22	0.27	177	1.82	0.15	0.81	0.01	0.02
NGC5353	0.44	0.01	0.34	0.04	4.09	0.42	133	0.33	0.04	0.13	0.01	0.02
NGC5532	0.66	0.02	1.43	0.10	3.85	0.32	73	1.35	0.12	0.55	0.03	0.05
NGC5813	0.27	0.01	0.34	0.04	3.17	0.32	114	1.68	0.19	0.07	0.01	0.02
NGC5846	0.38	0.01	0.73	0.04	1.73	0.27	293	0.66	0.08	0.11	0.01	0.02
NGC5866	0.37	0.02	0.39	0.11	1.19	0.08	182	0.22	0.04	0.05	0.01	0.02
NGC6098	0.42	0.01	0.20	0.10	9.41	1.64	277	5.53	0.61	0.81	0.05	0.08
NGC6107	0.36	0.01	0.46	0.17	4.89	0.55	46	13.47	1.58	0.91	0.06	0.10
NGC6251	0.47	0.004	0.38	0.03	3.00	0.41	196	14.51	1.82	0.52	0.03	0.05
NGC6269	0.37	0.01	0.08	0.01	4.37	0.71	194	13.62	2.19	0.85	0.02	0.03
NGC6278	0.42	0.07	6.53	1.52	0.31	0.06	413	0.95	0.11	0.24	0.03	0.05
NGC6338	0.82	0.04	9.45	0.50	1.16	0.12	264	6.21	0.51	1.99	0.15	0.21
NGC6482	0.49	0.01	1.44	0.07	3.96	0.44	165	2.11	0.37	0.16	0.02	0.03
NGC6861	0.55	0.01	0.74	0.05	2.91	0.25	153	0.39	0.04	0.31	0.03	0.05
NGC6868	0.36	0.02	0.55	0.10	1.07	0.08	311	0.73	0.15	0.23	0.02	0.03
NGC7176	0.47	0.04	0.70	0.15	0.83	0.12	171	0.35	0.02	0.26	0.03	0.05
NGC7196	0.71	0.11	2.30	0.46	0.87	0.11	139	0.22	0.03	0.21	0.04	0.06
NGC7618	0.40	0.01	2.19	0.15	1.02	0.08	334	5.53	0.29	0.35	0.02	0.03
NGC7626	0.48	0.02	0.81	0.10	1.88	0.17	190	0.64	0.05	0.24	0.03	0.05
UGC408	0.90	0.68	1.54	0.13	1.11	0.10	64	0.03	0.01	0.51	0.02	0.03
