cluster	image_id	system_id	ra_deg	dec_deg	z	z_flag	z_free_in_model	z_spec_reference	id_reference
Abell 2744	22.2	22	3.600080	-30.404424	2.910000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	22.3	22	3.596544	-30.409024	2.910000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	23.1	23	3.588176	-30.410558	2.960000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	23.2	23	3.593549	-30.409725	2.960000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	23.3	23	3.600543	-30.401840	2.960000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	24.1	24	3.595925	-30.404491	1.170000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	24.2	24	3.595133	-30.405941	1.170000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	24.3	24	3.587326	-30.409108	1.170000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	25.1	25	3.594456	-30.402741	1.330000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	25.2	25	3.592176	-30.403341	1.330000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	26.1	26	3.593955	-30.409691	2.310000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	26.2	26	3.590379	-30.410592	2.310000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	26.3	26	3.600080	-30.402974	2.310000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	27.1	27	3.580756	-30.403142	2.520000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	27.2	27	3.595712	-30.396174	2.520000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	27.3	27	3.585509	-30.397658	2.520000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	28.1	28	3.580466	-30.405059	5.720000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	28.2	28	3.597837	-30.395957	5.720000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	28.3	28	3.585297	-30.397975	5.720000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	28.4	28	3.587461	-30.401375	5.720000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	30.1	30	3.590997	-30.397441	1.180000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	30.2	30	3.586707	-30.398192	1.180000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	30.3	30	3.581915	-30.401708	1.180000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	55.1	55	3.597046	-30.404741	1.500000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	55.2	55	3.596370	-30.406158	1.500000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	55.3	55	3.585703	-30.410092	1.500000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	60.1	60	3.598089	-30.403991	1.550000	adopted_phot_or_model	Y		Wang   et al. 2015
Abell 2744	60.2	60	3.595713	-30.407558	1.550000	adopted_phot_or_model	Y		Wang   et al. 2015
Abell 2744	60.3	60	3.587384	-30.410142	1.550000	adopted_phot_or_model	Y		Wang   et al. 2015
Abell 2744	36.1	36	3.589451	-30.394408	2.530000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	36.2	36	3.588659	-30.394308	2.530000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	38.1	38	3.589412	-30.394108	4.360000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	38.2	38	3.588968	-30.394041	4.360000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	38.3	38	3.576369	-30.402125	4.360000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	46.1	46	3.595036	-30.400758	10.00000	spec	N	Zitrin et al. 2014	Zitrin et al. 2014
Abell 2744	46.2	46	3.592504	-30.401491	10.00000	spec	N	Zitrin et al. 2014	Zitrin et al. 2014
Abell 2744	51.1	51	3.586843	-30.405542	3.880000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	51.2	51	3.586456	-30.405658	3.880000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	54.1	54	3.592370	-30.409891	7.400000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	54.2	54	3.588331	-30.410325	7.400000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	54.4	54	3.590089	-30.410275	7.400000	adopted_phot_or_model	Y		Jauzac et al. 2014
Abell 2744	54.5	54	3.600910	-30.400824	7.400000	adopted_phot_or_model	Y		Jauzac et al. 2014
MACS J0416.1-2403	1.1	1	64.040743	-24.061597	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	1.2	1	64.043481	-24.063547	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	1.3	1	64.047351	-24.068664	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	1.1	1	64.042112	-24.062347	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	1.2	1	64.042568	-24.062614	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	1.3	1	64.047862	-24.069147	1.896000	spec	N	Christensen et al. 2012	Zitrin   et al. 2013
MACS J0416.1-2403	2.1	2	64.041181	-24.061881	1.896000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	2.2	2	64.043006	-24.063030	1.896000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	2.3	2	64.047479	-24.068847	1.896000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	3.1	3	64.030777	-24.067114	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	3.2	3	64.035249	-24.070981	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	3.3	3	64.041820	-24.075714	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	4.1	4	64.030832	-24.067230	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	4.2	4	64.035158	-24.070981	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	4.3	4	64.041875	-24.075864	1.990000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	5.1	5	64.032383	-24.068414	2.090000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	5.2	5	64.032657	-24.068664	2.090000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	5.3	5	64.033515	-24.069414	2.090000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	5.4	5	64.043555	-24.076947	2.090000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	7.1	7	64.040042	-24.061839	2.090000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	7.2	7	64.041458	-24.062589	2.090000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	10.1	10	64.039794	-24.063097	2.298000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	10.2	10	64.040634	-24.063564	2.298000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	10.3	10	64.036596	-24.066125	2.298000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	14.1	14	64.036833	-24.066342	1.632400	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	14.2	14	64.027025	-24.078583	1.632400	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	14.3	14	64.027521	-24.079106	1.632400	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	16.1	16	64.026012	-24.077163	1.965000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	16.2	16	64.028476	-24.079764	1.965000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	16.3	16	64.036691	-24.083897	1.965000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	13.1	13	64.039208	-24.070367	3.222600	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	13.2	13	64.038317	-24.069753	3.222600	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	13.3	13	64.034259	-24.066018	3.222600	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	6.1	6	64.038263	-24.073696	6.000000	adopted_phot_or_model	N		Zitrin   et al. 2014
MACS J0416.1-2403	6.2	6	64.037686	-24.073294	6.000000	adopted_phot_or_model	N		Zitrin   et al. 2014
MACS J0416.1-2403	29.1	29	64.027582	-24.072780	2.281900	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	29.2	29	64.032127	-24.075164	2.281900	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	29.3	29	64.040342	-24.081547	2.281900	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	23.1	23	64.026231	-24.074347	2.094000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	23.2	23	64.031050	-24.078964	2.094000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	23.3	23	64.035833	-24.081331	2.094000	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	28.1	28	64.026860	-24.075745	0.937700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	28.2	28	64.029438	-24.078583	0.937700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	28.3	28	64.024058	-24.080897	0.937700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	11.1	11	64.028330	-24.084547	1.005400	spec	N	Rodney     et al. 2015	Zitrin   et al. 2013
MACS J0416.1-2403	11.2	11	64.031597	-24.085764	1.005400	spec	N	Rodney     et al. 2015	Zitrin   et al. 2013
MACS J0416.1-2403	11.3	11	64.029875	-24.086364	1.005400	spec	N	Rodney     et al. 2015	Zitrin   et al. 2013
MACS J0416.1-2403	48.1	48	64.028608	-24.085986	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	48.2	48	64.023329	-24.081581	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	48.3	48	64.026075	-24.084233	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	9.1	9	64.025067	-24.083350	2.300000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	9.2	9	64.044546	-24.072100	2.300000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	12.1	12	64.039604	-24.066631	1.650000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	12.2	12	64.034342	-24.063742	1.650000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	35.1	35	64.044891	-24.061068	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	35.2	35	64.045448	-24.061409	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	35.3	35	64.049712	-24.066950	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	33.1	33	64.048159	-24.066959	5.900000	adopted_phot_or_model	N		M.Jauzac et al. 2014
MACS J0416.1-2403	33.2	33	64.047465	-24.066026	5.900000	adopted_phot_or_model	N		M.Jauzac et al. 2014
MACS J0416.1-2403	33.3	33	64.042226	-24.060543	5.900000	adopted_phot_or_model	N		M.Jauzac et al. 2014
MACS J0416.1-2403	15.1	15	64.036502	-24.067029	2.335500	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	15.2	15	64.036845	-24.067453	2.335500	spec	N	GrismHFF	Zitrin   et al. 2013
MACS J0416.1-2403	47.1	47	64.041214	-24.071053	3.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	47.2	47	64.034272	-24.063032	3.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	57.1	57	64.040086	-24.066747	3.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	57.2	57	64.044610	-24.071482	3.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	8.1	8	64.023833	-24.077621	2.400000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	8.2	8	64.030507	-24.082725	2.400000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	31.1	31	64.032456	-24.083821	1.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	31.2	31	64.028427	-24.082995	1.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	31.3	31	64.035052	-24.085486	1.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	43.1	43	64.022980	-24.077275	2.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	43.2	43	64.037492	-24.083636	2.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	43.3	43	64.029410	-24.079887	2.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	51.1	51	64.024937	-24.075016	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	51.2	51	64.035667	-24.082050	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	51.3	51	64.031195	-24.079959	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	49.1	49	64.024425	-24.073603	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	49.2	49	64.026328	-24.076694	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	49.3	49	64.028329	-24.078999	4.000000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	18.1	18	64.035489	-24.084668	2.800000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	18.2	18	64.029244	-24.081802	2.800000	adopted_phot_or_model	Y		Zitrin   et al. 2013
MACS J0416.1-2403	27.1	27	64.023416	-24.076122	2.106700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	27.2	27	64.033946	-24.074569	2.106700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	27.3	27	64.040175	-24.079864	2.106700	spec	N	GrismHFF	M.Jauzac et al. 2014
MACS J0416.1-2403	52.1	52	64.026833	-24.069967	4.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	52.2	52	64.040160	-24.080290	4.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	52.3	52	64.033663	-24.074752	4.500000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	25.1	25	64.026620	-24.070494	2.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	25.2	25	64.045857	-24.065830	2.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	25.4	25	64.047698	-24.068668	2.900000	adopted_phot_or_model	Y		M.Jauzac et al. 2014
MACS J0416.1-2403	17.1	17	64.037724	-24.059826	2.220000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	17.2	17	64.026224	-24.076036	2.220000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
MACS J0416.1-2403	17.3	17	64.028843	-24.079126	2.220000	spec	N	Grillo      et al. 2014	Zitrin   et al. 2013
