cluster	image_id	system_id	ra_deg	dec_deg	z_adopted	z_provenance	model_version
Abell 2744	9.1	9	3.5883900	-30.4052720	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	9.2	9	3.5871362	-30.4062290	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	13.1	13	3.5923750	-30.4025583	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	13.2	13	3.5937916	-30.4021638	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	13.3	13	3.5827916	-30.4080444	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	14.1	14	3.5897500	-30.3946361	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	14.2	14	3.5884583	-30.3944361	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	20.1	20	3.5962413	-30.4029700	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	20.2	20	3.5951992	-30.4054370	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	21.1	21	3.5961754	-30.4031120	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	21.2	21	3.5952536	-30.4053400	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	23.1	23	3.5881623	-30.4105450	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	23.2	23	3.5935338	-30.4097170	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	23.3	23	3.6005416	-30.4018310	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	36.1	36	3.5894583	-30.3944080	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	36.2	36	3.5886666	-30.3943000	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	60.1	60	3.5980780	-30.4039900	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	60.2	60	3.5957235	-30.4075490	0.0000	adopted_undifferentiated	CATS v4.1
Abell 2744	60.3	60	3.5873816	-30.4101620	0.0000	adopted_undifferentiated	CATS v4.1
Abell 370	1.1	1	39.9670470	-1.5769172	0.8041	adopted_undifferentiated	CATS v4
Abell 370	1.2	1	39.9762730	-1.5760558	0.8041	adopted_undifferentiated	CATS v4
Abell 370	1.3	1	39.9686910	-1.5766113	0.8041	adopted_undifferentiated	CATS v4
Abell 370	2.1	2	39.9738250	-1.5842290	0.7251	adopted_undifferentiated	CATS v4
Abell 370	2.2	2	39.9710030	-1.5850422	0.7251	adopted_undifferentiated	CATS v4
Abell 370	2.3	2	39.9687220	-1.5845058	0.7251	adopted_undifferentiated	CATS v4
Abell 370	2.4	2	39.9693940	-1.5847328	0.7251	adopted_undifferentiated	CATS v4
Abell 370	2.5	2	39.9696300	-1.5848508	0.7251	adopted_undifferentiated	CATS v4
Abell 370	3.1	3	39.9656580	-1.5668560	1.9553	adopted_undifferentiated	CATS v4
Abell 370	3.2	3	39.9685260	-1.5657906	1.9553	adopted_undifferentiated	CATS v4
Abell 370	4.1	4	39.9797040	-1.5764364	1.2728	adopted_undifferentiated	CATS v4
Abell 370	4.2	4	39.9706880	-1.5763221	1.2728	adopted_undifferentiated	CATS v4
Abell 370	4.3	4	39.9619710	-1.5779671	1.2728	adopted_undifferentiated	CATS v4
Abell 370	5.1	5	39.9734730	-1.5890463	1.2775	adopted_undifferentiated	CATS v4
Abell 370	5.2	5	39.9705760	-1.5891946	1.2775	adopted_undifferentiated	CATS v4
Abell 370	5.3	5	39.9694720	-1.5890961	1.2775	adopted_undifferentiated	CATS v4
Abell 370	5.4	5	39.9685800	-1.5890045	1.2775	adopted_undifferentiated	CATS v4
Abell 370	6.1	6	39.9694050	-1.5771811	1.0633	adopted_undifferentiated	CATS v4
Abell 370	6.2	6	39.9643340	-1.5782307	1.0633	adopted_undifferentiated	CATS v4
Abell 370	6.3	6	39.9796410	-1.5770904	1.0633	adopted_undifferentiated	CATS v4
Abell 370	7.1	7	39.9697880	-1.5804299	2.7512	adopted_undifferentiated	CATS v4
Abell 370	7.2	7	39.9698820	-1.5807608	2.7512	adopted_undifferentiated	CATS v4
Abell 370	7.3	7	39.9688150	-1.5856313	2.7512	adopted_undifferentiated	CATS v4
Abell 370	7.4	7	39.9865670	-1.5775688	2.7512	adopted_undifferentiated	CATS v4
Abell 370	7.5	7	39.9615330	-1.5800028	2.7512	adopted_undifferentiated	CATS v4
Abell 370	9.1	9	39.9624020	-1.5778911	1.5182	adopted_undifferentiated	CATS v4
Abell 370	9.2	9	39.9694860	-1.5762654	1.5182	adopted_undifferentiated	CATS v4
Abell 370	9.3	9	39.9820220	-1.5765337	1.5182	adopted_undifferentiated	CATS v4
Abell 370	10.1	10	39.9681420	-1.5710778	2.7512	adopted_undifferentiated	CATS v4
Abell 370	10.2	10	39.9684540	-1.5715778	2.7512	adopted_undifferentiated	CATS v4
Abell 370	12.1	12	39.9696820	-1.5666360	3.4809	adopted_undifferentiated	CATS v4
Abell 370	12.2	12	39.9591980	-1.5753221	3.4809	adopted_undifferentiated	CATS v4
Abell 370	12.3	12	39.9841000	-1.5709127	3.4809	adopted_undifferentiated	CATS v4
Abell 370	13.1	13	39.9795130	-1.5717782	4.2480	adopted_undifferentiated	CATS v4
Abell 370	13.2	13	39.9752100	-1.5688203	4.2480	adopted_undifferentiated	CATS v4
Abell 370	13.3	13	39.9567590	-1.5775032	4.2480	adopted_undifferentiated	CATS v4
Abell 370	14.1	14	39.9723090	-1.5780910	3.1309	adopted_undifferentiated	CATS v4
Abell 370	14.2	14	39.9721920	-1.5801027	3.1309	adopted_undifferentiated	CATS v4
Abell 370	14.3	14	39.9742540	-1.5855770	3.1309	adopted_undifferentiated	CATS v4
Abell 370	14.4	14	39.9813130	-1.5782202	3.1309	adopted_undifferentiated	CATS v4
Abell 370	14.5	14	39.9576730	-1.5804590	3.1309	adopted_undifferentiated	CATS v4
Abell 370	15.1	15	39.9713280	-1.5806040	3.7084	adopted_undifferentiated	CATS v4
Abell 370	15.2	15	39.9719350	-1.5870512	3.7084	adopted_undifferentiated	CATS v4
Abell 370	15.3	15	39.9710270	-1.5777907	3.7084	adopted_undifferentiated	CATS v4
Abell 370	15.4	15	39.9840080	-1.5784556	3.7084	adopted_undifferentiated	CATS v4
Abell 370	16.1	16	39.9640160	-1.5880782	3.7743	adopted_undifferentiated	CATS v4
Abell 370	16.3	16	39.9844140	-1.5841111	3.7743	adopted_undifferentiated	CATS v4
Abell 370	17.1	17	39.9697580	-1.5885333	4.2567	adopted_undifferentiated	CATS v4
Abell 370	17.2	17	39.9854030	-1.5808406	4.2567	adopted_undifferentiated	CATS v4
Abell 370	17.3	17	39.9602350	-1.5836508	4.2567	adopted_undifferentiated	CATS v4
Abell 370	18.1	18	39.9758300	-1.5870613	4.4296	adopted_undifferentiated	CATS v4
Abell 370	18.2	18	39.9814760	-1.5820728	4.4296	adopted_undifferentiated	CATS v4
Abell 370	18.3	18	39.9573620	-1.5820861	4.4296	adopted_undifferentiated	CATS v4
Abell 370	19.1	19	39.9719960	-1.5878654	5.6493	adopted_undifferentiated	CATS v4
Abell 370	19.2	19	39.9851420	-1.5790944	5.6493	adopted_undifferentiated	CATS v4
Abell 370	19.3	19	39.9583160	-1.5813093	5.6493	adopted_undifferentiated	CATS v4
Abell 370	20.1	20	39.9652790	-1.5878055	5.7505	adopted_undifferentiated	CATS v4
Abell 370	20.2	20	39.9636190	-1.5868798	5.7505	adopted_undifferentiated	CATS v4
Abell 370	21.1	21	39.9667330	-1.5846943	1.2567	adopted_undifferentiated	CATS v4
Abell 370	21.2	21	39.9672520	-1.5849694	1.2567	adopted_undifferentiated	CATS v4
Abell 370	21.3	21	39.9815390	-1.5814028	1.2567	adopted_undifferentiated	CATS v4
Abell 370	22.1	22	39.9744060	-1.5861017	3.1309	adopted_undifferentiated	CATS v4
Abell 370	22.2	22	39.9816750	-1.5796852	3.1309	adopted_undifferentiated	CATS v4
Abell 370	23.1	23	39.9801126	-1.5667264	5.9386	adopted_undifferentiated	CATS v4
Abell 370	23.2	23	39.9573149	-1.5727440	5.9386	adopted_undifferentiated	CATS v4
Abell 370	23.3	23	39.9771658	-1.5662748	5.9386	adopted_undifferentiated	CATS v4
Abell 370	24.1	24	39.9631110	-1.5706030	4.9160	adopted_undifferentiated	CATS v4
Abell 370	24.2	24	39.9620400	-1.5723407	4.9160	adopted_undifferentiated	CATS v4
Abell 370	25.1	25	39.9870836	-1.5790992	3.8145	adopted_undifferentiated	CATS v4
Abell 370	25.2	25	39.9617028	-1.5832126	3.8145	adopted_undifferentiated	CATS v4
Abell 370	26.1	26	39.9799240	-1.5713930	3.9359	adopted_undifferentiated	CATS v4
Abell 370	26.2	26	39.9744600	-1.5680963	3.9359	adopted_undifferentiated	CATS v4
Abell 370	26.3	26	39.9571700	-1.5769717	3.9359	adopted_undifferentiated	CATS v4
Abell 370	27.1	27	39.9806909	-1.5711198	3.0161	adopted_undifferentiated	CATS v4
Abell 370	27.2	27	39.9582916	-1.5759068	3.0161	adopted_undifferentiated	CATS v4
Abell 370	27.3	27	39.9724399	-1.5671511	3.0161	adopted_undifferentiated	CATS v4
Abell 370	28.1	28	39.9634920	-1.5822806	2.9101	adopted_undifferentiated	CATS v4
Abell 370	28.2	28	39.9670580	-1.5845583	2.9101	adopted_undifferentiated	CATS v4
Abell 370	28.3	28	39.9878170	-1.5774528	2.9101	adopted_undifferentiated	CATS v4
Abell 370	30.1	30	39.9833507	-1.5704081	5.6459	adopted_undifferentiated	CATS v4
Abell 370	30.2	30	39.9724040	-1.5663533	5.6459	adopted_undifferentiated	CATS v4
Abell 370	32.1	32	39.9662845	-1.5693446	4.4953	adopted_undifferentiated	CATS v4
Abell 370	32.2	32	39.9880970	-1.5751871	4.4953	adopted_undifferentiated	CATS v4
Abell 370	32.3	32	39.9606820	-1.5783795	4.4953	adopted_undifferentiated	CATS v4
Abell 370	33.1	33	39.9627222	-1.5860036	4.8820	adopted_undifferentiated	CATS v4
Abell 370	33.2	33	39.9662152	-1.5879961	4.8820	adopted_undifferentiated	CATS v4
Abell 370	34.1	34	39.9701070	-1.5701499	5.2437	adopted_undifferentiated	CATS v4
Abell 370	34.2	34	39.9718050	-1.5880395	5.2437	adopted_undifferentiated	CATS v4
Abell 370	34.3	34	39.9585664	-1.5817008	5.2437	adopted_undifferentiated	CATS v4
Abell 370	34.4	34	39.9850480	-1.5795590	5.2437	adopted_undifferentiated	CATS v4
Abell 370	35.1	35	39.9815380	-1.5658624	6.1735	adopted_undifferentiated	CATS v4
Abell 370	35.2	35	39.9758248	-1.5644423	6.1735	adopted_undifferentiated	CATS v4
Abell 370	36.1	36	39.9624435	-1.5807098	6.2855	adopted_undifferentiated	CATS v4
Abell 370	36.2	36	39.9659960	-1.5843845	6.2855	adopted_undifferentiated	CATS v4
Abell 370	37.1	37	39.9703912	-1.5687943	5.6489	adopted_undifferentiated	CATS v4
Abell 370	37.2	37	39.9704280	-1.5694203	5.6489	adopted_undifferentiated	CATS v4
Abell 370	38.1	38	39.9771540	-1.5737917	3.2000	adopted_undifferentiated	CATS v4
Abell 370	38.2	38	39.9750630	-1.5721045	3.2000	adopted_undifferentiated	CATS v4
Abell 370	115.1	115	39.9635790	-1.5656333	1.0315	adopted_undifferentiated	CATS v4
Abell 370	115.2	115	39.9629580	-1.5661111	1.0315	adopted_undifferentiated	CATS v4
Abell 370	115.3	115	39.9633750	-1.5659528	1.0315	adopted_undifferentiated	CATS v4
Abell S1063 / RXC J2248.7-4431	1.1	1	342.1945000	-44.5269980	1.2279	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	1.2	1	342.1959000	-44.5289650	1.2279	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	1.3	1	342.1864500	-44.5211970	1.2279	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	2.1	2	342.1927000	-44.5311350	1.2592	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	2.2	2	342.1921900	-44.5299390	1.2592	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	2.3	2	342.1798900	-44.5215670	1.2592	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	4.1	4	342.1937000	-44.5301380	1.2583	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	4.2	4	342.1933000	-44.5294140	1.2583	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	5.1	5	342.1791900	-44.5235930	1.3972	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	5.2	5	342.1878300	-44.5273130	1.3972	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	5.3	5	342.1931600	-44.5365380	1.3972	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	6.1	6	342.1742100	-44.5283220	1.4280	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	6.2	6	342.1758600	-44.5325530	1.4280	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	6.3	6	342.1884900	-44.5399800	1.4280	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	7.1	7	342.1694000	-44.5272290	1.8370	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	7.2	7	342.1742700	-44.5371080	1.8370	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	7.3	7	342.1818600	-44.5404980	1.8370	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	10.1	10	342.1902380	-44.5297640	0.7287	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	10.2	10	342.1895500	-44.5288420	0.7287	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	11.1	11	342.1750700	-44.5410250	3.1160	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	11.2	11	342.1731700	-44.5399830	3.1160	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	11.3	11	342.1655700	-44.5295300	3.1160	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	12.1	12	342.1890500	-44.5300160	6.1070	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	12.2	12	342.1810500	-44.5346270	6.1070	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	12.3	12	342.1908900	-44.5374610	6.1070	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	12.4	12	342.1713000	-44.5198370	6.1070	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	12.5	12	342.1840900	-44.5316240	6.1070	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	13.1	13	342.1815500	-44.5393580	4.1130	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	13.2	13	342.1791700	-44.5387080	4.1130	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	14.1	14	342.1788500	-44.5358790	3.1180	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	14.2	14	342.1874200	-44.5386990	3.1180	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	14.3	14	342.1706500	-44.5220980	3.1180	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	17.1	17	342.1858200	-44.5388610	3.6060	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	17.2	17	342.1788300	-44.5367360	3.6060	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	17.3	17	342.1697800	-44.5219770	3.6060	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	19.1	19	342.1800500	-44.5384300	1.0350	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	19.2	19	342.1755400	-44.5359400	1.0350	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	19.3	19	342.1719200	-44.5302500	1.0350	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	27.1	27	342.1901500	-44.5309610	5.0510	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	27.2	27	342.1908400	-44.5356620	5.0510	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	33.1	33	342.1887700	-44.5227760	5.2373	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	33.2	33	342.1838000	-44.5212410	5.2373	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	54.1	54	342.1829210	-44.5203160	3.1690	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	54.2	54	342.1919800	-44.5241800	3.1690	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	94.1	94	342.1892970	-44.5187150	3.2857	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	94.2	94	342.1960790	-44.5229570	3.2857	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	100.1	100	342.1969910	-44.5220110	5.8940	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	100.2	100	342.1900070	-44.5179556	5.8940	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	200.1	200	342.1955900	-44.5283900	1.2592	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	200.2	200	342.1948300	-44.5273500	1.2592	adopted_undifferentiated	CATS v4.1
Abell S1063 / RXC J2248.7-4431	3.1	3	342.1955300	-44.5321400	2.1600	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	3.2	3	342.1939200	-44.5286910	2.1600	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	8.1	8	342.1679600	-44.5262000	2.7600	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	8.2	8	342.1746300	-44.5383890	2.7600	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	8.3	8	342.1807900	-44.5408810	2.7600	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	9.1	9	342.1678000	-44.5262850	2.7800	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	9.2	9	342.1747600	-44.5385860	2.7800	model_optimised_parenthesised	CATS v4.1
Abell S1063 / RXC J2248.7-4431	9.3	9	342.1803200	-44.5408380	2.7800	model_optimised_parenthesised	CATS v4.1
