image_id	system_id	ra_deg	dec_deg	z	z_flag	z_err_lo	z_err_hi	quality	notes
12a	12	064.041365	-24.070852	0.9397	spec				MODEL-PREDICTED POSITION;zprev_ref=
12b	12	064.036843	-24.067457	0.9397	spec				zprev_ref=a
12c	12	064.036507	-24.067028	0.9397	spec				zprev_ref=a
13a	13	064.039245	-24.070383	1.0054	spec				zprev_ref=c
13b	13	064.038301	-24.069728	1.0054	spec				zprev_ref=c
13c	13	064.034234	-24.066016	1.0054	spec				zprev_ref=
14a	14	064.034483	-24.066956	3.2215	spec				zprev_ref=
14b	14	064.034190	-24.066488	3.2215	spec				zprev_ref=
14c	14	064.034001	-24.066445	3.2215	spec				zprev_ref=
14d	14	064.045886	-24.076722	3.2215	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
14e	14	064.035165	-24.067968	3.2215	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
15a	15	064.041802	-24.075731	1.9894	spec				zprev_ref=def
15b	15	064.035249	-24.070989	1.9894	spec				zprev_ref=def
15c	15	064.030769	-24.067129	1.9894	spec				zprev_ref=def
16a	16	064.033523	-24.069448	2.0948	spec				zprev_ref=
16b	16	064.032656	-24.068663	2.0948	spec				zprev_ref=b
16c	16	064.032410	-24.068414	2.0948	spec				zprev_ref=
16e	16	064.043470	-24.076860	2.0948	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
17a	17	064.040489	-24.078380	3.9663	spec				zprev_ref=
17b	17	064.035107	-24.073864	3.9663	spec_sys				zprev_ref=;z propagated from same system
17c	17	064.027171	-24.068224	3.9663	spec_sys				zprev_ref=;z propagated from same system
18a	18	064.040177	-24.079872	3.8710	spec				zprev_ref=
18b	18	064.033937	-24.074565	3.8710	spec				zprev_ref=
18c	18	064.026991	-24.069620	3.8710	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
19a	19	064.040140	-24.080305	4.1032	spec				zprev_ref=
19b	19	064.033667	-24.074762	4.1032	spec				zprev_ref=
19c	19	064.026633	-24.070476	4.1032	spec				zprev_ref=
20a	20	064.040351	-24.081482	3.223	spec				zprev_ref=def
20b	20	064.032157	-24.075108	3.2175	spec				zprev_ref=def
20c	20	064.027572	-24.072673	3.2175	spec				zprev_ref=def
21a	21	064.042028	-24.081835	5.1060	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
21b	21	064.030906	-24.074341	5.1060	spec				zprev_ref=
21c	21	064.029176	-24.073382	5.1060	spec				zprev_ref=
22a	22	064.040114	-24.082217	3.9230	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
22b	22	064.030997	-24.077173	3.9230	spec				zprev_ref=
22c	22	064.027127	-24.073572	3.9230	spec				zprev_ref=
23a	23	064.035668	-24.079920	2.5425	spec				zprev_ref=b
23b	23	064.032638	-24.078508	2.5425	spec				zprev_ref=
23c	23	064.024668	-24.071076	2.5425	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
24a	24	064.035833	-24.081321	1.6333	spec				zprev_ref=d
24b	24	064.031039	-24.078953	1.6333	spec				zprev_ref=d
24c	24	064.026239	-24.074337	1.6333	spec				zprev_ref=d
25a	25	064.038073	-24.082404	3.1103	spec				zprev_ref=
25b	25	064.030366	-24.079015	3.1103	spec				zprev_ref=
25c	25	064.025446	-24.073648	3.1103	spec				zprev_ref=
26a	26	064.037722	-24.082388	3.0773	spec				zprev_ref=
26b	26	064.030484	-24.079222	3.0773	spec				zprev_ref=
26c	26	064.025186	-24.073575	3.0773	spec				zprev_ref=
27a	27	064.037469	-24.083657	3.4909	spec				zprev_ref=
27b	27	064.029409	-24.079889	3.4909	spec				zprev_ref=
27c	27	064.024946	-24.075021	3.4909	spec				zprev_ref=
28a	28	064.038350	-24.084126	3.2526	spec_sys				zprev_ref=;z propagated from same system
28b	28	064.028322	-24.079004	3.2526	spec				zprev_ref=
28c	28	064.026330	-24.076705	3.2526	spec				zprev_ref=
29a	29	064.036702	-24.083855	2.298	spec				zprev_ref=def
29b	29	064.028504	-24.079755	2.298	spec				zprev_ref=def
29c	29	064.025993	-24.077080	2.298	spec				zprev_ref=def
30a	30	064.033628	-24.083185	3.4406	spec				zprev_ref=
30b	30	064.031251	-24.081904	3.4406	spec				zprev_ref=
30c	30	064.022699	-24.074595	3.4406	spec				zprev_ref=
31a	31	064.035486	-24.084679	4.1218	spec				zprev_ref=
31b	31	064.029234	-24.081813	4.1218	spec				zprev_ref=
31c	31	064.023412	-24.076125	4.1218	spec				zprev_ref=
32a	32	064.035054	-24.085504	5.3650	spec				zprev_ref=
32b	32	064.028403	-24.082993	5.3650	spec				zprev_ref=
32c	32	064.022988	-24.077265	5.3650	spec				zprev_ref=
33a	33	064.032017	-24.084230	5.9729	spec				zprev_ref=
33b	33	064.030821	-24.083697	5.9729	spec				zprev_ref=
33c	33	064.021697	-24.075230	5.9729	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
34a	34	064.034067	-24.085284	3.9228	spec_sys				MODEL-PREDICTED POSITION;zprev_ref=;z propagated from same system
34b	34	064.027632	-24.082609	3.9228	spec				zprev_ref=
34c	34	064.023731	-24.078477	3.9228	spec				zprev_ref=
35a	35	064.033681	-24.085855	5.6390	spec				zprev_ref=
35b	35	064.028654	-24.084240	5.6390	spec				zprev_ref=
35c	35	064.022187	-24.077559	5.6390	spec				zprev_ref=
36a	36	064.031614	-24.085762	1.964	spec				zprev_ref=de
36b	36	064.028339	-24.084553	1.964	spec				zprev_ref=de
36c	36	064.024074	-24.080895	1.9614	spec				zprev_ref=de
37a	37	064.029809	-24.086363	2.218	spec				zprev_ref=def
37b	37	064.028610	-24.085973	2.218	spec				zprev_ref=def
37c	37	064.023345	-24.081580	2.2182	spec				zprev_ref=def
