slug	name	cluster_z	aperture_kpc	weight_power	catalog_rows	member_count_including_bcg	effective_member_count	eight_sector_footprint_kpc	concentration_c20	centroid_shift	quadrupole_amplitude	m3_aperture_amplitude	m4_aperture_amplitude	multipole_energy	position_angle_deg	inner_50kpc_fraction	inner_100kpc_fraction	centroid_offset	centered_quadrupole
macs0329	MACS J0329.7-0211	4.500000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1617	1.800000000000000e+01	1.415186878852885e+00	3.834000000000000e+02	8.526339088794839e-01	1.647006281958460e-02	1.460659144139747e-01	1.739996653800223e-02	2.311953676773749e-02	1.489044095031068e-01	-2.378997451088898e+01	8.752767633214897e-01	9.277738930851062e-01	3.637400980170192e-02	1.516041908332010e-01
macs0416	MACS J0416.1-2403	3.970000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1754	2.800000000000000e+01	2.800000000000000e+01	3.948000000000000e+02	7.142857142857142e-02	4.911755018949577e-02	3.392661508131304e-01	5.332942093483284e-02	7.144958022322387e-02	3.507856763593366e-01	-6.103416119548708e+01	2.142857142857143e-01	4.642857142857143e-01	9.400703537024811e-02	3.349323104164740e-01
macs0416	MACS J0416.1-2403	3.970000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1754	2.800000000000000e+01	1.646626144515419e+01	3.948000000000000e+02	1.967433976663817e-01	5.497964475032217e-02	3.581180710822726e-01	3.918760406100592e-02	8.454638572198248e-02	3.700436629458476e-01	-5.867791444127510e+01	2.510809012444354e-01	4.216426957974937e-01	8.747095863420454e-02	3.463247861279996e-01
macs0416	MACS J0416.1-2403	3.970000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1754	2.800000000000000e+01	5.815374719006263e+00	3.948000000000000e+02	3.891996294934117e-01	4.356926824029015e-02	4.747948078622298e-01	2.315177789963149e-02	1.046125366638454e-01	4.867339080237681e-01	-6.042385835663830e+01	4.018894391852767e-01	4.715944361325398e-01	7.327119983894992e-02	4.781588158009178e-01
macs0429	MACS J0429.6-0253	3.990000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1677	1.000000000000000e+01	1.000000000000000e+01	3.882000000000000e+02	1.000000000000000e-01	8.095380803230855e-02	2.028681142209801e-01	2.830371561050564e-01	9.197299083899647e-02	3.601729231181668e-01	-8.587888995515455e+01	4.000000000000000e-01	6.000000000000000e-01	1.269135532712589e-01	2.540370465844524e-01
macs0429	MACS J0429.6-0253	3.990000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1677	1.000000000000000e+01	3.058790108411547e+00	3.882000000000000e+02	5.416122011039032e-01	2.749196508070524e-02	9.435116641825611e-02	1.186023985185775e-01	4.604418412908841e-02	1.583942499933578e-01	-5.658070616216990e+01	7.871610139670139e-01	8.374089231165958e-01	5.141108353911631e-02	8.304509781810726e-02
macs0429	MACS J0429.6-0253	3.990000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1677	1.000000000000000e+01	1.237529521884711e+00	3.882000000000000e+02	8.972770415693487e-01	5.854973988660638e-03	1.250424708655353e-01	1.783816718374692e-02	7.857624681849418e-03	1.265526056400039e-01	-2.246838828087213e+01	9.727255661503040e-01	9.769133954215560e-01	1.178560707099556e-02	1.214879540642459e-01
macs0647	MACS J0647.7+7015	5.840000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1774	1.900000000000000e+01	1.900000000000000e+01	4.684000000000000e+02	2.105263157894737e-01	4.655636322884494e-02	1.296198694255480e-01	1.159215783120698e-01	8.903405829392165e-02	1.953616810035757e-01	-6.621257433074049e+00	4.210526315789473e-01	6.315789473684210e-01	7.312647209203126e-02	1.152983138375943e-01
macs0647	MACS J0647.7+7015	5.840000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1774	1.900000000000000e+01	5.869065495864323e+00	4.684000000000000e+02	5.328810116834317e-01	4.215101544958391e-02	6.493274513628246e-02	5.851008650977846e-02	6.471041983607201e-02	1.087526093924917e-01	-1.224894424085785e+01	6.769867417316174e-01	7.761834291052429e-01	1.148643480263406e-01	1.186713527458120e-01
macs0647	MACS J0647.7+7015	5.840000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1774	1.900000000000000e+01	1.735445033907349e+00	4.684000000000000e+02	8.421377996499593e-01	2.703290189366045e-02	4.055149884432953e-01	3.511973760777454e-02	3.110208233374303e-02	4.082194769328134e-01	3.382205600909377e+01	8.805657983059322e-01	9.014674804398201e-01	6.536601426508133e-02	3.736171121779080e-01
macs0717	MACS J0717.5+3745	5.480000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1822	5.000000000000000e+00	5.000000000000000e+00	1.841000000000000e+02	4.000000000000000e-01	1.607391381174660e-01	9.027643791481936e-01	2.643620270662287e-01	2.222261466286227e-01	9.665688107210966e-01	-3.899082289766604e+01	4.000000000000000e-01	6.000000000000000e-01	2.623615266513877e-01	8.964708728409583e-01
macs0717	MACS J0717.5+3745	5.480000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1822	5.000000000000000e+00	3.972464577649409e+00	1.841000000000000e+02	5.766105059426330e-01	9.503525886433759e-02	8.705357186412055e-01	1.538434001659886e-01	1.252409579594498e-01	8.928524663993449e-01	-3.801094065127210e+01	5.766105059426330e-01	7.704688332263300e-01	1.164696896145725e-01	8.765681637633075e-01
macs0717	MACS J0717.5+3745	5.480000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1822	5.000000000000000e+00	2.396438872555555e+00	1.841000000000000e+02	7.449513399608072e-01	5.039006236374340e-02	8.407411577593008e-01	7.403014658585334e-02	5.615084645759292e-02	8.458599615254742e-01	-3.587858772426982e+01	7.449513399608072e-01	8.942407340764992e-01	3.236745507616373e-02	8.488316782738152e-01
macs0744	MACS J0744.9+3927	6.860000000000001e-01	1.500000000000000e+02	0.000000000000000e+00	1792	1.900000000000000e+01	1.900000000000000e+01	4.862000000000000e+02	1.052631578947368e-01	5.320314222321965e-02	1.944430614877757e-01	7.971603503727731e-02	3.938004935493984e-02	2.138072465797192e-01	1.144416648247941e+01	1.578947368421053e-01	4.736842105263158e-01	5.185653227150220e-02	2.009763088808295e-01
macs0744	MACS J0744.9+3927	6.860000000000001e-01	1.500000000000000e+02	5.000000000000000e-01	1792	1.900000000000000e+01	6.341713578337408e+00	4.862000000000000e+02	3.758964222462196e-01	5.707694935997883e-02	2.551967520393548e-01	5.343292051510033e-02	2.567865377618582e-02	2.619920848154886e-01	8.202257412671798e+00	4.182513529276193e-01	6.355397317118244e-01	1.312510362342692e-01	2.207500859720695e-01
macs0744	MACS J0744.9+3927	6.860000000000001e-01	1.500000000000000e+02	1.000000000000000e+00	1792	1.900000000000000e+01	1.538263488774131e+00	4.862000000000000e+02	8.056208584945435e-01	2.508015975945019e-02	4.002676511981966e-01	2.501666165491249e-02	1.100163654770561e-02	4.011995288666293e-01	1.990066230287786e+00	8.169975131217142e-01	8.811600946777746e-01	6.108023414299513e-02	3.851734876174175e-01
macs1115	MACS J1115.9+0129	3.520000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1376	2.800000000000000e+01	2.800000000000000e+01	3.233000000000000e+02	1.071428571428571e-01	6.106660011346936e-02	3.098803572417705e-01	4.820273421885792e-02	8.270508549956489e-02	3.243292625680753e-01	5.981903855128606e+01	1.785714285714286e-01	4.285714285714285e-01	9.093195733168391e-02	3.307556164628024e-01
macs1115	MACS J1115.9+0129	3.520000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1376	2.800000000000000e+01	1.472377322504870e+01	3.233000000000000e+02	2.220368103028136e-01	5.254226440781759e-02	3.671321768814801e-01	1.075455392688892e-01	1.009983934121924e-01	3.956674788129732e-01	5.674925811525232e+01	2.572152671110504e-01	4.967339035070253e-01	1.137935758773424e-01	4.077988105073893e-01
macs1115	MACS J1115.9+0129	3.520000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1376	2.800000000000000e+01	3.702904763669156e+00	3.233000000000000e+02	5.096856381587906e-01	3.873594894514180e-02	3.809433114941190e-01	8.092380792295796e-02	7.167076533119922e-02	3.959837974766354e-01	5.545909689408315e+01	5.199288498779435e-01	6.976952474185553e-01	8.297609708300485e-02	4.180389558394960e-01
macs1149	MACS J1149.5+2223	5.440000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1656	1.900000000000000e+01	1.900000000000000e+01	4.745000000000000e+02	1.052631578947368e-01	7.113612566676815e-02	2.902552564005521e-01	7.322615599961786e-02	1.074167128025893e-01	3.180385731007239e-01	3.004415575777780e-01	2.631578947368421e-01	5.263157894736842e-01	1.040515546240024e-01	3.119209031011536e-01
macs1149	MACS J1149.5+2223	5.440000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1656	1.900000000000000e+01	9.259814429366319e+00	4.745000000000000e+02	2.864271455936882e-01	5.838737615314400e-02	3.817631015259072e-01	5.555710587721071e-02	1.457718941765123e-01	4.124064776794129e-01	6.685253916269054e+00	3.875144847670186e-01	6.100362966562773e-01	1.310566548174454e-01	3.774037093838401e-01
macs1149	MACS J1149.5+2223	5.440000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1656	1.900000000000000e+01	2.381591054812914e+00	4.745000000000000e+02	6.415046487503707e-01	4.118355870505551e-02	4.849159802890626e-01	3.597841427624271e-02	9.199062964247305e-02	4.948739538261779e-01	1.152698486240547e+01	6.764263537078181e-01	7.831370128166473e-01	1.000368833014576e-01	4.718208371943166e-01
macs1206	MACS J1206.2-0847	4.390000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1668	2.000000000000000e+01	2.000000000000000e+01	3.699000000000000e+02	5.000000000000000e-02	8.875492790216324e-02	2.779698454296954e-01	5.130115965943995e-02	1.302552106793265e-01	3.112321703483235e-01	2.272348621342026e+01	2.000000000000000e-01	5.500000000000000e-01	3.927259946495890e-02	2.761566981703155e-01
macs1206	MACS J1206.2-0847	4.390000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1668	2.000000000000000e+01	1.221725235746108e+01	3.699000000000000e+02	2.115033204243181e-01	8.029438892021264e-02	3.326419852146459e-01	6.108013666655075e-02	1.056754421737563e-01	3.543286221876016e-01	2.159612317997590e+01	3.476651654350325e-01	6.208979345573703e-01	1.330973699443002e-01	2.989584503380576e-01
macs1206	MACS J1206.2-0847	4.390000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1668	2.000000000000000e+01	3.172366498151254e+00	3.699000000000000e+02	5.465223465150898e-01	5.715855253376167e-02	4.124501144357906e-01	5.124383505135197e-02	6.135479810507807e-02	4.201255036050320e-01	2.036992570999996e+01	6.224014588729476e-01	7.778624626231511e-01	1.266017384118254e-01	3.644160430945618e-01
macs1720	MACS J1720.3+3536	3.870000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1609	2.600000000000000e+01	2.600000000000000e+01	3.666000000000000e+02	1.538461538461539e-01	1.202949619802275e-01	3.392359990537103e-02	9.507975895271524e-02	3.627991367445359e-02	1.072716333858673e-01	7.226433658257213e+01	2.692307692307692e-01	5.000000000000000e-01	3.432544643447439e-01	3.754785110240588e-01
macs1720	MACS J1720.3+3536	3.870000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1609	2.600000000000000e+01	9.928010224865403e+00	3.666000000000000e+02	2.958663902114774e-01	1.291122279380838e-01	2.815074582655726e-01	7.964826209934221e-02	6.568952017951155e-02	2.998423048470697e-01	5.279193631012662e+01	4.075987218775649e-01	5.190223882726276e-01	3.367945353185285e-01	2.193164079508315e-01
macs1720	MACS J1720.3+3536	3.870000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1609	2.600000000000000e+01	2.445616247541375e+00	3.666000000000000e+02	6.333519887669610e-01	8.311065931571025e-02	4.917067822236421e-01	6.403943704687694e-02	6.099300972158193e-02	4.995965936802472e-01	2.188249862908251e+01	6.764454298558762e-01	7.122847488137014e-01	2.140229126951750e-01	3.803785614656934e-01
macs1931	MACS J1931.8-2635	3.520000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1633	2.500000000000000e+01	2.500000000000000e+01	3.361000000000000e+02	1.200000000000000e-01	7.598077283719022e-02	4.767279623251216e-01	4.998987167320758e-02	8.284835343391615e-02	4.864487506400622e-01	-8.916929115593281e+01	2.400000000000000e-01	5.200000000000000e-01	1.097461197639948e-01	4.742163945401119e-01
macs1931	MACS J1931.8-2635	3.520000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1633	2.500000000000000e+01	7.994639781115690e+00	3.361000000000000e+02	3.865614404612817e-01	5.099289310977509e-02	3.897305571230382e-01	6.033599525897552e-02	6.627621498388020e-02	3.999035835697329e-01	-8.340260953584281e+01	4.653300934539825e-01	6.823630999007705e-01	8.167757808591840e-02	3.784016028045150e-01
macs1931	MACS J1931.8-2635	3.520000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1633	2.500000000000000e+01	1.588980526264612e+00	3.361000000000000e+02	8.140873488220979e-01	1.735519648127277e-02	3.737265510484536e-01	2.161674382837063e-02	1.848336344334110e-02	3.748072215105953e-01	-7.938490964714190e+01	8.366380357332587e-01	9.077135298328867e-01	3.575776339190123e-02	3.630334428609596e-01
ms2137	MS2137-2353	3.100000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1736	1.600000000000000e+01	1.600000000000000e+01	2.906000000000000e+02	1.875000000000000e-01	4.082391211921571e-02	4.349985726627094e-01	1.092583984344454e-01	8.007481064153237e-02	4.556019437473152e-01	-6.627852772615039e+01	2.500000000000000e-01	6.875000000000000e-01	1.548539546323259e-01	5.374351238060960e-01
ms2137	MS2137-2353	3.100000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1736	1.600000000000000e+01	6.522130381889973e+00	2.906000000000000e+02	4.388054484188367e-01	5.689227311836586e-02	4.434038189102333e-01	5.001780686271220e-02	3.343637084333412e-02	4.474670027194269e-01	-7.362240006718440e+01	4.913432218533282e-01	7.677687508388003e-01	1.774111796903449e-01	4.039887417946331e-01
ms2137	MS2137-2353	3.100000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1736	1.600000000000000e+01	1.660779838384229e+00	2.906000000000000e+02	8.013118737064395e-01	3.216330719287268e-02	5.153361638231364e-01	2.013678093835486e-02	1.848379958507776e-02	5.160605609205252e-01	-8.388326327228366e+01	8.193143730203066e-01	9.107814880300046e-01	8.816026233999791e-02	4.697313124599165e-01
rxj1347	RX J1347.5-1145	4.500000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1698	1.400000000000000e+01	1.400000000000000e+01	3.448000000000000e+02	7.142857142857142e-02	5.115551378423668e-02	5.356850208306326e-01	8.687764576945166e-02	8.143929179675599e-02	5.487608997779587e-01	-4.077375773088475e+00	1.428571428571428e-01	7.142857142857143e-01	7.296406795223674e-02	5.380282389111419e-01
rxj1347	RX J1347.5-1145	4.500000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1698	1.400000000000000e+01	7.170387330601455e+00	3.448000000000000e+02	2.666159661750237e-01	3.216147406369817e-02	6.827876074539362e-01	2.505351315370804e-02	5.238039206798522e-02	6.852519980906363e-01	-1.239093947825039e+01	3.076663229485745e-01	8.259075590340094e-01	3.210066604591302e-02	6.849438842972935e-01
rxj1347	RX J1347.5-1145	4.500000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1698	1.400000000000000e+01	3.137025880679768e+00	3.448000000000000e+02	5.097003394543060e-01	1.911176585157955e-02	8.059367901883360e-01	1.460191008212177e-02	2.743241146598323e-02	8.065357169747434e-01	-8.624654112771497e+00	5.217833871005770e-01	9.163744864228304e-01	2.180565175595830e-02	8.050583196331873e-01
rxj1532	RX J1532.9+3021	3.450000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1347	1.500000000000000e+01	1.500000000000000e+01	3.269000000000000e+02	1.333333333333333e-01	1.369431195758283e-01	6.463783382238499e-02	4.917987098429721e-02	4.995433982660912e-03	8.137360525353106e-02	-7.580827814857295e+01	2.666666666666667e-01	5.333333333333333e-01	2.216756887753672e-01	2.133050452891399e-01
rxj1532	RX J1532.9+3021	3.450000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1347	1.500000000000000e+01	6.582326670761451e+00	3.269000000000000e+02	3.919003343548237e-01	9.161277341834696e-02	1.070549005069977e-01	2.386743249190365e-02	2.687251573085131e-02	1.129271364997077e-01	-1.691271255344672e+01	4.781590193208474e-01	6.703921996946044e-01	1.717070180000811e-01	2.854378810913215e-02
rxj1532	RX J1532.9+3021	3.450000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1347	1.500000000000000e+01	1.707654877702310e+00	3.269000000000000e+02	7.788693161735846e-01	3.155083957467075e-02	1.972118160901190e-01	9.538444909026443e-03	1.261333238328651e-02	1.978448343795124e-01	3.327822349218898e+01	8.036480330778364e-01	8.754573874742146e-01	6.101259347695375e-02	1.665865976133084e-01
rxj2129	RX J2129.7+0005	2.340000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1547	2.200000000000000e+01	2.200000000000000e+01	2.396000000000000e+02	1.363636363636364e-01	1.073753879723789e-01	3.354269392938652e-01	7.750892592505625e-02	2.801411411636950e-02	3.454036128818446e-01	8.286543110566056e+01	2.727272727272727e-01	7.272727272727273e-01	1.962523868811092e-01	4.455784169122037e-01
rxj2129	RX J2129.7+0005	2.340000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1547	2.200000000000000e+01	6.445554624278179e+00	2.396000000000000e+02	4.071262180800793e-01	7.979033971270547e-02	2.569576406273087e-01	1.744225805243236e-02	2.815515785067075e-02	2.590833347714920e-01	8.485141670052126e+01	4.903727163463744e-01	8.790056029114337e-01	1.549884694339563e-01	3.140653235844394e-01
rxj2129	RX J2129.7+0005	2.340000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1547	2.200000000000000e+01	1.825952901632372e+00	2.396000000000000e+02	7.377816896824727e-01	4.677114286115245e-02	4.506749074072676e-01	9.314570385803892e-03	1.269532097946596e-02	4.509498914101133e-01	-5.769897095274164e+01	7.531136485408489e-01	9.746841534317453e-01	9.615728989659915e-02	3.724253971608694e-01
rxj2248	RX J2248.7-4431	3.480000000000000e-01	1.500000000000000e+02	0.000000000000000e+00	1645	2.300000000000000e+01	2.300000000000000e+01	3.162000000000000e+02	8.695652173913043e-02	7.052967609103039e-02	2.094544907755402e-01	8.821894242259942e-02	8.231586311544699e-02	2.417222927837723e-01	-2.680019887377369e+01	2.173913043478261e-01	6.521739130434783e-01	1.030762922276849e-01	2.324647006810090e-01
rxj2248	RX J2248.7-4431	3.480000000000000e-01	1.500000000000000e+02	5.000000000000000e-01	1645	2.300000000000000e+01	7.832545317140982e+00	3.162000000000000e+02	3.528248530392665e-01	3.013562947521422e-02	3.327991247900768e-01	4.351948972987738e-02	4.397555732712620e-02	3.385011862455158e-01	-3.879056869401418e+01	4.063472314070608e-01	7.799662510692801e-01	4.791943675394739e-02	3.440056135476193e-01
rxj2248	RX J2248.7-4431	3.480000000000000e-01	1.500000000000000e+02	1.000000000000000e+00	1645	2.300000000000000e+01	1.547080790516398e+00	3.162000000000000e+02	8.105003293577490e-01	7.711769914272675e-03	4.307357420561169e-01	1.180935741710004e-02	1.147075088320934e-02	4.310502505892592e-01	-4.240300032533879e+01	8.183486336021099e-01	9.397359016087206e-01	1.490678482066454e-02	4.333090038531052e-01
