galaxy,spatial_surrogate,spectral_surrogate,channels,replicates,observed_median_channel_mad_ratio,reference_q025,reference_median,reference_q975,upper_tail_reference_count,upper_tail_reference_fraction,observed_outside_reference_interval,native_correlation_filter_sigma_pixels,extra_filter_sigma_pixels,conditional_gaussian_surrogate_only,observational_p_value
NGC2976,circular_native_major_beam_filter,hanning_parent_channels,2,256,0.9724423710683232,0.8706105659354492,0.9910552359320282,1.1303259944887056,159,0.622568093385214,False,2.096975473940236,13.426378890759453,True,False
NGC3198,independent_native_pixels,independent_parent_channels,4,256,1.1195920433181163,0.8962657108587786,0.9991275294704792,1.1044161730954893,4,0.019455252918287938,True,0.0,13.19817506817313,True,False
NGC3198,independent_native_pixels,hanning_parent_channels,4,256,1.1195920433181163,0.8931187381621821,1.0050078515218897,1.118698962912313,7,0.0311284046692607,True,0.0,13.19817506817313,True,False
NGC3198,circular_native_major_beam_filter,independent_parent_channels,4,256,1.1195920433181163,0.8984407917558727,0.9924804078223551,1.1139513497534483,6,0.027237354085603113,True,3.2362217362830776,13.19817506817313,True,False
NGC3198,circular_native_major_beam_filter,hanning_parent_channels,4,256,1.1195920433181163,0.8843922221325097,0.9949712537172305,1.1087063639037653,6,0.027237354085603113,True,3.2362217362830776,13.19817506817313,True,False
NGC4214,independent_native_pixels,independent_parent_channels,8,256,1.1353116486317805,0.9129338147724062,0.9991335754753642,1.076234085943041,0,0.0038910505836575876,True,0.0,12.936707773939084,True,False
NGC4214,independent_native_pixels,hanning_parent_channels,8,256,1.1353116486317805,0.9205199719957531,0.9955328618739402,1.088340282283818,0,0.0038910505836575876,True,0.0,12.936707773939084,True,False
NGC4214,circular_native_major_beam_filter,independent_parent_channels,8,256,1.1353116486317805,0.9051788988471591,0.9942242873180165,1.0893804826824638,3,0.01556420233463035,True,4.160113968179469,12.936707773939084,True,False
NGC4214,circular_native_major_beam_filter,hanning_parent_channels,8,256,1.1353116486317805,0.9031964354951777,0.9835444170650893,1.105247444625602,2,0.011673151750972763,True,4.160113968179469,12.936707773939084,True,False
NGC5055,independent_native_pixels,independent_parent_channels,3,256,1.039048049144209,0.8755875261740727,0.9952499835001202,1.1216061670786535,60,0.23735408560311283,False,0.0,13.287463129034064,True,False
NGC5055,independent_native_pixels,hanning_parent_channels,3,256,1.039048049144209,0.8647883062349276,0.9913524251472482,1.1623770620309044,67,0.26459143968871596,False,0.0,13.287463129034064,True,False
NGC5055,circular_native_major_beam_filter,independent_parent_channels,3,256,1.039048049144209,0.8672734900482206,0.9970461172254881,1.1337876387748715,68,0.26848249027237353,False,2.84750414417576,13.287463129034064,True,False
NGC5055,circular_native_major_beam_filter,hanning_parent_channels,3,256,1.039048049144209,0.862693469895298,0.9857356740206555,1.151635271773404,59,0.23346303501945526,False,2.84750414417576,13.287463129034064,True,False
NGC6946,independent_native_pixels,independent_parent_channels,2,256,1.1011284086271393,0.8700822857218462,0.9854347640470287,1.1257070662545203,16,0.06614785992217899,False,0.0,13.481040328007076,True,False
NGC6946,independent_native_pixels,hanning_parent_channels,2,256,1.1011284086271393,0.8558232162719857,0.9988073304583805,1.1535936198562498,26,0.10505836575875487,False,0.0,13.481040328007076,True,False
NGC6946,circular_native_major_beam_filter,independent_parent_channels,2,256,1.1011284086271393,0.8881111200691992,0.995814896917363,1.1318464993436592,21,0.08560311284046693,False,1.7107039285582926,13.481040328007076,True,False
NGC6946,circular_native_major_beam_filter,hanning_parent_channels,2,256,1.1011284086271393,0.8781263877259888,0.9892966547022899,1.1156545063874455,12,0.05058365758754864,False,1.7107039285582926,13.481040328007076,True,False
UGC04305,independent_native_pixels,independent_parent_channels,2,256,1.0441162284188477,0.8640402721125572,0.999771468500074,1.14004858496935,63,0.2490272373540856,False,0.0,13.020773937395154,True,False
UGC04305,independent_native_pixels,hanning_parent_channels,2,256,1.0441162284188477,0.8704433381824671,1.0007720494190833,1.1272598374121863,71,0.2801556420233463,False,0.0,13.020773937395154,True,False
UGC04305,circular_native_major_beam_filter,independent_parent_channels,2,256,1.0441162284188477,0.8725625618638324,0.9998959949914966,1.1567254407061969,68,0.26848249027237353,False,3.889010456117207,13.020773937395154,True,False
