domain_id,target,common_inverse_square_scale,per_target_inverse_square_scale,dark_magnitude_min_m_s2,dark_magnitude_median_m_s2,dark_magnitude_max_m_s2,common_scale_residual_max_m_s2,per_target_scale_residual_max_m_s2,dark_radial_absolute_max_m_s2,common_scale_radial_residual_max_m_s2,per_target_scale_radial_residual_max_m_s2,published_outer_bound_m_s2,raw_to_outer_bound,common_residual_to_outer_bound,per_target_residual_to_outer_bound
D01_SUN_OBLATE_ONLY,EARTH,3.666666667141e-07,3.666666667141e-07,2.103412014736e-09,2.176172497572e-09,2.248931784300e-09,8.415952998988e-25,8.415952998988e-25,2.248931784300e-09,1.240770918830e-24,1.240770918830e-24,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,MARS,3.666666667141e-07,3.666666667141e-07,7.833422741519e-10,9.201523635302e-10,1.139487309844e-09,4.168089564249e-25,6.540714039072e-25,1.139487309844e-09,4.135903062765e-25,8.271806125530e-25,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,JUPITER,3.666666667141e-07,3.666666667141e-07,7.308249716064e-11,8.038959294893e-11,8.869565906624e-11,2.890120680969e-26,2.890120680969e-26,8.869565906624e-11,3.877409121342e-26,3.877409121342e-26,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,SATURN,3.666666667141e-07,3.666666667141e-07,2.153125430390e-11,2.387248089282e-11,2.670646586775e-11,9.827751620519e-27,9.827751620519e-27,2.670646586775e-11,9.693522803356e-27,9.693522803356e-27,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,URANUS,3.666666667141e-07,3.666666667141e-07,5.384238760995e-12,5.691587728679e-12,6.504225268713e-12,1.806284083643e-27,1.806284083643e-27,6.504225268713e-12,3.231174267785e-27,3.231174267785e-27,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D01_SUN_OBLATE_ONLY,NEPTUNE,3.666666667141e-07,3.666666667141e-07,2.397177188269e-12,2.433865164553e-12,2.446687107125e-12,8.327502079951e-28,8.327502079951e-28,2.446687107125e-12,8.077935669463e-28,8.077935669463e-28,2.187500000000e-10,1.118485534686e-02,3.692770591755e-18,3.692770591755e-18
D02_SUN_INNER_BARYCENTERS,MERCURY,2.121436430048e-01,2.121479850370e-01,4.084385522202e-03,7.787669073818e-03,1.726742394705e-02,4.306507835538e-03,4.306246838417e-03,1.726742394705e-02,4.306507835538e-03,4.306246838417e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,VENUS,2.121436430048e-01,2.121543212800e-01,1.662866331527e-03,2.397106280198e-03,3.268262786711e-03,8.383863934950e-04,8.382640853817e-04,3.268262786711e-03,8.383863934950e-04,8.382640853816e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,EARTH,2.121436430048e-01,2.119718641173e-01,8.795452467386e-04,1.252552193144e-03,1.701371082408e-03,4.306073852795e-04,4.316270397397e-04,1.701371082408e-03,4.306073852793e-04,4.316270397395e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,MARS,2.121436430048e-01,2.116848957967e-01,3.208405204216e-04,5.357066594817e-04,8.560215330262e-04,2.023199162668e-04,2.009247325196e-04,8.560215330123e-04,2.023199162655e-04,2.009247325183e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,JUPITER,2.121436430048e-01,2.121300559530e-01,2.966342253143e-05,4.591784866732e-05,6.800761677523e-05,1.716903739988e-05,1.717229343151e-05,6.800761605479e-05,1.716903721800e-05,1.717229324959e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,SATURN,2.121436430048e-01,2.121406080272e-01,8.689197037558e-06,1.370502986522e-05,2.036648400682e-05,5.096909682645e-06,5.097122920447e-06,2.036648398946e-05,5.096909679038e-06,5.097122916840e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,URANUS,2.121436430048e-01,2.121734955790e-01,2.213743481946e-06,3.334464975481e-06,5.033064260348e-06,1.275707497949e-06,1.275178767650e-06,5.033064053543e-06,1.275707445531e-06,1.275178715254e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D02_SUN_INNER_BARYCENTERS,NEPTUNE,2.121436430048e-01,2.121519004445e-01,9.650093289613e-07,1.396448303741e-06,1.897982050168e-06,4.836403779274e-07,4.835853263555e-07,1.897980475593e-06,4.836399766970e-07,4.835849251707e-07,2.187500000000e-10,8.676482174137e+03,2.210925607757e+03,2.210673943638e+03
D03_SUN_THROUGH_JUPITER,MERCURY,6.784351742087e-01,6.524590959379e-01,2.080225737600e-02,2.597142648504e-02,3.729830668582e-02,8.329742420804e-03,6.704317100714e-03,3.729830668582e-02,8.329742420803e-03,6.704317100712e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,VENUS,6.784351742087e-01,9.381801507789e-01,1.038811432382e-02,1.063112918698e-02,1.088418354619e-02,3.089901529885e-03,1.449944022605e-04,1.088418354610e-02,3.089901529847e-03,1.449944022193e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,EARTH,6.784351742087e-01,9.848414064046e-01,5.636821703177e-03,5.837496445249e-03,6.054761970392e-03,1.893821225556e-03,3.321606390410e-05,6.054761970391e-03,1.893821225556e-03,3.321606380971e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,MARS,6.784351742087e-01,9.982957714793e-01,2.133929195899e-03,2.505322115803e-03,3.101597906189e-03,9.932812384546e-04,4.518608271824e-06,3.101597903298e-03,9.932812384532e-04,4.518607949400e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,JUPITER,6.784351742087e-01,9.993410376874e-01,1.993801760356e-04,2.193252663093e-04,2.419591767200e-04,7.770445662149e-05,5.419140201788e-08,2.419591751655e-04,7.770445661962e-05,5.415332532185e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,SATURN,6.784351742087e-01,9.993481191308e-01,5.853660652174e-05,6.515908933108e-05,7.303815539350e-05,2.345510660618e-05,1.767111418830e-08,7.303810673369e-05,2.345509004612e-05,1.762337402576e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,URANUS,6.784351742087e-01,9.993332792282e-01,1.452221227080e-05,1.573019626465e-05,1.788626381701e-05,5.743294566687e-06,7.372084813068e-09,1.788565165295e-05,5.743105198993e-06,7.349346937819e-09,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D03_SUN_THROUGH_JUPITER,NEPTUNE,6.784351742087e-01,9.993355284417e-01,6.307501207433e-06,6.610804063854e-06,6.944415165975e-06,2.228733087911e-06,7.169670997787e-09,6.944351113716e-06,2.228717407462e-06,6.333166330902e-09,2.187500000000e-10,3.174560509127e+04,1.018842243411e+04,2.895161751270e+01
D04_SUN_THROUGH_SATURN,MERCURY,3.902238545249e-01,3.642576524533e-01,8.001891033205e-03,1.524782442542e-02,2.521165918788e-02,1.201446562556e-02,1.038698468985e-02,2.521165918786e-02,1.201446562556e-02,1.038698468985e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,VENUS,3.902238545249e-01,6.397287119445e-01,4.549607635940e-03,7.445434701792e-03,9.645300894640e-03,5.164675841081e-03,2.704153050555e-03,9.645300894523e-03,5.164675841002e-03,2.704153050553e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,EARTH,3.902238545249e-01,7.228615935683e-01,2.676615151458e-03,4.420551604689e-03,5.722412011229e-03,3.329083324556e-03,1.592237782224e-03,5.722412011184e-03,3.329083324528e-03,1.592237782208e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,MARS,3.902238545249e-01,7.656485164877e-01,1.064607899207e-03,1.988949966205e-03,3.059267005140e-03,1.847130759230e-03,8.444542002820e-04,3.059267001062e-03,1.847130756774e-03,8.444542001340e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,JUPITER,3.902238545249e-01,7.739229268739e-01,1.016212301615e-04,1.743434651979e-04,2.419681894938e-04,1.474998579100e-04,6.579264919163e-05,2.419681893470e-04,1.474998578609e-04,6.579264915257e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,SATURN,3.902238545249e-01,7.750572790289e-01,2.974597065262e-05,5.173523304083e-05,7.174548850040e-05,4.371205673979e-05,1.963820900551e-05,7.174548501936e-05,4.371205654650e-05,1.963814321442e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
