id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc	obj_type	z_bibcode
GLASS MACSJ0717 91436	109.380880	37.750127	1.855000		SLS		0.328	0.1257	G	2023ApJ...951..140C
WISEA J071645.66+374124.1	109.190275	37.690046	0.542600	3.0E-4	SLS		9.897	3.7930	G	2014ApJS..211...21E
WISEA J071731.47+373755.9	109.381160	37.632209	0.489400	3.0E-4	SLS		7.401	2.8363	G	2014ApJS..211...21E
WISEA J071733.55+374519.8	109.389802	37.755524	0.000000		SUN?		0.386	0.1478	*	2015ApJ...812..114T
WISEA J071834.80+375110.3	109.645035	37.852867	0.313100	3.0E-4	SLS		13.783	5.2820	G	2014ApJS..211...21E
WISEA J071804.58+374552.1	109.519117	37.764497	0.665600	3.0E-4	SLS		6.542	2.5070	G	2014ApJS..211...21E
MACS gJ071751.53+374906.8	109.465003	37.818449	1.776000	0.001	SLS		5.464	2.0938	G	2014ApJS..211...21E
WISEA J071807.85+373301.6	109.532743	37.550459	0.549500	3.0E-4	SLS		14.246	5.4594	G	2014ApJS..211...21E
WISEA J071833.94+375056.8	109.641417	37.849125	0.317700	3.0E-4	SLS		13.533	5.1864	G	2014ApJS..211...21E
WISEA J071827.31+373821.2	109.613818	37.639226	0.587100	3.0E-4	SLS		13.046	4.9995	G	2014ApJS..211...21E
WISEA J071800.04+373708.5	109.500184	37.619028	0.552700	5.0E-4	SLS		9.938	3.8087	G	2014ApJS..211...21E
MACS gJ071823.76+374646.9	109.599077	37.779483	0.853800	3.0E-4	SLS		10.411	3.9898	G	2014ApJS..211...21E
WISEA J071756.95+373837.0	109.487298	37.643621	0.690400	3.0E-4	SLS		8.382	3.2121	G	2014ApJS..211...21E
WISEA J071712.98+373828.3	109.304093	37.641217	0.492400	3.0E-4	SLS		7.787	2.9841	G	2014ApJS..211...21E
WISEA J071748.19+373919.2	109.450833	37.655340	0.716000	0.001	SLS		6.851	2.6255	G	2014ApJS..211...21E
WISEA J071725.69+373728.6	109.357073	37.624638	0.377700	3.0E-4	SLS		7.942	3.0435	G	2014ApJS..211...21E
GLASS MACSJ0717 01890	109.409644	37.741169	0.000000		SUN?		1.583	0.6068	V*	2015ApJ...812..114T
WISEA J071756.70+375017.8	109.486253	37.838299	0.364500	3.0E-4	SLS		7.016	2.6889	G	2014ApJS..211...21E
WISEA J071950.48+374857.9	109.960373	37.816091	0.000289	8.179628E-6	SLS		27.680	10.6079	*	2016SDSSD.C...0000:
WISEA J071930.49+372710.1	109.877059	37.452839	0.000252	8.210486E-6	SLS		29.739	11.3969	*	2016SDSSD.C...0000:
WISEA J071834.09+374151.8	109.642058	37.697748	0.548900	3.0E-4	SLS		12.835	4.9186	G	2014ApJS..211...21E
WISEA J071730.11+374725.9	109.375484	37.790551	0.534500	5.0E-4	SLS		2.120	0.8124	G	2014ApJS..211...21E
WISEA J071824.80+373538.5	109.603361	37.594049	0.554200	3.0E-4	SLS		14.309	5.4836	G	2014ApJS..211...21E
GLASS MACSJ0717 00272	109.394006	37.764400	0.389500		SUN		0.790	0.3027	G	2015ApJ...812..114T
GLASS MACSJ0717 00329	109.382203	37.763015	0.000000		SUN?		0.448	0.1717	*	2015ApJ...812..114T
GLASS MACSJ0717 00392	109.404116	37.761686	0.000000		SUN?		1.126	0.4317	*	2015ApJ...812..114T
GLASS MACSJ0717 00425	109.392275	37.761689	0.000000		SUN?		0.623	0.2388	*	2015ApJ...812..114T
GLASS MACSJ0717 00450	109.405762	37.759670	0.596500		S1L		1.169	0.4481		2015ApJ...812..114T
GLASS MACSJ0717 91715	109.392622	37.757908	1.359000		S1L		0.538	0.2063		2015ApJ...812..114T
WISEA J071735.20+374541.2	109.396756	37.761585	1.685000	0.001	SUN		0.802	0.3072	V*	2017ApJ...848...37C
HLS J071730.4+374617	109.376678	37.771461	0.899000		SUN		0.983	0.3767	G	2016MNRAS.459.1626R
GLASS MACSJ0717 00355	109.388080	37.762064	0.909000		SUN		0.495	0.1896	G	2015ApJ...812..114T
GLASS MACSJ0717 00596	109.407314	37.758344	0.570000		SUN		1.228	0.4706	G_Lens	2016MNRAS.459.1626R
MACS gJ071736.45+374402.4	109.401858	37.734058	0.542600	3.0E-4	SLS		1.607	0.6158	G	2014ApJS..211...21E
MACS gJ071731.74+374333.6	109.382312	37.726045	0.531500	5.0E-4	SLS		1.771	0.6788	G	2014ApJS..211...21E
MACS gJ071736.58+374336.9	109.402361	37.726859	0.532200	3.0E-4	SLS		1.982	0.7596	G	2014ApJS..211...21E
MACS gJ071738.93+374538.4	109.412249	37.760684	0.499200	3.0E-4	SLS		1.483	0.5682	G	2014ApJS..211...21E
MACS gJ071724.89+374408.0	109.353789	37.735569	0.535700	3.0E-4	SLS		1.786	0.6843	G	2014ApJS..211...21E
MACS gJ071723.27+374519.9	109.347027	37.755548	0.421200	3.0E-4	SLS		1.643	0.6298	G	2014ApJS..211...21E
MACS gJ071729.74+374524.8	109.373970	37.756855	0.556500	3.0E-4	SLS		0.373	0.1431	G	2014ApJS..211...21E
MACS gJ071726.36+374543.8	109.359880	37.762105	0.544200	3.0E-4	SLS		1.106	0.4237	G	2014ApJS..211...21E
GLASS MACSJ0717 00236	109.393663	37.764469	0.387000		SUN		0.781	0.2991	G	2016MNRAS.459.1626R
WISEA J071734.78+374353.1	109.395158	37.731572	0.537000	0.001	SUN		1.575	0.6036	G	2017ApJ...848...37C
MACS gJ071731.51+374437.7	109.381332	37.743765	0.491900	3.0E-4	SLS		0.708	0.2713	G	2014ApJS..211...21E
MACS gJ071735.29+374447.4	109.397083	37.746491	0.177900	3.0E-4	SLS		0.911	0.3493	G	2014ApJS..211...21E
WISEA J071740.22+374444.6	109.417922	37.745933	0.549000	3.0E-4	SLS		1.814	0.6953	G	2014ApJS..211...21E
MACS gJ071741.27+374452.3	109.422023	37.747823	0.566000	3.0E-4	SLS		1.970	0.7549	G	2014ApJS..211...21E
MACS gJ071729.03+374320.2	109.371060	37.722210	0.228800	3.0E-4	SLS		2.063	0.7907	G	2014ApJS..211...21E
MACS gJ071726.89+374609.4	109.362132	37.769257	0.498400	5.0E-4	SLS		1.239	0.4747	G	2014ApJS..211...21E
MACS gJ071735.13+374553.1	109.396397	37.764685	0.549000	5.0E-4	SLS		0.888	0.3401	G	2014ApJS..211...21E
WISEA J071739.32+374622.2	109.413943	37.772890	0.489700	3.0E-4	SLS		1.851	0.7092	G	2014ApJS..211...21E
WISEA J071752.86+375151.2	109.470274	37.864243	0.459900	3.0E-4	SLS		7.757	2.9725	G	2014ApJS..211...21E
GLASS MACSJ0717 02269	109.378168	37.735471	0.458000		S1L		1.217	0.4663		2015ApJ...812..114T
GLASS MACSJ0717 02270	109.378381	37.735385	0.963000		SUN		1.221	0.4677	G	2015ApJ...812..114T
GLASS MACSJ0717 02440	109.391087	37.731945	0.495000		S1L		1.486	0.5693		2015ApJ...812..114T
GLASS MACSJ0717 02558	109.382246	37.725860	0.545500		SUN		1.782	0.6830	G	2015ApJ...812..114T
GLASS MACSJ0717 00821	109.386139	37.755000	0.000000		SUN?		0.215	0.0823	*	2015ApJ...812..114T
GLASS MACSJ0717 00823	109.386274	37.754725	0.000000		SUN?		0.224	0.0859	*	2015ApJ...812..114T
GLASS MACSJ0717 01031	109.377824	37.753223	0.000000		SUN?		0.230	0.0882	*	2015ApJ...812..114T
GLASS MACSJ0717 01127	109.384143	37.751504	0.000000		SUN?		0.270	0.1035	*	2015ApJ...812..114T
GLASS MACSJ0717 01209	109.386537	37.744476	0.980500		S1L		0.704	0.2698		2015ApJ...812..114T
GLASS MACSJ0717 01335	109.411401	37.747615	2.235000		S1L		1.489	0.5706		2015ApJ...812..114T
GLASS MACSJ0717 01475	109.373892	37.746463	0.410000		S1L		0.659	0.2525		2015ApJ...812..114T
GLASS MACSJ0717 01676	109.403185	37.743786	0.000000		SUN?		1.241	0.4757	*	2015ApJ...812..114T
GLASS MACSJ0717 01848	109.372497	37.741833	1.240000		S1L		0.932	0.3570		2015ApJ...812..114T
GLASS MACSJ0717 02113	109.379500	37.738197	1.763000		S1L		1.047	0.4012		2015ApJ...812..114T
GLASS MACSJ0717 02189	109.390649	37.735669	0.527500		SUN		1.267	0.4856	G	2015ApJ...812..114T
GLASS MACSJ0717 02190	109.388565	37.735194	0.000000		SUN?		1.265	0.4848	*	2015ApJ...812..114T
GLASS MACSJ0717 02268	109.378385	37.735162	0.495000		S1L		1.234	0.4728		2015ApJ...812..114T
GLASS MACSJ0717 02385	109.395392	37.732455	0.470000		S1L		1.532	0.5869		2015ApJ...812..114T
WISEA J071848.36+372752.1	109.701513	37.464550	-0.000027	9.191799E-6	SLS		23.151	8.8722	*	2016SDSSD.C...0000:
WISEA J071800.86+373538.1	109.503612	37.593918	0.388700	3.0E-4	SLS		11.296	4.3289	G	2014ApJS..211...21E
WISEA J071800.60+374000.0	109.502518	37.666686	0.579500	3.0E-4	SLS		7.832	3.0014	G	2014ApJS..211...21E
WISEA J071754.17+374302.8	109.475723	37.717447	0.544000	3.0E-4	SLS		5.015	1.9217	G	2014ApJS..211...21E
WISEA J071725.31+374220.5	109.355471	37.705709	0.549900	3.0E-4	SLS		3.239	1.2413	G	2014ApJS..211...21E
WISEA J071740.35+374754.8	109.418160	37.798572	0.563400	3.0E-4	SLS		3.107	1.1908	G	2014ApJS..211...21E
WISEA J071820.23+373540.1	109.584329	37.594482	0.546600	3.0E-4	SLS		13.639	5.2269	G	2014ApJS..211...21E
WISEA J071723.93+374221.6	109.349711	37.706008	0.282700	3.0E-4	SLS		3.338	1.2791	G	2014ApJS..211...21E
MACS J0717:[BZC2014] 1991	109.392335	37.738083	5.470000	0.002	S1L		1.164	0.4462	G	2024A&A...683A.238J
WISEA J071639.09+374807.7	109.162666	37.802311	0.349800	3.0E-4	SLS		10.758	4.1227	G	2014ApJS..211...21E
MACS gJ071644.13+374601.5	109.183876	37.767078	0.334900	3.0E-4	SLS		9.408	3.6053	G	2014ApJS..211...21E
MACS gJ071644.58+374542.2	109.185753	37.761719	0.260300	3.0E-4	SLS		9.301	3.5643	G	2014ApJS..211...21E
MACS gJ071644.81+374734.5	109.186707	37.792919	0.461000	3.0E-4	SLS		9.514	3.6461	G	2014ApJS..211...21E
MACS gJ071644.93+374900.8	109.187210	37.816891	0.335800	3.0E-4	SLS		9.928	3.8047	G	2014ApJS..211...21E
MACS gJ071645.96+374622.3	109.191498	37.772861	0.613000	3.0E-4	SLS		9.080	3.4796	G	2014ApJS..211...21E
MACS gJ071647.05+374008.1	109.196045	37.668911	0.538200	3.0E-4	SLS		10.230	3.9205	G	2014ApJS..211...21E
MACS gJ071647.34+374107.7	109.197250	37.685471	0.543600	3.0E-4	SLS		9.710	3.7213	G	2014ApJS..211...21E
MACS gJ071647.59+374007.7	109.198288	37.668800	0.366500	3.0E-4	SLS		10.142	3.8868	G	2014ApJS..211...21E
MACS gJ071647.91+374652.6	109.199623	37.781281	0.461100	3.0E-4	SLS		8.771	3.3614	G	2014ApJS..211...21E
MACS gJ071648.22+374540.5	109.200920	37.761250	0.402300	3.0E-4	SLS		8.581	3.2884	G	2014ApJS..211...21E
MACS gJ071649.35+374018.2	109.205627	37.671719	0.543300	3.0E-4	SLS		9.753	3.7377	G	2014ApJS..211...21E
MACS gJ071649.45+374544.4	109.206039	37.762329	0.515000	3.0E-4	SLS		8.341	3.1965	G	2014ApJS..211...21E
MACS gJ071650.86+374618.5	109.211914	37.771801	0.335200	5.0E-4	SLS		8.111	3.1083	G	2014ApJS..211...21E
MACS gJ071651.01+374206.9	109.212540	37.701920	0.334300	3.0E-4	SLS		8.647	3.3139	G	2014ApJS..211...21E
WISEA J071651.27+375101.6	109.213493	37.850578	0.724500	0.001	SLS		9.801	3.7562	G	2014ApJS..211...21E
MACS gJ071651.40+375235.1	109.214165	37.876419	0.420000	5.0E-4	SLS		10.753	4.1208	G	2014ApJS..211...21E
MACS gJ071652.54+374125.5	109.218918	37.690418	0.347900	3.0E-4	SLS		8.657	3.3175	G	2014ApJS..211...21E
MACS gJ071652.98+374713.2	109.220749	37.786999	0.516100	3.0E-4	SLS		7.862	3.0128	G	2014ApJS..211...21E
MACS gJ071653.50+374704.1	109.222916	37.784470	0.515200	3.0E-4	SLS		7.727	2.9611	G	2014ApJS..211...21E
MACS gJ071654.07+374152.3	109.225288	37.697861	0.346200	3.0E-4	SLS		8.189	3.1383	G	2014ApJS..211...21E
MACS gJ071654.29+374603.6	109.226212	37.767670	0.260600	3.0E-4	SLS		7.410	2.8396	G	2014ApJS..211...21E
MACS gJ071655.04+374200.2	109.229332	37.700050	0.546800	3.0E-4	SLS		7.960	3.0503	G	2014ApJS..211...21E
MACS gJ071655.34+374027.2	109.230583	37.674221	0.490300	0.001	SLS		8.674	3.3242	G	2014ApJS..211...21E
MACS gJ071655.52+374129.2	109.231331	37.691441	0.239900	5.0E-4	SLS		8.106	3.1064	G	2014ApJS..211...21E
MACS gJ071657.21+374006.5	109.238373	37.668468	0.345100	3.0E-4	SLS		8.577	3.2870	G	2014ApJS..211...21E
MACS gJ071657.36+374140.9	109.238998	37.694691	0.318900	3.0E-4	SLS		7.693	2.9482	G	2014ApJS..211...21E
WISEA J071658.03+374836.0	109.241837	37.810032	0.610400	3.0E-4	SLS		7.393	2.8331	G	2014ApJS..211...21E
WISEA J071658.34+374523.7	109.243126	37.756470	0.419300	3.0E-4	SLS		6.572	2.5187	G	2014ApJS..211...21E
MACS gJ071658.81+375202.3	109.245041	37.867310	0.810200	0.001	SLS		9.322	3.5725	G	2014ApJS..211...21E
MACS gJ071658.86+374150.0	109.245247	37.697220	0.345800	3.0E-4	SLS		7.360	2.8205	G	2014ApJS..211...21E
WISEA J071659.11+375415.9	109.246376	37.904640	0.417700	3.0E-4	SLS		11.005	4.2176	G	2014ApJS..211...21E
MACS gJ071659.34+374120.3	109.247253	37.688969	0.345400	3.0E-4	SLS		7.527	2.8847	G	2014ApJS..211...21E
WISEA J071700.10+374715.2	109.250336	37.787579	0.541200	3.0E-4	SLS		6.518	2.4980	G	2014ApJS..211...21E
WISEA J071700.31+374820.9	109.251045	37.806171	0.420700	3.0E-4	SLS		6.899	2.6438	G	2014ApJS..211...21E
MACS gJ071700.47+375416.9	109.251961	37.904690	0.714200	3.0E-4	SLS		10.856	4.1602	G	2014ApJS..211...21E
MACS gJ071701.83+374053.9	109.257622	37.681641	0.718200	3.0E-4	SLS		7.371	2.8248	G	2014ApJS..211...21E
MACS gJ071701.88+375218.4	109.257835	37.871780	0.554300	0.001	SLS		9.115	3.4931	G	2014ApJS..211...21E
MACS gJ071702.69+374257.2	109.261208	37.715889	0.347200	3.0E-4	SLS		6.192	2.3729	G	2014ApJS..211...21E
MACS gJ071702.90+373752.6	109.262085	37.631279	0.695300	0.001	SLS		9.372	3.5917	G	2014ApJS..211...21E
MACS gJ071702.98+373722.9	109.262413	37.623039	0.459700	3.0E-4	SLS		9.761	3.7408	G	2014ApJS..211...21E
MACS gJ071702.98+374228.0	109.262413	37.707779	0.350000	3.0E-4	SLS		6.344	2.4311	G	2014ApJS..211...21E
WISEA J071703.58+373633.7	109.265045	37.609581	0.387900	3.0E-4	SLS		10.363	3.9712	G	2014ApJS..211...21E
WISEA J071703.64+374154.6	109.265205	37.698582	0.353900	3.0E-4	SLS		6.499	2.4905	G	2014ApJS..211...21E
WISEA J071703.99+373623.2	109.266541	37.606411	0.497700	3.0E-4	SLS		10.487	4.0188	G	2014ApJS..211...21E
MACS gJ071704.32+374659.5	109.267998	37.783199	0.551200	5.0E-4	SLS		5.641	2.1616	G	2014ApJS..211...21E
WISEA J071704.36+374929.2	109.268082	37.824829	0.493600	3.0E-4	SLS		6.803	2.6071	G	2014ApJS..211...21E
WISEA J071704.61+373812.1	109.268997	37.636890	0.675100	0.001	SLS		8.906	3.4129	G	2014ApJS..211...21E
MACS gJ071704.64+373742.9	109.269333	37.628578	0.460500	5.0E-4	SLS		9.300	3.5641	G	2014ApJS..211...21E
WISEA J071704.70+373628.6	109.269379	37.607922	0.431000	3.0E-4	SLS		10.339	3.9623	G	2014ApJS..211...21E
MACS gJ071705.50+373550.0	109.272919	37.597221	0.431400	5.0E-4	SLS		10.813	4.1440	G	2014ApJS..211...21E
WISEA J071706.33+374250.9	109.276337	37.714169	0.350600	3.0E-4	SLS		5.581	2.1389	G	2014ApJS..211...21E
MACS gJ071706.96+373949.2	109.278999	37.663670	0.540700	3.0E-4	SLS		7.359	2.8200	G	2014ApJS..211...21E
WISEA J071707.12+373632.7	109.279457	37.609138	0.339500	3.0E-4	SLS		10.037	3.8464	G	2014ApJS..211...21E
MACS gJ071707.19+374036.9	109.279961	37.676922	0.384000	5.0E-4	SLS		6.750	2.5869	G	2014ApJS..211...21E
WISEA J071707.28+373422.0	109.280128	37.572609	0.543300	3.0E-4	SLS		11.990	4.5948	G	2014ApJS..211...21E
WISEA J071707.69+375302.5	109.281998	37.884251	0.723500	3.0E-4	SLS		9.052	3.4690	G	2014ApJS..211...21E
WISEA J071707.79+373553.9	109.282211	37.598331	0.390300	3.0E-4	SLS		10.550	4.0431	G	2014ApJS..211...21E
WISEA J071707.85+373535.3	109.282501	37.593220	0.751000	5.0E-4	SLS		10.819	4.1462	G	2014ApJS..211...21E
WISEA J071708.10+374323.3	109.283539	37.723080	0.706600	3.0E-4	SLS		5.048	1.9343	G	2014ApJS..211...21E
MACS gJ071708.16+374732.1	109.283997	37.792252	0.720400	0.001	SLS		5.129	1.9655	G	2014ApJS..211...21E
WISEA J071708.20+374000.2	109.284241	37.666840	0.492500	3.0E-4	SLS		7.051	2.7023	G	2014ApJS..211...21E
MACS gJ071708.26+373721.0	109.284416	37.622501	0.546200	5.0E-4	SLS		9.223	3.5344	G	2014ApJS..211...21E
WISEA J071708.29+374557.6	109.284538	37.766109	0.542400	3.0E-4	SLS		4.651	1.7823	G	2014ApJS..211...21E
WISEA J071708.59+373601.0	109.285873	37.600330	0.542000	3.0E-4	SLS		10.365	3.9723	G	2014ApJS..211...21E
MACS gJ071709.33+373415.1	109.288872	37.570862	0.544000	3.0E-4	SLS		11.926	4.5705	G	2014ApJS..211...21E
MACS gJ071709.38+374710.0	109.289085	37.786110	0.704700	3.0E-4	SLS		4.758	1.8235	G	2014ApJS..211...21E
WISEA J071709.65+374111.0	109.290207	37.686420	0.385700	3.0E-4	SLS		6.004	2.3010	G	2014ApJS..211...21E
MACS gJ071709.71+374312.2	109.290466	37.720051	0.659800	0.001	SLS		4.824	1.8485	G	2014ApJS..211...21E
MACS gJ071709.78+374153.1	109.290749	37.698078	0.346400	3.0E-4	SLS		5.524	2.1169	G	2014ApJS..211...21E
WISEA J071709.79+374720.9	109.290833	37.789280	0.666200	3.0E-4	SLS		4.760	1.8240	G	2014ApJS..211...21E
MACS gJ071710.00+373437.5	109.291664	37.577080	0.547300	3.0E-4	SLS		11.531	4.4188	G	2014ApJS..211...21E
MACS gJ071710.38+374035.8	109.293251	37.676609	0.386400	3.0E-4	SLS		6.329	2.4253	G	2014ApJS..211...21E
MACS gJ071710.39+373621.4	109.293297	37.605949	2.096300	0.001	SLS		9.909	3.7975	G	2014ApJS..211...21E
MACS gJ071710.44+373802.5	109.293503	37.634029	0.388000	5.0E-4	SLS		8.408	3.2221	G	2014ApJS..211...21E
MACS gJ071710.62+374209.7	109.294250	37.702690	0.345800	5.0E-4	SLS		5.222	2.0013	G	2014ApJS..211...21E
MACS gJ071710.63+373827.6	109.294289	37.640999	0.389000	3.0E-4	SLS		8.028	3.0767	G	2014ApJS..211...21E
MACS gJ071711.11+373907.8	109.296295	37.652168	0.488500	3.0E-4	SLS		7.410	2.8397	G	2014ApJS..211...21E
WISEA J071711.25+374439.9	109.296753	37.744339	0.544500	3.0E-4	SLS		4.084	1.5653	G	2014ApJS..211...21E
MACS gJ071711.60+373513.8	109.298332	37.587170	0.675500	3.0E-4	SLS		10.851	4.1584	G	2014ApJS..211...21E
MACS gJ071712.24+374249.1	109.301003	37.713638	0.544300	5.0E-4	SLS		4.580	1.7553	G	2014ApJS..211...21E
WISEA J071712.34+373524.3	109.301086	37.589668	0.557900	3.0E-4	SLS		10.664	4.0867	G	2014ApJS..211...21E
MACS gJ071712.46+373810.4	109.301918	37.636219	0.386900	3.0E-4	SLS		8.100	3.1041	G	2014ApJS..211...21E
MACS gJ071712.47+373815.8	109.301956	37.637718	0.659100	0.001	SLS		8.020	3.0734	G	2014ApJS..211...21E
MACS gJ071712.65+373745.4	109.302711	37.629280	0.390000	3.0E-4	SLS		8.454	3.2396	G	2014ApJS..211...21E
MACS gJ071712.77+373823.6	109.303207	37.639889	0.384100	3.0E-4	SLS		7.877	3.0186	G	2014ApJS..211...21E
MACS gJ071712.77+374626.3	109.303207	37.773972	0.460100	5.0E-4	SLS		3.882	1.4877	G	2014ApJS..211...21E
MACS gJ071712.88+373439.5	109.303665	37.577641	0.557900	3.0E-4	SLS		11.300	4.3304	G	2014ApJS..211...21E
MACS gJ071712.90+373829.0	109.303749	37.641392	0.492500	3.0E-4	SLS		7.785	2.9835	G	2014ApJS..211...21E
MACS gJ071713.20+373809.1	109.305000	37.635860	0.389400	3.0E-4	SLS		8.052	3.0857	G	2014ApJS..211...21E
MACS gJ071713.21+374031.1	109.305038	37.675301	0.496200	3.0E-4	SLS		6.035	2.3127	G	2014ApJS..211...21E
MACS gJ071713.32+374725.9	109.305496	37.790531	0.541600	3.0E-4	SLS		4.178	1.6011	G	2014ApJS..211...21E
WISEA J071713.37+373640.6	109.305626	37.611328	0.715400	3.0E-4	SLS		9.377	3.5935	G	2014ApJS..211...21E
MACS gJ071713.39+374144.6	109.305794	37.695721	0.660200	3.0E-4	SLS		5.085	1.9487	G	2014ApJS..211...21E
MACS gJ071713.55+373836.4	109.306458	37.643440	0.388100	3.0E-4	SLS		7.616	2.9187	G	2014ApJS..211...21E
WISEA J071713.58+374840.0	109.306503	37.811199	0.600200	3.0E-4	SLS		4.884	1.8715	G	2014ApJS..211...21E
