id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	227.617569	5.760380	0.084575	0.000047	T13		6.999	0.6146
	227.625593	5.798384	0.078348	0.000083	T13		7.215	0.6336
	227.639931	5.783941	0.077260	0.000100	MMT		6.075	0.5335
	227.669984	5.825590	0.070575	0.000150	MMT		6.167	0.5415
	227.639732	5.780465	0.074668	0.000297	T13		6.008	0.5276
	227.779242	5.865974	0.079675	0.000073	T13		7.766	0.6819
	227.782420	5.884611	0.077354	0.000067	T13		8.882	0.7799
	227.780254	5.861809	0.073818	0.000053	T13		7.554	0.6633
	227.789940	5.875932	0.075462	0.000050	T13		8.557	0.7514
	227.789695	5.864932	0.078047	0.000060	MMT		7.948	0.6980
	227.804548	5.886899	0.080909	0.000107	T13		9.520	0.8360
	227.802822	5.847831	0.078418	0.000073	MMT		7.435	0.6529
	227.813319	5.872153	0.072894	0.000013	SDSS		9.001	0.7904
	227.820690	5.830397	0.073354	0.000067	T13		7.305	0.6415
	227.821229	5.828284	0.072467	0.000057	MMT		7.239	0.6357
	227.843308	5.818397	0.074635	0.000073	T13		7.894	0.6932
	227.843719	5.819566	0.074328	0.000070	T13		7.954	0.6984
	227.842754	5.779766	0.074695	0.000050	T13		6.839	0.6005
	227.855363	5.809864	0.080779	0.000073	T13		8.245	0.7240
	227.865400	5.762002	0.083534	0.000130	T13		7.927	0.6961
	227.870862	5.771371	0.071353	0.000997	NED		8.340	0.7323
	227.876647	5.780759	0.080879	0.000130	T13		8.800	0.7728
	227.883034	5.776400	0.077047	0.000063	T13		9.112	0.8002
	227.855773	5.819063	0.078885	0.000047	T13		8.541	0.7500
	227.789292	5.853369	0.075182	0.000113	MMT		7.314	0.6422
	227.798561	5.856072	0.076703	0.000110	T13		7.720	0.6779
	227.828102	5.832852	0.073831	0.000190	T13		7.726	0.6784
	227.850318	5.849399	0.081089	0.000223	MMT		9.374	0.8231
	227.847890	5.737445	0.072640	0.000157	MMT		6.828	0.5996
	227.861332	5.722963	0.079842	0.000123	T13		7.728	0.6786
	227.876495	5.774733	0.081183	0.000197	MMT		8.710	0.7648
	227.572279	5.701190	0.078087	0.000073	T13		9.988	0.8770
	227.589637	5.699049	0.079001	0.000060	T13		9.030	0.7929
	227.585091	5.648836	0.077103	0.000157	T13		10.577	0.9288
	227.595971	5.641534	0.076700	0.000080	T13		10.295	0.9041
	227.619685	5.687598	0.077307	0.000097	T13		7.624	0.6695
	227.619569	5.638179	0.077921	0.000103	T13		9.345	0.8206
	227.625827	5.628843	0.071493	0.000040	T13		9.479	0.8324
	227.639849	5.634512	0.074905	0.000053	T13		8.669	0.7613
	227.663275	5.638679	0.078504	0.000057	T13		7.628	0.6698
	227.690907	5.575876	0.075209	0.000027	T13		10.449	0.9175
	227.693824	5.591427	0.072860	0.000070	T13		9.501	0.8343
	227.728639	5.605657	0.078855	0.000067	T13		8.349	0.7332
	227.596297	5.727552	0.080012	0.000063	T13		8.270	0.7262
	227.683950	5.623856	0.076263	0.000050	T13		7.838	0.6882
