id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc	obj_type	z_bibcode
WISEA J224907.85-441515.1	342.282722	-44.254222	2.356070	1.83E-4	SLS		17.154	5.0653	G	20096dF...C...0000J
Abell S1063:[CJ2023] 014.3	342.170667	-44.522089	3.118000		SLS		0.692	0.2042	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 015.2	342.192542	-44.534419	3.060000		SLS		0.528	0.1560	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 017.2	342.178833	-44.536731	3.606000		SLS		0.372	0.1099	G_Lens	2023ApJ...951..140C
WISEA J224837.10-443221.4	342.154721	-44.539300	0.353000	2.0E-4	SLS		1.246	0.3679	G	2014ApJ...792...45R
2CXO J224837.7-443242	342.155942	-44.545800	0.331200	2.0E-4	SLS		1.410	0.4163	G	2014ApJ...792...45R
WISEA J224837.76-443157.4	342.157229	-44.532600	0.345000	1.0E-4	SLS		1.035	0.3056	G	2014ApJ...792...45R
SSTSL2 J224837.93-443058.4	342.158079	-44.516100	0.458400	2.0E-4	SLS		1.327	0.3919	G	2014ApJ...792...45R
WISEA J224840.14-443049.9	342.167358	-44.513900	0.351700	1.0E-4	SLS		1.175	0.3470	G	2014ApJ...792...45R
SSTSL2 J224850.04-443132.3	342.208471	-44.525600	0.349100	2.0E-4	SLS		1.203	0.3554	G	2014ApJ...792...45R
SSTSL2 J224852.86-443104.3	342.220279	-44.517800	0.353000	2.0E-4	SLS		1.841	0.5435	G	2014ApJ...792...45R
WISEA J224853.82-443203.0	342.224121	-44.534100	0.346000	2.0E-4	SLS		1.843	0.5441	G	2014ApJ...792...45R
SSTSL2 J224854.71-443206.9	342.227908	-44.535200	0.349100	3.0E-4	SLS		2.011	0.5939	G	2014ApJ...792...45R
WISEA J224842.26-443040.4	342.176101	-44.511248	0.355800	2.0E-4	SLS		1.193	0.3522	G	2014ApJ...792...45R
Abell S1063:[CJ2023] 059.1	342.182050	-44.540350	1.875000		SLS		0.575	0.1698	G_Lens	2023ApJ...951..140C
SSTSL2 J224847.16-443120.8	342.196670	-44.522600	0.241400	1.0E-4	SLS		0.821	0.2424	G	2014ApJ...792...45R
SSTSL2 J224841.84-443213.4	342.174620	-44.536990	1.837000		SLS		0.469	0.1386	G_Lens	2023ApJ...951..140C
WISEA J224846.86-443133.9	342.195500	-44.525990	0.345945	2.27E-4	SLS		0.672	0.1985	G	2009A&A...499..357G
LCRS B224549.3-444744	342.183680	-44.530560	0.348200	1.0E-4	SLS		0.103	0.0304	G	2014ApJ...792...45R
Abell S1063:[CJ2023] 001.1	342.194500	-44.526980	1.228000		SLS		0.609	0.1799	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 002.1	342.192710	-44.531190	1.259000		SLS		0.489	0.1444	G_Lens	2023ApJ...951..140C
SSTSL2 J224846.09-443146.9	342.192130	-44.529830	1.259000		SLS		0.467	0.1379	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 005.3	342.193170	-44.536530	1.397000		SLS		0.614	0.1814	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 015.1	342.191710	-44.530520	3.060000		SLS		0.446	0.1317	G_Lens	2023ApJ...951..140C
WISEA J224851.81-443106.4	342.215879	-44.518451	0.334524	2.77E-4	SLS		1.654	0.4885	G	2009A&A...499..357G
Abell S1063:[CJ2023] 017.3	342.169792	-44.521978	3.606000		SLS		0.722	0.2131	G_Lens	2023ApJ...951..140C
LCRS B224724.6-445942	342.578973	-44.729679	0.068644	1.5E-4	SLS		20.755	6.1286	G	20096dF...C...0000J
[VGE2018] mul 14	342.178833	-44.535869	3.115000		SLS		0.323	0.0954	G_Lens	2018MNRAS.478L..60V
WISEA J224907.14-442755.9	342.279774	-44.465546	0.082080	1.5E-4	SLS		5.752	1.6984	G	20096dF...C...0000J
WISEA J224849.24-443101.8	342.205183	-44.517174	0.341900	1.0E-4	SLS		1.308	0.3863	G	2014ApJ...792...45R
WISEA J224835.10-443151.2	342.146285	-44.530890	0.352100	2.0E-4	SLS		1.497	0.4421	G	2014ApJ...792...45R
SSTSL2 J224848.08-443130.8	342.200300	-44.525190	0.352800	2.0E-4	SLS		0.880	0.2597	G	2014ApJ...792...45R
WISEA J224851.21-443204.0	342.213411	-44.534458	0.081500	1.0E-4	SLS		1.391	0.4109	G	2014ApJ...792...45R
LCRS B224731.4-444516	342.606738	-44.489273	0.033110	1.83E-4	SLS		18.373	5.4254	G	20096dF...C...0000J
[VGE2018] mul 11	342.175042	-44.541031	3.116300		SLS		0.671	0.1980	G_Lens	2018MNRAS.478L..60V
WISEA J224931.92-441730.2	342.383041	-44.291729	2.180000		SLS		16.748	4.9454	QSO	2019MNRAS.482.3458M
Abell S1063:[CJ2023] 010.2	342.189550	-44.528842	0.730000		SLS		0.372	0.1098	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 044.1	342.198362	-44.535753	2.976000		SLS		0.789	0.2329	G_Lens	2023ApJ...951..140C
Abell S1063:[CJ2023] 044.3	342.181504	-44.520258	2.976000		SLS		0.631	0.1864	G_Lens	2023ApJ...951..140C
PSZ-SN3 J2248-4430	342.211194	-44.516326	0.350520		SST		1.545	0.4564	GClstr	2023MNRAS.525...24H
PSZRX G349.49-59.93	342.173492	-44.526924	0.347500		SST		0.406	0.1199	GClstr	2019A&A...626A...7T
LCRS B224621.2-444542	342.315448	-44.497037	0.149500	2.2E-4	SUN		6.086	1.7972	G	1996ApJ...470..172S
LCRS B224719.0-450955	342.556163	-44.900383	0.070159	1.2E-4	SUN		27.336	8.0718	G	1996ApJ...470..172S
[BCH2024] 952-PRIOR	342.195600	-44.528406	1.228201		SUN		0.628	0.1856	G_Lens	2024MNRAS.527.3246B
RXC J2248.7-4431:[MSG2014] 02b	342.194840	-44.527359	1.229000		SUN		0.615	0.1816	G_Lens	2016A&A...587A..80C
RXC J2248.7-4431:[MSG2014] 02c	342.186380	-44.521131	1.229000		SUN		0.619	0.1826	G_Lens	2016A&A...587A..80C
SSTSL2 J224850.03-443145.4	342.208497	-44.529285	1.637200		SUN		1.167	0.3446	G	2018A&A...613A..72G
SSTSL2 J224849.22-443240.0	342.205089	-44.544471	1.638800		SUN		1.308	0.3862	G	2018A&A...613A..72G
SSTSL2 J224840.14-443235.8	342.167288	-44.543288	0.343000		SUN		0.960	0.2835	G	2024MNRAS.527.3246B
SSTSL2 J224840.97-443257.4	342.170746	-44.549295	2.301500		SUN		1.199	0.3540	G	2018A&A...613A..72G
SSTSL2 J224846.21-443150.0	342.192556	-44.530580	1.259900		SUN		0.482	0.1423	G	2024MNRAS.527.3246B
SSTSL2 J224846.62-443047.1	342.194255	-44.513093	1.468000	0.065	SUN		1.197	0.3536	G	2023A&A...675A..85M
LCRS B224612.6-444349	342.279447	-44.466136	0.081690	1.33E-4	SUN		5.718	1.6883	G	1996ApJ...470..172S
[STB2016] Anc 01561	342.201879	-44.542664	9.890000		SUN		1.133	0.3346	G	2016ApJ...818...38S
[STB2016] Anc 00220	342.192400	-44.515663	6.500000		SUN		1.024	0.3024	G	2016ApJ...818...38S
Abell S1063:[CJ2023] 012.1	342.189042	-44.530050	6.109400		SUN		0.334	0.0988	G	2024MNRAS.527.3246B
ABELL S1063:[JSB2014] 15.1	342.191708	-44.530519	1.260000		SUN		0.446	0.1317	G_Lens	2016A&A...587A..80C
SSTSL2 J224846.31-443211.7	342.192940	-44.536590	1.397840		SUN		0.608	0.1796	G_Lens	2024MNRAS.527.3246B
[BCH2024] 957-PRIOR	342.187740	-44.527470	1.397810		SUN		0.340	0.1004	G_Lens	2024MNRAS.527.3246B
[BCH2024] 938-PRIOR	342.178890	-44.523610	1.397830		SUN		0.442	0.1306	G_Lens	2024MNRAS.527.3246B
LCRS B224605.2-450437	342.250050	-44.812261	0.058484	1.83E-4	SUN		17.142	5.0617	G	1996ApJ...470..172S
LCRS B224629.6-445750	342.350659	-44.698973	0.139073	2.6E-4	SUN		12.416	3.6664	G	1996ApJ...470..172S
WISEA J224745.49-443808.6	341.939551	-44.635745	0.082410		SUN		12.099	3.5726	G	2014ApJS..210....9B
WISEA J224836.21-443100.7	342.150895	-44.516874	1.034000		SUN		1.545	0.4562	G	2016MNRAS.459.1626R
[BCH2024] 389-PRIOR	342.187000	-44.526170	-0.000390		SUN		0.369	0.1090	G	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] NE-004	342.189100	-44.521160	0.263700		SUN		0.667	0.1969	G	2017A&A...599A..28K
[BCH2024] 255-PRIOR	342.189220	-44.521180	0.263580		SUN		0.668	0.1974	G	2024MNRAS.527.3246B
[BCH2024] 235-PRIOR	342.189690	-44.520060	0.263950		SUN		0.737	0.2176	G	2024MNRAS.527.3246B
SSTSL2 J224843.06-443140.6	342.179370	-44.527920	0.327950		SUN		0.190	0.0562	G	2024MNRAS.527.3246B
[BCH2024] 730-PRIOR	342.185560	-44.538590	0.337000		SUN		0.503	0.1485	G	2024MNRAS.527.3246B
WISEA J224846.39-443104.2	342.193660	-44.518500	0.342200		SUN		0.907	0.2679	G	2017A&A...599A..28K
SSTSL2 J224845.15-443158.2	342.188120	-44.532810	0.338730		SUN		0.317	0.0935	G	2024MNRAS.527.3246B
SSTSL2 J224844.80-443120.5	342.186630	-44.522480	0.339240		SUN		0.548	0.1618	G	2024MNRAS.527.3246B
SSTSL2 J224843.47-443216.4	342.181160	-44.537880	0.338800		SUN		0.426	0.1258	G	2017A&A...599A..28K
ABELL S1063:[TMG2023] 70	342.179600	-44.523070	0.340553		SUN		0.468	0.1383	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 90	342.193270	-44.524130	0.339000		SUN		0.649	0.1918	G	2017A&A...599A..28K
ABELL S1063:[TMG2023] 86	342.189170	-44.523680	0.340680		SUN		0.543	0.1604	G	2024MNRAS.527.3246B
SSTSL2 J224842.11-443152.6	342.175260	-44.531410	0.000424		SUN		0.261	0.0770	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 38	342.195470	-44.532440	0.340870		SUN		0.615	0.1815	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 91	342.182950	-44.524950	0.340190		SUN		0.357	0.1054	G	2024MNRAS.527.3246B
SSTSL2 J224846.28-443053.9	342.192690	-44.514920	0.342240		SUN		1.069	0.3157	G	2024MNRAS.527.3246B
SSTSL2 J224846.62-443120.0	342.194210	-44.522090	0.342400		SUN		0.760	0.2244	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 80	342.188440	-44.517750	0.342730		SUN		0.839	0.2479	G	2024MNRAS.527.3246B
SSTSL2 J224845.37-443109.3	342.189020	-44.519230	0.342720		SUN		0.768	0.2267	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 78	342.190190	-44.516520	0.342750		SUN		0.936	0.2765	G	2024MNRAS.527.3246B
SSTSL2 J224846.30-443119.5	342.192930	-44.522070	0.343090		SUN		0.722	0.2131	G	2024MNRAS.527.3246B
SSTSL2 J224848.06-443138.0	342.200850	-44.527230	0.629840		SUN		0.863	0.2549	G	2024MNRAS.527.3246B
WISEA J224844.49-443106.7	342.185390	-44.518640	0.344120		SUN		0.749	0.2212	G	2024MNRAS.527.3246B
SSTSL2 J224844.57-443133.7	342.185710	-44.526020	0.345020		SUN		0.343	0.1011	G	2024MNRAS.527.3246B
SSTSL2 J224842.52-443130.4	342.177240	-44.525020	0.344600		SUN		0.387	0.1142	G	2017A&A...599A..28K
SSTSL2 J224846.25-443111.3	342.192700	-44.519760	0.344110		SUN		0.822	0.2427	G	2024MNRAS.527.3246B
SSTSL2 J224846.39-443135.2	342.193330	-44.526420	0.345330		SUN		0.578	0.1706	G	2024MNRAS.527.3246B
SSTSL2 J224848.30-443126.3	342.201250	-44.524040	0.356070		SUN		0.945	0.2790	G	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] NE-041	342.191230	-44.535130	0.345400		SUN		0.499	0.1473	G	2017A&A...599A..28K
SSTSL2 J224848.33-443114.9	342.201220	-44.520670	0.346530		SUN		1.046	0.3090	G	2024MNRAS.527.3246B
SSTSL2 J224842.70-443126.6	342.177940	-44.524070	0.347030		SUN		0.427	0.1262	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 47	342.181110	-44.529240	0.346300		SUN		0.093	0.0274	G	2024MNRAS.527.3246B
SSTSL2 J224845.97-443200.1	342.191100	-44.532950	0.348600		SUN		0.439	0.1297	G	2017A&A...599A..28K
ABELL S1063:[TMG2023] 50	342.185690	-44.530510	0.346850		SUN		0.189	0.0558	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 49	342.186630	-44.531090	0.347410		SUN		0.229	0.0677	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 51	342.189160	-44.529540	0.348290		SUN		0.345	0.1018	G	2024MNRAS.527.3246B
SSTSL2 J224843.80-443136.8	342.182560	-44.526880	0.349070		SUN		0.240	0.0709	G	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] NE-058	342.195280	-44.534830	0.348500		SUN		0.646	0.1907	G	2017A&A...599A..28K
ABELL S1063:[TMG2023] 75	342.186690	-44.520610	0.335000		SUN		0.652	0.1927	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 28	342.185640	-44.531240	0.347000		SUN		0.188	0.0555	G	2024MNRAS.527.3246B
SSTSL2 J224844.38-443226.3	342.184880	-44.540650	0.349790		SUN		0.612	0.1806	G	2024MNRAS.527.3246B
SSTSL2 J224845.16-443147.0	342.188150	-44.529730	0.349850		SUN		0.300	0.0886	G	2024MNRAS.527.3246B
SSTSL2 J224845.15-443133.5	342.188130	-44.525970	0.349540		SUN		0.411	0.1214	G	2024MNRAS.527.3246B
SSTSL2 J224840.56-443225.1	342.169090	-44.540400	0.350000		SUN		0.778	0.2298	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 66	342.189070	-44.526450	0.349800		SUN		0.422	0.1247	G	2017A&A...599A..28K
SSTSL2 J224849.00-443130.9	342.204200	-44.525230	0.350870		SUN		1.035	0.3056	G	2024MNRAS.527.3246B
SSTSL2 J224844.17-443136.9	342.184060	-44.526940	0.351170		SUN		0.259	0.0765	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 59	342.179610	-44.528580	0.351000		SUN		0.150	0.0444	G	2024MNRAS.527.3246B
WISEA J224847.34-443124.2	342.197280	-44.523250	0.351380		SUN		0.820	0.2421	G	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] NE-070	342.195340	-44.534900	0.351400		SUN		0.650	0.1919	G	2017A&A...599A..28K
SSTSL2 J224842.95-443129.1	342.178910	-44.524720	0.352010		SUN		0.378	0.1115	G	2024MNRAS.527.3246B
SSTSL2 J224846.71-443156.5	342.194620	-44.532280	0.350199		SUN		0.577	0.1704	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 46	342.183530	-44.530110	0.354290		SUN		0.104	0.0307	G	2024MNRAS.527.3246B
SSTSL2 J224845.61-443126.9	342.190020	-44.524130	0.352880		SUN		0.546	0.1614	G	2024MNRAS.527.3246B
SSTSL2 J224843.96-443238.1	342.183240	-44.543860	0.353680		SUN		0.789	0.2330	G	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] SW-077	342.185330	-44.534120	0.353200		SUN		0.265	0.0781	G	2017A&A...599A..28K
[BCH2024] 232-PRIOR	342.179110	-44.528660	0.350000		SUN		0.158	0.0466	G	2024MNRAS.527.3246B
SSTSL2 J224844.82-443140.3	342.186740	-44.527860	0.355710		SUN		0.292	0.0861	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 44	342.196700	-44.529090	0.357370		SUN		0.667	0.1969	G	2024MNRAS.527.3246B
SSTSL2 J224847.57-443138.9	342.198230	-44.527410	0.360530		SUN		0.752	0.2221	G	2024MNRAS.527.3246B
[BCH2024] 791-PRIOR	342.204420	-44.524590	0.379600		SUN		1.057	0.3121	G	2024MNRAS.527.3246B
[BCH2024] 280-PRIOR	342.195390	-44.516760	0.350000		SUN		1.035	0.3056	G	2024MNRAS.527.3246B
[BCH2024] 953-PRIOR	342.202960	-44.527160	0.437930		SUN		0.952	0.2811	G	2024MNRAS.527.3246B
SSTSL2 J224849.39-443124.0	342.205680	-44.523250	0.438510		SUN		1.137	0.3357	G	2024MNRAS.527.3246B
[BCH2024] 254-PRIOR	342.185760	-44.524050	0.484570		SUN		0.447	0.1319	G	2024MNRAS.527.3246B
[BCH2024] 772-PRIOR	342.203570	-44.524960	0.704360		SUN		1.015	0.2997	G	2024MNRAS.527.3246B
[BCH2024] 486-PRIOR	342.190100	-44.530100	0.728520		SUN		0.379	0.1119	G_Lens	2024MNRAS.527.3246B
ABELL S1063:[KCC2017] SW-043a	342.172090	-44.530520	1.035000		SUN		0.394	0.1163	G_Lens	2017A&A...599A..28K
ABELL S1063:[KCC2017] SW-043b	342.175970	-44.536150	1.035000		SUN		0.394	0.1165	G_Lens	2017A&A...599A..28K
ABELL S1063:[KCC2017] SW-043c	342.180690	-44.538660	1.035000		SUN		0.473	0.1398	G_Lens	2017A&A...599A..28K
ABELL S1063:[MLZ2025] 02.4	342.195200	-44.527860	1.227900		SUN		0.620	0.1831	G_Lens	2017A&A...599A..28K
Abell S1063:[CJ2023] 004.1	342.193690	-44.530140	1.258000		SUN		0.532	0.1570	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 004.2	342.193310	-44.529420	1.258000		SUN		0.521	0.1537	G_Lens	2024MNRAS.527.3246B
SSTSL2 J224842.15-443244.2	342.175520	-44.545580	1.269520		SUN		0.922	0.2721	G	2024MNRAS.527.3246B
[BCH2024] 741-PRIOR	342.176990	-44.546330	1.478343		SUN		0.951	0.2808	G	2024MNRAS.527.3246B
[BCH2024] 949-PRIOR	342.161350	-44.538350	2.402000		SUN		0.966	0.2853	G	2024MNRAS.527.3246B
[BCH2024] 860-PRIOR	342.162250	-44.538290	3.116110		SUN		0.931	0.2748	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 014.2	342.187450	-44.538690	3.116525		SUN		0.543	0.1603	G_Lens	2024MNRAS.527.3246B
[BCH2024] 249-MUSELET	342.191960	-44.524090	3.171750		SUN		0.608	0.1795	G_Lens	2024MNRAS.527.3246B
[BCH2024] 198-PRIOR	342.189350	-44.518710	3.285950		SUN		0.802	0.2368	G_Lens	2024MNRAS.527.3246B
[BCH2024] 514-PRIOR	342.196150	-44.522920	3.287000		SUN		0.791	0.2337	G_Lens	2024MNRAS.527.3246B
SSTSL2 J224847.31-443128.8	342.197090	-44.524830	0.333000		SUN		0.764	0.2257	G	2024MNRAS.527.3246B
SSTSL2 J224844.50-443219.4	342.185860	-44.538830	3.606000		SUN		0.521	0.1539	G_Lens	2018ApJ...855....4K
SSTSL2 J224842.98-443212.6	342.178920	-44.536680	3.606000		SUN		0.368	0.1087	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 070.2	342.191000	-44.526790	3.714500		SUN		0.479	0.1416	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 058.2	342.190150	-44.530940	5.048947		SUN		0.379	0.1119	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 058.1	342.190850	-44.535660	5.051351		SUN		0.503	0.1485	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 057.2	342.183780	-44.521220	5.237300		SUN		0.583	0.1723	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 057.1	342.188740	-44.522760	5.237300		SUN		0.577	0.1704	G_Lens	2024MNRAS.527.3246B
[BCH2024] 360-MUSELET	342.197010	-44.522120	5.894000		SUN		0.850	0.2509	G	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 012.5	342.184020	-44.531590	6.110000		SUN		0.126	0.0373	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 017.1	342.185833	-44.538861	3.601000		SUN		0.522	0.1542	G_Lens	2024MNRAS.527.3246B
ABELL S1063:[RJL2014] 07.1	342.178833	-44.535878	3.118000		SUN		0.323	0.0955	G_Lens	2016A&A...587A..80C
LCRS B224459.7-444859	341.977463	-44.552070	0.081213	1.47E-4	SUN		8.810	2.6014	G	1996ApJ...470..172S
WISEA J224850.43-443210.9	342.210142	-44.536376	1.450000		SUN		1.279	0.3776		2016MNRAS.459.1626R
[BCH2024] 920-PRIOR	342.163937	-44.537536	0.336230		SUN		0.846	0.2497	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 48	342.191864	-44.529655	0.337090		SUN		0.457	0.1350	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 76	342.193693	-44.518529	0.338310		SUN		0.907	0.2677	G	2024MNRAS.527.3246B
[BCH2024] 756-PRIOR	342.200171	-44.527234	0.343730		SUN		0.835	0.2466	G	2024MNRAS.527.3246B
[BCH2024] 364-PRIOR	342.182719	-44.531386	0.347390		SUN		0.071	0.0210	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 52	342.182910	-44.530452	0.348050		SUN		0.072	0.0213	G	2024MNRAS.527.3246B
ABELL S1063:[TMG2023] 29	342.195308	-44.534911	0.350240		SUN		0.649	0.1916	G	2024MNRAS.527.3246B
[BCH2024] 081-PRIOR	342.180263	-44.546511	0.394580		SUN		0.945	0.2790	G	2024MNRAS.527.3246B
[BCH2024] 004-PRIOR	342.206002	-44.525353	0.411390		SUN		1.106	0.3266	G	2024MNRAS.527.3246B
[BCH2024] 683-PRIOR	342.185836	-44.536661	0.714420		SUN		0.403	0.1190	G	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 019.1	342.180058	-44.538420	1.035500		SUN		0.461	0.1362	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 019.3	342.171908	-44.530250	1.035510		SUN		0.403	0.1189	G_Lens	2024MNRAS.527.3246B
[BCH2024] 895-PRIOR	342.185504	-44.520182	1.202380		SUN		0.661	0.1952	G	2024MNRAS.527.3246B
[BCH2024] 305.2	342.183869	-44.525756	3.082000	0.002	SUN		0.321	0.0948	G_Lens	2024MNRAS.527.3246B
[BCH2024] 386-PRIOR	342.174265	-44.537107	1.838410		SUN		0.484	0.1430	G_Lens	2024MNRAS.527.3246B
Abell S1063:[CJ2023] 007.3	342.181869	-44.540488	1.838450		SUN		0.583	0.1722	G_Lens	2024MNRAS.527.3246B
[BCH2024] 283-MUSELET	342.180306	-44.524613	3.082000		SUN		0.372	0.1100	G	2024MNRAS.527.3246B
[BCH2024] 339-MUSELET	342.181640	-44.526090	3.138000		SUN		0.282	0.0832	G	2024MNRAS.527.3246B
[BCH2024] 004-EXTERN	342.201886	-44.526079	3.315059		SUN		0.925	0.2731	G	2024MNRAS.527.3246B
[BCH2024] 357-MUSELET	342.200338	-44.523340	3.317000		SUN		0.929	0.2743	G	2024MNRAS.527.3246B
[BCH2024] 005-EXTERN	342.193803	-44.518563	3.318830		SUN		0.908	0.2680	G	2024MNRAS.527.3246B
[BCH2024] 361-MUSELET	342.201426	-44.521949	3.353000		SUN		1.011	0.2986	G	2024MNRAS.527.3246B
[BCH2024] 689-PRIOR	342.193404	-44.530303	3.367180		SUN		0.519	0.1532	G	2024MNRAS.527.3246B
[BCH2024] 447-MUSELET	342.173867	-44.532825	4.825000		SUN		0.340	0.1005	G	2024MNRAS.527.3246B
[BCH2024] 354-MUSELET	342.187132	-44.525881	3.659564		SUN		0.386	0.1139	G	2024MNRAS.527.3246B
[BCH2024] 303.2	342.187884	-44.540421	3.666000	0.003	SUN		0.644	0.1900	G_Lens	2024MNRAS.527.3246B
[BCH2024] 088-PRIOR	342.187911	-44.540425	3.666360		SUN		0.644	0.1902	G	2024MNRAS.527.3246B
[BCH2024] 380-MUSELET	342.183430	-44.523937	3.667000		SUN		0.421	0.1242	G	2024MNRAS.527.3246B
[BCH2024] 295-MUSELET	342.175757	-44.536357	3.670629		SUN		0.410	0.1210	G	2024MNRAS.527.3246B
[BCH2024] 397-MUSELET	342.199454	-44.529976	3.749590		SUN		0.778	0.2299	G	2024MNRAS.527.3246B
[BCH2024] 387-MUSELET	342.206038	-44.525505	5.031000		SUN		1.105	0.3263	G	2024MNRAS.527.3246B
[BCH2024] 006-EXTERN	342.178250	-44.543787	6.034000		SUN		0.791	0.2336	G	2024MNRAS.527.3246B
[BCH2024] 172-MUSELET	342.167281	-44.537186	6.034000		SUN		0.712	0.2102	G	2024MNRAS.527.3246B
[BCH2024] 305.1	342.180303	-44.524639	3.082000	0.002	SUN		0.371	0.1095	G_Lens	2024MNRAS.527.3246B
[BCH2024] 077-PRIOR	342.187223	-44.540903	0.348990		SUN		0.658	0.1944	G	2024MNRAS.527.3246B
[BCH2024] 719-PRIOR	342.191575	-44.533352	0.349160		SUN		0.466	0.1377	G	2024MNRAS.527.3246B
[BCH2024] 691-PRIOR	342.181644	-44.540652	1.838490		SUN		0.592	0.1750	G	2024MNRAS.527.3246B
[BCH2024] 001-EXTERN	342.185841	-44.517719	3.450622		SUN		0.807	0.2384	G	2024MNRAS.527.3246B
[BCH2024] 340-MUSELET	342.190793	-44.524414	3.542100		SUN		0.558	0.1647	G	2024MNRAS.527.3246B
[BCH2024] 414-MUSELET	342.193642	-44.535798	3.656000		SUN		0.608	0.1796	G	2024MNRAS.527.3246B
