id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041604.5-241442	64.018677	-24.245139	0.718900		3		10.709	3.4312
J041525.6-241443	63.856482	-24.245459	0.587000		2		14.589	4.6744
J041518.0-241443	63.824860	-24.245382	0.381800		2		15.817	5.0677
J041701.5-241438	64.256336	-24.244138	0.114900		3		15.968	5.1164
J041524.3-241441	63.851191	-24.244728	0.503300		3		14.756	4.7280
J041622.2-241439	64.092309	-24.244191	0.487100		3		11.006	3.5265
J041549.4-241442	63.955858	-24.245010	0.537100		3		11.561	3.7043
J041531.4-241442	63.880902	-24.245014	0.463400		2		13.692	4.3870
J041621.5-241443	64.089508	-24.245513	0.314600		3		11.043	3.5381
J041533.3-241437	63.888712	-24.243844	0.271000		2		13.372	4.2844
J041529.1-241440	63.871381	-24.244565	0.467000		2		14.005	4.4873
J041658.4-241442	64.243427	-24.245165	0.677700		2		15.489	4.9628
J041543.7-241441	63.931908	-24.244880	0.419000		2		12.126	3.8851
J041626.5-241442	64.110233	-24.245085	0.362100		9		11.361	3.6400
J041659.8-241427	64.249065	-24.240873	0.302700		3		15.541	4.9795
J041616.5-241435	64.068742	-24.243071	0.234500		3		10.664	3.4169
J041545.3-241436	63.938544	-24.243428	0.418800		3		11.878	3.8058
J041547.9-241422	63.949734	-24.239534	0.000000		3		11.398	3.6519
J041643.7-241437	64.181900	-24.243757	0.686500		3		13.181	4.2234
J041654.1-241435	64.225500	-24.243252	0.423300		3		14.710	4.7131
J041522.6-241433	63.844129	-24.242630	0.538800		3		14.938	4.7863
J041609.4-241412	64.038988	-24.236714	0.395100		3		10.151	3.2523
J041605.3-241432	64.022175	-24.242489	0.639300		3		10.533	3.3749
J041627.7-241435	64.115617	-24.243271	0.668700		3		11.365	3.6415
J041549.5-241435	63.956214	-24.243130	0.396300		3		11.450	3.6686
J041539.5-241437	63.914532	-24.243880	0.364200		9		12.559	4.0239
J041517.3-241438	63.822076	-24.243928	0.692400		9		15.871	5.0852
J041527.1-241438	63.863065	-24.244101	0.635500		9		14.285	4.5771
J041620.2-241433	64.084284	-24.242537	0.484600		3		10.800	3.4603
J041605.7-241433	64.023563	-24.242501	0.330300		2		10.528	3.3732
J041560.0-241424	63.999800	-24.240161	0.285100		3		10.568	3.3859
J041626.3-241428	64.109663	-24.241135	0.467200		3		11.128	3.5654
J041551.6-241431	63.964959	-24.242196	0.455300		3		11.219	3.5945
J041605.2-241434	64.021536	-24.242878	0.759800		3		10.559	3.3833
J041548.3-241434	63.951283	-24.242852	0.465000		3		11.543	3.6985
J041608.0-241435	64.033441	-24.243255	0.390000		3		10.546	3.3790
J041626.3-241436	64.109598	-24.243387	0.586000		9		11.253	3.6055
J041537.3-241433	63.905339	-24.242668	0.252200		3		12.777	4.0938
J041623.7-241437	64.098580	-24.243764	2.417100		2		11.079	3.5499
J041649.4-241423	64.205972	-24.239937	0.434100		3		13.836	4.4332
