recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
     151	J071710.38+374035.8	109.293251	+37.676609	 0.3864	 0.0003	A  	D	   	J0717.5+3745	Simbad
     152	J071710.39+373621.4	109.293297	+37.605949	 2.0963	 0.0010	E  	D	   	J0717.5+3745	Simbad
     153	J071710.44+373802.5	109.293503	+37.634029	 0.3880	 0.0005	E  	D	   	J0717.5+3745	Simbad
     154	J071710.44+373928.3	109.293510	+37.657848	 0.3864	 0.0003	E  	D	   	J0717.5+3745	Simbad
     155	J071710.60+373555.8	109.294167	+37.598831	 0.3497	 0.0003	E  	D	   	J0717.5+3745	Simbad
     156	J071710.62+374209.7	109.294250	+37.702690	 0.3458	 0.0005	E  	D	   	J0717.5+3745	Simbad
     157	J071710.63+373827.6	109.294289	+37.640999	 0.3890	 0.0003	A  	D	   	J0717.5+3745	Simbad
     158	J071710.66+373859.5	109.294418	+37.649860	 0.3510	 0.0003	A  	D	   	J0717.5+3745	Simbad
     159	J071711.11+373907.8	109.296295	+37.652168	 0.4885	 0.0003	E  	D	   	J0717.5+3745	Simbad
     160	J071711.22+374439.6	109.296753	+37.744339	 0.5445	 0.0003	E  	D	   	J0717.5+3745	Simbad
     161	J071711.60+373513.8	109.298332	+37.587170	 0.6755	 0.0003	E  	D	   	J0717.5+3745	Simbad
     162	J071711.75+373808.9	109.298958	+37.635811	 0.3872	 0.0003	A  	D	   	J0717.5+3745	Simbad
     163	J071712.24+374249.1	109.301003	+37.713638	 0.5443	 0.0005	A  	D	   	J0717.5+3745	Simbad
     164	J071712.26+373522.8	109.301086	+37.589668	 0.5579	 0.0003	A  	D	   	J0717.5+3745	Simbad
     165	J071712.42+373352.0	109.301750	+37.564449	 0.5422	 0.0003	A  	D	   	J0717.5+3745	Simbad
     166	J071712.46+373810.4	109.301918	+37.636219	 0.3869	 0.0003	A  	D	   	J0717.5+3745	Simbad
     167	J071712.47+373815.8	109.301956	+37.637718	 0.6591	 0.0010	E  	D	   	J0717.5+3745	Simbad
     168	J071712.55+374701.3	109.302292	+37.783699	 0.5527	 0.0003	A  	D	   	J0717.5+3745	Simbad
     169	J071712.65+373745.4	109.302711	+37.629280	 0.3900	 0.0003	A  	D	   	J0717.5+3745	Simbad
     170	J071712.77+374626.3	109.303207	+37.773972	 0.4601	 0.0005	E  	D	   	J0717.5+3745	Simbad
     171	J071712.77+373823.6	109.303207	+37.639889	 0.3841	 0.0003	E  	D	   	J0717.5+3745	Simbad
     172	J071712.78+375327.3	109.303253	+37.890911	 0.5872	 0.0003	E  	D	   	J0717.5+3745	Simbad
     173	J071712.88+373439.5	109.303665	+37.577641	 0.5579	 0.0003	E  	D	   	J0717.5+3745	Simbad
