id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	3.386833	-30.470361	0.001019	0.000980	6		11.424	3.1089
	3.387333	-30.319139	0.435606	0.000310	4		11.111	3.0237
	3.387500	-30.417875	0.605895	0.000921	3		10.434	2.8395
	3.388458	-30.407528	0.000710	0.000780	6		10.299	2.8028
	3.389292	-30.432472	0.306288	0.000080	5		10.526	2.8646
	3.389417	-30.218056	0.302849	0.000080	5		14.446	3.9314
	3.389583	-30.269413	0.307195	0.000921	3		12.445	3.3869
	3.390917	-30.571750	0.275032	0.000210	5		14.925	4.0618
	3.391417	-30.382750	0.137267	0.000070	5		10.090	2.7460
	3.391708	-30.440528	0.306430	0.000080	5		10.537	2.8676
	3.392500	-30.314777	0.122195	0.000921	3		10.966	2.9844
	3.392833	-30.505778	0.671501	0.000110	4		12.228	3.3277
	3.393875	-30.507556	0.305615	0.000210	4		12.245	3.3325
	3.394292	-30.491833	0.252234	0.000080	5		11.703	3.1849
	3.394583	-30.262778	0.262057	0.000180	5		12.471	3.3940
	3.395375	-30.549556	0.365123	0.000100	4		13.809	3.7581
	3.395833	-30.292444	0.726795	0.000921	3		11.424	3.1091
	3.396167	-30.572889	0.274479	0.000410	4		14.794	4.0261
	3.396875	-30.560139	0.261977	0.000210	4		14.206	3.8662
	3.396917	-30.348944	0.499405	0.000110	4		10.086	2.7449
	3.398125	-30.488083	0.302029	0.000080	5		11.416	3.1069
	3.398208	-30.513611	0.106833	0.000070	5		12.282	3.3425
	3.399167	-30.293917	0.099795	0.000921	3		11.231	3.0564
	3.399167	-30.301985	0.307095	0.000921	3		10.993	2.9918
	3.399208	-30.353306	0.187446	0.000070	5		9.911	2.6974
	3.399583	-30.315722	0.750495	0.000921	3		10.608	2.8870
	3.399708	-30.513583	0.309330	0.000220	4		12.220	3.3255
	3.400833	-30.278473	0.328695	0.000921	3		11.656	3.1722
	3.401083	-30.348056	0.260202	0.000380	4		9.890	2.6914
	3.401958	-30.572194	0.000737	0.000310	6		14.565	3.9638
	3.402292	-30.559806	0.410274	0.000230	3		14.000	3.8100
	3.403625	-30.475528	0.160236	0.000070	5		10.792	2.9369
	3.403667	-30.337111	0.308978	0.000700	3		9.945	2.7064
	3.404458	-30.446389	0.190786	0.000070	5		10.025	2.7282
	3.405875	-30.280333	0.301997	0.000080	5		11.378	3.0964
	3.407417	-30.371111	0.309257	0.000260	4		9.316	2.5353
	3.407625	-30.519111	0.305818	0.000090	3		12.111	3.2958
	3.407833	-30.449139	0.000377	0.000820	6		9.920	2.6997
	3.408250	-30.232139	0.448517	0.000090	4		13.159	3.5811
	3.408833	-30.583417	0.000170	0.000330	6		14.858	4.0436
	3.409667	-30.567194	0.430341	0.000090	5		14.078	3.8312
	3.409792	-30.304750	-0.000090	0.000640	6		10.431	2.8387
	3.409792	-30.568472	0.272119	0.000160	5		14.132	3.8460
	3.409917	-30.340389	0.392924	0.000090	5		9.576	2.6061
	3.410417	-30.421055	0.309195	0.000921	3		9.305	2.5323
	3.411000	-30.367861	0.302258	0.001100	3		9.156	2.4919
	3.411417	-30.504083	0.308329	0.000080	5		11.392	3.1004
	3.411875	-30.210000	0.413844	0.000090	5		14.016	3.8144
	3.412500	-30.458113	0.295595	0.000921	3		9.910	2.6969
	3.412667	-30.225056	0.000117	0.000760	6		13.310	3.6222
	3.412958	-30.403889	0.475524	0.000090	5		9.015	2.4534
	3.413333	-30.524861	0.103909	0.000250	3		12.117	3.2975
	3.414500	-30.518306	0.356312	0.000610	4		11.810	3.2140
	3.415417	-30.468506	0.637795	0.000921	3		10.055	2.7363
	3.415625	-30.297833	0.306100	0.000270	4		10.379	2.8246
	3.415750	-30.589528	0.122414	0.000070	5		14.934	4.0643
	3.416250	-30.266778	0.000320	0.000190	6		11.443	3.1142
	3.416542	-30.207722	0.479392	0.000100	3		13.967	3.8011
	3.416667	-30.491890	0.613195	0.000921	3		10.740	2.9229
	3.417250	-30.340583	0.000907	0.001150	6		9.211	2.5068
	3.418000	-30.262694	0.308120	0.000270	4		11.533	3.1386
	3.418458	-30.433667	0.000390	0.001060	6		9.094	2.4748
	3.418750	-30.454863	0.145195	0.000921	3		9.535	2.5948
	3.418750	-30.360472	0.148495	0.000921	3		8.833	2.4040
	3.418750	-30.461390	0.314595	0.000921	3		9.704	2.6409
	3.419000	-30.452083	0.605930	0.000120	3		9.454	2.5730
	3.419250	-30.233833	0.500390	0.000300	3		12.691	3.4539
	3.419792	-30.503500	0.000022	0.000320	6		11.030	3.0017
	3.419833	-30.519472	0.105856	0.000070	5		11.651	3.1707
	3.419833	-30.585361	0.410044	0.000090	5		14.608	3.9755
	3.419958	-30.320556	0.000109	0.000950	6		9.529	2.5933
	3.420250	-30.422833	0.000060	0.000367	6		8.832	2.4036
	3.420292	-30.361389	-0.000008	0.000980	6		8.745	2.3798
	3.421000	-30.429194	0.001331	0.000920	6		8.891	2.4196
	3.421667	-30.406610	0.106995	0.000921	3		8.586	2.3366
	3.422792	-30.571333	0.106389	0.000390	4		13.843	3.7674
	3.422958	-30.370333	0.001831	0.001040	6		8.523	2.3195
	3.423417	-30.454167	0.000700	0.000860	6		9.298	2.5304
	3.423583	-30.210778	0.601691	0.000100	4		13.596	3.7002
	3.423708	-30.263694	0.000027	0.000480	6		11.271	3.0674
	3.425250	-30.518500	0.105770	0.000070	5		11.405	3.1039
	3.426958	-30.396917	0.261169	0.000370	4		8.259	2.2477
