group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_hanning_full,warp,10,10,actual,per_channel,0.9137126382356997,0.03349329845764832,0.8483286582927256,0.9496128876965053,1.020677447988554
empirical,boxcar_hanning_full,warp,10,10,actual,fixed_global,0.9123855053627388,0.03286099749364397,0.851984068307741,0.9486907176218909,1.01905995394554
empirical,boxcar_hanning_full,warp,10,10,source_disabled,per_channel,0.9137126382356997,0.03349329845764832,0.8483286582927256,0.9496128876965053,1.0206774480163239
empirical,boxcar_hanning_full,warp,10,10,source_disabled,fixed_global,0.9123855053627388,0.03286099749364397,0.851984068307741,0.9486907176218909,1.0190599539734284
empirical,boxcar_hanning_full,warp,10,20,actual,per_channel,0.8824642501092645,0.05365077126584905,0.7765128055509994,0.9615188290073713,0.9518621897412767
empirical,boxcar_hanning_full,warp,10,20,actual,fixed_global,0.9074680374951919,0.03636904029905275,0.8404500885647939,0.9617482146439701,0.996729379257323
empirical,boxcar_hanning_full,warp,10,20,source_disabled,per_channel,0.8824642501092645,0.05365077126584905,0.7765128055509994,0.9615188290073713,0.9518621897412767
empirical,boxcar_hanning_full,warp,10,20,source_disabled,fixed_global,0.9074680374951919,0.03636904029905275,0.8404500885647939,0.9617482146439701,0.996729379257323
empirical,boxcar_hanning_full,warp,10,30,actual,per_channel,0.936259126506652,0.026447780084337853,0.865365097408092,0.960609868770998,1.076893606917364
empirical,boxcar_hanning_full,warp,10,30,actual,fixed_global,0.9354302714100878,0.02670768220867072,0.8632897567618995,0.9591390472934277,1.074187020597658
empirical,boxcar_hanning_full,warp,10,30,source_disabled,per_channel,0.936259126506652,0.026447780084337853,0.865365097408092,0.960609868770998,1.076893606917384
empirical,boxcar_hanning_full,warp,10,30,source_disabled,fixed_global,0.9354302714100878,0.02670768220867072,0.8632897567618995,0.9591390472934277,1.0741870205976782
empirical,boxcar_hanning_full,streaming,5,10,actual,per_channel,0.6674019042697967,0.13935461027155,0.4527725694845092,0.8867777270837846,0.8317584059211427
empirical,boxcar_hanning_full,streaming,5,10,actual,fixed_global,0.6639305153698633,0.13980324066087993,0.4551546911541101,0.8795617631303199,0.8302214548004271
empirical,boxcar_hanning_full,streaming,5,10,source_disabled,per_channel,0.6674019042697967,0.13935461027155,0.4527725694845092,0.8867777270837846,0.8317584061048837
empirical,boxcar_hanning_full,streaming,5,10,source_disabled,fixed_global,0.6639305153698633,0.13980324066087993,0.4551546911541101,0.8795617631303199,0.8302214549904766
empirical,boxcar_hanning_full,streaming,5,20,actual,per_channel,0.3736705183911146,0.2541819193650239,0.002266599548380118,0.825301108350898,0.46838105078723863
