galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
F583-4,-0.04286284843652416,-11.250686115124498,0.5906428892832256,1.0,55.0,5.0,0.4985468091203078,1.3968964491425238,0.28555730900777376
IC2574,-0.11765973657303877,-11.517772766738503,0.28500206294119756,2.0,75.0,9.0,0.7306297325386557,1.2008504980910775,0.4440447959180762
KK98-251,-0.19958887576892392,-11.329482455750757,0.766767389651708,2.0,59.0,10.0,0.7825530826298286,0.8970770032094203,0.12710479836480765
NGC0024,0.1162391549589235,-10.433919302047922,1.0944480685107791,1.0,64.0,5.0,0.3161789012442063,2.1808424146466825,0.12710479836480765
NGC0055,-0.08999791526068765,-10.984172715420659,0.45184229200825676,2.0,77.0,9.0,0.4735465083211048,1.7367947549243608,0.7860412102425542
NGC0247,-0.02108232158091941,-11.072434010888577,0.2610233503794195,2.0,74.0,7.0,0.3877939540895564,1.5287881917748962,0.5728716022004802
NGC0289,-0.04595800424593009,-11.029758906888375,2.179223561142832,2.0,46.0,4.0,0.5034538774006161,3.2008313537058184,0.8286598965353198
NGC0300,0.019575760367993744,-11.110259308992008,0.7708416773257287,2.0,42.0,7.0,0.46006474788238944,2.168821463009824,0.24303804868629444
NGC0801,-0.06540978219045973,-10.24370184475582,1.7056511458505543,1.0,80.0,5.0,0.1648869606357899,2.9128276264402975,0.9405164849325672
NGC1003,-0.025970615037323647,-11.369596066201586,1.448162925135053,1.0,67.0,6.0,0.6963598803248326,2.1488185146020182,0.20682587603184974
NGC1090,-0.04958028041768921,-10.553034432155142,1.2085405777507816,1.0,64.0,4.0,0.24487290239852558,2.4528287182568427,0.5477747053878226
NGC2403,0.021954331827273514,-10.311585683780958,1.4583945586994247,1.0,63.0,6.0,0.4587161205670624,2.5328307877218803,0.14301480025409505
NGC2683,-0.02916238568791388,-10.653164629493311,1.7633574209264111,2.0,80.0,3.0,0.04444134962454976,3.0568286526378117,0.33845649360460484
NGC2841,0.08517235039258295,-10.012959468981816,1.9242158106379055,1.0,76.0,3.0,0.12143282466812223,2.992831765934685,0.561101383649056
