branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,truncated_point_kernel,NGC3917,0.004172143019842366,0.004797443091483349,-0.0006253000716409827,-5.904222867321561
return,truncated_point_kernel,NGC3949,0.0009102980470135734,0.0012282455854390228,-0.00031794753842544936,-5.91490924555298
return,truncated_point_kernel,NGC3972,0.0029527028355974556,0.004013733891199486,-0.0010610310556020304,-5.856855787777674
return,truncated_point_kernel,NGC3992,0.0027165171855982723,0.001337430168973112,0.0013790870166251602,-6.083158827684737
return,truncated_point_kernel,NGC4051,0.0029221325796301447,0.0026803211933807843,0.00024181138624936038,-5.978230026291926
return,truncated_point_kernel,NGC4068,0.046390623670625304,0.05627103778066189,-0.009880414110036588,-5.246695764736831
return,truncated_point_kernel,NGC4088,0.00830352865032022,0.01358450788519934,-0.0052809792348791195,-5.4905768775391754
return,truncated_point_kernel,NGC4100,0.0013650532053541495,0.000993064197238649,0.00037198900811550055,-5.9816852788413
return,truncated_point_kernel,NGC5005,0.0012916673287193543,0.0028097303038376142,-0.00151806297511826,-5.805222534004487
return,truncated_point_kernel,NGC5033,0.0020483526701267265,0.00274123896980517,-0.0006928862996784437,-5.886234602399588
return,truncated_point_kernel,NGC5371,0.003924318095819621,0.004468236479887518,-0.0005439183840678973,-5.910455714051889
return,truncated_point_kernel,NGC5585,0.004600107735712328,0.003646800813018707,0.0009533069226936208,-6.054081838580105
return,truncated_point_kernel,NGC5985,0.02143502355766337,0.02229550630356859,-0.0008604827459052188,-5.978652371553417
return,truncated_point_kernel,NGC6015,0.0033978880914612964,0.0020760361754442905,0.001321851916017006,-6.081685487667012
return,truncated_point_kernel,NGC6195,0.002964876804833761,0.0032236850181171267,-0.0002588082132833659,-5.931764104429635
return,truncated_point_kernel,NGC6503,0.001157648308227304,0.0009444501507770486,0.00021319815745025536,-5.965740660522495
return,truncated_point_kernel,NGC6674,0.004072960132900692,0.002333962580022468,0.0017389975528782236,-6.124476719049123
return,truncated_point_kernel,NGC6946,0.0013398408252740975,0.0034282715965052234,-0.002088430771231126,-5.752352250599571
return,truncated_point_kernel,NGC7331,0.002346761213853571,0.003897419139950656,-0.0015506579260970853,-5.807894360668369
return,truncated_point_kernel,UGC00128,0.0033706631673170034,0.005341990515230232,-0.0019713273479132288,-5.7741839448797405
return,truncated_point_kernel,UGC00191,0.00436824723688908,0.005338413672307046,-0.0009701664354179662,-5.873088664627396
return,truncated_point_kernel,UGC00731,0.0168100256570493,0.006617672985368621,0.010192352671680678,-6.997163819283262
return,truncated_point_kernel,UGC00891,0.004206055904194825,0.0046311425446162666,-0.00042508664042144144,-5.9231100544646695
return,truncated_point_kernel,UGC02259,0.01950153009505247,0.030011408147644525,-0.010509878052592056,-5.053371884447464
return,truncated_point_kernel,UGC02487,0.01127001702852514,0.007198243726265531,0.00407177330225961,-6.3852508333848315
return,truncated_point_kernel,UGC02916,0.0039664773692413636,0.004902194617573685,-0.0009357172483323217,-5.874102110255447
return,truncated_point_kernel,UGC02953,0.005272402023355622,0.0034837435394135664,0.0017886584839420555,-6.135987781025003
return,truncated_point_kernel,UGC03205,0.002841277823490435,0.001498855614716292,0.0013424222087741427,-6.080446606465018
return,truncated_point_kernel,UGC03580,0.015796448219925697,0.016872679963794022,-0.001076231743868325,-5.926449486852875
return,truncated_point_kernel,UGC04325,0.021638262495218247,0.03573700109136748,-0.014098738596149234,-4.722872097981056
return,truncated_point_kernel,UGC04483,0.007715400392875418,0.015099028585920387,-0.0073836281930449695,-5.290515151316973
return,truncated_point_kernel,UGC04499,0.002165142505229886,0.002219380474263698,-5.423796903381234e-05,-5.946412485246868
return,truncated_point_kernel,UGC05414,0.0027465272591835448,0.0018004228457381274,0.0009461044134454174,-6.04294307402289
return,truncated_point_kernel,UGC05716,0.003383195774939405,0.0012458575466871534,0.0021373382282522516,-6.157710983348207
return,truncated_point_kernel,UGC05750,0.033929269022505065,0.045005483944292,-0.011076214921786932,-5.069007027128968
return,truncated_point_kernel,UGC05764,0.022077163560370067,0.042574132476870565,-0.020496968916500498,-4.117094390262774
return,truncated_point_kernel,UGC05829,0.0016475250523608797,0.0013641792771901557,0.000283345775170724,-5.9750000322412875
return,truncated_point_kernel,UGC06399,0.002791689102489593,0.007458002140633853,-0.0046663130381442595,-5.519682809506489
return,truncated_point_kernel,UGC06614,0.003416863056913974,0.004305222651136027,-0.0008883595942220531,-5.875508885763048
return,truncated_point_kernel,UGC06786,0.007204304592206562,0.005328604077713218,0.0018757005144933447,-6.155243430674779
return,truncated_point_kernel,UGC06787,0.005469968826036266,0.006861218758059226,-0.0013912499320229603,-5.839763159531089
return,truncated_point_kernel,UGC06818,0.01506301804715742,0.014106243143915434,0.0009567749032419852,-6.114178568585989
return,truncated_point_kernel,UGC06917,0.0025896087241529084,0.006473785622710656,-0.0038841768985577473,-5.59158487627575
return,truncated_point_kernel,UGC06923,0.003042972812860583,0.002388596200393192,0.000654376612467391,-6.017396297655177
return,truncated_point_kernel,UGC06983,0.005300459515727276,0.0110535289568423,-0.005753069441115023,-5.431021688772268
return,truncated_point_kernel,UGC07089,0.004795981960984953,0.0026842880542118693,0.0021116939067730833,-6.163444395300225
return,truncated_point_kernel,UGC07261,0.0030693815195294272,0.002096651088608419,0.0009727304309210083,-6.047247653036353
return,truncated_point_kernel,UGC07323,0.0021034978892161406,0.0011151509480244709,0.0009883469411916697,-6.043258582761299
return,truncated_point_kernel,UGC07399,0.03833056352383157,0.05499705363052487,-0.0166664901066933,-4.551202901045376
return,truncated_point_kernel,UGC07524,0.0017287637568097947,0.005169011763516995,-0.0034402480067072,-5.628467165228976
return,truncated_point_kernel,UGC07577,0.09545438959426272,0.0760522947943958,0.019402094799866917,-8.499368000801024
return,truncated_point_kernel,UGC07603,0.009091323798830197,0.006415593227063158,0.0026757305717670385,-6.241208035064171
return,truncated_point_kernel,UGC07866,0.006080211419057901,0.004755046817039274,0.001325164602018627,-6.097258735378191
return,truncated_point_kernel,UGC08490,0.008919226578459722,0.004184643915020415,0.004734582663439306,-6.433349870951912
return,truncated_point_kernel,UGC08699,0.00205066027774034,0.002528798809248649,-0.00047813853150830907,-5.9062646602843465
return,truncated_point_kernel,UGC08837,0.03484615698009534,0.025924960927605573,0.008921196052489769,-6.996285081365734
return,truncated_point_kernel,UGC09037,0.011210857980430082,0.011971237760085655,-0.000760379779655573,-5.930594596815688
return,truncated_point_kernel,UGC09133,0.0011541143490532851,0.0031657091388521057,-0.0020115947897988203,-5.758513394582786
return,truncated_point_kernel,UGC09992,0.014721321447204694,0.009497078310299077,0.005224243136905617,-6.514747949324442
return,truncated_point_kernel,UGC10310,0.0014904519055194635,0.0018812267137348732,-0.00039077480821540973,-5.911321308217595
return,truncated_point_kernel,UGC11820,0.0033799504408696672,0.0033027356214875778,7.721481938208945e-05,-5.965422729473047
return,truncated_point_kernel,UGC11914,0.0018966908015874107,0.0005960011942840756,0.001300689607303335,-6.071204160980036
return,truncated_point_kernel,UGCA442,0.0017844753824636794,0.007172648280638162,-0.005388172898174483,-5.447231477439269
return,truncated_point_kernel,UGCA444,0.00221705416684933,0.003990650625946009,-0.0017735964590966788,-5.786407940813131
return,finite_flat_bridge,CamB,0.17377089447652927,0.13435739768213864,0.03941349679439063,1.0058871206784714
return,finite_flat_bridge,D564-8,0.015455992088693277,0.00852855373154642,0.0069274383571468565,3.9220263478214625
return,finite_flat_bridge,D631-7,0.02020121225235733,0.02211367640256098,-0.0019124641502036507,4.777852202532459
